from_id,to_id,units_per_year,value_musd,lead_time_days
I029,P014,175,31.628,43
I024,P014,156,26.299,53
I024,P015,129,16.19,53
I009,P018,98,52.722,39
I042,P018,250,29.486,69
I030,P019,269,75.762,70
I044,P019,204,57.652,76
I001,P020,93,50.868,50
I024,P021,50,20.586,53
I044,P021,181,91.297,76
I020,P022,51,26.513,48
I043,P023,113,53.371,45
I036,P023,55,8.426,66
I028,P025,266,70.942,53
I005,P025,187,54.072,50
I005,P026,115,19.435,50
I007,P026,120,25.733,47
I044,P027,91,44.375,76
I006,P028,224,105.304,53
I044,P029,200,104.678,76
I030,P030,246,82.771,70
I006,P030,140,70.349,53
I044,P031,223,68.457,76
I009,P031,158,41.33,39
I012,P032,134,35.377,24
I005,P034,228,101.811,50
I032,P035,155,80.2,33
I005,P036,121,21.385,50
I029,P036,80,43.088,43
I009,P037,212,114.327,39
I020,P037,283,54.078,48
I016,P038,282,48.422,38
I005,P038,56,19.445,50
I043,P039,107,40.041,45
I033,P040,248,91.849,23
I009,P040,209,109.925,39
I016,P041,63,11.73,38
I006,P041,145,76.049,53
I041,P042,138,61.032,45
I028,P043,149,34.381,53
I009,P044,209,82.814,39
I021,P045,250,104.824,45
I042,P047,83,43.179,69
M002,C003,121,15.783,107
M004,C003,42,13.616,78
M063,C003,74,8.244,93
M029,C003,36,12.913,85
M010,C003,23,8.733,79
M020,C003,22,2.286,87
M002,C004,101,30.344,107
M045,C004,63,17.718,67
M054,C004,39,18.815,38
M007,C004,52,19.583,67
M052,C004,27,10.568,159
M002,C005,71,28.1,107
M029,C005,8,2.369,85
M053,C005,60,10.877,66
M041,C005,49,6.941,122
M002,C006,119,20.627,107
M004,C006,35,17.518,78
M010,C006,19,4.122,79
M009,C006,29,14.353,106
M036,C006,44,19.248,77
M062,C006,17,2.76,88
M002,C009,114,28.285,107
M004,C009,101,21.06,78
M026,C009,46,18.923,80
M011,C009,16,4.898,105
M002,C010,38,17.01,107
M004,C010,35,10.174,78
M018,C010,40,10.571,101
M024,C010,58,25.134,66
M026,C010,23,5.233,80
M020,C010,18,2.547,87
M002,C013,62,17.747,107
M004,C013,106,20.237,78
M007,C013,53,25.841,67
M026,C013,51,18.786,80
M059,C013,79,39.358,86
M002,C015,129,58.306,107
M004,C015,111,13.114,78
M005,C015,74,23.112,175
M033,C015,46,21.768,95
M031,C015,79,14.681,110
M028,C015,13,5.885,107
M002,C018,38,20.808,107
M028,C018,50,26.062,107
M022,C018,37,12.646,49
M013,C018,30,6.578,74
M011,C018,21,3.606,105
M002,C027,50,5.362,107
M054,C027,55,8.936,38
M001,C027,19,8.771,104
M002,C028,147,74.859,107
M004,C028,50,19.926,78
M017,C028,47,13.258,90
M020,C028,24,6.799,87
M061,C028,57,25.343,78
M002,C031,60,26.566,107
M004,C031,95,17.114,78
M005,C031,95,33.103,175
M056,C031,72,33.168,80
M006,C031,43,5.24,59
M062,C031,15,6.467,88
M002,C032,77,19.606,107
M004,C032,41,11.182,78
M048,C032,53,21.438,84
M056,C032,15,4.103,80
M002,C033,147,39.628,107
M005,C033,109,47.377,175
M009,C033,18,5.364,106
M028,C033,22,9.991,107
M032,C033,26,13.171,48
M060,C033,45,9.227,65
M002,C038,126,26.314,107
M004,C038,51,26.703,78
M017,C038,68,18.198,90
M059,C038,24,3.747,86
M002,C042,34,12.935,107
M004,C042,40,20.447,78
M055,C042,22,2.283,70
M018,C042,69,15.437,101
M002,C044,134,49.699,107
M004,C044,82,36.654,78
M010,C044,38,18.697,79
M048,C044,19,8.171,84
M002,C046,93,43.304,107
M004,C046,83,11.237,78
M005,C046,49,15.501,175
M033,C046,77,15.089,95
M056,C046,73,31.11,80
M038,C046,26,8.472,128
M062,C046,55,9.274,88
M002,C048,70,37.205,107
M004,C048,100,51.139,78
M042,C048,10,1.241,110
M024,C048,78,21.358,66
M025,C048,51,10.889,68
M002,C049,135,60.785,107
M004,C049,82,40.611,78
M016,C049,54,25.375,101
M024,C049,76,13.944,66
M049,C049,6,2.488,65
M018,C049,29,9.075,101
M002,C050,97,10.277,107
M004,C050,102,9.641,78
M028,C050,24,11.695,107
M007,C050,21,10.422,67
M056,C050,60,10.889,80
M059,C050,46,20.528,86
M002,C051,93,18.18,107
M004,C051,63,33.422,78
M042,C051,60,19.791,110
M010,C051,12,3.495,79
M002,C052,87,33.148,107
M004,C052,26,12.0,78
M012,C052,72,36.957,82
M060,C052,66,10.527,65
M011,C052,29,5.206,105
M038,C052,14,1.91,128
M002,C053,40,4.541,107
M005,C053,27,12.658,175
M039,C053,63,23.721,65
M048,C053,35,13.303,84
M002,C054,135,43.929,107
M004,C054,64,15.53,78
M008,C054,24,3.652,101
M014,C054,61,29.022,81
M029,C054,23,5.409,85
M002,C056,144,69.482,107
M004,C056,90,39.561,78
M030,C056,78,16.865,67
M045,C056,47,16.004,67
M016,C056,26,9.538,101
M043,C056,51,19.026,125
M002,C057,140,56.835,107
M004,C057,37,14.83,78
M005,C057,88,23.958,175
M009,C057,38,16.308,106
M064,C057,62,29.139,113
M029,C057,22,7.404,85
M002,C058,34,10.271,107
M004,C058,97,36.013,78
M032,C058,14,4.513,48
M060,C058,10,3.063,65
M043,C058,43,13.414,125
M035,C058,74,22.208,91
M002,C059,146,42.599,107
M004,C059,116,21.106,78
M005,C059,74,20.943,175
M025,C059,60,5.707,68
M050,C059,21,3.203,97
M002,C061,98,51.186,107
M004,C061,63,14.7,78
M028,C061,22,11.126,107
M022,C061,75,32.652,49
M021,C061,42,20.134,88
M002,C064,73,13.524,107
M004,C064,119,23.527,78
M064,C064,13,4.944,113
M049,C064,44,21.304,65
M038,C064,35,6.154,128
M002,C071,141,46.306,107
M004,C071,46,13.189,78
M030,C071,72,32.779,67
M064,C071,77,17.772,113
M002,C073,62,20.908,107
M004,C073,41,15.549,78
M053,C073,29,4.054,66
M044,C073,37,17.751,61
M048,C073,19,5.505,84
M002,C074,36,15.728,107
M004,C074,46,4.137,78
M014,C074,71,7.847,81
M019,C074,25,2.645,105
M002,C075,140,12.629,107
M004,C075,80,12.243,78
M045,C075,33,15.091,67
M030,C075,10,4.997,67
M002,C077,45,7.377,107
M044,C077,20,7.804,61
M013,C077,15,5.426,74
M002,C078,116,61.246,107
M004,C078,78,23.735,78
M048,C078,8,1.964,84
M017,C078,41,3.635,90
M002,C079,115,32.938,107
M004,C079,48,21.361,78
M006,C079,40,14.544,59
M046,C079,57,5.7,80
M017,C079,23,4.257,90
M002,C080,99,27.18,107
M004,C080,68,31.788,78
M060,C080,27,14.24,65
M015,C080,74,6.339,61
M040,C080,70,37.52,94
M002,C081,121,61.199,107
M008,C081,41,14.299,101
M007,C081,36,5.479,67
M064,C081,54,6.224,113
M054,C081,60,25.38,38
M002,C082,52,15.707,107
M004,C082,105,23.808,78
M003,C082,77,14.107,81
M047,C082,18,5.365,105
M002,C084,101,42.93,107
M004,C084,114,55.175,78
M051,C084,49,25.261,137
M055,C084,51,10.262,70
M002,C086,41,22.306,107
M004,C086,90,10.939,78
M023,C086,15,3.562,58
M029,C086,26,12.414,85
M008,C086,59,28.089,101
M022,C086,44,12.751,49
M061,S003,15,7.44,78
M017,S003,11,3.41,90
M010,S004,19,7.66,79
M010,S005,7,1.503,79
M010,S007,16,4.396,79
M036,S008,33,6.977,77
M003,S010,42,10.737,81
M022,S013,10,0.865,49
M043,S013,29,8.543,125
M022,S016,26,11.982,49
M025,S017,51,18.307,68
M010,S018,33,7.988,79
M002,S018,51,6.484,107
M008,S019,48,25.101,101
M002,S020,58,25.462,107
M058,S025,48,18.106,115
M019,S025,19,10.28,105
M003,S027,29,9.775,81
M047,S027,34,8.094,105
M007,S030,59,5.17,67
M030,S034,10,2.322,67
M032,S035,58,17.585,48
M001,S035,6,0.626,104
M047,S036,56,11.476,105
M003,S039,35,18.1,81
M033,S039,28,8.852,95
M063,S040,53,25.651,93
M062,S040,32,9.302,88
M019,S041,27,7.108,105
M022,S042,58,9.724,49
M035,S042,43,4.068,91
M027,S043,26,4.526,81
M031,S046,32,6.523,110
M044,S046,42,10.372,61
M023,S048,21,6.284,58
M024,S049,51,17.79,66
M042,S049,19,9.558,110
M029,S050,23,2.261,85
M036,S051,57,24.575,77
M032,S051,18,2.546,48
M052,S052,54,19.714,159
M046,S053,44,24.051,80
M011,S053,31,4.853,105
M009,S054,33,10.911,106
M013,S055,24,12.384,74
M030,S055,5,1.022,67
M003,S057,56,10.803,81
M023,S058,20,1.908,58
C086,S003,111,28.974,159
C031,S003,56,13.403,109
C038,S004,79,13.825,124
C033,S004,20,8.713,153
C081,S005,99,22.557,141
C038,S005,72,31.95,124
C082,S005,24,11.443,124
C015,S007,96,44.065,132
C049,S007,95,49.091,142
C079,S007,49,6.093,115
C048,S008,46,4.419,131
C074,S008,84,37.127,91
C082,S008,93,33.771,124
C038,S010,46,12.635,124
C077,S010,104,30.229,78
C051,S010,22,4.502,111
C048,S013,36,18.002,131
C077,S013,45,12.609,78
C044,S013,95,30.037,107
C046,S016,44,13.915,137
C005,S016,23,5.644,128
C056,S017,60,28.034,135
C054,S017,116,62.152,144
C074,S018,116,54.975,91
C003,S018,34,11.133,180
C015,S019,101,35.81,132
C053,S019,50,25.846,136
C009,S020,75,31.417,101
C081,S020,44,15.884,141
C077,S025,24,7.698,78
C015,S025,48,18.796,132
C010,S027,113,56.559,130
C042,S027,44,10.205,85
C056,S030,91,26.212,135
C010,S030,66,8.511,130
C064,S034,64,31.366,150
C086,S034,44,22.594,159
C080,S035,29,14.991,100
C006,S035,84,19.145,97
C033,S036,60,10.159,153
C061,S036,74,14.73,93
C038,S036,109,44.851,124
C004,S039,28,10.866,150
C054,S039,52,6.458,144
C005,S039,99,42.748,128
C050,S040,50,12.656,149
C078,S040,106,23.27,155
C044,S040,72,7.812,107
C053,S041,85,14.669,136
C042,S041,57,11.576,85
C038,S042,42,13.899,124
C057,S042,53,23.467,118
C042,S043,45,14.64,85
C032,S043,116,58.882,106
C038,S046,119,64.707,124
C073,S046,89,26.294,178
C005,S046,19,6.539,128
C004,S048,94,29.949,150
C010,S048,26,12.704,130
C081,S049,94,44.74,141
C054,S049,71,6.896,144
C057,S049,106,36.189,118
C018,S050,67,11.283,113
C013,S050,60,14.36,147
C078,S050,89,15.668,155
C059,S051,95,16.521,126
C006,S051,46,24.696,97
C051,S051,47,19.404,111
C033,S052,88,37.17,153
C056,S052,22,2.206,135
C027,S052,109,46.092,125
C082,S053,95,28.659,124
C084,S053,42,11.969,166
C006,S054,71,20.068,97
C033,S054,47,23.599,153
C084,S055,57,9.401,166
C077,S055,95,20.436,78
C056,S055,53,8.588,135
C077,S057,80,7.625,78
C073,S057,111,12.374,178
C073,S058,47,25.541,178
C044,S058,44,7.841,107
S013,I002,64,22.58,92
S008,I002,72,18.509,46
S019,I003,94,37.994,74
S051,I003,65,31.725,64
S040,I004,55,6.187,106
S020,I004,41,17.306,44
S039,I004,115,48.318,82
S003,I008,106,50.106,54
S005,I008,32,2.917,47
S053,I010,106,20.173,53
S004,I010,69,19.343,74
S054,I013,72,39.231,63
S018,I013,63,29.637,79
S050,I013,39,4.069,73
S034,I014,35,14.072,35
S007,I014,88,17.931,40
S027,I015,50,11.682,58
S025,I015,68,15.203,62
S005,I015,97,24.403,47
S004,I017,107,38.841,74
S010,I017,79,32.083,84
S052,I018,47,7.087,39
S055,I018,79,8.074,39
S049,I019,118,11.929,54
S018,I019,56,6.371,79
S051,I022,59,5.023,64
S040,I022,54,29.478,106
S020,I022,81,16.287,44
S036,I023,62,22.34,66
S013,I023,77,34.832,92
S048,I025,44,15.016,80
S054,I025,48,10.55,63
S034,I025,107,55.427,35
S036,I026,117,32.286,66
S046,I026,43,13.285,66
S027,I027,75,8.375,58
S007,I027,105,14.512,40
S020,I027,113,19.555,44
S007,I034,113,12.684,40
S051,I034,93,37.681,64
S048,I034,105,45.775,80
S004,I035,80,18.525,74
S051,I035,112,59.335,64
S054,I035,91,32.408,63
S030,I037,88,48.304,94
S042,I037,96,14.917,67
S013,I038,57,19.872,92
S046,I038,70,7.215,66
S027,I039,96,37.339,58
S052,I039,80,33.48,39
S042,I040,100,33.263,67
S018,I040,84,30.653,79
I004,P005,274,109.368,75
I039,P005,249,30.5,44
I014,P005,135,24.869,64
I027,P006,182,65.145,53
I002,P006,111,32.161,31
I038,P006,121,58.822,71
I027,P007,103,10.679,53
I017,P007,128,18.843,54
I008,P011,260,82.53,34
I010,P011,266,50.64,32
I015,P016,245,108.554,50
I010,P016,132,60.36,32
I004,P016,177,64.794,75
I040,P017,136,14.136,39
I037,P017,271,134.233,55
I023,P024,90,41.863,41
I040,P024,202,19.376,39
I019,P024,159,63.762,65
I019,P033,242,126.316,65
I038,P033,52,27.062,71
I037,P033,53,20.24,55
I035,P046,68,8.532,48
I027,P046,208,98.43,53
I018,P046,95,14.111,55
I010,P048,278,43.565,32
I039,P048,91,31.373,44
