from,to
S0097,S0190
S0097,S0316
S0097,S0448
S0098,S0222
S0098,S0224
S0098,S0381
S0099,S0487
S0100,S0231
S0101,S0320
S0101,S0340
S0102,S0103
S0102,S0124
S0102,S0244
S0102,S0442
S0103,S0391
S0104,S0248
S0104,S0306
S0104,S0431
S0105,S0075
S0106,S0107
S0106,S0115
S0106,S0135
S0106,S0251
S0107,S0122
S0108,S0441
S0109,S0035
S0109,S0187
S0110,S0071
S0110,S0090
S0110,S0204
S0110,S0324
S0111,S0008
S0111,S0266
S0112,S0408
S0113,S0048
S0113,S0360
S0113,S0434
S0114,S0003
S0114,S0168
S0114,S0305
S0115,S0110
S0115,S0112
S0115,S0119
S0115,S0133
S0116,S0389
S0116,S0409
S0117,S0102
S0117,S0158
S0117,S0464
S0118,S0272
S0118,S0399
S0118,S0459
S0119,S0458
S0120,S0425
S0121,S0064
S0121,S0481
S0122,S0023
S0122,S0041
S0122,S0132
S0122,S0161
S0123,S0084
S0124,S0027
S0124,S0097
S0124,S0110
S0124,S0473
S0125,S0029
S0125,S0320
S0126,S0165
S0126,S0323
S0126,S0354
S0127,S0468
S0128,S0151
S0128,S0340
S0129,S0298
S0129,S0355
S0130,S0226
S0131,S0075
S0131,S0315
S0132,S0135
S0132,S0334
S0132,S0404
S0132,S0498
S0133,S0165
S0133,S0395
S0133,S0399
S0133,S0498
S0134,S0095
S0134,S0138
S0134,S0271
S0135,S0343
S0135,S0366
S0135,S0472
S0136,S0450
S0137,S0021
S0137,S0048
S0137,S0345
S0138,S0285
S0138,S0379
S0138,S0421
S0139,S0388
S0140,S0188
S0141,S0152
S0142,S0085
S0142,S0233
S0142,S0498
S0143,S0203
S0143,S0412
S0144,S0367
S0145,S0356
S0146,S0429
S0147,S0091
S0147,S0169
S0148,S0299
S0149,S0177
S0149,S0403
S0150,S0092
S0150,S0241
S0151,S0035
S0152,S0028
S0152,S0233
S0152,S0390
S0152,S0457
S0153,S0482
S0154,S0027
S0154,S0038
S0154,S0070
S0154,S0357
S0155,S0047
S0156,S0094
S0157,S0038
S0157,S0302
S0157,S0400
S0158,S0086
S0158,S0334
S0158,S0355
S0159,S0171
S0159,S0338
S0160,S0433
S0161,S0002
S0161,S0182
S0161,S0348
S0162,S0128
S0162,S0379
S0162,S0466
S0163,S0013
S0163,S0028
S0163,S0086
S0163,S0495
S0164,S0432
S0165,S0071
S0166,S0097
S0166,S0143
S0166,S0144
S0167,S0277
S0168,S0107
S0168,S0349
S0169,S0127
S0169,S0193
S0169,S0277
S0169,S0289
S0170,S0268
S0170,S0380
S0170,S0464
S0171,S0262
S0171,S0324
S0171,S0369
S0171,S0455
S0172,S0001
S0173,S0031
S0174,S0054
S0175,S0047
S0175,S0086
S0175,S0176
S0175,S0312
S0176,S0072
S0176,S0293
S0176,S0335
S0176,S0426
S0177,S0006
S0177,S0140
S0177,S0408
S0178,S0016
S0178,S0136
S0178,S0268
S0178,S0405
S0179,S0069
S0180,S0233
S0180,S0338
S0180,S0401
S0180,S0488
S0181,S0083
S0181,S0241
S0182,S0055
S0183,S0259
S0184,S0049
S0184,S0257
S0185,S0066
S0186,S0120
S0186,S0476
S0187,S0177
S0188,S0160
S0188,S0328
S0188,S0449
S0189,S0149
S0189,S0392
S0189,S0457
S0190,S0140
S0190,S0147
S0190,S0172
S0190,S0276
S0191,S0060
S0191,S0236
S0192,S0135
S0192,S0207
S0192,S0275
S0193,S0018
S0193,S0137
S0193,S0402
S0194,S0097
S0194,S0136
S0194,S0153
S0194,S0282
S0195,S0348
S0196,S0007
S0196,S0035
S0197,S0031
S0197,S0113
S0197,S0167
S0197,S0250
S0198,S0162
S0198,S0474
S0199,S0086
S0199,S0155
S0199,S0297
S0199,S0477
S0200,S0277
S0200,S0350
S0200,S0410
S0201,S0070
S0201,S0266
S0202,S0052
S0202,S0237
S0202,S0316
S0202,S0331
S0203,S0047
S0204,S0095
S0205,S0015
S0205,S0068
S0205,S0313
S0205,S0317
S0206,S0217
S0207,S0175
S0207,S0310
S0208,S0246
S0208,S0272
S0208,S0288
S0209,S0483
S0210,S0377
S0210,S0478
S0211,S0013
S0211,S0065
S0211,S0067
S0211,S0238
S0212,S0127
S0212,S0435
S0213,S0359
S0214,S0023
S0214,S0461
S0215,S0012
S0216,S0160
S0216,S0299
S0217,S0466
S0218,S0264
S0218,S0272
S0218,S0393
S0218,S0465
S0219,S0031
S0219,S0096
S0220,S0042
S0220,S0048
S0220,S0050
S0220,S0395
S0221,S0070
S0221,S0215
S0221,S0353
S0221,S0397
S0222,S0423
S0223,S0045
S0223,S0201
S0223,S0423
S0223,S0443
S0224,S0472
S0225,S0136
S0225,S0346
S0226,S0121
S0227,S0093
S0227,S0182
S0228,S0262
S0228,S0281
S0229,S0093
S0229,S0144
S0229,S0260
S0229,S0449
S0230,S0078
S0230,S0095
S0231,S0224
S0231,S0250
S0231,S0336
S0232,S0295
S0233,S0163
S0233,S0195
S0233,S0384
S0233,S0445
S0234,S0011
S0234,S0019
S0234,S0099
S0234,S0163
S0235,S0240
S0235,S0279
S0235,S0466
S0236,S0333
S0237,S0088
S0237,S0137
S0237,S0157
S0237,S0172
S0238,S0157
S0239,S0164
S0239,S0293
S0239,S0347
S0240,S0067
S0240,S0185
S0241,S0446
S0242,S0018
S0242,S0427
S0242,S0433
S0243,S0253
S0243,S0363
S0244,S0005
S0244,S0328
S0244,S0457
S0245,S0016
S0245,S0476
S0246,S0433
S0247,S0332
S0247,S0460
S0248,S0100
S0248,S0280
S0248,S0342
S0249,S0071
S0249,S0218
S0249,S0260
S0249,S0469
S0250,S0120
S0250,S0348
S0251,S0014
S0251,S0123
S0251,S0370
S0252,S0037
S0252,S0038
S0252,S0054
S0252,S0363
S0253,S0034
S0253,S0219
S0253,S0263
S0253,S0416
S0254,S0439
S0255,S0184
S0255,S0204
S0255,S0257
S0255,S0404
S0256,S0050
S0256,S0329
S0256,S0393
S0257,S0027
S0257,S0254
S0257,S0269
S0258,S0115
S0258,S0216
S0258,S0310
S0259,S0028
S0259,S0032
S0259,S0425
S0260,S0136
S0260,S0170
S0261,S0200
S0262,S0076
S0262,S0176
S0263,S0042
S0263,S0435
S0263,S0439
S0264,S0363
S0264,S0410
S0265,S0279
S0266,S0123
S0266,S0222
S0266,S0374
S0266,S0489
S0267,S0160
S0267,S0163
S0267,S0219
S0267,S0220
S0268,S0131
S0268,S0381
S0269,S0020
S0270,S0050
S0270,S0074
S0270,S0180
S0270,S0438
S0271,S0130
S0271,S0163
S0271,S0377
S0272,S0346
S0273,S0000
S0273,S0014
S0273,S0278
S0273,S0319
S0274,S0147
S0274,S0389
S0274,S0468
S0275,S0010
S0276,S0396
S0277,S0224
S0277,S0235
S0278,S0003
S0278,S0192
S0279,S0045
S0279,S0374
S0279,S0396
S0280,S0150
S0280,S0241
S0281,S0218
S0281,S0251
S0281,S0406
S0281,S0480
S0282,S0187
S0282,S0203
S0283,S0214
S0283,S0402
S0283,S0413
S0284,S0466
S0285,S0141
S0285,S0281
S0286,S0040
S0286,S0352
S0287,S0099
S0287,S0271
S0287,S0279
S0287,S0349
S0288,S0372
S0288,S0395
S0289,S0146
S0289,S0247
S0289,S0294
S0290,S0184
S0290,S0263
S0290,S0304
S0290,S0425
S0291,S0358
S0292,S0169
S0292,S0195
S0292,S0377
S0293,S0192
S0293,S0205
S0293,S0284
S0293,S0483
S0294,S0014
S0294,S0282
S0294,S0357
S0294,S0371
S0295,S0138
S0295,S0231
S0295,S0339
S0296,S0061
S0296,S0352
S0296,S0493
S0297,S0446
S0297,S0458
S0298,S0035
S0298,S0085
S0298,S0303
S0298,S0422
S0299,S0258
S0299,S0304
S0299,S0434
S0300,S0189
S0300,S0252
S0300,S0399
S0301,S0053
S0301,S0076
S0301,S0465
S0302,S0024
S0302,S0240
S0302,S0489
S0302,S0497
S0303,S0082
S0304,S0148
S0304,S0351
S0304,S0397
S0305,S0077
S0305,S0294
S0305,S0405
S0306,S0366
S0306,S0443
S0307,S0112
S0307,S0222
S0307,S0441
S0308,S0210
S0308,S0234
S0308,S0239
S0309,S0057
S0310,S0426
S0311,S0323
S0311,S0431
S0312,S0073
S0312,S0171
S0313,S0019
S0313,S0145
S0314,S0247
S0314,S0255
S0314,S0266
S0314,S0462
S0315,S0251
S0315,S0300
S0315,S0354
S0316,S0091
S0316,S0145
S0316,S0160
S0316,S0485
S0317,S0240
S0318,S0111
S0318,S0153
S0318,S0417
S0319,S0069
S0319,S0115
S0319,S0152
S0319,S0444
S0320,S0069
S0320,S0192
S0320,S0410
S0321,S0036
S0321,S0077
S0321,S0371
S0322,S0200
S0322,S0311
S0322,S0394
S0323,S0449
S0323,S0456
S0324,S0056
S0324,S0193
S0324,S0241
S0324,S0373
S0325,S0030
S0325,S0401
S0326,S0403
S0327,S0043
S0327,S0130
S0328,S0283
S0328,S0497
S0329,S0154
S0329,S0439
S0329,S0475
S0330,S0064
S0330,S0131
S0330,S0142
S0331,S0109
S0331,S0218
S0331,S0386
S0331,S0466
S0332,S0122
S0333,S0098
S0333,S0112
S0333,S0125
S0334,S0163
S0334,S0258
S0335,S0445
S0336,S0219
S0336,S0285
S0336,S0298
S0336,S0346
S0337,S0141
S0337,S0159
S0337,S0252
S0337,S0481
S0338,S0073
S0338,S0224
S0338,S0417
S0339,S0279
S0339,S0388
S0340,S0335
S0341,S0071
S0341,S0094
S0341,S0101
S0341,S0318
S0342,S0207
S0342,S0297
S0342,S0386
S0343,S0030
S0343,S0283
S0344,S0108
S0345,S0251
S0345,S0401
S0346,S0015
S0346,S0137
S0346,S0356
S0347,S0025
S0347,S0087
S0347,S0218
S0348,S0118
S0348,S0174
S0349,S0123
S0349,S0214
S0350,S0104
S0350,S0147
S0350,S0455
S0350,S0469
S0351,S0041
S0351,S0157
S0351,S0250
S0351,S0434
S0352,S0028
S0352,S0266
S0352,S0438
S0353,S0122
S0353,S0237
S0353,S0444
S0353,S0451
S0354,S0169
S0354,S0209
S0355,S0064
S0355,S0484
S0356,S0287
S0357,S0178
S0357,S0304
S0357,S0369
S0357,S0421
S0358,S0186
S0358,S0390
S0358,S0393
S0358,S0438
S0359,S0138
S0359,S0438
S0360,S0369
S0361,S0085
S0362,S0045
S0362,S0211
S0362,S0242
S0362,S0361
S0363,S0172
S0363,S0184
S0363,S0476
S0364,S0189
S0364,S0342
S0365,S0299
S0366,S0045
S0366,S0270
S0366,S0393
S0367,S0140
S0367,S0149
S0367,S0210
S0367,S0295
S0368,S0214
S0369,S0043
S0369,S0121
S0369,S0440
S0370,S0030
S0370,S0040
S0370,S0267
S0370,S0339
S0371,S0334
S0372,S0217
S0372,S0357
S0372,S0365
S0372,S0439
S0373,S0287
S0373,S0376
S0373,S0444
S0373,S0493
S0374,S0204
S0374,S0363
S0375,S0082
S0375,S0236
S0375,S0292
S0375,S0464
S0376,S0074
S0376,S0215
S0376,S0423
S0377,S0303
S0377,S0397
S0377,S0425
S0377,S0480
S0378,S0377
S0379,S0105
S0379,S0453
S0379,S0466
S0380,S0083
S0380,S0287
S0380,S0451
S0381,S0127
S0382,S0360
S0382,S0479
S0383,S0105
S0383,S0218
S0383,S0231
S0383,S0320
S0384,S0007
S0384,S0044
S0384,S0055
S0384,S0253
S0385,S0154
S0385,S0289
S0385,S0379
S0385,S0435
S0386,S0224
S0386,S0254
S0386,S0377
S0387,S0171
S0387,S0185
S0387,S0230
S0388,S0006
S0388,S0138
S0389,S0082
S0390,S0494
S0391,S0162
S0391,S0201
S0392,S0123
S0392,S0401
S0393,S0394
S0393,S0416
S0394,S0168
S0395,S0330
S0396,S0314
S0396,S0327
S0397,S0199
S0397,S0479
S0398,S0233
S0398,S0395
S0398,S0407
S0399,S0308
S0399,S0350
S0400,S0051
S0400,S0329
S0400,S0375
S0400,S0479
S0401,S0208
S0401,S0465
S0402,S0261
S0402,S0343
S0403,S0480
S0404,S0063
S0404,S0174
S0404,S0462
S0405,S0110
S0406,S0004
S0406,S0011
S0406,S0161
S0407,S0280
S0408,S0325
S0409,S0244
S0409,S0322
S0409,S0388
S0410,S0136
S0411,S0007
S0412,S0038
S0412,S0102
S0413,S0010
S0413,S0088
S0413,S0136
S0414,S0331
S0414,S0393
S0415,S0127
S0415,S0398
S0415,S0466
S0416,S0068
S0416,S0110
S0416,S0280
S0416,S0437
S0417,S0194
S0417,S0495
S0418,S0139
S0419,S0342
S0420,S0208
S0420,S0314
S0420,S0382
S0420,S0417
S0421,S0015
S0421,S0273
S0421,S0360
S0422,S0064
S0422,S0134
S0423,S0306
S0423,S0310
S0423,S0315
S0423,S0465
S0424,S0142
S0424,S0205
S0424,S0234
S0424,S0281
S0425,S0019
S0425,S0340
S0425,S0491
S0426,S0140
S0426,S0178
S0427,S0035
S0427,S0255
S0427,S0318
S0427,S0325
S0428,S0185
S0428,S0252
S0428,S0318
S0428,S0364
S0429,S0141
S0430,S0138
S0430,S0210
S0430,S0252
S0431,S0131
S0431,S0193
S0431,S0220
S0431,S0300
S0432,S0218
S0433,S0040
S0433,S0216
S0433,S0351
S0434,S0004
S0434,S0013
S0434,S0336
S0434,S0442
S0435,S0138
S0435,S0161
S0435,S0281
S0436,S0309
S0437,S0069
S0437,S0184
S0437,S0232
S0438,S0055
S0439,S0059
S0439,S0289
S0439,S0320
S0439,S0498
S0440,S0476
S0441,S0009
S0442,S0177
S0442,S0207
S0442,S0260
S0442,S0357
S0443,S0113
S0443,S0141
S0443,S0229
S0443,S0486
S0444,S0423
S0445,S0126
S0445,S0209
S0445,S0255
S0445,S0461
S0446,S0256
S0446,S0355
S0447,S0308
S0447,S0370
S0447,S0459
S0447,S0473
S0448,S0066
S0448,S0095
S0448,S0214
S0448,S0271
S0449,S0052
S0449,S0116
S0449,S0264
S0449,S0349
S0450,S0405
S0451,S0263
S0451,S0438
S0452,S0078
S0452,S0255
S0452,S0407
S0453,S0140
S0453,S0192
S0453,S0275
S0453,S0429
S0454,S0258
S0454,S0460
S0455,S0328
S0455,S0385
S0456,S0108
S0456,S0431
S0457,S0172
S0458,S0032
S0458,S0460
S0459,S0124
S0459,S0278
S0460,S0049
S0460,S0069
S0460,S0411
S0461,S0264
S0461,S0292
S0461,S0393
S0462,S0017
S0462,S0248
S0462,S0301
S0463,S0144
S0463,S0170
S0464,S0247
S0464,S0398
S0465,S0036
S0465,S0462
S0466,S0094
S0466,S0161
S0466,S0302
S0466,S0414
S0467,S0104
S0467,S0371
S0468,S0056
S0468,S0147
S0468,S0425
S0468,S0434
S0469,S0356
S0469,S0373
S0469,S0470
S0470,S0296
S0471,S0494
S0472,S0473
S0473,S0029
S0473,S0052
S0473,S0197
S0474,S0064
S0474,S0346
S0474,S0498
S0475,S0044
S0475,S0166
S0475,S0171
S0475,S0211
S0476,S0215
S0477,S0071
S0478,S0072
S0478,S0285
S0478,S0474
S0479,S0038
S0479,S0097
S0479,S0288
S0480,S0027
S0480,S0069
S0480,S0324
S0480,S0342
S0481,S0043
S0481,S0297
S0482,S0290
S0483,S0116
S0484,S0185
S0485,S0035
S0486,S0066
S0486,S0109
S0487,S0495
S0488,S0439
S0488,S0497
S0489,S0040
S0489,S0210
S0489,S0358
S0490,S0118
S0491,S0007
S0492,S0047
S0492,S0226
S0492,S0421
S0493,S0089
S0494,S0133
S0494,S0178
S0494,S0355
S0495,S0120
S0495,S0150
S0496,S0032
S0496,S0091
S0496,S0247
S0497,S0080
S0497,S0120
S0498,S0131
S0498,S0496
S0499,S0463
