start_code,end_code,day,rush,count
S0492,S0277,2021-01-01,am,5
S0498,S0437,2021-01-01,am,7
S0499,S0203,2021-01-01,am,5
S0499,S0275,2021-01-01,am,3
S0007,S0493,2021-01-02,am,2
S0008,S0365,2021-01-02,am,6
S0011,S0011,2021-01-02,am,5
S0013,S0315,2021-01-02,am,2
S0020,S0130,2021-01-02,am,2
S0022,S0167,2021-01-02,am,3
S0030,S0143,2021-01-02,am,4
S0038,S0412,2021-01-02,am,6
S0042,S0025,2021-01-02,am,6
S0047,S0471,2021-01-02,am,3
S0053,S0075,2021-01-02,am,6
S0056,S0366,2021-01-02,am,2
S0060,S0347,2021-01-02,am,4
S0063,S0427,2021-01-02,am,4
S0064,S0028,2021-01-02,am,5
S0070,S0161,2021-01-02,am,6
S0070,S0190,2021-01-02,am,2
S0075,S0027,2021-01-02,am,4
S0075,S0251,2021-01-02,am,5
S0075,S0307,2021-01-02,am,1
S0079,S0233,2021-01-02,am,6
S0082,S0442,2021-01-02,am,5
S0083,S0231,2021-01-02,am,3
S0097,S0342,2021-01-02,am,4
S0098,S0038,2021-01-02,am,3
S0101,S0240,2021-01-02,am,7
S0101,S0245,2021-01-02,am,4
S0106,S0386,2021-01-02,am,7
S0106,S0457,2021-01-02,am,4
S0108,S0204,2021-01-02,am,6
S0109,S0445,2021-01-02,am,2
S0122,S0159,2021-01-02,am,3
S0126,S0119,2021-01-02,am,4
S0127,S0475,2021-01-02,am,3
S0134,S0070,2021-01-02,am,3
S0134,S0122,2021-01-02,am,6
S0135,S0362,2021-01-02,am,1
S0137,S0216,2021-01-02,am,3
S0138,S0037,2021-01-02,am,4
S0140,S0201,2021-01-02,am,4
S0146,S0223,2021-01-02,am,2
S0150,S0318,2021-01-02,am,7
S0152,S0148,2021-01-02,am,1
S0153,S0433,2021-01-02,am,2
S0158,S0383,2021-01-02,am,7
S0158,S0452,2021-01-02,am,7
S0161,S0134,2021-01-02,am,6
S0162,S0372,2021-01-02,am,5
S0170,S0477,2021-01-02,am,7
S0171,S0404,2021-01-02,am,2
S0177,S0417,2021-01-02,am,4
S0187,S0118,2021-01-02,am,5
S0187,S0398,2021-01-02,am,4
S0189,S0315,2021-01-02,am,7
S0190,S0079,2021-01-02,am,7
S0194,S0018,2021-01-02,am,3
S0195,S0286,2021-01-02,am,4
S0195,S0375,2021-01-02,am,3
S0195,S0381,2021-01-02,am,3
S0197,S0220,2021-01-02,am,7
S0200,S0331,2021-01-02,am,1
S0206,S0364,2021-01-02,am,7
S0206,S0377,2021-01-02,am,7
S0208,S0065,2021-01-02,am,4
S0208,S0101,2021-01-02,am,1
S0210,S0134,2021-01-02,am,2
S0211,S0090,2021-01-02,am,7
S0214,S0023,2021-01-02,am,3
S0214,S0135,2021-01-02,am,6
S0216,S0286,2021-01-02,am,1
S0219,S0080,2021-01-02,am,5
S0230,S0240,2021-01-02,am,6
S0232,S0230,2021-01-02,am,3
S0235,S0401,2021-01-02,am,7
S0236,S0462,2021-01-02,am,4
S0237,S0078,2021-01-02,am,6
S0244,S0172,2021-01-02,am,6
S0246,S0159,2021-01-02,am,5
S0246,S0190,2021-01-02,am,7
S0248,S0007,2021-01-02,am,7
S0257,S0197,2021-01-02,am,1
S0263,S0303,2021-01-02,am,7
S0267,S0038,2021-01-02,am,3
S0268,S0242,2021-01-02,am,3
S0269,S0436,2021-01-02,am,1
S0289,S0247,2021-01-02,am,5
S0289,S0467,2021-01-02,am,6
S0298,S0385,2021-01-02,am,1
S0303,S0144,2021-01-02,am,3
S0303,S0149,2021-01-02,am,7
S0304,S0392,2021-01-02,am,2
S0308,S0446,2021-01-02,am,1
S0319,S0107,2021-01-02,am,3
S0319,S0476,2021-01-02,am,1
S0327,S0055,2021-01-02,am,2
S0328,S0217,2021-01-02,am,4
S0328,S0422,2021-01-02,am,3
S0329,S0295,2021-01-02,am,1
S0332,S0378,2021-01-02,am,2
S0337,S0308,2021-01-02,am,5
S0337,S0418,2021-01-02,am,4
S0338,S0439,2021-01-02,am,6
S0347,S0226,2021-01-02,am,6
S0350,S0241,2021-01-02,am,6
S0352,S0168,2021-01-02,am,6
S0358,S0301,2021-01-02,am,7
S0361,S0451,2021-01-02,am,1
S0367,S0338,2021-01-02,am,7
S0373,S0423,2021-01-02,am,6
S0386,S0479,2021-01-02,am,5
S0390,S0368,2021-01-02,am,7
S0393,S0269,2021-01-02,am,4
S0399,S0341,2021-01-02,am,5
S0399,S0482,2021-01-02,am,3
S0403,S0063,2021-01-02,am,6
S0404,S0230,2021-01-02,am,1
S0408,S0293,2021-01-02,am,2
S0413,S0095,2021-01-02,am,7
S0413,S0257,2021-01-02,am,3
S0413,S0433,2021-01-02,am,6
S0414,S0085,2021-01-02,am,3
S0423,S0017,2021-01-02,am,5
S0428,S0103,2021-01-02,am,3
S0428,S0269,2021-01-02,am,3
S0431,S0176,2021-01-02,am,7
S0435,S0232,2021-01-02,am,4
S0436,S0158,2021-01-02,am,5
S0442,S0414,2021-01-02,am,6
S0451,S0301,2021-01-02,am,2
S0453,S0181,2021-01-02,am,7
S0453,S0397,2021-01-02,am,3
S0459,S0204,2021-01-02,am,3
S0463,S0046,2021-01-02,am,2
S0468,S0409,2021-01-02,am,3
S0471,S0140,2021-01-02,am,3
S0473,S0064,2021-01-02,am,1
S0477,S0119,2021-01-02,am,6
S0478,S0256,2021-01-02,am,4
S0481,S0201,2021-01-02,am,4
S0481,S0216,2021-01-02,am,1
S0483,S0072,2021-01-02,am,1
S0484,S0443,2021-01-02,am,6
S0486,S0383,2021-01-02,am,1
S0489,S0261,2021-01-02,am,3
S0491,S0351,2021-01-02,am,2
S0493,S0079,2021-01-02,am,7
S0493,S0493,2021-01-02,am,7
S0498,S0301,2021-01-02,am,3
S0002,S0233,2021-01-03,am,5
S0005,S0361,2021-01-03,am,7
S0007,S0068,2021-01-03,am,7
S0019,S0090,2021-01-03,am,7
S0019,S0301,2021-01-03,am,1
S0021,S0314,2021-01-03,am,1
S0029,S0284,2021-01-03,am,4
S0034,S0013,2021-01-03,am,2
S0036,S0339,2021-01-03,am,1
S0044,S0327,2021-01-03,am,1
S0044,S0451,2021-01-03,am,7
S0049,S0155,2021-01-03,am,4
S0049,S0241,2021-01-03,am,3
S0052,S0219,2021-01-03,am,5
S0054,S0241,2021-01-03,am,4
S0054,S0497,2021-01-03,am,6
S0060,S0426,2021-01-03,am,3
S0066,S0469,2021-01-03,am,7
S0069,S0433,2021-01-03,am,7
S0070,S0233,2021-01-03,am,6
S0071,S0299,2021-01-03,am,6
S0074,S0206,2021-01-03,am,4
S0086,S0386,2021-01-03,am,1
S0089,S0426,2021-01-03,am,6
S0099,S0082,2021-01-03,am,7
S0100,S0290,2021-01-03,am,7
S0101,S0409,2021-01-03,am,6
S0105,S0254,2021-01-03,am,4
S0108,S0332,2021-01-03,am,3
S0110,S0008,2021-01-03,am,6
S0114,S0033,2021-01-03,am,2
S0118,S0309,2021-01-03,am,6
S0120,S0213,2021-01-03,am,2
S0125,S0304,2021-01-03,am,4
S0131,S0424,2021-01-03,am,5
S0134,S0079,2021-01-03,am,3
S0139,S0234,2021-01-03,am,2
S0145,S0207,2021-01-03,am,3
S0153,S0053,2021-01-03,am,7
S0156,S0297,2021-01-03,am,3
S0159,S0127,2021-01-03,am,7
S0170,S0459,2021-01-03,am,6
S0170,S0461,2021-01-03,am,7
S0171,S0105,2021-01-03,am,6
S0172,S0059,2021-01-03,am,7
S0184,S0372,2021-01-03,am,6
S0189,S0418,2021-01-03,am,7
S0190,S0127,2021-01-03,am,1
S0190,S0196,2021-01-03,am,6
S0193,S0038,2021-01-03,am,6
S0195,S0385,2021-01-03,am,4
S0197,S0197,2021-01-03,am,1
S0201,S0207,2021-01-03,am,5
S0202,S0456,2021-01-03,am,4
S0203,S0457,2021-01-03,am,6
S0210,S0118,2021-01-03,am,1
S0210,S0196,2021-01-03,am,6
S0216,S0249,2021-01-03,am,6
S0231,S0400,2021-01-03,am,2
S0233,S0203,2021-01-03,am,4
S0233,S0212,2021-01-03,am,3
S0233,S0239,2021-01-03,am,1
S0234,S0446,2021-01-03,am,7
S0237,S0467,2021-01-03,am,1
S0242,S0101,2021-01-03,am,2
S0244,S0322,2021-01-03,am,2
S0251,S0336,2021-01-03,am,3
S0253,S0189,2021-01-03,am,3
S0259,S0365,2021-01-03,am,4
S0267,S0486,2021-01-03,am,4
S0272,S0322,2021-01-03,am,2
S0273,S0264,2021-01-03,am,3
S0273,S0306,2021-01-03,am,1
S0278,S0054,2021-01-03,am,7
S0279,S0170,2021-01-03,am,5
S0280,S0188,2021-01-03,am,5
S0281,S0335,2021-01-03,am,2
S0286,S0467,2021-01-03,am,2
S0287,S0135,2021-01-03,am,6
S0287,S0297,2021-01-03,am,7
S0288,S0365,2021-01-03,am,3
S0292,S0005,2021-01-03,am,2
S0292,S0034,2021-01-03,am,7
S0296,S0165,2021-01-03,am,6
S0298,S0110,2021-01-03,am,3
S0300,S0209,2021-01-03,am,2
S0300,S0345,2021-01-03,am,7
S0304,S0452,2021-01-03,am,4
S0310,S0260,2021-01-03,am,2
S0317,S0134,2021-01-03,am,7
S0318,S0140,2021-01-03,am,6
S0320,S0341,2021-01-03,am,3
S0324,S0083,2021-01-03,am,7
S0332,S0314,2021-01-03,am,6
S0333,S0427,2021-01-03,am,4
S0336,S0460,2021-01-03,am,3
S0344,S0449,2021-01-03,am,6
S0349,S0299,2021-01-03,am,5
S0360,S0490,2021-01-03,am,3
S0369,S0138,2021-01-03,am,1
S0371,S0231,2021-01-03,am,4
S0376,S0189,2021-01-03,am,6
S0376,S0263,2021-01-03,am,7
S0392,S0080,2021-01-03,am,4
S0392,S0095,2021-01-03,am,7
S0392,S0392,2021-01-03,am,1
S0396,S0044,2021-01-03,am,1
S0401,S0385,2021-01-03,am,7
S0402,S0046,2021-01-03,am,6
S0405,S0184,2021-01-03,am,2
S0411,S0118,2021-01-03,am,4
S0412,S0456,2021-01-03,am,1
S0422,S0159,2021-01-03,am,3
S0425,S0146,2021-01-03,am,4
S0425,S0182,2021-01-03,am,4
S0425,S0384,2021-01-03,am,6
S0425,S0442,2021-01-03,am,7
S0427,S0045,2021-01-03,am,2
S0431,S0474,2021-01-03,am,6
S0435,S0442,2021-01-03,am,1
S0437,S0395,2021-01-03,am,6
S0437,S0400,2021-01-03,am,5
S0439,S0003,2021-01-03,am,4
S0439,S0009,2021-01-03,am,5
S0446,S0461,2021-01-03,am,1
S0454,S0221,2021-01-03,am,1
S0457,S0105,2021-01-03,am,3
S0457,S0381,2021-01-03,am,4
S0459,S0103,2021-01-03,am,5
S0470,S0012,2021-01-03,am,7
S0470,S0380,2021-01-03,am,5
S0474,S0277,2021-01-03,am,7
S0479,S0191,2021-01-03,am,5
S0483,S0107,2021-01-03,am,6
S0483,S0173,2021-01-03,am,1
S0487,S0287,2021-01-03,am,7
S0490,S0450,2021-01-03,am,5
S0493,S0049,2021-01-03,am,2
S0495,S0003,2021-01-03,am,1
S0496,S0143,2021-01-03,am,7
S0000,S0209,2021-01-04,am,7
S0001,S0212,2021-01-04,am,3
S0005,S0237,2021-01-04,am,1
S0008,S0429,2021-01-04,am,3
S0009,S0055,2021-01-04,am,2
S0012,S0073,2021-01-04,am,3
S0017,S0000,2021-01-04,am,2
S0020,S0151,2021-01-04,am,7
S0021,S0277,2021-01-04,am,6
S0031,S0305,2021-01-04,am,5
S0045,S0060,2021-01-04,am,6
S0049,S0390,2021-01-04,am,1
S0050,S0039,2021-01-04,am,3
S0050,S0415,2021-01-04,am,1
S0051,S0397,2021-01-04,am,2
S0055,S0410,2021-01-04,am,2
S0055,S0466,2021-01-04,am,2
S0057,S0216,2021-01-04,am,1
S0057,S0386,2021-01-04,am,3
S0059,S0121,2021-01-04,am,7
S0059,S0457,2021-01-04,am,7
S0063,S0219,2021-01-04,am,5
S0067,S0300,2021-01-04,am,3
S0068,S0216,2021-01-04,am,6
S0072,S0230,2021-01-04,am,5
S0073,S0120,2021-01-04,am,7
S0080,S0296,2021-01-04,am,7
S0081,S0202,2021-01-04,am,7
S0083,S0339,2021-01-04,am,1
S0084,S0012,2021-01-04,am,3
S0087,S0093,2021-01-04,am,7
S0088,S0172,2021-01-04,am,2
S0092,S0060,2021-01-04,am,4
S0107,S0014,2021-01-04,am,4
S0120,S0306,2021-01-04,am,7
S0129,S0088,2021-01-04,am,3
S0134,S0460,2021-01-04,am,7
S0136,S0079,2021-01-04,am,4
S0138,S0033,2021-01-04,am,5
S0139,S0336,2021-01-04,am,7
S0141,S0373,2021-01-04,am,1
S0143,S0064,2021-01-04,am,1
S0143,S0426,2021-01-04,am,6
S0144,S0083,2021-01-04,am,1
S0144,S0152,2021-01-04,am,7
S0149,S0167,2021-01-04,am,1
S0149,S0197,2021-01-04,am,7
S0150,S0150,2021-01-04,am,4
S0151,S0166,2021-01-04,am,3
S0152,S0323,2021-01-04,am,5
S0153,S0021,2021-01-04,am,5
S0162,S0070,2021-01-04,am,6
S0163,S0495,2021-01-04,am,1
S0166,S0239,2021-01-04,am,7
S0177,S0396,2021-01-04,am,5
S0181,S0186,2021-01-04,am,1
S0191,S0425,2021-01-04,am,4
S0196,S0325,2021-01-04,am,4
S0197,S0258,2021-01-04,am,5
S0208,S0399,2021-01-04,am,7
S0214,S0106,2021-01-04,am,2
S0217,S0368,2021-01-04,am,6
S0224,S0176,2021-01-04,am,5
S0230,S0289,2021-01-04,am,5
S0230,S0447,2021-01-04,am,6
S0239,S0224,2021-01-04,am,3
S0244,S0136,2021-01-04,am,5
S0247,S0134,2021-01-04,am,1
S0248,S0002,2021-01-04,am,5
S0250,S0302,2021-01-04,am,7
S0253,S0460,2021-01-04,am,7
S0255,S0262,2021-01-04,am,1
S0257,S0466,2021-01-04,am,7
S0262,S0441,2021-01-04,am,4
S0272,S0340,2021-01-04,am,7
S0281,S0307,2021-01-04,am,3
S0282,S0407,2021-01-04,am,5
S0283,S0120,2021-01-04,am,6
S0283,S0281,2021-01-04,am,7
S0294,S0472,2021-01-04,am,2
S0297,S0304,2021-01-04,am,1
S0305,S0305,2021-01-04,am,2
S0307,S0283,2021-01-04,am,2
S0308,S0485,2021-01-04,am,3
S0331,S0200,2021-01-04,am,1
S0335,S0165,2021-01-04,am,3
S0338,S0253,2021-01-04,am,1
S0340,S0311,2021-01-04,am,1
S0344,S0481,2021-01-04,am,2
S0348,S0245,2021-01-04,am,1
S0350,S0275,2021-01-04,am,2
S0352,S0379,2021-01-04,am,7
S0357,S0369,2021-01-04,am,5
S0358,S0355,2021-01-04,am,5
S0360,S0416,2021-01-04,am,4
S0367,S0379,2021-01-04,am,1
S0371,S0285,2021-01-04,am,3
S0378,S0345,2021-01-04,am,7
S0381,S0036,2021-01-04,am,2
S0383,S0485,2021-01-04,am,4
S0389,S0433,2021-01-04,am,6
S0393,S0259,2021-01-04,am,4
S0395,S0271,2021-01-04,am,4
S0423,S0026,2021-01-04,am,3
S0430,S0375,2021-01-04,am,4
S0431,S0489,2021-01-04,am,1
S0432,S0199,2021-01-04,am,3
S0434,S0289,2021-01-04,am,3
S0435,S0461,2021-01-04,am,1
S0441,S0398,2021-01-04,am,7
S0451,S0023,2021-01-04,am,1
S0451,S0219,2021-01-04,am,1
S0457,S0203,2021-01-04,am,7
S0461,S0186,2021-01-04,am,2
S0464,S0258,2021-01-04,am,5
S0465,S0089,2021-01-04,am,7
S0465,S0206,2021-01-04,am,4
S0467,S0454,2021-01-04,am,5
S0471,S0476,2021-01-04,am,7
S0473,S0286,2021-01-04,am,6
S0474,S0042,2021-01-04,am,3
S0475,S0459,2021-01-04,am,1
S0478,S0344,2021-01-04,am,3
S0487,S0370,2021-01-04,am,7
S0489,S0478,2021-01-04,am,1
S0492,S0311,2021-01-04,am,3
S0492,S0470,2021-01-04,am,4
S0494,S0308,2021-01-04,am,4
S0495,S0053,2021-01-04,am,3
S0495,S0329,2021-01-04,am,5
S0496,S0115,2021-01-04,am,4
S0003,S0175,2021-01-05,am,1
S0008,S0196,2021-01-05,am,6
S0008,S0300,2021-01-05,am,1
S0011,S0124,2021-01-05,am,6
S0011,S0303,2021-01-05,am,1
S0012,S0371,2021-01-05,am,1
S0028,S0182,2021-01-05,am,5
S0032,S0073,2021-01-05,am,1
S0033,S0115,2021-01-05,am,4
S0033,S0436,2021-01-05,am,1
S0037,S0469,2021-01-05,am,2
S0045,S0045,2021-01-05,am,1
S0052,S0280,2021-01-05,am,2
S0053,S0227,2021-01-05,am,5
S0054,S0484,2021-01-05,am,4
S0055,S0037,2021-01-05,am,7
S0056,S0013,2021-01-05,am,5
S0076,S0337,2021-01-05,am,3
S0077,S0196,2021-01-05,am,1
S0077,S0378,2021-01-05,am,1
S0083,S0458,2021-01-05,am,6
S0084,S0007,2021-01-05,am,4
S0085,S0174,2021-01-05,am,6
S0087,S0225,2021-01-05,am,6
S0097,S0198,2021-01-05,am,5
S0105,S0377,2021-01-05,am,6
S0107,S0254,2021-01-05,am,7
S0112,S0164,2021-01-05,am,3
S0118,S0480,2021-01-05,am,5
S0122,S0340,2021-01-05,am,7
S0124,S0426,2021-01-05,am,6
S0125,S0410,2021-01-05,am,7
S0133,S0281,2021-01-05,am,5
S0142,S0225,2021-01-05,am,4
S0153,S0313,2021-01-05,am,1
S0156,S0240,2021-01-05,am,3
S0168,S0222,2021-01-05,am,2
S0171,S0057,2021-01-05,am,7
S0175,S0075,2021-01-05,am,6
S0182,S0157,2021-01-05,am,3
S0182,S0241,2021-01-05,am,3
S0188,S0173,2021-01-05,am,7
S0191,S0369,2021-01-05,am,1
S0193,S0118,2021-01-05,am,3
S0197,S0195,2021-01-05,am,1
S0199,S0115,2021-01-05,am,6
S0200,S0215,2021-01-05,am,2
S0200,S0306,2021-01-05,am,5
S0215,S0411,2021-01-05,am,6
S0220,S0040,2021-01-05,am,3
S0220,S0119,2021-01-05,am,5
S0224,S0224,2021-01-05,am,2
S0224,S0340,2021-01-05,am,3
S0224,S0462,2021-01-05,am,6
S0224,S0475,2021-01-05,am,5
S0225,S0370,2021-01-05,am,5
S0226,S0037,2021-01-05,am,6
S0234,S0125,2021-01-05,am,2
S0243,S0109,2021-01-05,am,1
S0243,S0246,2021-01-05,am,5
S0244,S0395,2021-01-05,am,6
S0247,S0069,2021-01-05,am,2
S0249,S0358,2021-01-05,am,7
S0251,S0455,2021-01-05,am,2
S0257,S0240,2021-01-05,am,1
S0257,S0435,2021-01-05,am,7
S0264,S0498,2021-01-05,am,6
S0265,S0004,2021-01-05,am,2
S0266,S0064,2021-01-05,am,6
S0267,S0352,2021-01-05,am,1
S0270,S0136,2021-01-05,am,6
S0276,S0090,2021-01-05,am,5
S0277,S0421,2021-01-05,am,2
S0281,S0288,2021-01-05,am,7
S0284,S0311,2021-01-05,am,1
S0286,S0146,2021-01-05,am,2
S0286,S0409,2021-01-05,am,1
S0298,S0009,2021-01-05,am,4
S0304,S0452,2021-01-05,am,7
S0305,S0279,2021-01-05,am,5
S0305,S0410,2021-01-05,am,6
S0308,S0378,2021-01-05,am,7
S0310,S0277,2021-01-05,am,5
S0311,S0088,2021-01-05,am,7
S0311,S0137,2021-01-05,am,2
S0313,S0110,2021-01-05,am,4
S0314,S0392,2021-01-05,am,1
S0318,S0363,2021-01-05,am,7
S0324,S0002,2021-01-05,am,2
S0325,S0031,2021-01-05,am,3
S0326,S0052,2021-01-05,am,6
S0329,S0414,2021-01-05,am,6
S0331,S0448,2021-01-05,am,3
S0333,S0437,2021-01-05,am,6
S0334,S0019,2021-01-05,am,2
S0350,S0020,2021-01-05,am,6
S0354,S0461,2021-01-05,am,7
S0355,S0060,2021-01-05,am,2
S0360,S0256,2021-01-05,am,4
S0360,S0427,2021-01-05,am,7
S0361,S0091,2021-01-05,am,4
S0363,S0323,2021-01-05,am,1
S0372,S0423,2021-01-05,am,4
S0374,S0087,2021-01-05,am,2
S0376,S0282,2021-01-05,am,4
S0381,S0011,2021-01-05,am,1
S0387,S0015,2021-01-05,am,6
S0393,S0075,2021-01-05,am,5
S0393,S0368,2021-01-05,am,6
S0395,S0398,2021-01-05,am,4
S0396,S0272,2021-01-05,am,1
S0401,S0488,2021-01-05,am,5
S0404,S0412,2021-01-05,am,7
S0406,S0275,2021-01-05,am,2
S0408,S0336,2021-01-05,am,3
S0410,S0229,2021-01-05,am,1
S0422,S0127,2021-01-05,am,4
S0422,S0203,2021-01-05,am,4
S0431,S0192,2021-01-05,am,5
S0432,S0301,2021-01-05,am,5
S0435,S0235,2021-01-05,am,7
S0442,S0480,2021-01-05,am,5
S0445,S0246,2021-01-05,am,4
S0445,S0266,2021-01-05,am,1
S0446,S0027,2021-01-05,am,7
S0447,S0140,2021-01-05,am,1
S0447,S0322,2021-01-05,am,6
S0450,S0374,2021-01-05,am,1
S0451,S0420,2021-01-05,am,1
S0451,S0465,2021-01-05,am,3
S0459,S0272,2021-01-05,am,6
S0459,S0299,2021-01-05,am,5
S0460,S0214,2021-01-05,am,2
S0464,S0010,2021-01-05,am,7
S0469,S0194,2021-01-05,am,4
S0469,S0285,2021-01-05,am,4
S0477,S0356,2021-01-05,am,2
S0484,S0112,2021-01-05,am,1
S0485,S0166,2021-01-05,am,1
S0486,S0067,2021-01-05,am,4
S0493,S0014,2021-01-05,am,4
S0494,S0441,2021-01-05,am,1
S0499,S0307,2021-01-05,am,2
S0011,S0263,2021-01-06,am,3
S0018,S0154,2021-01-06,am,2
S0025,S0260,2021-01-06,am,7
S0027,S0381,2021-01-06,am,6
S0032,S0170,2021-01-06,am,1
S0033,S0444,2021-01-06,am,6
S0034,S0387,2021-01-06,am,6
S0036,S0201,2021-01-06,am,4
S0038,S0373,2021-01-06,am,5
S0041,S0206,2021-01-06,am,7
S0044,S0333,2021-01-06,am,2
S0052,S0142,2021-01-06,am,4
S0054,S0069,2021-01-06,am,5
S0055,S0294,2021-01-06,am,4
S0058,S0191,2021-01-06,am,6
S0058,S0445,2021-01-06,am,3
S0060,S0145,2021-01-06,am,3
S0060,S0290,2021-01-06,am,7
S0066,S0314,2021-01-06,am,3
S0069,S0218,2021-01-06,am,5
S0070,S0256,2021-01-06,am,3
S0075,S0381,2021-01-06,am,3
S0076,S0399,2021-01-06,am,5
S0081,S0004,2021-01-06,am,4
S0082,S0278,2021-01-06,am,4
