from,to,ridership
ST042,ST044,47
ST042,ST046,57
ST042,ST078,61
ST042,ST117,67
ST042,ST130,78
ST043,ST044,77
ST043,ST045,54
ST043,ST046,59
ST043,ST047,67
ST044,ST045,72
ST044,ST046,68
ST044,ST047,64
ST044,ST097,52
ST045,ST046,64
ST045,ST047,72
ST045,ST048,58
ST046,ST047,53
ST046,ST048,70
ST046,ST049,71
ST046,ST050,76
ST047,ST048,64
ST047,ST049,55
ST047,ST082,63
ST047,ST089,59
ST047,ST116,48
ST047,ST139,70
ST047,ST148,55
ST048,ST049,60
ST048,ST050,76
ST048,ST051,68
ST048,ST052,48
ST049,ST050,57
ST049,ST051,60
ST049,ST053,67
ST049,ST059,84
ST049,ST064,74
ST049,ST143,61
ST050,ST051,71
ST050,ST052,75
ST050,ST053,67
ST050,ST054,63
ST051,ST052,63
ST051,ST054,63
ST051,ST055,65
ST051,ST090,72
ST052,ST053,67
ST052,ST055,63
ST052,ST056,57
ST052,ST117,72
ST053,ST054,52
ST053,ST057,71
ST053,ST142,68
ST053,ST176,62
ST053,ST179,79
ST054,ST055,46
ST054,ST056,72
ST054,ST057,75
ST054,ST058,53
ST054,ST079,53
ST055,ST056,61
ST055,ST057,71
ST055,ST058,70
ST055,ST059,63
ST055,ST136,63
ST056,ST057,53
ST056,ST058,67
ST056,ST059,63
ST056,ST060,80
ST057,ST058,67
ST057,ST059,57
ST057,ST060,63
ST057,ST061,56
ST058,ST059,67
ST058,ST060,59
ST058,ST061,60
ST058,ST062,57
ST058,ST134,81
ST059,ST061,64
ST059,ST062,47
ST059,ST063,65
ST060,ST061,72
ST060,ST062,59
ST060,ST063,71
ST060,ST064,51
ST061,ST062,65
ST061,ST063,60
ST061,ST064,53
ST061,ST065,68
ST062,ST063,80
ST062,ST064,56
ST062,ST065,56
ST062,ST066,67
ST063,ST064,64
ST063,ST065,60
ST063,ST066,63
ST064,ST065,61
ST064,ST066,81
ST064,ST067,76
ST064,ST068,59
ST064,ST135,72
ST065,ST066,64
ST065,ST067,57
ST065,ST069,70
ST065,ST167,64
ST066,ST068,75
ST066,ST069,66
ST066,ST113,59
ST067,ST068,54
ST067,ST069,72
ST067,ST070,65
ST067,ST071,66
ST067,ST149,55
ST068,ST069,60
ST068,ST070,55
ST068,ST071,83
ST068,ST072,83
ST069,ST070,70
ST069,ST071,66
ST069,ST072,59
ST069,ST073,61
ST070,ST071,54
ST070,ST072,64
ST070,ST073,66
ST070,ST074,71
ST071,ST072,58
ST071,ST073,61
ST071,ST074,61
ST071,ST075,68
ST071,ST100,64
ST072,ST073,66
ST072,ST074,72
ST072,ST075,79
ST073,ST074,73
ST073,ST075,50
ST073,ST076,55
ST073,ST077,68
ST074,ST075,61
ST074,ST076,78
ST074,ST077,70
ST074,ST165,69
ST075,ST076,60
ST075,ST079,69
ST075,ST122,64
ST076,ST077,56
ST076,ST078,76
ST076,ST079,69
ST076,ST080,82
ST077,ST078,76
ST077,ST079,71
ST077,ST080,66
ST077,ST081,65
ST078,ST079,76
ST078,ST080,63
ST078,ST081,61
ST078,ST082,64
ST078,ST165,73
ST079,ST080,65
ST079,ST082,69
ST080,ST081,72
ST080,ST082,75
ST080,ST083,69
ST080,ST172,65
ST081,ST082,62
ST081,ST083,60
ST081,ST084,77
ST081,ST085,66
ST082,ST083,71
ST082,ST084,83
ST082,ST085,59
ST083,ST084,80
ST083,ST085,75
ST083,ST086,64
ST083,ST087,74
ST083,ST111,63
ST084,ST085,56
ST084,ST086,66
ST084,ST087,68
ST084,ST088,59
ST085,ST086,67
ST085,ST087,71
ST085,ST088,64
ST086,ST087,57
ST086,ST088,60
ST086,ST089,67
ST086,ST090,58
ST087,ST088,65
ST087,ST089,75
ST087,ST091,55
ST087,ST096,64
ST088,ST089,55
ST088,ST090,54
ST088,ST091,56
ST088,ST092,55
ST089,ST090,54
ST089,ST091,59
ST089,ST092,69
ST089,ST093,74
ST090,ST091,69
ST090,ST092,63
ST090,ST093,65
ST090,ST094,53
ST091,ST093,64
ST091,ST094,62
ST091,ST095,63
ST091,ST101,57
ST092,ST093,70
ST092,ST094,71
ST092,ST096,53
ST092,ST117,65
ST093,ST095,66
ST093,ST096,48
ST093,ST097,63
ST094,ST095,79
ST094,ST096,73
ST094,ST097,56
ST094,ST098,73
ST094,ST166,77
ST094,ST178,55
ST095,ST096,60
ST095,ST097,73
ST095,ST099,59
ST095,ST115,63
ST096,ST097,60
ST096,ST098,65
ST096,ST099,64
ST096,ST154,65
ST097,ST098,68
ST097,ST099,71
ST097,ST101,57
ST098,ST099,55
ST098,ST100,63
ST098,ST102,64
ST098,ST133,55
ST098,ST153,67
ST099,ST100,80
ST099,ST101,75
ST099,ST102,58
ST099,ST103,60
ST100,ST102,66
ST100,ST104,67
ST100,ST131,58
ST101,ST102,73
ST101,ST103,59
ST101,ST104,71
ST101,ST105,66
ST101,ST121,46
ST101,ST133,59
ST102,ST103,58
ST102,ST104,59
ST102,ST105,61
ST102,ST106,69
ST103,ST104,67
ST103,ST105,76
ST103,ST106,64
ST103,ST107,80
ST104,ST105,67
ST104,ST106,58
ST104,ST107,57
ST104,ST108,58
ST105,ST106,62
ST105,ST107,58
ST105,ST108,57
ST105,ST109,75
ST105,ST178,59
ST106,ST107,68
ST106,ST108,62
ST106,ST110,67
ST107,ST110,54
ST107,ST111,71
ST108,ST109,59
ST108,ST111,61
ST108,ST159,57
ST109,ST110,73
ST109,ST111,65
ST109,ST113,55
ST109,ST166,59
ST110,ST111,50
ST110,ST112,57
ST110,ST113,75
ST110,ST114,62
ST110,ST126,63
ST111,ST112,60
ST111,ST114,62
ST112,ST113,78
ST112,ST114,64
ST112,ST115,66
ST112,ST116,61
ST112,ST164,63
ST112,ST171,67
ST113,ST114,60
ST113,ST115,53
ST113,ST116,70
ST113,ST117,58
ST114,ST115,54
ST114,ST116,71
ST114,ST118,62
ST115,ST116,49
ST115,ST118,66
ST116,ST118,61
ST116,ST119,62
ST116,ST120,59
ST116,ST168,67
ST117,ST118,69
ST117,ST120,57
ST117,ST121,75
ST118,ST119,61
ST118,ST120,53
ST118,ST121,65
ST118,ST122,63
ST119,ST120,75
ST119,ST121,63
ST119,ST122,72
ST119,ST123,60
ST120,ST122,75
ST120,ST123,65
ST120,ST170,69
ST121,ST122,59
ST121,ST124,68
ST121,ST125,64
ST121,ST173,69
ST122,ST123,67
ST122,ST124,58
ST122,ST125,57
ST123,ST124,47
ST123,ST125,91
ST123,ST126,68
ST123,ST163,68
ST124,ST125,65
ST124,ST126,63
ST124,ST127,84
ST124,ST128,70
ST125,ST126,74
ST125,ST127,77
ST125,ST128,80
ST125,ST129,54
ST126,ST127,79
ST126,ST128,74
ST126,ST129,66
ST126,ST130,66
ST127,ST128,72
ST127,ST129,64
ST127,ST130,88
ST127,ST131,57
ST127,ST162,60
ST128,ST129,72
ST128,ST130,86
ST128,ST131,75
ST128,ST132,55
ST129,ST130,66
ST129,ST131,66
ST129,ST132,70
ST129,ST133,64
ST130,ST131,75
ST130,ST132,62
ST130,ST133,52
ST130,ST150,72
ST131,ST133,79
ST131,ST134,43
ST131,ST135,58
ST132,ST134,59
ST132,ST135,56
ST132,ST136,57
ST133,ST135,78
ST133,ST136,68
ST133,ST137,72
ST133,ST165,64
ST134,ST135,58
ST134,ST136,61
ST134,ST137,58
ST135,ST136,62
ST135,ST138,57
ST135,ST139,68
ST136,ST140,80
ST137,ST138,78
ST137,ST139,54
ST137,ST140,65
ST137,ST141,65
ST138,ST139,61
ST138,ST140,63
ST138,ST141,67
ST139,ST140,74
ST139,ST141,77
ST139,ST142,68
ST139,ST143,63
ST140,ST141,73
ST140,ST142,74
ST140,ST143,61
ST141,ST142,68
ST141,ST143,73
ST141,ST144,71
ST141,ST145,58
ST142,ST143,71
ST142,ST144,55
ST142,ST145,68
ST142,ST146,76
ST143,ST144,55
ST143,ST145,56
ST143,ST147,76
ST144,ST145,53
ST144,ST146,70
ST144,ST147,62
ST144,ST148,56
ST145,ST146,72
ST145,ST147,60
ST145,ST148,66
ST145,ST149,51
ST146,ST147,72
ST146,ST148,72
ST146,ST149,73
ST146,ST150,73
ST146,ST167,60
ST147,ST148,82
ST147,ST151,59
ST148,ST149,67
ST148,ST150,61
ST148,ST151,55
ST148,ST152,60
ST149,ST150,68
ST149,ST151,59
ST149,ST152,79
ST149,ST153,68
ST150,ST151,66
ST150,ST152,72
ST150,ST153,52
ST150,ST154,64
ST151,ST152,64
ST151,ST153,63
ST151,ST154,66
ST151,ST155,54
ST152,ST154,72
ST152,ST155,76
ST152,ST156,63
ST153,ST154,65
ST153,ST156,61
ST153,ST157,60
ST153,ST178,71
ST154,ST155,79
ST154,ST156,57
ST154,ST157,82
ST154,ST158,74
ST155,ST156,54
ST155,ST157,57
ST155,ST158,73
ST155,ST159,78
ST156,ST157,69
ST156,ST158,69
ST156,ST159,58
ST156,ST160,86
ST157,ST158,72
ST157,ST159,63
ST157,ST160,59
ST157,ST161,72
ST158,ST159,61
ST158,ST160,74
ST158,ST161,58
ST158,ST162,73
ST159,ST160,71
ST159,ST161,63
ST159,ST162,62
ST160,ST161,62
ST160,ST162,64
ST160,ST163,68
ST160,ST164,63
ST161,ST162,56
ST161,ST163,59
ST161,ST164,71
ST162,ST163,80
ST162,ST164,57
ST163,ST164,62
ST163,ST165,59
ST163,ST167,81
ST164,ST165,66
ST164,ST166,58
ST164,ST167,63
ST164,ST168,56
ST165,ST166,72
ST165,ST167,72
ST165,ST168,78
ST165,ST169,74
ST166,ST167,54
ST166,ST168,60
ST166,ST169,71
ST166,ST170,70
ST167,ST168,68
ST167,ST169,75
ST167,ST170,71
ST167,ST171,71
ST168,ST169,67
ST168,ST170,54
ST168,ST171,65
ST169,ST170,73
ST169,ST171,59
ST169,ST172,69
ST169,ST173,57
ST170,ST171,64
ST170,ST172,62
ST170,ST173,53
ST170,ST174,75
ST171,ST172,60
ST171,ST173,72
ST171,ST174,60
ST171,ST175,61
ST172,ST173,72
ST172,ST174,69
ST172,ST175,70
ST173,ST174,60
ST173,ST175,61
ST173,ST176,81
ST173,ST177,71
ST174,ST175,69
ST174,ST176,75
ST174,ST177,76
ST174,ST178,66
ST175,ST176,55
ST175,ST177,59
ST175,ST178,70
ST175,ST179,71
ST176,ST177,69
ST176,ST178,64
ST176,ST179,68
ST177,ST178,67
ST177,ST179,76
