from_id,to_id,dep_type,coupling_strength
firmware,drv_core,software,3
firmware,sw007,software,3
firmware,sw034,software,3
flightstack,drv_core,software,3
flightstack,firmware,software,5
flightstack,mixer,software,3
flightstack,paramstore,software,3
flightstack,sw022,software,2
flightstack,sw023,software,2
flightstack,sw033,software,3
flightstack,sw039,software,2
frame,bec12v,power,4
frame,gear,mechanical,1
gear,bec5v,power,4
gimbal,bec12v,power,4
gimbal,camera,data,3
gimbal,frame,mechanical,2
gimbal,lidar,data,2
gps,bec5v,power,3
gps,datalink,data,4
gps,drv_gps,data,3
gps,hw003,data,4
gps,hw028,data,3
gps,rtk,data,4
gps,rx,data,5
gyro,bec5v,power,4
gyro,imu_a,data,2
harness,bec12v,power,4
harness,pdb,power,3
hw001,frame,mechanical,3
hw001,hw035,data,2
hw003,datalink,data,3
hw003,gps,data,2
hw003,hw009,data,3
hw003,optflow,data,5
hw003,rtk,data,4
hw003,telem,data,5
hw004,frame,mechanical,1
hw005,ant_rc,data,2
hw005,rx,data,2
hw005,telem,data,1
hw006,gps,data,1
hw006,harness,power,4
hw006,hw061,data,1
hw006,optflow,data,1
hw007,bec5v,power,1
hw008,bec5v,power,4
hw008,harness,power,3
hw008,hw053,data,1
hw009,ant_telem,data,3
hw009,gps,data,5
hw009,hw040,data,3
hw009,hw078,data,3
hw009,rtk,data,5
hw010,bec5v,power,3
hw010,hw052,data,1
hw010,hw063,data,1
hw010,pdb,power,1
hw011,bec12v,power,3
hw011,gps,data,1
hw011,hw028,data,3
hw011,hw057,data,3
hw011,hw066,data,1
hw011,optflow,data,4
hw011,rtk,data,5
hw011,telem,data,3
hw012,gps,data,3
hw012,hw003,data,3
hw012,hw011,data,4
hw012,rtk,data,4
hw012,rx,data,4
hw012,telem,data,3
hw013,bec5v,power,2
hw013,hw066,data,2
hw014,fc,data,3
hw014,hw070,data,3
hw014,hw084,data,2
hw015,bec12v,power,3
hw015,gps,data,3
hw015,hw028,data,1
hw016,gps,data,2
hw016,hw046,data,3
hw018,bec12v,power,3
hw018,esc3,control,2
hw018,hw019,control,2
hw019,frame,mechanical,2
hw019,mount1,mechanical,1
hw020,bec5v,power,2
hw020,telem,data,3
hw021,bec12v,power,4
hw021,hw049,data,1
hw021,hw072,data,3
hw021,sw024,data,1
hw021,telem,data,1
hw022,frame,mechanical,2
hw023,bec5v,power,2
hw023,hw064,data,2
hw025,frame,mechanical,1
hw025,hw002,data,3
hw025,hw088,data,1
hw027,baro,data,1
hw027,fc,data,3
hw027,hw070,data,2
hw028,ant_telem,data,3
hw028,hw009,data,4
hw028,hw015,data,1
hw028,hw040,data,1
hw028,rx,data,3
hw028,telem,data,3
hw029,gps,data,2
hw029,hw040,data,1
hw030,bec12v,power,4
hw030,bec5v,power,2
hw030,hw008,data,2
hw031,esc1,control,1
hw031,frame,mechanical,2
hw032,fc,data,1
hw032,hw085,data,3
hw033,bec5v,power,3
hw033,fc,data,1
hw033,hw039,data,1
hw033,hw082,data,3
hw033,hw085,data,1
hw034,frame,mechanical,2
hw035,frame,mechanical,1
hw036,bec5v,power,2
hw036,hw047,data,3
hw037,gps,data,2
hw037,hw024,data,1
hw037,hw055,data,3
hw037,hw058,data,2
hw038,frame,mechanical,2
hw038,gimbal,data,1
hw039,harness,power,4
hw039,hw083,data,2
hw040,bec12v,power,3
hw040,gps,data,1
hw040,hw015,data,2
hw040,hw078,data,1
hw041,esc1,control,2
hw041,frame,mechanical,2
hw041,hw018,control,1
hw041,hw034,control,3
hw041,hw071,control,2
hw041,mount3,mechanical,2
hw041,sw021,data,2
hw042,rx,data,3
hw042,telem,data,3
hw043,frame,mechanical,1
hw043,hw065,data,2
hw044,frame,mechanical,2
hw044,gear,mechanical,3
hw045,hw007,data,1
hw045,hw051,data,2
hw045,hw063,data,3
hw046,gps,data,3
hw046,hw057,data,1
hw046,hw061,data,1
hw047,bec5v,power,3
hw047,hw089,data,1
hw048,bec12v,power,4
hw050,frame,mechanical,1
hw050,hw069,data,3
hw051,bec5v,power,3
hw051,hw087,data,1
hw051,pdb,power,1
hw052,bec12v,power,3
hw052,bec5v,power,1
hw052,hw010,data,3
hw052,hw030,data,1
hw052,hw076,data,1
hw052,pdb,power,3
hw053,bec5v,power,2
hw053,hw076,data,1
hw055,gps,data,2
hw055,hw046,data,1
hw055,hw078,data,2
hw056,hw020,data,1
hw056,telem,data,3
hw057,gps,data,2
hw057,hw046,data,3
hw058,gps,data,1
hw058,hw040,data,2
hw058,hw061,data,1
hw059,frame,mechanical,1
hw059,hw023,data,1
hw060,datalink,data,3
hw060,hw056,data,2
hw060,telem,data,3
hw061,bec12v,power,2
hw061,gps,data,1
hw061,hw057,data,2
hw061,hw078,data,2
hw062,frame,mechanical,1
hw065,frame,mechanical,2
hw065,hw069,data,3
hw066,gps,data,1
hw066,hw016,data,1
hw066,hw040,data,1
hw066,hw058,data,2
hw067,bec5v,power,4
hw067,frame,mechanical,2
hw068,bec5v,power,2
hw069,frame,mechanical,3
hw069,lidar,data,3
hw070,bec12v,power,4
hw070,fc,data,1
hw070,hw085,data,1
hw071,frame,mechanical,2
hw072,datalink,data,1
hw072,telem,data,2
hw073,frame,mechanical,3
hw074,frame,mechanical,2
hw075,bec12v,power,4
hw075,bec5v,power,1
hw075,hw076,data,1
hw076,bec5v,power,3
hw076,hw063,data,2
hw077,hw048,control,3
hw077,hw090,control,1
hw078,gps,data,3
hw079,frame,mechanical,3
hw080,gps,data,3
hw080,hw003,data,1
hw080,hw046,data,2
hw082,fc,data,1
hw083,fc,data,2
hw083,hw039,data,1
hw084,fc,data,2
hw085,fc,data,2
hw086,frame,mechanical,2
hw086,gear,mechanical,3
hw087,bec5v,power,3
hw087,harness,power,4
hw087,hw008,data,2
hw088,frame,mechanical,2
hw088,gimbal,data,3
hw088,hw050,data,2
hw089,bec12v,power,3
hw090,frame,mechanical,3
hw090,hw081,control,2
hw090,mount2,mechanical,3
hw090,mount3,mechanical,2
imu_a,bec5v,power,4
imu_a,drv_imu,data,3
imu_a,hw083,data,1
imu_b,bec5v,power,4
imu_b,drv_imu,data,3
lidar,bec12v,power,4
mag,bec12v,power,3
mag,bec5v,power,3
mag,drv_core,data,2
mag,hw083,data,1
mixer,controller,software,5
mixer,ekf,software,3
mixer,flightstack,software,2
mixer,paramstore,software,2
mot1,esc1,control,5
mot1,esc4,control,2
mot1,mot4,control,1
mot1,mount1,mechanical,4
mot1,mount3,mechanical,1
mot1,prop1,control,3
mot2,esc2,control,5
mot2,hw018,control,2
mot2,hw081,control,1
mot2,mot1,control,3
mot2,mount2,mechanical,4
mot2,prop2,control,3
mot3,esc3,control,5
mot3,mount3,mechanical,4
mot3,prop3,control,3
mot4,esc4,control,5
mot4,mount4,mechanical,4
mot4,prop1,control,2
mot4,prop4,control,3
mount1,esc3,control,1
mount1,frame,mechanical,3
mount1,hw034,control,2
mount1,hw090,control,1
mount1,mount4,mechanical,3
mount2,esc3,control,2
mount2,frame,mechanical,3
mount2,harness,power,4
mount2,hw041,control,1
mount2,mot1,control,2
mount3,frame,mechanical,3
mount3,hw048,control,2
mount3,prop4,control,2
mount4,frame,mechanical,3
mount4,mot3,control,1
mount4,mount1,mechanical,3
mount4,prop2,control,2
optflow,ant_telem,data,4
optflow,bec5v,power,3
optflow,datalink,data,5
optflow,hw009,data,4
optflow,hw028,data,3
optflow,hw078,data,2
optflow,hw080,data,1
optflow,rtk,data,5
optflow,rx,data,5
paramstore,sw013,software,3
paramstore,sw018,software,2
paramstore,sw020,software,2
pdb,battery,power,5
pdb,harness,power,4
prop1,hw018,control,1
prop2,esc1,control,3
prop2,hw034,control,3
prop3,bec12v,power,3
prop3,mot1,control,2
prop4,bec12v,power,3
prop4,prop1,control,2
rtk,ant_telem,data,5
rtk,bec5v,power,3
rtk,drv_gps,data,3
rtk,gps,data,4
rtk,hw009,data,3
rtk,optflow,data,5
rtk,telem,data,3
rx,ant_rc,data,4
rx,bec5v,power,3
rx,datalink,data,4
rx,hw011,data,5
rx,rtk,data,4
sw001,failsafe,software,1
sw001,firmware,software,1
sw001,sw006,software,2
sw002,firmware,software,3
sw002,sw010,software,3
sw002,sw018,software,2
sw003,drv_core,software,2
sw003,drv_imu,software,3
sw003,sw011,software,1
sw003,sw022,software,1
sw003,sw034,software,2
sw004,drv_core,software,3
sw004,paramstore,software,2
sw004,sw005,software,3
sw004,sw025,software,1
sw005,drv_core,software,2
sw006,controller,software,1
sw006,drv_core,software,5
sw006,hw073,data,3
sw006,sw005,software,1
sw006,sw029,software,2
sw006,sw032,software,2
sw007,drv_core,software,4
sw007,paramstore,software,3
sw007,sw001,software,2
sw007,sw016,software,2
sw007,sw040,software,2
sw007,telemstack,software,3
sw008,controller,software,3
sw008,firmware,software,1
sw008,sw018,software,2
sw008,telemstack,software,1
sw009,drv_core,software,4
sw009,ekf,software,1
sw009,sw008,software,3
sw009,sw024,software,2
sw009,sw031,software,2
sw009,telemstack,software,2
sw010,controller,software,3
sw010,firmware,software,2
sw010,sw007,software,1
sw010,sw026,software,3
sw010,sw027,software,1
sw010,sw029,software,1
sw010,sw033,software,2
sw010,sw035,software,1
sw010,sw036,software,3
sw011,drv_core,software,5
sw011,flightstack,software,3
sw011,sw003,software,3
sw011,sw015,software,1
sw011,sw025,software,2
sw012,sw010,software,1
sw013,drv_core,software,5
sw013,flightstack,software,2
sw013,sw009,software,2
sw013,sw017,software,2
sw013,sw034,software,1
sw014,controller,software,1
sw014,drv_core,software,2
sw014,sw013,software,2
sw014,sw040,software,2
sw015,ekf,software,1
sw015,sw005,software,1
sw015,sw011,software,3
sw015,sw039,software,1
sw016,drv_core,software,4
sw016,paramstore,software,2
sw016,sw017,software,1
sw016,sw034,software,1
sw017,esc2,data,1
sw017,sw024,software,1
sw018,drv_core,software,2
sw018,optflow,data,1
sw018,sw003,software,3
sw018,sw026,software,3
sw018,sw038,software,2
sw019,controller,software,2
sw019,drv_core,software,2
sw019,ekf,software,1
sw019,sw003,software,3
sw019,sw007,software,2
sw019,sw016,software,1
sw019,sw040,software,1
sw020,drv_core,software,4
sw020,sw011,software,2
sw020,sw026,software,2
sw020,sw034,software,3
sw021,drv_core,software,5
sw021,firmware,software,2
sw021,sw025,software,3
sw021,sw033,software,2
sw022,controller,software,1
sw022,firmware,software,3
sw023,drv_core,software,5
sw023,sw022,software,3
sw023,sw025,software,2
sw023,sw031,software,3
sw024,drv_core,software,5
sw024,paramstore,software,2
sw024,sw003,software,2
sw024,sw011,software,1
sw024,sw016,software,1
sw024,sw017,software,3
sw024,sw038,software,1
sw025,drv_core,software,3
sw025,drv_gps,software,3
sw025,ekf,software,1
sw025,sw008,software,2
sw025,sw009,software,1
sw025,sw016,software,2
sw025,sw022,software,2
sw025,sw034,software,3
sw026,controller,software,1
sw026,failsafe,software,2
sw026,sw014,software,1
sw026,sw021,software,2
sw026,sw024,software,3
sw027,controller,software,1
sw027,ekf,software,2
sw027,flightstack,software,3
sw027,sw010,software,3
sw027,sw011,software,3
sw027,sw026,software,1
sw027,sw028,software,1
sw027,sw036,software,1
sw028,drv_core,software,2
sw028,paramstore,software,3
sw028,sw022,software,1
sw028,sw030,software,1
sw029,drv_core,software,5
sw029,sw008,software,1
sw029,sw031,software,1
sw030,controller,software,3
sw030,drv_gps,software,1
sw030,sw006,software,2
sw030,sw008,software,2
sw030,sw040,software,3
sw031,drv_core,software,5
sw031,flightstack,software,1
sw031,sw008,software,2
sw031,sw013,software,3
sw031,sw014,software,3
sw031,sw017,software,2
sw031,sw018,software,2
sw031,sw022,software,3
sw032,drv_core,software,4
sw032,ekf,software,2
sw033,ekf,software,2
sw033,sw012,software,1
sw034,drv_baro,software,3
sw034,ekf,software,3
sw034,mixer,software,2
sw034,sw013,software,3
sw035,drv_core,software,3
sw035,hw014,data,1
sw035,sw012,software,3
sw035,sw024,software,3
sw035,sw031,software,2
sw035,telemstack,software,2
sw036,drv_baro,software,3
sw036,drv_core,software,5
sw036,sw005,software,2
sw036,sw010,software,1
sw036,sw015,software,2
sw036,sw028,software,1
sw037,drv_core,software,3
sw037,paramstore,software,1
sw037,sw016,software,2
sw037,sw030,software,3
sw037,sw039,software,1
sw038,drv_core,software,5
sw038,flightstack,software,3
sw038,paramstore,software,1
sw038,sw001,software,2
sw038,sw008,software,2
sw038,sw016,software,3
sw038,sw023,software,3
sw039,drv_core,software,1
sw039,hw032,data,3
sw039,sw002,software,3
sw039,sw015,software,1
sw040,drv_core,software,4
sw040,flightstack,software,3
sw040,paramstore,software,1
sw040,sw008,software,3
sw040,sw013,software,2
sw040,sw014,software,3
sw040,sw020,software,1
sw040,sw030,software,1
telem,ant_telem,data,4
telem,bec5v,power,3
telem,datalink,data,4
telem,hw011,data,4
telem,rx,data,4
telemstack,ekf,software,3
telemstack,sw001,software,2
telemstack,telem,data,4
