node_id,kind,subsystem,component_type,vendor,criticality,redundant,mass_g,power_draw_w,label
gyro,hardware,flight_control,gyroscope,Aerex,1,0,41.3,1.62,Gyroscope
baro,hardware,flight_control,barometer,SkyLink,4,0,42.2,2.15,Barometer
mag,hardware,flight_control,magnetometer,NaviCore,1,0,23.6,0.54,Compass
gps,hardware,navigation,gps,NaviCore,3,1,28.0,0.55,GPS Receiver
rtk,hardware,navigation,rtk,NaviCore,3,1,38.7,4.55,RTK Module
optflow,hardware,navigation,optical_flow,NaviCore,1,0,16.7,0.76,Optical Flow
rx,hardware,comms,rc_receiver,NaviCore,3,0,86.0,1.2,RC Receiver
telem,hardware,comms,telemetry_radio,NaviCore,1,0,13.7,1.33,Telemetry Radio
ant_rc,hardware,comms,antenna,Voltspan,3,0,25.8,0.91,RC Antenna
ant_telem,hardware,comms,antenna,NaviCore,5,0,20.8,2.64,Telem Antenna
datalink,hardware,comms,datalink,NaviCore,1,0,33.2,2.46,Datalink Unit
camera,hardware,payload,camera,SkyLink,2,0,83.0,1.55,Camera
gimbal,hardware,payload,gimbal,Aerex,5,0,13.0,0.96,Gimbal
lidar,hardware,payload,lidar,Voltspan,2,0,41.8,1.44,Lidar
frame,hardware,airframe,frame,PixHawk,1,0,47.4,1.89,Airframe
gear,hardware,airframe,landing_gear,SkyLink,3,0,65.4,0.83,Landing Gear
firmware,software,software,firmware,Voltspan,3,0,,,Bootloader/Firmware
flightstack,software,software,flight_stack,Voltspan,4,0,,,Flight Stack Scheduler
drv_core,software,software,sensor_driver,Aerex,3,0,,,Sensor Driver Core
drv_imu,software,software,sensor_driver,GimbalWorks,5,0,,,IMU Driver
drv_gps,software,software,sensor_driver,PixHawk,3,1,,,GPS Driver
drv_baro,software,software,sensor_driver,NaviCore,2,0,,,Baro Driver
ekf,software,software,estimator,PixHawk,4,0,,,EKF Estimator
controller,software,software,controller,PixHawk,5,0,,,Attitude Controller
mixer,software,software,motor_mixer,PixHawk,3,0,,,Motor Mixer
failsafe,software,software,failsafe,Voltspan,1,0,,,Failsafe/Geofence
telemstack,software,software,telemetry_stack,Aerex,3,0,,,Telemetry Stack
paramstore,software,software,parameter_store,Aerex,3,0,,,Parameter Store
hw001,hardware,airframe,damper,GimbalWorks,1,0,15.5,0.51,Damper 001
hw002,hardware,payload,camera,NaviCore,4,0,50.7,3.71,Camera 002
hw003,hardware,navigation,ground_marker,NaviCore,5,0,17.2,2.13,Ground_Marker 003
hw004,hardware,airframe,damper,NaviCore,1,1,34.6,2.66,Damper 004
hw005,hardware,comms,amplifier,SkyLink,4,0,28.4,2.27,Amplifier 005
hw006,hardware,navigation,ground_marker,Aerex,1,0,13.6,2.36,Ground_Marker 006
hw007,hardware,power,regulator,Aerex,4,0,7.3,2.45,Regulator 007
hw008,hardware,power,regulator,Voltspan,3,0,69.3,0.21,Regulator 008
hw009,hardware,navigation,antenna,NaviCore,1,0,39.3,2.64,Antenna 009
hw010,hardware,power,fuse,SkyLink,5,0,10.4,0.87,Fuse 010
hw011,hardware,navigation,beacon,NaviCore,1,0,11.3,1.11,Beacon 011
hw012,hardware,comms,filter,NaviCore,3,0,104.5,1.77,Filter 012
hw013,hardware,power,regulator,GimbalWorks,1,0,14.4,5.74,Regulator 013
hw014,hardware,flight_control,switch,Aerex,5,0,36.2,0.62,Switch 014
hw015,hardware,navigation,beacon,PixHawk,4,0,5.7,1.72,Beacon 015
hw016,hardware,navigation,antenna,PixHawk,5,1,21.2,1.4,Antenna 016
hw017,hardware,airframe,cover,NaviCore,3,1,53.1,3.66,Cover 017
hw018,hardware,propulsion,esc,SkyLink,3,1,4.8,1.36,Esc 018
hw019,hardware,propulsion,propeller,Voltspan,4,0,18.5,2.15,Propeller 019
hw020,hardware,comms,connector,GimbalWorks,4,0,17.7,0.62,Connector 020
hw021,hardware,comms,filter,Voltspan,5,0,44.4,4.15,Filter 021
hw022,hardware,payload,camera,PixHawk,1,0,41.7,0.35,Camera 022
hw023,hardware,airframe,standoff,PixHawk,4,0,44.3,2.61,Standoff 023
hw024,hardware,navigation,ground_marker,GimbalWorks,1,0,35.8,2.16,Ground_Marker 024
hw025,hardware,payload,mount,NaviCore,2,0,41.6,2.43,Mount 025
hw026,hardware,power,capacitor,Voltspan,5,0,9.0,0.35,Capacitor 026
hw027,hardware,flight_control,led,Aerex,2,0,36.0,1.34,Led 027
hw028,hardware,navigation,antenna,NaviCore,4,0,77.9,3.53,Antenna 028
hw029,hardware,navigation,antenna,SkyLink,3,0,30.8,6.37,Antenna 029
hw030,hardware,power,regulator,Aerex,2,0,17.8,1.61,Regulator 030
hw031,hardware,propulsion,motor_mount,GimbalWorks,2,0,19.2,3.28,Motor_Mount 031
hw032,hardware,flight_control,switch,PixHawk,3,0,74.1,1.99,Switch 032
hw033,hardware,flight_control,io_expander,Aerex,4,0,1.6,1.68,Io_Expander 033
hw034,hardware,propulsion,fastener,Voltspan,4,0,136.8,1.2,Fastener 034
hw035,hardware,airframe,cover,PixHawk,5,0,3.7,1.78,Cover 035
hw036,hardware,power,capacitor,Voltspan,5,0,23.8,3.05,Capacitor 036
hw037,hardware,navigation,antenna,Aerex,4,0,10.9,3.25,Antenna 037
hw038,hardware,payload,camera,PixHawk,4,0,43.9,0.45,Camera 038
hw039,hardware,flight_control,io_expander,SkyLink,2,0,49.4,1.1,Io_Expander 039
hw040,hardware,navigation,gps,Aerex,3,0,34.2,0.58,Gps 040
hw041,hardware,propulsion,motor,Voltspan,1,0,26.8,1.86,Motor 041
hw042,hardware,comms,filter,Voltspan,2,0,5.1,1.29,Filter 042
hw043,hardware,payload,lens,PixHawk,5,1,21.8,2.36,Lens 043
hw044,hardware,airframe,bracket,SkyLink,3,0,26.1,2.5,Bracket 044
hw045,hardware,power,wiring_harness,SkyLink,1,0,11.0,0.08,Wiring_Harness 045
hw046,hardware,navigation,ground_marker,GimbalWorks,4,0,38.1,1.77,Ground_Marker 046
hw047,hardware,power,connector,SkyLink,5,0,34.3,4.38,Connector 047
hw048,hardware,propulsion,fastener,Voltspan,5,0,23.1,1.1,Fastener 048
hw049,hardware,comms,connector,Aerex,2,1,29.6,1.06,Connector 049
hw050,hardware,payload,cable,PixHawk,3,0,22.7,3.83,Cable 050
hw051,hardware,power,capacitor,GimbalWorks,3,0,5.3,3.37,Capacitor 051
hw052,hardware,power,capacitor,GimbalWorks,2,0,42.7,0.65,Capacitor 052
hw053,hardware,power,regulator,Voltspan,2,0,36.8,3.12,Regulator 053
hw054,hardware,power,regulator,Voltspan,2,0,8.6,0.82,Regulator 054
hw055,hardware,navigation,gps,Aerex,5,0,38.9,1.05,Gps 055
hw056,hardware,comms,filter,Aerex,4,0,39.9,0.65,Filter 056
hw057,hardware,navigation,beacon,PixHawk,5,0,39.9,0.45,Beacon 057
hw058,hardware,navigation,gps,PixHawk,5,1,53.3,1.95,Gps 058
hw059,hardware,airframe,arm,NaviCore,5,0,69.5,0.37,Arm 059
hw060,hardware,comms,amplifier,Voltspan,1,0,21.0,2.02,Amplifier 060
hw061,hardware,navigation,gps,SkyLink,5,0,52.4,1.97,Gps 061
hw062,hardware,payload,camera,NaviCore,1,0,20.6,1.54,Camera 062
hw063,hardware,power,fuse,SkyLink,3,1,37.9,1.15,Fuse 063
hw064,hardware,airframe,damper,GimbalWorks,3,0,58.0,0.94,Damper 064
hw065,hardware,payload,lens,Voltspan,2,0,14.6,0.56,Lens 065
hw066,hardware,navigation,gps,Voltspan,1,0,1.9,5.16,Gps 066
hw067,hardware,airframe,cover,GimbalWorks,1,1,13.4,1.48,Cover 067
hw068,hardware,power,connector,PixHawk,5,0,64.0,1.44,Connector 068
hw069,hardware,payload,cable,Voltspan,2,1,11.9,0.69,Cable 069
hw070,hardware,flight_control,led,PixHawk,2,0,61.6,4.77,Led 070
hw071,hardware,propulsion,fastener,PixHawk,5,0,13.4,1.0,Fastener 071
hw072,hardware,comms,antenna,GimbalWorks,1,0,25.1,2.19,Antenna 072
hw073,hardware,propulsion,propeller,Voltspan,5,0,29.7,2.55,Propeller 073
hw074,hardware,airframe,bracket,GimbalWorks,5,0,11.8,1.95,Bracket 074
hw075,hardware,power,capacitor,GimbalWorks,3,0,25.4,0.36,Capacitor 075
hw076,hardware,power,connector,Voltspan,1,1,6.4,3.01,Connector 076
hw077,hardware,propulsion,fastener,Aerex,1,1,22.6,0.99,Fastener 077
hw078,hardware,navigation,gps,PixHawk,2,1,27.8,3.34,Gps 078
hw079,hardware,airframe,cover,Aerex,3,0,2.1,1.67,Cover 079
hw080,hardware,navigation,ground_marker,Voltspan,1,0,13.3,2.67,Ground_Marker 080
hw081,hardware,propulsion,motor_mount,NaviCore,3,0,37.1,4.54,Motor_Mount 081
hw082,hardware,flight_control,led,GimbalWorks,1,0,10.5,2.93,Led 082
hw083,hardware,flight_control,switch,GimbalWorks,3,1,41.7,2.72,Switch 083
hw084,hardware,flight_control,buzzer,Aerex,1,0,44.6,3.12,Buzzer 084
hw085,hardware,flight_control,buzzer,GimbalWorks,4,0,36.9,0.79,Buzzer 085
hw086,hardware,airframe,arm,Aerex,1,0,51.9,3.45,Arm 086
hw087,hardware,power,regulator,SkyLink,1,0,5.9,1.38,Regulator 087
hw088,hardware,payload,camera,GimbalWorks,1,0,59.8,1.42,Camera 088
hw089,hardware,power,capacitor,GimbalWorks,5,1,12.0,1.9,Capacitor 089
hw090,hardware,propulsion,motor,Voltspan,1,0,32.4,1.26,Motor 090
sw001,software,software,watchdog,GimbalWorks,3,0,,,Watchdog 001
sw002,software,software,interface,Aerex,3,0,,,Interface 002
sw003,software,software,logger,PixHawk,3,0,,,Logger 003
sw004,software,software,sensor_driver,NaviCore,4,0,,,Sensor_Driver 004
sw005,software,software,logger,Voltspan,5,0,,,Logger 005
sw006,software,software,logger,Aerex,2,0,,,Logger 006
sw007,software,software,interface,SkyLink,5,0,,,Interface 007
sw008,software,software,library,NaviCore,2,0,,,Library 008
sw009,software,software,interface,PixHawk,5,0,,,Interface 009
sw010,software,software,library,NaviCore,3,0,,,Library 010
sw011,software,software,sensor_driver,NaviCore,4,0,,,Sensor_Driver 011
sw012,software,software,sensor_driver,GimbalWorks,5,0,,,Sensor_Driver 012
sw013,software,software,sensor_driver,Aerex,4,1,,,Sensor_Driver 013
sw014,software,software,library,SkyLink,5,0,,,Library 014
sw015,software,software,watchdog,SkyLink,3,1,,,Watchdog 015
sw016,software,software,calibration,NaviCore,1,0,,,Calibration 016
sw017,software,software,library,Voltspan,3,0,,,Library 017
sw018,software,software,calibration,Aerex,1,0,,,Calibration 018
sw019,software,software,library,GimbalWorks,5,1,,,Library 019
sw020,software,software,watchdog,GimbalWorks,2,0,,,Watchdog 020
sw021,software,software,library,Voltspan,2,0,,,Library 021
sw022,software,software,watchdog,Aerex,2,0,,,Watchdog 022
sw023,software,software,logger,Aerex,4,0,,,Logger 023
sw024,software,software,sensor_driver,Aerex,3,0,,,Sensor_Driver 024
sw025,software,software,logger,SkyLink,5,0,,,Logger 025
sw026,software,software,interface,GimbalWorks,3,0,,,Interface 026
sw027,software,software,service,Aerex,2,0,,,Service 027
sw028,software,software,watchdog,SkyLink,1,0,,,Watchdog 028
sw029,software,software,interface,Voltspan,1,0,,,Interface 029
sw030,software,software,service,NaviCore,2,0,,,Service 030
sw031,software,software,interface,PixHawk,5,0,,,Interface 031
sw032,software,software,service,SkyLink,3,0,,,Service 032
sw033,software,software,service,GimbalWorks,5,0,,,Service 033
sw034,software,software,logger,Aerex,1,0,,,Logger 034
sw035,software,software,service,Voltspan,1,0,,,Service 035
sw036,software,software,interface,Voltspan,5,0,,,Interface 036
sw037,software,software,calibration,Voltspan,1,1,,,Calibration 037
sw038,software,software,calibration,GimbalWorks,1,0,,,Calibration 038
sw039,software,software,logger,SkyLink,3,0,,,Logger 039
sw040,software,software,watchdog,Voltspan,5,0,,,Watchdog 040
