from_id,to_id,day,packages,on_time_rate,distance_km,service
H03,S15,5,1501,,16.57,line_haul
H03,S15,6,2614,,16.57,line_haul
H03,S15,7,971,,16.57,line_haul
H03,S16,1,853,,20.7,line_haul
H03,S16,2,842,,20.7,line_haul
H03,S16,3,831,,20.7,line_haul
H03,S16,4,870,,20.7,line_haul
H03,S16,5,916,,20.7,line_haul
H03,S16,6,1708,,20.7,line_haul
H03,S16,7,605,,20.7,line_haul
H04,S18,1,1000,,12.4,line_haul
H04,S18,2,946,,12.4,line_haul
H04,S18,3,902,,12.4,line_haul
H04,S18,4,939,,12.4,line_haul
H04,S18,5,953,,12.4,line_haul
H04,S18,6,1812,,12.4,line_haul
H04,S18,7,635,,12.4,line_haul
H01,S19,1,513,,29.53,line_haul
H01,S19,2,477,,29.53,line_haul
H01,S19,3,480,,29.53,line_haul
H01,S19,4,469,,29.53,line_haul
H01,S19,5,490,,29.53,line_haul
H01,S19,6,916,,29.53,line_haul
H01,S19,7,325,,29.53,line_haul
H01,S21,1,4994,,55.02,line_haul
H01,S21,2,4753,,55.02,line_haul
H01,S21,3,4817,,55.02,line_haul
H01,S21,4,4750,,55.02,line_haul
H01,S21,5,5145,,55.02,line_haul
H01,S21,6,9419,,55.02,line_haul
H01,S21,7,3359,,55.02,line_haul
H02,S22,1,1426,,1.12,line_haul
H02,S22,2,1396,,1.12,line_haul
H02,S22,3,1340,,1.12,line_haul
H02,S22,4,1365,,1.12,line_haul
H02,S22,5,1505,,1.12,line_haul
H02,S22,6,2846,,1.12,line_haul
H02,S22,7,902,,1.12,line_haul
H04,S23,1,913,,4.72,line_haul
H04,S23,2,866,,4.72,line_haul
H04,S23,3,851,,4.72,line_haul
H04,S23,4,852,,4.72,line_haul
H04,S23,5,962,,4.72,line_haul
H04,S23,6,1657,,4.72,line_haul
H04,S23,7,599,,4.72,line_haul
H01,S24,1,3309,,22.64,line_haul
H01,S24,2,3225,,22.64,line_haul
H01,S24,3,3279,,22.64,line_haul
H01,S24,4,3270,,22.64,line_haul
H01,S24,5,3647,,22.64,line_haul
H01,S24,6,6571,,22.64,line_haul
H01,S24,7,2350,,22.64,line_haul
S14,Z001,1,252,0.865,7.59,standard
S08,Z002,1,131,0.724,9.29,standard
S14,Z003,1,76,0.933,20.23,same_day
S15,Z004,1,249,0.951,3.64,standard
S02,Z005,1,46,0.928,6.55,standard
S08,Z006,1,202,0.745,18.06,standard
S08,Z007,1,46,0.749,7.75,standard
S21,Z008,1,120,0.894,18.89,same_day
S08,Z009,1,185,0.736,21.45,standard
S14,Z010,1,368,0.906,2.12,same_day
S10,Z011,1,147,0.931,4.35,standard
S19,Z012,1,87,0.899,7.72,standard
S15,Z013,1,128,0.95,4.72,same_day
S09,Z014,1,316,0.869,9.74,standard
S01,Z015,1,235,0.91,24.92,standard
S18,Z016,1,77,0.877,11.93,standard
S01,Z017,1,194,0.967,13.08,same_day
S18,Z018,1,90,0.876,5.48,standard
S03,Z019,1,72,0.881,1.6,standard
S10,Z020,1,302,0.893,22.97,same_day
S13,Z021,1,199,0.858,2.23,standard
S15,Z022,1,96,0.903,8.1,same_day
S10,Z023,1,211,0.917,17.3,standard
S18,Z024,1,192,0.887,6.14,standard
S24,Z025,1,45,0.944,6.51,standard
S23,Z026,1,144,0.892,12.94,standard
S14,Z027,1,92,0.93,9.3,standard
S14,Z028,1,151,0.962,11.37,same_day
S21,Z029,1,324,0.869,11.98,standard
S10,Z030,1,271,0.929,10.36,standard
S01,Z031,1,76,0.898,19.53,same_day
S08,Z032,1,246,0.762,18.78,standard
S08,Z033,1,148,0.715,23.2,standard
S08,Z034,1,202,0.72,29.77,standard
S08,Z035,1,175,0.72,13.14,standard
S24,Z036,1,127,0.917,6.75,same_day
S05,Z037,1,199,0.841,13.54,standard
S03,Z038,1,275,0.937,2.47,same_day
S12,Z039,1,237,0.871,12.4,standard
S09,Z040,1,113,0.894,6.72,standard
S07,Z041,1,132,0.862,9.55,standard
S14,Z042,1,103,0.912,7.24,standard
S10,Z043,1,136,0.901,7.26,same_day
S15,Z044,1,110,0.972,2.5,same_day
S23,Z045,1,58,0.907,4.07,standard
S10,Z046,1,324,0.9,23.76,standard
S21,Z047,1,53,0.883,1.73,standard
S08,Z048,1,212,0.75,21.96,standard
S18,Z049,1,29,0.873,4.12,standard
S01,Z050,1,298,0.92,8.62,standard
S14,Z051,1,118,0.859,11.64,standard
S01,Z052,1,215,0.893,12.41,standard
S21,Z053,1,123,0.909,5.97,standard
S01,Z054,1,196,0.876,10.79,standard
S18,Z055,1,122,0.827,8.65,standard
S07,Z056,1,192,0.903,4.63,standard
S08,Z057,1,163,0.766,22.39,standard
S22,Z058,1,205,0.864,1.72,standard
S09,Z059,1,275,0.854,8.69,standard
S08,Z060,1,179,0.79,3.37,standard
S08,Z061,1,129,0.735,16.82,standard
S10,Z062,1,103,0.995,16.11,same_day
S21,Z063,1,148,0.877,13.02,same_day
S02,Z064,1,91,0.908,8.04,standard
S12,Z065,1,76,0.891,14.76,standard
S11,Z066,1,343,0.909,6.9,standard
S08,Z067,1,41,0.749,23.64,standard
S21,Z068,1,227,0.895,24.91,standard
S10,Z069,1,364,0.937,5.26,same_day
S14,Z070,1,395,0.913,4.79,same_day
S22,Z071,1,70,0.85,8.35,standard
S10,Z072,1,89,0.919,12.58,same_day
S23,Z073,1,127,0.886,3.03,standard
S21,Z074,1,186,0.896,10.75,standard
S08,Z075,1,249,0.701,22.24,standard
S12,Z076,1,94,0.915,10.2,standard
S11,Z077,1,77,0.871,6.05,standard
S01,Z078,1,123,0.927,9.49,same_day
S14,Z079,1,309,0.869,14.55,standard
S08,Z080,1,32,0.74,15.01,standard
S14,Z081,1,158,0.91,5.83,standard
S05,Z082,1,42,0.805,15.55,standard
S07,Z083,1,49,0.833,4.53,standard
S16,Z084,1,283,0.905,2.53,standard
S21,Z085,1,41,0.889,19.66,standard
S18,Z086,1,117,0.886,3.41,standard
S14,Z087,1,378,0.883,7.58,same_day
S02,Z088,1,200,0.891,7.27,standard
S08,Z089,1,52,0.774,21.46,standard
S12,Z090,1,171,0.88,4.73,standard
S02,Z091,1,264,0.895,7.22,standard
S03,Z092,1,126,0.876,0.74,standard
S10,Z093,1,191,0.948,8.49,standard
S08,Z094,1,185,0.731,12.32,standard
S10,Z095,1,274,0.943,12.7,same_day
S10,Z096,1,125,0.937,14.9,same_day
S21,Z097,1,279,0.892,10.68,standard
S08,Z098,1,236,0.696,16.25,standard
S21,Z099,1,89,0.894,10.03,standard
S21,Z100,1,290,0.867,10.78,standard
S21,Z101,1,333,0.896,18.96,standard
S10,Z102,1,190,0.901,13.88,standard
S08,Z103,1,100,0.765,16.41,standard
S12,Z104,1,162,0.871,11.13,standard
S07,Z105,1,250,0.85,4.38,standard
S21,Z106,1,97,0.914,20.2,same_day
S12,Z107,1,284,0.899,15.41,same_day
S08,Z108,1,269,0.699,23.58,standard
S14,Z109,1,289,0.893,14.17,standard
S04,Z110,1,117,0.851,2.34,standard
S08,Z111,1,167,0.749,17.28,standard
S08,Z112,1,44,0.723,19.36,standard
S07,Z113,1,317,0.893,8.44,standard
S07,Z114,1,112,0.854,6.86,standard
S22,Z115,1,43,0.84,1.98,standard
S08,Z116,1,206,0.74,8.55,standard
S24,Z117,1,206,0.878,7.85,standard
S08,Z118,1,239,0.742,23.46,standard
S24,Z119,1,42,0.878,9.9,standard
S21,Z120,1,222,0.874,8.17,standard
S08,Z121,1,179,0.763,30.0,standard
S12,Z122,1,269,0.922,10.06,standard
S19,Z123,1,279,0.897,3.33,standard
S15,Z124,1,63,0.871,11.65,standard
S01,Z125,1,80,0.883,9.75,standard
S08,Z126,1,241,0.758,27.43,standard
S24,Z127,1,266,0.952,12.35,same_day
S05,Z128,1,170,0.834,5.72,standard
S05,Z129,1,92,0.818,7.77,standard
S08,Z130,1,192,0.743,12.01,standard
S08,Z131,1,191,0.815,2.49,standard
S11,Z132,1,26,0.912,5.87,standard
S10,Z133,1,243,0.961,6.83,same_day
S10,Z134,1,355,0.907,10.07,standard
S10,Z135,1,137,0.933,26.15,same_day
S01,Z136,1,103,0.889,23.17,standard
S05,Z137,1,265,0.886,2.3,standard
S18,Z138,1,64,0.873,2.39,standard
S08,Z139,1,132,0.755,17.78,standard
S08,Z140,1,171,0.746,18.59,standard
S08,Z141,1,205,0.778,13.03,standard
S24,Z142,1,76,0.871,9.22,standard
S24,Z143,1,149,0.911,3.54,standard
S18,Z144,1,90,0.865,3.88,standard
S24,Z145,1,264,0.905,4.29,standard
S08,Z146,1,145,0.746,18.83,standard
S21,Z147,1,196,0.919,10.53,standard
S08,Z148,1,138,0.754,19.3,standard
S22,Z149,1,76,0.912,2.52,standard
S01,Z150,1,368,0.916,4.69,same_day
S08,Z151,1,203,0.731,4.22,standard
S19,Z152,1,147,0.92,3.14,standard
S21,Z153,1,147,0.889,10.47,standard
S08,Z154,1,189,0.685,25.41,standard
S16,Z155,1,325,0.919,8.29,same_day
S02,Z156,1,216,0.919,14.81,same_day
S08,Z157,1,85,0.754,23.03,standard
S01,Z158,1,225,0.936,9.25,standard
S11,Z159,1,281,0.934,2.75,same_day
S10,Z160,1,254,0.925,17.88,standard
S08,Z161,1,51,0.756,13.81,standard
S02,Z162,1,141,0.861,10.1,standard
S14,Z163,1,269,0.9,14.08,same_day
S08,Z164,1,251,0.769,9.23,standard
S24,Z165,1,150,0.886,10.77,standard
S01,Z166,1,153,0.896,7.98,standard
S08,Z167,1,151,0.741,10.68,standard
S07,Z168,1,87,0.907,6.99,standard
S01,Z169,1,85,0.903,9.94,same_day
S01,Z170,1,254,0.902,27.02,same_day
S22,Z171,1,344,0.868,8.33,standard
S10,Z172,1,367,0.936,22.71,same_day
S21,Z173,1,257,0.895,24.53,standard
S10,Z174,1,35,0.931,10.89,standard
S01,Z175,1,303,0.938,16.87,standard
S08,Z176,1,97,0.709,19.01,standard
S21,Z177,1,104,0.891,20.21,standard
S02,Z178,1,246,0.9,2.34,standard
S01,Z179,1,283,0.939,13.43,standard
S10,Z180,1,300,0.891,17.05,same_day
S07,Z181,1,109,0.886,7.36,standard
S02,Z182,1,381,0.893,7.51,standard
S21,Z183,1,207,0.915,21.5,same_day
S14,Z184,1,224,0.93,4.46,same_day
S22,Z185,1,209,0.91,2.03,standard
S08,Z186,1,193,0.695,11.03,standard
S08,Z187,1,82,0.725,3.23,standard
S15,Z188,1,131,0.923,5.35,standard
S05,Z189,1,114,0.836,16.69,standard
S10,Z190,1,388,0.936,12.85,same_day
S10,Z191,1,266,0.945,23.74,same_day
S08,Z192,1,102,0.749,5.96,standard
S21,Z193,1,211,0.903,16.89,standard
S08,Z194,1,197,0.683,29.46,standard
S05,Z195,1,143,0.872,1.88,standard
S08,Z196,1,118,0.736,17.58,standard
S08,Z197,1,220,0.695,18.88,standard
S02,Z198,1,228,0.898,9.39,standard
S11,Z199,1,86,0.924,6.64,standard
S14,Z200,1,262,0.922,3.19,same_day
S24,Z201,1,225,0.915,9.51,standard
S21,Z202,1,186,0.873,12.16,standard
S12,Z203,1,280,0.924,9.2,standard
S24,Z204,1,292,0.897,5.43,standard
S08,Z205,1,123,0.739,19.77,standard
S03,Z206,1,149,0.856,4.92,standard
S08,Z207,1,80,0.785,16.78,standard
S14,Z208,1,202,0.894,12.95,standard
S13,Z209,1,115,0.854,0.48,standard
S24,Z210,1,86,0.869,9.86,standard
S22,Z211,1,260,0.895,5.06,standard
S08,Z212,1,157,0.749,12.05,standard
S05,Z213,1,134,0.875,6.28,standard
S24,Z214,1,176,0.904,6.44,same_day
S24,Z215,1,76,0.862,10.22,standard
S11,Z216,1,69,0.882,3.43,standard
S08,Z217,1,265,0.744,29.39,standard
S16,Z218,1,50,0.885,6.92,standard
S01,Z219,1,189,0.911,7.52,same_day
S09,Z220,1,170,0.859,3.22,standard
S10,Z221,1,81,0.917,19.1,same_day
S14,Z222,1,242,0.902,20.41,standard
S03,Z223,1,320,0.895,12.68,same_day
S15,Z224,1,262,0.946,9.71,same_day
S10,Z225,1,147,0.938,21.43,same_day
S08,Z226,1,33,0.741,16.32,standard
S10,Z227,1,285,0.938,6.57,standard
S14,Z228,1,177,0.959,11.04,same_day
S07,Z229,1,290,0.868,13.13,standard
S08,Z230,1,82,0.769,7.96,standard
S23,Z231,1,86,0.888,4.26,standard
S24,Z232,1,398,0.955,9.82,same_day
S21,Z233,1,347,0.911,24.03,standard
S08,Z234,1,258,0.741,21.03,standard
S10,Z235,1,282,0.933,15.58,same_day
S08,Z236,1,84,0.708,36.71,standard
S11,Z237,1,248,0.882,12.39,standard
S14,Z238,1,326,0.935,3.53,same_day
S09,Z239,1,99,0.883,7.02,standard
S08,Z240,1,68,0.739,18.78,standard
S09,Z241,1,325,0.878,5.51,standard
S01,Z242,1,106,0.917,18.37,standard
S21,Z243,1,225,0.891,23.01,standard
S12,Z244,1,82,0.865,10.66,standard
S08,Z245,1,116,0.775,28.29,standard
S21,Z246,1,143,0.922,21.34,standard
S05,Z247,1,74,0.83,4.71,standard
S23,Z248,1,223,0.887,8.08,standard
S08,Z249,1,295,0.742,15.08,standard
S24,Z250,1,322,0.862,8.91,standard
S01,Z251,1,341,0.936,5.41,same_day
S16,Z252,1,75,0.917,4.48,standard
S08,Z253,1,257,0.713,26.77,standard
S05,Z254,1,115,0.846,10.7,standard
S08,Z255,1,155,0.741,13.73,standard
S24,Z256,1,261,0.89,4.23,standard
S14,Z257,1,247,0.91,9.08,standard
S05,Z258,1,295,0.874,11.08,standard
S14,Z259,1,196,0.918,12.57,standard
S21,Z260,1,168,0.853,4.48,standard
S08,Z261,1,163,0.694,25.62,standard
S15,Z262,1,99,0.912,6.85,standard
S14,Z263,1,135,0.903,23.04,same_day
S22,Z264,1,219,0.859,5.14,standard
S05,Z265,1,47,0.824,16.83,standard
S16,Z266,1,120,0.897,4.59,standard
S18,Z267,1,219,0.889,10.55,standard
S07,Z268,1,293,0.821,7.38,standard
S08,Z269,1,59,0.727,14.47,standard
S08,Z270,1,145,0.743,19.41,standard
S24,Z271,1,148,0.873,11.6,standard
S07,Z272,1,257,0.901,12.48,standard
S15,Z273,1,175,0.909,7.9,standard
S08,Z274,1,28,0.724,10.92,standard
S21,Z275,1,201,0.862,9.65,standard
S08,Z276,1,119,0.74,23.93,standard
S08,Z277,1,159,0.661,30.22,standard
S08,Z278,1,225,0.703,26.46,standard
S08,Z279,1,209,0.735,13.22,standard
S02,Z280,1,260,0.902,6.74,standard
S07,Z281,1,132,0.923,2.81,standard
S14,Z282,1,173,0.91,15.06,standard
S21,Z283,1,70,0.877,16.98,standard
S23,Z284,1,275,0.934,3.64,standard
S11,Z285,1,273,0.855,6.92,standard
S14,Z001,2,228,0.895,7.59,standard
S08,Z002,2,150,0.752,9.29,standard
S14,Z003,2,84,0.925,20.23,same_day
S15,Z004,2,287,0.916,3.64,standard
S02,Z005,2,37,0.955,6.55,standard
S08,Z006,2,201,0.768,18.06,standard
S08,Z007,2,30,0.708,7.75,standard
S21,Z008,2,106,0.915,18.89,same_day
S08,Z009,2,171,0.744,21.45,standard
S14,Z010,2,319,0.93,2.12,same_day
S10,Z011,2,142,0.937,4.35,standard
S19,Z012,2,54,0.892,7.72,standard
S15,Z013,2,118,0.937,4.72,same_day
S09,Z014,2,350,0.828,9.74,standard
S01,Z015,2,225,0.906,24.92,standard
S18,Z016,2,83,0.867,11.93,standard
S01,Z017,2,186,0.999,13.08,same_day
S18,Z018,2,87,0.865,5.48,standard
S03,Z019,2,59,0.857,1.6,standard
S10,Z020,2,309,0.885,22.97,same_day
S13,Z021,2,163,0.88,2.23,standard
S15,Z022,2,108,0.918,8.1,same_day
S10,Z023,2,234,0.917,17.3,standard
S18,Z024,2,194,0.897,6.14,standard
S24,Z025,2,48,0.881,6.51,standard
S23,Z026,2,128,0.863,12.94,standard
S14,Z027,2,88,0.923,9.3,standard
S14,Z028,2,131,0.965,11.37,same_day
S21,Z029,2,326,0.887,11.98,standard
S10,Z030,2,276,0.928,10.36,standard
S01,Z031,2,84,0.927,19.53,same_day
S08,Z032,2,235,0.761,18.78,standard
S08,Z033,2,123,0.684,23.2,standard
S08,Z034,2,198,0.742,29.77,standard
S08,Z035,2,171,0.738,13.14,standard
S24,Z036,2,160,0.914,6.75,same_day
S05,Z037,2,172,0.844,13.54,standard
S03,Z038,2,228,0.902,2.47,same_day
S12,Z039,2,219,0.859,12.4,standard
S09,Z040,2,106,0.881,6.72,standard
S07,Z041,2,136,0.867,9.55,standard
S14,Z042,2,104,0.908,7.24,standard
S10,Z043,2,157,0.921,7.26,same_day
S15,Z044,2,83,0.98,2.5,same_day
S23,Z045,2,36,0.889,4.07,standard
S10,Z046,2,355,0.9,23.76,standard
S21,Z047,2,44,0.868,1.73,standard
S08,Z048,2,186,0.725,21.96,standard
S18,Z049,2,25,0.863,4.12,standard
S01,Z050,2,266,0.945,8.62,standard
S14,Z051,2,108,0.869,11.64,standard
S01,Z052,2,212,0.902,12.41,standard
S21,Z053,2,129,0.916,5.97,standard
S01,Z054,2,191,0.907,10.79,standard
S18,Z055,2,108,0.846,8.65,standard
S07,Z056,2,190,0.889,4.63,standard
S08,Z057,2,199,0.775,22.39,standard
S22,Z058,2,163,0.902,1.72,standard
S09,Z059,2,264,0.849,8.69,standard
S08,Z060,2,166,0.776,3.37,standard
S08,Z061,2,121,0.748,16.82,standard
S10,Z062,2,102,0.971,16.11,same_day
S21,Z063,2,155,0.893,13.02,same_day
S02,Z064,2,61,0.916,8.04,standard
S12,Z065,2,85,0.903,14.76,standard
S11,Z066,2,341,0.928,6.9,standard
S08,Z067,2,35,0.759,23.64,standard
S21,Z068,2,184,0.908,24.91,standard
S10,Z069,2,335,0.929,5.26,same_day
S14,Z070,2,385,0.935,4.79,same_day
S22,Z071,2,92,0.876,8.35,standard
S10,Z072,2,90,0.949,12.58,same_day
S23,Z073,2,138,0.905,3.03,standard
S21,Z074,2,192,0.898,10.75,standard
S08,Z075,2,236,0.714,22.24,standard
S12,Z076,2,98,0.901,10.2,standard
S11,Z077,2,88,0.917,6.05,standard
S01,Z078,2,124,0.948,9.49,same_day
S14,Z079,2,290,0.924,14.55,standard
S08,Z080,2,19,0.737,15.01,standard
S14,Z081,2,158,0.894,5.83,standard
S05,Z082,2,45,0.827,15.55,standard
S07,Z083,2,51,0.853,4.53,standard
S16,Z084,2,290,0.913,2.53,standard
S21,Z085,2,42,0.898,19.66,standard
S18,Z086,2,125,0.929,3.41,standard
S14,Z087,2,361,0.886,7.58,same_day
S02,Z088,2,193,0.886,7.27,standard
S08,Z089,2,48,0.749,21.46,standard
S12,Z090,2,157,0.918,4.73,standard
S02,Z091,2,252,0.864,7.22,standard
S03,Z092,2,143,0.854,0.74,standard
S10,Z093,2,199,0.923,8.49,standard
S08,Z094,2,164,0.72,12.32,standard
S10,Z095,2,260,0.924,12.7,same_day
S10,Z096,2,119,0.917,14.9,same_day
S21,Z097,2,299,0.886,10.68,standard
S08,Z098,2,212,0.729,16.25,standard
S21,Z099,2,75,0.888,10.03,standard
S21,Z100,2,304,0.891,10.78,standard
S21,Z101,2,291,0.874,18.96,standard
S10,Z102,2,199,0.892,13.88,standard
S08,Z103,2,103,0.752,16.41,standard
S12,Z104,2,169,0.893,11.13,standard
S07,Z105,2,221,0.865,4.38,standard
S21,Z106,2,79,0.915,20.2,same_day
S12,Z107,2,292,0.898,15.41,same_day
S08,Z108,2,225,0.708,23.58,standard
S14,Z109,2,251,0.869,14.17,standard
S04,Z110,2,131,0.852,2.34,standard
S08,Z111,2,188,0.736,17.28,standard
S08,Z112,2,41,0.713,19.36,standard
S07,Z113,2,301,0.895,8.44,standard
S07,Z114,2,103,0.818,6.86,standard
S22,Z115,2,52,0.857,1.98,standard
S08,Z116,2,213,0.728,8.55,standard
S24,Z117,2,200,0.883,7.85,standard
S08,Z118,2,203,0.724,23.46,standard
S24,Z119,2,41,0.902,9.9,standard
S21,Z120,2,221,0.907,8.17,standard
S08,Z121,2,178,0.779,30.0,standard
S12,Z122,2,272,0.92,10.06,standard
S19,Z123,2,289,0.92,3.33,standard
S15,Z124,2,82,0.876,11.65,standard
S01,Z125,2,84,0.895,9.75,standard
S08,Z126,2,217,0.744,27.43,standard
S24,Z127,2,244,0.921,12.35,same_day
S05,Z128,2,165,0.838,5.72,standard
S05,Z129,2,80,0.815,7.77,standard
S08,Z130,2,201,0.761,12.01,standard
S08,Z131,2,187,0.769,2.49,standard
S11,Z132,2,19,0.907,5.87,standard
S10,Z133,2,208,0.953,6.83,same_day
S10,Z134,2,313,0.925,10.07,standard
S10,Z135,2,145,0.917,26.15,same_day
S01,Z136,2,110,0.907,23.17,standard
S05,Z137,2,253,0.879,2.3,standard
S18,Z138,2,44,0.858,2.39,standard
S08,Z139,2,144,0.767,17.78,standard
S08,Z140,2,164,0.782,18.59,standard
S08,Z141,2,217,0.765,13.03,standard
S24,Z142,2,66,0.863,9.22,standard
S24,Z143,2,149,0.933,3.54,standard
S18,Z144,2,71,0.91,3.88,standard
S24,Z145,2,233,0.905,4.29,standard
S08,Z146,2,143,0.729,18.83,standard
S21,Z147,2,174,0.896,10.53,standard
S08,Z148,2,149,0.777,19.3,standard
S22,Z149,2,75,0.897,2.52,standard
S01,Z150,2,307,0.947,4.69,same_day
S08,Z151,2,188,0.717,4.22,standard
S19,Z152,2,134,0.877,3.14,standard
S21,Z153,2,135,0.882,10.47,standard
S08,Z154,2,195,0.697,25.41,standard
S16,Z155,2,296,0.947,8.29,same_day
S02,Z156,2,224,0.928,14.81,same_day
S08,Z157,2,120,0.764,23.03,standard
S01,Z158,2,237,0.964,9.25,standard
S11,Z159,2,255,0.926,2.75,same_day
S10,Z160,2,216,0.931,17.88,standard
S08,Z161,2,40,0.744,13.81,standard
S02,Z162,2,147,0.885,10.1,standard
S14,Z163,2,233,0.948,14.08,same_day
S08,Z164,2,230,0.734,9.23,standard
S24,Z165,2,156,0.853,10.77,standard
S01,Z166,2,134,0.907,7.98,standard
S08,Z167,2,128,0.739,10.68,standard
S07,Z168,2,79,0.882,6.99,standard
S01,Z169,2,66,0.938,9.94,same_day
S01,Z170,2,300,0.931,27.02,same_day
S22,Z171,2,328,0.895,8.33,standard
S10,Z172,2,298,0.93,22.71,same_day
S21,Z173,2,236,0.881,24.53,standard
S10,Z174,2,37,0.904,10.89,standard
S01,Z175,2,336,0.937,16.87,standard
S08,Z176,2,96,0.737,19.01,standard
S21,Z177,2,86,0.89,20.21,standard
S02,Z178,2,233,0.909,2.34,standard
S01,Z179,2,288,0.91,13.43,standard
S10,Z180,2,309,0.932,17.05,same_day
S07,Z181,2,110,0.868,7.36,standard
S02,Z182,2,340,0.931,7.51,standard
S21,Z183,2,181,0.902,21.5,same_day
S14,Z184,2,214,0.932,4.46,same_day
S22,Z185,2,221,0.892,2.03,standard
S08,Z186,2,176,0.717,11.03,standard
S08,Z187,2,70,0.714,3.23,standard
S15,Z188,2,108,0.916,5.35,standard
S05,Z189,2,107,0.846,16.69,standard
S10,Z190,2,381,0.951,12.85,same_day
S10,Z191,2,302,0.957,23.74,same_day
S08,Z192,2,120,0.764,5.96,standard
S21,Z193,2,198,0.84,16.89,standard
S08,Z194,2,191,0.72,29.46,standard
S05,Z195,2,123,0.909,1.88,standard
S08,Z196,2,120,0.753,17.58,standard
S08,Z197,2,187,0.691,18.88,standard
S02,Z198,2,210,0.909,9.39,standard
S11,Z199,2,82,0.882,6.64,standard
S14,Z200,2,305,0.904,3.19,same_day
S24,Z201,2,238,0.932,9.51,standard
S21,Z202,2,181,0.889,12.16,standard
S12,Z203,2,303,0.893,9.2,standard
S24,Z204,2,270,0.911,5.43,standard
S08,Z205,2,123,0.764,19.77,standard
S03,Z206,2,158,0.87,4.92,standard
