node_id,kind,label,region,hub,runways,weather_exposure,x,y
ABL,airport,ABL Regional,Midwest,0,2,0.733,47.51,62.85
ABM,airport,ABM Regional,Southeast,0,1,0.275,73.12,40.84
ABN,airport,ABN Regional,West,0,1,0.726,28.16,53.47
ABO,airport,ABO Regional,Midwest,0,1,0.736,47.13,49.99
ABP,airport,ABP Regional,West,0,1,0.616,24.72,52.36
ABQ,airport,ABQ Regional,West,0,2,0.665,18.32,34.3
ABR,airport,ABR Regional,Southeast,0,3,0.363,82.35,26.09
ABS,airport,ABS Regional,West,0,1,0.704,4.01,45.76
ABT,airport,ABT Regional,West,0,1,0.709,16.37,50.47
ABU,airport,ABU Regional,Southeast,0,1,0.571,71.37,21.07
ABV,airport,ABV Regional,Southeast,0,2,0.607,71.73,23.37
ABW,airport,ABW Regional,West,0,1,0.618,27.24,26.9
ABX,airport,ABX Regional,Northeast,0,2,0.692,79.87,79.59
ABY,airport,ABY Regional,Northeast,0,1,0.513,84.66,74.65
ABZ,airport,ABZ Regional,Northeast,0,1,0.737,66.19,80.95
ACA,airport,ACA Regional,West,0,2,0.647,29.55,36.2
ACB,airport,ACB Regional,West,0,2,0.717,21.77,47.04
ACC,airport,ACC Regional,West,0,2,0.756,13.45,40.52
ACD,airport,ACD Regional,West,0,3,0.98,10.99,61.7
ACE,airport,ACE Regional,Midwest,0,2,0.682,59.24,75.59
ACF,airport,ACF Regional,Midwest,0,3,0.513,64.6,63.95
ACG,airport,ACG Regional,Northeast,0,2,0.551,97.7,81.95
ACH,airport,ACH Regional,Northeast,0,1,0.464,89.45,75.33
ACI,airport,ACI Regional,West,0,1,0.69,14.6,43.72
ACJ,airport,ACJ Regional,Midwest,0,1,0.62,62.91,49.4
ACK,airport,ACK Regional,Midwest,0,2,0.575,61.04,58.28
ACL,airport,ACL Regional,West,0,1,0.738,24.54,56.76
ACM,airport,ACM Regional,Midwest,0,3,0.553,70.39,66.58
ACN,airport,ACN Regional,Midwest,0,2,0.686,39.85,59.4
ACO,airport,ACO Regional,Midwest,0,3,0.671,43.45,55.34
ACP,airport,ACP Regional,Southeast,0,3,0.25,87.6,27.74
ACQ,airport,ACQ Regional,Northeast,0,2,0.588,75.71,68.88
ACR,airport,ACR Regional,Midwest,0,1,0.502,54.3,49.05
ACS,airport,ACS Regional,Northeast,0,3,0.442,75.96,80.81
ACT,airport,ACT Regional,Southeast,0,1,0.413,84.4,27.48
ACU,airport,ACU Regional,Mountain,0,1,0.739,13.38,42.74
ACV,airport,ACV Regional,Southeast,0,3,0.397,74.65,25.73
ACW,airport,ACW Regional,Northeast,0,2,0.499,96.55,59.43
ACX,airport,ACX Regional,Southeast,0,1,0.373,68.68,27.32
ACY,airport,ACY Regional,Southeast,0,2,0.499,59.77,35.28
ACZ,airport,ACZ Regional,West,0,2,0.699,17.32,57.62
ADA,airport,ADA Regional,Midwest,0,3,0.635,48.86,67.32
ADB,airport,ADB Regional,West,0,3,0.732,23.62,52.1
ADC,airport,ADC Regional,West,0,1,0.66,16.11,52.43
ADD,airport,ADD Regional,Southeast,0,1,0.534,66.23,20.67
ADE,airport,ADE Regional,West,0,2,0.761,12.63,53.45
ADF,airport,ADF Regional,Northeast,0,1,0.322,91.0,68.47
ADG,airport,ADG Regional,Northeast,0,1,0.402,80.87,91.33
ADH,airport,ADH Regional,Northeast,0,1,0.539,75.31,70.6
ADI,airport,ADI Regional,West,0,1,0.734,15.82,57.6
ADJ,airport,ADJ Regional,Midwest,0,3,0.619,54.1,71.96
ADK,airport,ADK Regional,Northeast,0,1,0.51,89.71,85.58
ADL,airport,ADL Regional,Midwest,0,1,0.644,58.99,80.95
ADM,airport,ADM Regional,Northeast,0,3,0.575,80.15,59.97
ADN,airport,ADN Regional,West,0,1,0.589,28.44,45.88
ADO,airport,ADO Regional,Midwest,0,3,0.53,54.97,71.79
ADP,airport,ADP Regional,Southeast,0,1,0.396,59.58,10.74
ADQ,airport,ADQ Regional,Southeast,0,1,0.514,59.59,14.85
ADR,airport,ADR Regional,Midwest,0,1,0.697,57.96,64.72
ADS,airport,ADS Regional,Southeast,0,3,0.378,76.49,9.29
ADT,airport,ADT Regional,Northeast,0,2,0.412,61.21,78.49
ADU,airport,ADU Regional,Northeast,0,2,0.417,77.75,82.13
ADV,airport,ADV Regional,Mountain,0,1,0.555,40.32,41.24
ADW,airport,ADW Regional,Mountain,0,1,0.576,40.84,42.06
ADX,airport,ADX Regional,West,0,2,0.68,18.77,43.66
ADY,airport,ADY International,Southeast,1,4,0.461,72.38,23.77
ADZ,airport,ADZ Regional,Mountain,0,2,0.582,41.38,36.46
AEA,airport,AEA Regional,West,0,3,0.804,18.69,47.61
AEB,airport,AEB Regional,West,0,3,0.709,12.94,57.47
AEC,airport,AEC Regional,Midwest,0,2,0.583,36.06,48.33
AED,airport,AED Regional,Southeast,0,1,0.498,60.66,1.0
AEE,airport,AEE Regional,Northeast,0,1,0.443,75.9,84.74
AEF,airport,AEF Regional,Mountain,0,3,0.689,31.44,41.78
AEG,airport,AEG Regional,Midwest,0,2,0.597,63.8,71.95
AEH,airport,AEH Regional,Northeast,0,2,0.543,81.38,90.18
AEI,airport,AEI Regional,Southeast,0,2,0.557,74.83,14.46
AEJ,airport,AEJ Regional,Midwest,0,1,0.549,48.65,46.68
AEK,airport,AEK Regional,Northeast,0,3,0.718,74.01,74.78
AEL,airport,AEL Regional,Mountain,0,3,0.628,41.23,55.49
AEM,airport,AEM Regional,West,0,3,0.699,1.56,53.54
AEN,airport,AEN Regional,West,0,3,0.796,4.64,54.27
AEO,airport,AEO Regional,Midwest,0,1,0.49,52.82,43.52
AEP,airport,AEP Regional,Midwest,0,1,0.5,62.35,54.55
AEQ,airport,AEQ Regional,Midwest,0,1,0.636,49.19,50.37
AER,airport,AER Regional,West,0,3,0.82,8.11,53.85
AES,airport,AES Regional,Northeast,0,2,0.491,80.3,80.96
AET,airport,AET Regional,Southeast,0,2,0.538,77.26,33.89
AEU,airport,AEU Regional,Northeast,0,3,0.606,78.91,64.71
AEV,airport,AEV Regional,Midwest,0,2,0.675,63.61,57.02
AEW,airport,AEW Regional,Southeast,0,3,0.457,84.03,25.45
AEX,airport,AEX Regional,Northeast,0,3,0.648,80.82,81.14
AEY,airport,AEY Regional,Northeast,0,1,0.345,99.56,96.69
AEZ,airport,AEZ International,Midwest,1,5,0.579,54.62,61.44
AFA,airport,AFA Regional,Northeast,0,3,0.405,91.69,70.39
AFB,airport,AFB Regional,Mountain,0,3,0.641,37.0,39.77
AFC,airport,AFC Regional,Midwest,0,1,0.532,56.83,52.5
AFD,airport,AFD Regional,Southeast,0,1,0.455,59.69,3.34
AFE,airport,AFE Regional,Midwest,0,2,0.787,43.94,55.87
AFF,airport,AFF Regional,Northeast,0,3,0.56,79.36,95.44
AFG,airport,AFG Regional,Mountain,0,1,0.62,43.95,31.34
AFH,airport,AFH Regional,Midwest,0,2,0.566,57.13,56.34
AFI,airport,AFI Regional,West,0,1,0.764,11.44,51.67
AFJ,airport,AFJ Regional,Northeast,0,1,0.5,87.57,74.95
AFK,airport,AFK Regional,Midwest,0,2,0.581,63.57,49.72
AFL,airport,AFL Regional,Midwest,0,2,0.744,54.06,83.38
AFM,airport,AFM Regional,Mountain,0,2,0.794,36.01,52.9
AFN,airport,AFN Regional,Midwest,0,1,0.636,54.82,65.23
AFO,airport,AFO Regional,Midwest,0,3,0.65,53.49,58.47
AFP,airport,AFP Regional,Southeast,0,1,0.392,66.98,25.87
AFQ,airport,AFQ Regional,Southeast,0,3,0.484,66.34,27.99
AFR,airport,AFR Regional,Midwest,0,1,0.647,63.77,63.3
AFS,airport,AFS Regional,Midwest,0,3,0.692,51.42,64.09
AFT,airport,AFT Regional,Northeast,0,2,0.573,79.22,86.42
AFU,airport,AFU Regional,West,0,2,0.865,0.0,46.98
AFV,airport,AFV Regional,Mountain,0,1,0.728,16.08,26.54
AFW,airport,AFW Regional,Northeast,0,3,0.591,94.27,86.06
AFX,airport,AFX Regional,Midwest,0,1,0.626,47.52,46.48
AFY,airport,AFY Regional,Northeast,0,2,0.596,55.32,73.11
AFZ,airport,AFZ Regional,West,0,3,0.692,35.78,53.91
AGA,airport,AGA Regional,Southeast,0,3,0.242,68.96,26.19
AGB,airport,AGB Regional,West,0,3,0.825,0.0,47.32
AGC,airport,AGC International,West,1,6,0.447,14.9,49.23
AGD,airport,AGD Regional,West,0,3,0.584,21.12,53.1
AGE,airport,AGE Regional,Northeast,0,3,0.528,88.01,71.8
AGF,airport,AGF Regional,Mountain,0,1,0.679,42.08,54.66
AGG,airport,AGG Regional,Southeast,0,1,0.374,65.27,14.01
AGH,airport,AGH Regional,Northeast,0,3,0.419,94.02,76.28
AGI,airport,AGI Regional,Midwest,0,1,0.655,66.63,56.02
AGJ,airport,AGJ Regional,Southeast,0,2,0.359,87.1,23.18
AGK,airport,AGK Regional,West,0,1,0.942,16.32,64.08
AGL,airport,AGL Regional,West,0,1,0.74,10.74,41.53
AGM,airport,AGM Regional,Southeast,0,3,0.505,69.96,26.07
AGN,airport,AGN Regional,Mountain,0,1,0.841,19.91,45.74
AGO,airport,AGO Regional,Southeast,0,3,0.499,69.15,32.33
AGP,airport,AGP Regional,Midwest,0,3,0.596,32.45,52.92
AGQ,airport,AGQ Regional,Southeast,0,1,0.485,58.82,14.56
AGR,airport,AGR International,Mountain,1,6,0.629,36.23,38.39
AGS,airport,AGS Regional,Northeast,0,3,0.425,79.72,76.57
AGT,airport,AGT Regional,Northeast,0,2,0.482,83.83,68.92
AGU,airport,AGU Regional,Midwest,0,1,0.531,60.36,65.96
AGV,airport,AGV Regional,Mountain,0,3,0.714,37.47,45.01
AGW,airport,AGW Regional,Mountain,0,1,0.673,36.67,58.32
AGX,airport,AGX Regional,West,0,1,0.719,13.22,47.24
AGY,airport,AGY Regional,Mountain,0,3,0.644,27.22,30.71
AGZ,airport,AGZ Regional,Mountain,0,1,0.691,22.8,32.0
AHA,airport,AHA Regional,Midwest,0,2,0.662,53.36,63.01
AHB,airport,AHB Regional,Southeast,0,3,0.352,74.46,15.11
AHC,airport,AHC Regional,West,0,2,0.642,22.1,56.65
AHD,airport,AHD Regional,West,0,2,0.826,12.56,44.12
AHE,airport,AHE Regional,Southeast,0,2,0.399,78.94,23.69
AHF,airport,AHF Regional,Northeast,0,1,0.466,68.97,77.39
AHG,airport,AHG Regional,West,0,2,0.754,16.36,41.9
AHH,airport,AHH Regional,Southeast,0,3,0.452,75.71,8.91
AHI,airport,AHI Regional,Mountain,0,1,0.496,46.03,51.23
AHJ,airport,AHJ Regional,Southeast,0,3,0.482,71.73,25.27
AHK,airport,AHK Regional,Northeast,0,2,0.653,60.31,67.59
AHL,airport,AHL Regional,West,0,2,0.765,11.36,40.35
AHM,airport,AHM Regional,Northeast,0,1,0.589,88.43,95.98
AHN,airport,AHN Regional,Northeast,0,2,0.443,71.41,70.46
AHO,airport,AHO Regional,Midwest,0,1,0.651,56.12,74.5
AHP,airport,AHP Regional,Mountain,0,1,0.668,23.0,42.24
AHQ,airport,AHQ Regional,Northeast,0,3,0.394,98.39,63.13
AHR,airport,AHR Regional,Southeast,0,1,0.556,62.47,18.19
