from_id,to_id,quarter,instrument,invested_usd,pledged_usd
I057,P008,2025Q2,equity,898000,112000
I057,P008,2025Q3,equity,908000,102000
I057,P008,2025Q4,equity,945000,65000
I057,P008,2026Q1,equity,916000,94000
I057,P008,2026Q2,equity,959000,51000
I057,P008,2026Q3,equity,943000,67000
I057,P008,2026Q4,equity,997000,13000
I012,P008,2025Q2,equity,3445000,10540000
I012,P008,2025Q3,equity,5700000,8285000
I012,P008,2025Q4,equity,7275000,6710000
I012,P008,2026Q1,equity,8194000,5791000
I012,P008,2026Q2,equity,9053000,4933000
I012,P008,2026Q3,equity,8963000,5022000
I012,P008,2026Q4,equity,9491000,4495000
I021,P008,2025Q4,equity,622000,1197000
I021,P008,2026Q1,equity,985000,834000
I021,P008,2026Q2,equity,1289000,530000
I021,P008,2026Q3,equity,1448000,372000
I021,P008,2026Q4,equity,1532000,287000
B16,P008,2024Q1,debt,17129000,20947000
B16,P008,2024Q2,debt,25646000,12429000
B16,P008,2024Q3,debt,29691000,8385000
B16,P008,2024Q4,debt,32235000,5841000
B16,P008,2025Q1,debt,32885000,5191000
B16,P008,2025Q2,debt,28280000,9796000
B16,P008,2025Q3,debt,29519000,8557000
B16,P008,2025Q4,debt,30692000,7384000
B16,P008,2026Q1,debt,32039000,6036000
B16,P008,2026Q2,debt,32418000,5658000
B16,P008,2026Q3,debt,32969000,5107000
B16,P008,2026Q4,debt,33446000,4630000
I056,P009,2025Q1,equity,10166000,22420000
I056,P009,2025Q2,equity,16087000,16499000
I056,P009,2025Q3,equity,20014000,12572000
I056,P009,2025Q4,equity,22969000,9617000
I056,P009,2026Q1,equity,23487000,9099000
I056,P009,2026Q2,equity,25021000,7565000
I056,P009,2026Q3,equity,26599000,5987000
I056,P009,2026Q4,equity,25589000,6997000
I006,P009,2024Q2,equity,5734000,12770000
I006,P009,2024Q3,equity,9462000,9042000
I006,P009,2024Q4,equity,11380000,7124000
I006,P009,2025Q1,equity,12994000,5510000
I006,P009,2025Q2,equity,14155000,4349000
I006,P009,2025Q3,equity,14302000,4202000
I006,P009,2025Q4,equity,15071000,3433000
I006,P009,2026Q1,equity,14852000,3652000
I006,P009,2026Q2,equity,15062000,3442000
I006,P009,2026Q3,equity,15060000,3444000
I006,P009,2026Q4,equity,15472000,3032000
B05,P009,2025Q4,mezzanine,9161000,38229000
B05,P009,2026Q1,mezzanine,16053000,31337000
B05,P009,2026Q2,mezzanine,21749000,25641000
B05,P009,2026Q3,mezzanine,26999000,20391000
B05,P009,2026Q4,mezzanine,31515000,15875000
I056,P010,2024Q1,equity,8098000,20170000
I056,P010,2024Q2,equity,13057000,15211000
I056,P010,2024Q3,equity,16677000,11591000
I056,P010,2024Q4,equity,18420000,9849000
I056,P010,2025Q1,equity,19686000,8582000
I056,P010,2025Q2,equity,20287000,7981000
I056,P010,2025Q3,equity,21821000,6447000
I056,P010,2025Q4,equity,20472000,7796000
I056,P010,2026Q1,equity,22135000,6133000
I056,P010,2026Q2,equity,21724000,6544000
I056,P010,2026Q3,equity,21836000,6432000
I056,P010,2026Q4,equity,22820000,5448000
B01,P010,2024Q2,debt,19808000,25625000
B01,P010,2024Q3,debt,29975000,15458000
B01,P010,2024Q4,debt,35295000,10138000
B01,P010,2025Q1,debt,37133000,8300000
B01,P010,2025Q2,debt,30637000,14796000
B01,P010,2025Q3,debt,33278000,12155000
B01,P010,2025Q4,debt,36402000,9031000
B01,P010,2026Q1,debt,36736000,8698000
B01,P010,2026Q2,debt,37887000,7546000
B01,P010,2026Q3,debt,37981000,7452000
B01,P010,2026Q4,debt,38133000,7300000
I007,P011,2025Q1,equity,2345000,6473000
I007,P011,2025Q2,equity,3701000,5116000
I007,P011,2025Q3,equity,4596000,4221000
I007,P011,2025Q4,equity,5340000,3477000
I007,P011,2026Q1,equity,5520000,3298000
I007,P011,2026Q2,equity,5770000,3047000
I007,P011,2026Q3,equity,5993000,2824000
I007,P011,2026Q4,equity,6089000,2728000
I061,P011,2025Q3,equity,102000,216000
I061,P011,2025Q4,equity,162000,156000
I061,P011,2026Q1,equity,191000,127000
I061,P011,2026Q2,equity,227000,91000
I061,P011,2026Q3,equity,242000,76000
I061,P011,2026Q4,equity,253000,66000
B06,P011,2024Q2,debt,11912000,15468000
B06,P011,2024Q3,debt,17730000,9650000
B06,P011,2024Q4,debt,20641000,6738000
B06,P011,2025Q1,debt,22386000,4994000
B06,P011,2025Q2,debt,18470000,8910000
B06,P011,2025Q3,debt,19610000,7769000
B06,P011,2025Q4,debt,22217000,5162000
B06,P011,2026Q1,debt,21342000,6038000
B06,P011,2026Q2,debt,22208000,5171000
B06,P011,2026Q3,debt,21863000,5516000
B06,P011,2026Q4,debt,22863000,4516000
I024,P012,2024Q2,equity,2545000,6200000
I024,P012,2024Q3,equity,4294000,4452000
I024,P012,2024Q4,equity,5299000,3446000
I024,P012,2025Q1,equity,5983000,2762000
I024,P012,2025Q2,equity,5706000,2127000
I024,P012,2025Q3,equity,6133000,1829000
I024,P012,2025Q4,equity,5775000,2079000
I024,P012,2026Q1,equity,6096000,1854000
I024,P012,2026Q2,equity,6036000,1896000
I024,P012,2026Q3,equity,5984000,1933000
I024,P012,2026Q4,equity,5814000,2051000
B05,P012,2024Q2,mezzanine,4071000,10870000
B05,P012,2024Q3,mezzanine,6411000,8530000
B05,P012,2024Q4,mezzanine,7912000,7030000
B05,P012,2025Q1,mezzanine,8716000,6225000
B05,P012,2025Q2,mezzanine,5836000,6373000
B05,P012,2025Q3,mezzanine,6221000,6104000
B05,P012,2025Q4,mezzanine,6075000,6207000
B05,P012,2026Q1,mezzanine,6025000,6241000
B05,P012,2026Q2,mezzanine,6016000,6247000
B05,P012,2026Q3,mezzanine,6128000,6169000
B05,P012,2026Q4,mezzanine,5976000,6276000
I034,P013,2025Q1,equity,1320000,5220000
I034,P013,2025Q2,equity,1323000,3652000
I034,P013,2025Q3,equity,1304000,3665000
I034,P013,2025Q4,equity,1279000,3683000
I034,P013,2026Q1,equity,1311000,3660000
I034,P013,2026Q2,equity,1271000,3688000
I034,P013,2026Q3,equity,1282000,3680000
I034,P013,2026Q4,equity,1289000,3675000
B16,P013,2025Q4,debt,2294000,6229000
B16,P013,2026Q1,debt,2240000,6267000
B16,P013,2026Q2,debt,2236000,6270000
B16,P013,2026Q3,debt,2344000,6194000
B16,P013,2026Q4,debt,2272000,6244000
I004,P014,2025Q3,equity,3478000,10817000
I004,P014,2025Q4,equity,5669000,8625000
I004,P014,2026Q1,equity,6849000,7446000
I004,P014,2026Q2,equity,8227000,6068000
I004,P014,2026Q3,equity,8728000,5567000
I004,P014,2026Q4,equity,8987000,5308000
I028,P014,2024Q2,equity,580000,1182000
I028,P014,2024Q3,equity,966000,796000
I028,P014,2024Q4,equity,1151000,611000
I028,P014,2025Q1,equity,1323000,439000
I028,P014,2025Q2,equity,1402000,359000
I028,P014,2025Q3,equity,1549000,213000
I028,P014,2025Q4,equity,1562000,200000
I028,P014,2026Q1,equity,1491000,270000
I028,P014,2026Q2,equity,1528000,233000
I028,P014,2026Q3,equity,1582000,180000
I028,P014,2026Q4,equity,1577000,184000
B09,P014,2025Q2,debt,5096000,18480000
B09,P014,2025Q3,debt,8538000,15038000
B09,P014,2025Q4,debt,11203000,12373000
B09,P014,2026Q1,debt,12825000,10752000
B09,P014,2026Q2,debt,14604000,8973000
B09,P014,2026Q3,debt,15294000,8282000
B09,P014,2026Q4,debt,16061000,7516000
I001,P015,2024Q2,equity,8750000,19448000
I001,P015,2024Q3,equity,13695000,14502000
I001,P015,2024Q4,equity,18235000,9962000
I001,P015,2025Q1,equity,19985000,8213000
I001,P015,2025Q2,equity,20422000,5443000
I001,P015,2025Q3,equity,19484000,6100000
I001,P015,2025Q4,equity,19544000,6057000
I001,P015,2026Q1,equity,19449000,6124000
I001,P015,2026Q2,equity,20012000,5730000
I001,P015,2026Q3,equity,19938000,5782000
I001,P015,2026Q4,equity,19727000,5929000
I055,P015,2025Q3,equity,10071000,13186000
I055,P015,2025Q4,equity,10323000,13010000
I055,P015,2026Q1,equity,10237000,13070000
I055,P015,2026Q2,equity,10191000,13102000
I055,P015,2026Q3,equity,10653000,12779000
I055,P015,2026Q4,equity,10316000,13015000
B14,P015,2025Q1,debt,5157000,5403000
B14,P015,2025Q2,debt,2671000,5523000
B14,P015,2025Q3,debt,2713000,5493000
B14,P015,2025Q4,debt,2696000,5505000
B14,P015,2026Q1,debt,2608000,5567000
B14,P015,2026Q2,debt,2776000,5449000
B14,P015,2026Q3,debt,2692000,5508000
B14,P015,2026Q4,debt,2740000,5474000
B01,P015,2025Q3,debt,19994000,47431000
B01,P015,2025Q4,debt,19712000,47628000
B01,P015,2026Q1,debt,20556000,47037000
B01,P015,2026Q2,debt,20185000,47297000
B01,P015,2026Q3,debt,20207000,47281000
B01,P015,2026Q4,debt,20605000,47003000
I031,P016,2024Q3,equity,9077000,20056000
I031,P016,2024Q4,equity,14752000,14381000
I031,P016,2025Q1,equity,17621000,11512000
I031,P016,2025Q2,equity,20152000,8981000
I031,P016,2025Q3,equity,21463000,7670000
I031,P016,2025Q4,equity,23170000,5963000
I031,P016,2026Q1,equity,23514000,5619000
I031,P016,2026Q2,equity,23152000,5981000
I031,P016,2026Q3,equity,23966000,5167000
I031,P016,2026Q4,equity,23488000,5645000
I011,P016,2025Q1,equity,544000,1304000
I011,P016,2025Q2,equity,931000,917000
I011,P016,2025Q3,equity,1159000,689000
I011,P016,2025Q4,equity,1346000,502000
I011,P016,2026Q1,equity,1413000,435000
I011,P016,2026Q2,equity,1437000,412000
I011,P016,2026Q3,equity,1511000,337000
I011,P016,2026Q4,equity,1469000,380000
B14,P016,2025Q1,debt,35750000,37390000
B14,P016,2025Q2,debt,34070000,39070000
B14,P016,2025Q3,debt,42354000,30786000
B14,P016,2025Q4,debt,51831000,21309000
B14,P016,2026Q1,debt,56248000,16892000
B14,P016,2026Q2,debt,61594000,11546000
B14,P016,2026Q3,debt,63037000,10103000
B14,P016,2026Q4,debt,67148000,5992000
I001,P017,2024Q2,equity,4650000,11818000
I001,P017,2024Q3,equity,7409000,9060000
I001,P017,2024Q4,equity,9105000,7364000
I001,P017,2025Q1,equity,10368000,6100000
I001,P017,2025Q2,equity,10140000,4430000
I001,P017,2025Q3,equity,10504000,4175000
I001,P017,2025Q4,equity,10543000,4148000
I001,P017,2026Q1,equity,10934000,3874000
I001,P017,2026Q2,equity,10290000,4325000
I001,P017,2026Q3,equity,10364000,4273000
I001,P017,2026Q4,equity,10300000,4318000
B05,P017,2024Q1,mezzanine,9649000,21613000
B05,P017,2024Q2,mezzanine,15438000,15824000
B05,P017,2024Q3,mezzanine,18697000,12565000
B05,P017,2024Q4,mezzanine,21187000,10075000
B05,P017,2025Q1,mezzanine,21666000,9596000
B05,P017,2025Q2,mezzanine,16664000,10219000
B05,P017,2025Q3,mezzanine,16518000,10321000
B05,P017,2025Q4,mezzanine,16338000,10447000
B05,P017,2026Q1,mezzanine,16239000,10516000
B05,P017,2026Q2,mezzanine,17135000,9889000
B05,P017,2026Q3,mezzanine,16075000,10631000
B05,P017,2026Q4,mezzanine,16440000,10376000
I001,P018,2024Q3,equity,19410000,36681000
I001,P018,2024Q4,equity,31234000,24857000
I001,P018,2025Q1,equity,37789000,18302000
I001,P018,2025Q2,equity,43610000,12481000
I001,P018,2025Q3,equity,46504000,9587000
I001,P018,2025Q4,equity,47742000,8349000
I001,P018,2026Q1,equity,50250000,5841000
I001,P018,2026Q2,equity,50695000,5397000
I001,P018,2026Q3,equity,51034000,5057000
I001,P018,2026Q4,equity,51099000,4992000
B08,P018,2025Q3,mezzanine,4591000,19071000
B08,P018,2025Q4,mezzanine,8191000,15470000
B08,P018,2026Q1,mezzanine,11017000,12644000
B08,P018,2026Q2,mezzanine,13090000,10572000
B08,P018,2026Q3,mezzanine,15555000,8107000
B08,P018,2026Q4,mezzanine,16112000,7550000
B05,P018,2024Q1,mezzanine,14838000,25107000
B05,P018,2024Q2,mezzanine,24650000,15295000
B05,P018,2024Q3,mezzanine,28564000,11380000
B05,P018,2024Q4,mezzanine,31754000,8191000
B05,P018,2025Q1,mezzanine,33432000,6512000
B05,P018,2025Q2,mezzanine,27963000,11982000
B05,P018,2025Q3,mezzanine,28856000,11089000
B05,P018,2025Q4,mezzanine,30866000,9079000
B05,P018,2026Q1,mezzanine,30954000,8991000
B05,P018,2026Q2,mezzanine,33442000,6503000
B05,P018,2026Q3,mezzanine,33681000,6264000
B05,P018,2026Q4,mezzanine,33578000,6367000
I058,P019,2024Q2,equity,1898000,3733000
I058,P019,2024Q3,equity,2963000,2668000
I058,P019,2024Q4,equity,3858000,1773000
I058,P019,2025Q1,equity,4219000,1412000
I058,P019,2025Q2,equity,4733000,898000
I058,P019,2025Q3,equity,4854000,777000
I058,P019,2025Q4,equity,4808000,823000
I058,P019,2026Q1,equity,4895000,736000
I058,P019,2026Q2,equity,5098000,533000
I058,P019,2026Q3,equity,5043000,588000
I058,P019,2026Q4,equity,5073000,558000
I064,P019,2024Q4,equity,971000,2018000
I064,P019,2025Q1,equity,1618000,1371000
I064,P019,2025Q2,equity,2054000,935000
I064,P019,2025Q3,equity,2308000,681000
I064,P019,2025Q4,equity,2426000,562000
I064,P019,2026Q1,equity,2523000,465000
I064,P019,2026Q2,equity,2514000,475000
I064,P019,2026Q3,equity,2591000,398000
I064,P019,2026Q4,equity,2691000,298000
B05,P019,2025Q1,mezzanine,6062000,13407000
B05,P019,2025Q2,mezzanine,5611000,13858000
B05,P019,2025Q3,mezzanine,7719000,11750000
B05,P019,2025Q4,mezzanine,8895000,10574000
B05,P019,2026Q1,mezzanine,10290000,9179000
B05,P019,2026Q2,mezzanine,11352000,8117000
B05,P019,2026Q3,mezzanine,11907000,7562000
B05,P019,2026Q4,mezzanine,13048000,6421000
I001,P020,2024Q1,equity,2457000,6532000
I001,P020,2024Q2,equity,4144000,4845000
I001,P020,2024Q3,equity,4844000,4145000
I001,P020,2024Q4,equity,5627000,3363000
I001,P020,2025Q1,equity,6076000,2914000
I001,P020,2025Q2,equity,5921000,2148000
I001,P020,2025Q3,equity,6068000,2045000
I001,P020,2025Q4,equity,5898000,2164000
I001,P020,2026Q1,equity,6115000,2012000
I001,P020,2026Q2,equity,6159000,1981000
I001,P020,2026Q3,equity,6064000,2048000
I001,P020,2026Q4,equity,5808000,2227000
I003,P020,2025Q2,equity,55000,83000
I003,P020,2025Q3,equity,56000,81000
I003,P020,2025Q4,equity,56000,82000
I003,P020,2026Q1,equity,53000,84000
I003,P020,2026Q2,equity,57000,81000
I003,P020,2026Q3,equity,56000,82000
I003,P020,2026Q4,equity,55000,83000
B16,P020,2025Q4,debt,3814000,9115000
B16,P020,2026Q1,debt,3814000,9115000
B16,P020,2026Q2,debt,3894000,9059000
B16,P020,2026Q3,debt,4005000,8982000
B16,P020,2026Q4,debt,3992000,8990000
I033,P021,2025Q1,equity,3084000,8268000
I033,P021,2025Q2,equity,5061000,6291000
I033,P021,2025Q3,equity,6359000,4993000
I033,P021,2025Q4,equity,6876000,4476000
I033,P021,2026Q1,equity,7657000,3695000
I033,P021,2026Q2,equity,7767000,3585000
I033,P021,2026Q3,equity,8140000,3212000
I033,P021,2026Q4,equity,8182000,3170000
I037,P021,2024Q1,equity,558000,1505000
I037,P021,2024Q2,equity,855000,1208000
I037,P021,2024Q3,equity,1142000,921000
I037,P021,2024Q4,equity,1298000,765000
I037,P021,2025Q1,equity,1386000,677000
I037,P021,2025Q2,equity,1430000,634000
I037,P021,2025Q3,equity,1518000,545000
I037,P021,2025Q4,equity,1503000,560000
I037,P021,2026Q1,equity,1522000,541000
I037,P021,2026Q2,equity,1551000,513000
I037,P021,2026Q3,equity,1536000,527000
I037,P021,2026Q4,equity,1501000,562000
B11,P021,2025Q2,debt,5454000,19868000
B11,P021,2025Q3,debt,9824000,15499000
B11,P021,2025Q4,debt,13170000,12153000
B11,P021,2026Q1,debt,15094000,10229000
B11,P021,2026Q2,debt,17097000,8225000
B11,P021,2026Q3,debt,18068000,7254000
B11,P021,2026Q4,debt,19367000,5955000
I005,P022,2024Q2,equity,13163000,37524000
I005,P022,2024Q3,equity,21572000,29115000
I005,P022,2024Q4,equity,27459000,23228000
I005,P022,2025Q1,equity,29014000,21673000
I005,P022,2025Q2,equity,31900000,18788000
I005,P022,2025Q3,equity,34139000,16548000
I005,P022,2025Q4,equity,35511000,15176000
I005,P022,2026Q1,equity,35173000,15514000
I005,P022,2026Q2,equity,35154000,15533000
I005,P022,2026Q3,equity,36127000,14560000
I005,P022,2026Q4,equity,36354000,14333000
I013,P022,2025Q1,equity,7698000,17464000
I013,P022,2025Q2,equity,12782000,12380000
I013,P022,2025Q3,equity,16225000,8937000
I013,P022,2025Q4,equity,18537000,6626000
I013,P022,2026Q1,equity,19427000,5735000
I013,P022,2026Q2,equity,19978000,5185000
I013,P022,2026Q3,equity,20459000,4703000
I013,P022,2026Q4,equity,21046000,4117000
B02,P022,2024Q2,debt,32800000,47335000
B02,P022,2024Q3,debt,47868000,32267000
B02,P022,2024Q4,debt,58439000,21697000
B02,P022,2025Q1,debt,59572000,20563000
B02,P022,2025Q2,debt,51028000,29107000
B02,P022,2025Q3,debt,55211000,24924000
B02,P022,2025Q4,debt,60053000,20082000
B02,P022,2026Q1,debt,59182000,20953000
B02,P022,2026Q2,debt,60284000,19851000
B02,P022,2026Q3,debt,61444000,18692000
B02,P022,2026Q4,debt,64966000,15169000
B14,P022,2025Q1,debt,4927000,7876000
B14,P022,2025Q2,debt,4750000,8053000
B14,P022,2025Q3,debt,6686000,6117000
B14,P022,2025Q4,debt,7517000,5286000
B14,P022,2026Q1,debt,8042000,4761000
B14,P022,2026Q2,debt,8796000,4007000
B14,P022,2026Q3,debt,9240000,3563000
B14,P022,2026Q4,debt,9697000,3106000
I056,P023,2024Q1,equity,576000,1949000
I056,P023,2024Q2,equity,925000,1599000
I056,P023,2024Q3,equity,1186000,1339000
I056,P023,2024Q4,equity,1297000,1227000
I056,P023,2025Q1,equity,1381000,1144000
I056,P023,2025Q2,equity,1419000,1106000
I056,P023,2025Q3,equity,1462000,1063000
I056,P023,2025Q4,equity,1506000,1019000
I056,P023,2026Q1,equity,1512000,1012000
I056,P023,2026Q2,equity,1569000,956000
I056,P023,2026Q3,equity,1528000,997000
I056,P023,2026Q4,equity,1471000,1054000
B13,P023,2024Q2,debt,5667000,8388000
B13,P023,2024Q3,debt,8580000,5475000
B13,P023,2024Q4,debt,9966000,4088000
B13,P023,2025Q1,debt,11125000,2929000
B13,P023,2025Q2,debt,9005000,5050000
B13,P023,2025Q3,debt,9932000,4123000
B13,P023,2025Q4,debt,10225000,3829000
B13,P023,2026Q1,debt,10562000,3492000
