driver_id,rider_id,hour,pickup_zone,dropoff_zone,wait_min,distance_km,fare,surge_mult,tip
D007,R025,18,Z21,Z07,6.4,4.15,10.63,1.0,0.75
D007,R025,8,Z07,Z21,8.4,4.15,11.17,1.0,0.66
D007,R025,18,Z21,Z07,4.4,4.15,11.33,1.0,1.97
D104,R112,8,Z21,Z06,7.3,6.01,14.28,1.0,4.11
D104,R112,18,Z06,Z21,12.7,6.01,13.46,1.0,3.02
D104,R112,8,Z21,Z06,5.9,6.01,14.25,1.0,3.39
D104,R112,18,Z06,Z21,9.0,6.01,16.49,1.0,4.48
D104,R112,8,Z21,Z06,4.7,6.01,14.82,1.0,3.79
D104,R112,18,Z06,Z21,9.7,6.01,14.39,1.0,2.97
D022,R086,8,Z13,Z20,4.1,2.51,9.54,1.0,2.76
D022,R086,18,Z20,Z13,3.9,2.51,6.63,1.0,1.48
D022,R086,8,Z13,Z20,3.5,2.51,6.79,1.0,2.32
D022,R086,18,Z20,Z13,2.5,2.51,8.28,1.0,1.92
D022,R086,8,Z13,Z20,4.1,2.51,5.89,1.0,2.33
D022,R086,18,Z20,Z13,5.5,2.51,8.39,1.0,1.27
D043,R184,8,Z02,Z04,4.1,3.61,7.35,1.0,1.53
D043,R184,18,Z04,Z02,7.7,3.61,9.95,1.0,2.2
D043,R184,8,Z02,Z04,4.0,3.61,11.05,1.0,3.06
D043,R184,18,Z04,Z02,4.5,3.61,8.9,1.0,1.77
D043,R184,8,Z02,Z04,1.9,3.61,9.39,1.0,2.72
D043,R184,18,Z04,Z02,6.3,3.61,9.68,1.0,1.48
D040,R129,8,Z08,Z24,3.6,4.62,12.92,1.0,2.39
D040,R129,18,Z24,Z08,7.3,4.62,8.9,1.0,2.99
D040,R129,8,Z08,Z24,4.9,4.62,10.93,1.0,2.64
D040,R129,18,Z24,Z08,5.4,4.62,12.57,1.0,2.45
D040,R129,8,Z08,Z24,4.1,4.62,10.56,1.0,1.87
D040,R129,18,Z24,Z08,7.5,4.62,11.45,1.0,2.8
D116,R138,8,Z05,Z16,9.6,2.17,6.12,1.0,2.32
D116,R138,18,Z16,Z05,5.7,2.17,8.13,1.0,2.12
D116,R138,8,Z05,Z16,8.2,2.17,9.3,1.0,2.09
D116,R138,18,Z16,Z05,8.2,2.17,6.65,1.0,0.93
D116,R138,8,Z05,Z16,8.9,2.17,7.09,1.0,1.98
D116,R138,18,Z16,Z05,7.4,2.17,5.53,1.0,1.38
D120,R041,8,Z16,Z16,8.2,0.4,4.13,1.0,1.11
D120,R041,18,Z16,Z16,7.0,0.4,2.23,1.0,0.0
D120,R041,8,Z16,Z16,5.6,0.4,3.62,1.0,0.53
D120,R041,18,Z16,Z16,6.8,0.4,-0.21,1.0,0.0
D120,R041,8,Z16,Z16,8.4,0.4,2.54,1.0,0.62
D120,R041,18,Z16,Z16,5.9,0.4,5.07,1.0,0.72
D003,R142,8,Z07,Z15,10.9,2.94,9.86,1.0,1.89
D003,R142,18,Z15,Z07,4.5,2.94,7.65,1.0,1.91
D003,R142,8,Z07,Z15,8.4,2.94,7.56,1.0,2.47
D003,R142,18,Z15,Z07,5.0,2.94,10.8,1.0,2.32
D003,R142,8,Z07,Z15,10.3,2.94,8.47,1.0,2.36
D003,R142,18,Z15,Z07,4.3,2.94,7.01,1.0,1.75
D119,R094,8,Z04,Z02,8.3,3.61,9.33,1.0,0.72
D119,R094,18,Z02,Z04,2.3,3.61,7.57,1.0,0.15
D119,R094,8,Z04,Z02,7.4,3.61,10.63,1.0,1.69
D119,R094,18,Z02,Z04,1.4,3.61,9.05,1.0,1.35
D119,R094,8,Z04,Z02,9.4,3.61,7.53,1.0,0.97
D119,R094,18,Z02,Z04,5.4,3.61,9.82,1.0,1.91
D037,R120,8,Z08,Z05,4.6,2.37,7.92,1.0,0.78
D037,R120,18,Z05,Z08,10.0,2.37,5.34,1.0,1.05
D037,R120,8,Z08,Z05,4.5,2.37,6.25,1.0,0.99
D037,R120,18,Z05,Z08,8.5,2.37,5.7,1.0,0.7
D037,R120,8,Z08,Z05,3.2,2.37,7.38,1.0,0.49
D037,R120,18,Z05,Z08,9.8,2.37,5.57,1.0,0.55
D072,R235,8,Z08,Z22,3.7,4.96,13.36,1.0,3.0
D072,R235,18,Z22,Z08,5.9,4.96,12.37,1.0,1.33
D072,R235,8,Z08,Z22,4.2,4.96,14.16,1.0,3.05
D072,R235,18,Z22,Z08,6.2,4.96,12.43,1.0,3.15
D072,R235,8,Z08,Z22,2.3,4.96,9.75,1.0,2.17
D072,R235,18,Z22,Z08,5.4,4.96,13.34,1.0,2.61
D045,R068,8,Z01,Z01,3.1,0.4,0.04,1.0,0.0
D045,R068,18,Z01,Z01,4.2,0.4,2.83,1.0,1.1
D045,R068,8,Z01,Z01,5.6,0.4,3.14,1.0,0.0
D045,R068,18,Z01,Z01,5.0,0.4,4.01,1.0,0.83
D045,R068,8,Z01,Z01,5.4,0.4,1.94,1.0,1.52
D045,R068,18,Z01,Z01,3.4,0.4,4.24,1.0,0.0
D044,R179,8,Z20,Z21,3.3,1.65,7.47,1.0,1.79
D044,R179,18,Z21,Z20,6.3,1.65,5.94,1.0,1.48
D044,R179,8,Z20,Z21,5.6,1.65,5.37,1.0,0.33
D044,R179,18,Z21,Z20,4.7,1.65,6.32,1.0,1.88
D044,R179,8,Z20,Z21,2.7,1.65,4.79,1.0,0.9
D044,R179,18,Z21,Z20,5.1,1.65,4.0,1.0,0.66
D056,R084,8,Z01,Z17,5.2,6.0,14.68,1.0,3.73
D056,R084,18,Z17,Z01,3.2,6.0,13.88,1.0,3.12
D056,R084,8,Z01,Z17,3.2,6.0,12.58,1.0,2.89
D056,R084,18,Z17,Z01,2.4,6.0,13.9,1.0,4.05
D056,R084,8,Z01,Z17,2.8,6.0,13.74,1.0,3.44
D056,R084,18,Z17,Z01,3.9,6.0,13.69,1.0,2.69
D042,R098,8,Z19,Z05,3.4,4.95,11.8,1.0,3.69
D042,R098,18,Z05,Z19,6.9,4.95,12.18,1.0,3.88
D042,R098,8,Z19,Z05,4.5,4.95,12.42,1.0,2.81
D042,R098,18,Z05,Z19,9.0,4.95,9.82,1.0,1.15
D042,R098,8,Z19,Z05,5.6,4.95,10.58,1.0,2.48
D042,R098,18,Z05,Z19,7.7,4.95,10.07,1.0,2.51
D055,R212,8,Z05,Z18,9.5,5.72,13.73,1.0,3.76
D055,R212,18,Z18,Z05,4.6,5.72,15.08,1.0,3.28
D055,R212,8,Z05,Z18,9.0,5.72,14.54,1.0,4.54
D055,R212,18,Z18,Z05,2.9,5.72,12.81,1.0,4.15
D055,R212,8,Z05,Z18,9.6,5.72,13.42,1.0,3.36
D055,R212,18,Z18,Z05,3.9,5.72,13.53,1.0,3.37
D021,R033,8,Z08,Z17,4.2,3.75,9.64,1.0,1.62
D021,R033,18,Z17,Z08,4.1,3.75,13.04,1.0,1.67
D021,R033,8,Z08,Z17,4.6,3.75,8.63,1.0,2.16
D021,R033,18,Z17,Z08,3.6,3.75,10.46,1.0,2.9
D021,R033,8,Z08,Z17,4.5,3.75,10.9,1.0,0.88
D021,R033,18,Z17,Z08,5.2,3.75,9.99,1.0,2.74
D096,R104,8,Z02,Z13,2.9,5.07,12.15,1.0,2.54
D096,R104,18,Z13,Z02,4.1,5.07,13.27,1.0,1.73
D096,R104,8,Z02,Z13,4.7,5.07,11.98,1.0,2.39
D096,R104,18,Z13,Z02,2.3,5.07,12.58,1.0,1.19
D096,R104,8,Z02,Z13,4.3,5.07,10.18,1.0,2.17
D096,R104,18,Z13,Z02,3.7,5.07,13.38,1.0,2.7
D066,R144,8,Z01,Z08,3.7,3.01,7.56,1.0,1.97
D066,R144,18,Z08,Z01,4.8,3.01,7.71,1.0,1.09
D066,R144,8,Z01,Z08,2.8,3.01,8.64,1.0,0.33
D066,R144,18,Z08,Z01,5.0,3.01,8.33,1.0,2.76
D066,R144,8,Z01,Z08,3.3,3.01,8.05,1.0,2.37
D066,R144,18,Z08,Z01,5.5,3.01,7.34,1.0,1.31
D103,R006,8,Z24,Z15,7.1,3.05,7.41,1.0,1.87
D103,R006,18,Z15,Z24,3.5,3.05,8.41,1.0,2.46
D103,R006,8,Z24,Z15,6.6,3.05,6.31,1.0,2.23
D103,R006,18,Z15,Z24,5.4,3.05,7.37,1.0,1.75
D103,R006,8,Z24,Z15,5.3,3.05,7.01,1.0,1.5
D103,R006,18,Z15,Z24,6.3,3.05,7.48,1.0,2.33
D009,R067,8,Z18,Z22,3.8,4.24,10.73,1.0,1.63
D009,R067,18,Z22,Z18,7.0,4.24,9.79,1.0,0.62
D009,R067,8,Z18,Z22,2.9,4.24,9.8,1.0,0.82
D009,R067,18,Z22,Z18,6.5,4.24,9.88,1.0,3.01
D009,R067,8,Z18,Z22,2.6,4.24,10.68,1.0,1.03
D009,R067,18,Z22,Z18,5.6,4.24,10.61,1.0,0.3
D062,R039,8,Z14,Z23,9.4,3.13,7.85,1.0,1.8
D062,R039,18,Z23,Z14,6.6,3.13,8.19,1.0,1.37
D062,R039,8,Z14,Z23,5.2,3.13,9.16,1.0,1.86
D062,R039,18,Z23,Z14,4.6,3.13,8.54,1.0,1.44
D062,R039,8,Z14,Z23,6.9,3.13,9.12,1.0,1.11
D062,R039,18,Z23,Z14,6.6,3.13,6.71,1.0,1.01
D090,R135,8,Z15,Z13,7.0,2.32,8.24,1.0,1.79
D090,R135,18,Z13,Z15,2.8,2.32,6.26,1.0,1.36
D090,R135,8,Z15,Z13,5.1,2.32,6.78,1.0,1.41
D090,R135,18,Z13,Z15,3.6,2.32,5.16,1.0,0.77
D090,R135,8,Z15,Z13,6.0,2.32,5.25,1.0,0.99
D090,R135,18,Z13,Z15,3.0,2.32,7.02,1.0,1.24
D083,R189,19,Z21,Z06,6.9,6.01,15.21,1.1,3.52
D031,R189,10,Z06,Z03,10.6,4.07,12.19,1.0,4.53
D075,R073,16,Z15,Z08,4.4,2.39,5.76,1.0,0.87
D040,R169,9,Z02,Z24,6.5,8.1,17.04,1.0,3.62
D112,R111,15,Z06,Z02,10.2,5.23,10.94,1.0,2.63
D013,R123,15,Z10,ZJFK,6.1,12.51,41.86,1.25,8.99
D012,R231,20,Z11,Z14,6.2,4.26,12.1,1.25,0.55
D113,R178,8,Z14,Z01,7.4,5.73,13.74,1.0,2.7
D109,R078,10,Z19,Z10,4.7,4.07,10.18,1.0,3.22
D042,R090,21,Z24,Z10,8.3,3.4,11.46,1.28,2.1
D112,R063,12,Z18,Z21,5.5,3.22,9.33,1.0,0.97
D111,R057,19,Z08,Z11,6.3,1.78,5.88,1.4,1.57
D048,R227,12,Z14,Z16,6.5,1.69,5.03,1.0,1.31
D028,R108,7,Z14,Z05,6.3,3.24,8.13,1.0,2.1
D008,R029,15,Z10,Z05,5.4,1.29,4.16,1.0,0.77
D028,R006,23,Z21,Z13,8.9,3.75,10.98,1.03,3.0
D041,R112,6,Z14,ZJFK,8.3,13.39,40.4,1.19,9.44
D037,R138,14,Z21,Z12,7.3,2.8,9.49,1.0,0.54
D040,R184,7,Z02,Z09,4.0,4.48,9.61,1.0,2.14
D058,R110,18,Z02,Z03,2.6,1.9,3.52,1.0,0.4
D022,R217,8,Z24,Z06,5.7,4.94,11.08,1.0,2.42
D111,R153,6,Z23,ZJFK,5.7,15.8,44.66,1.15,11.27
D102,R059,7,Z04,Z24,8.5,5.35,8.84,1.0,1.49
D086,R160,0,Z14,Z10,7.5,2.44,14.4,2.31,1.29
D088,R019,20,Z23,Z17,8.3,5.21,14.23,1.42,2.92
D104,R149,19,Z15,Z23,5.9,3.67,10.2,1.24,1.95
D078,R120,0,Z23,Z07,5.8,5.01,12.54,1.17,1.27
D063,R247,7,Z10,ZJFK,4.3,12.51,35.01,1.0,8.49
D014,R072,9,Z07,Z16,7.9,1.64,5.31,1.0,0.97
D078,R047,15,Z17,ZJFK,4.4,16.96,45.51,1.09,9.0
D079,R107,11,Z12,Z01,2.8,4.95,12.01,1.0,2.87
D102,R084,11,Z11,Z01,3.2,3.96,9.59,1.0,2.61
D012,R133,8,Z10,Z18,5.5,4.96,12.05,1.0,3.71
D061,R196,17,Z01,Z19,3.9,6.66,17.58,1.0,3.42
D041,R159,17,Z13,Z04,4.9,4.36,10.56,1.0,2.08
D019,R026,22,Z21,Z07,7.5,4.15,15.11,1.38,2.75
D002,R245,12,Z13,Z14,3.8,4.17,9.37,1.0,2.05
D034,R233,8,Z04,Z11,4.7,3.62,9.54,1.0,2.19
D024,R228,21,Z24,Z10,9.5,3.4,10.04,1.27,2.46
D049,R008,11,Z19,Z13,6.6,3.0,7.24,1.0,0.69
D109,R088,7,Z07,Z06,9.3,2.29,5.37,1.0,1.82
D097,R239,10,Z13,Z06,3.3,5.59,10.78,1.0,1.36
D020,R104,13,Z02,Z18,4.1,6.88,14.95,1.0,3.04
D029,R113,5,Z15,ZJFK,3.7,14.45,38.63,1.1,7.61
D110,R207,20,Z01,Z14,4.2,5.73,14.86,1.26,2.27
D013,R095,6,Z06,ZJFK,9.9,10.48,35.66,1.27,6.24
D108,R248,13,Z18,Z21,5.1,3.22,8.67,1.0,2.73
D120,R192,19,Z02,Z08,4.0,3.95,11.23,1.3,2.52
D042,R168,18,Z19,Z13,4.9,3.0,8.62,1.0,1.68
D006,R025,12,Z07,Z24,8.7,3.11,8.6,1.0,1.84
D051,R220,19,Z18,Z13,6.3,2.26,8.09,1.26,2.43
D001,R153,10,Z14,Z24,7.8,1.39,4.21,1.0,0.88
D037,R197,17,Z13,Z06,3.7,5.59,12.55,1.0,4.26
D072,R147,11,Z07,Z02,8.2,5.88,13.64,1.0,2.83
D032,R018,2,Z16,Z14,9.6,1.69,5.92,1.37,1.45
D087,R224,8,Z15,Z18,5.7,3.05,9.8,1.0,1.95
D079,R250,8,Z06,Z22,9.4,6.0,12.68,1.0,1.38
D104,R237,18,Z24,Z14,7.3,1.39,5.77,1.0,1.29
D054,R064,15,Z08,Z15,3.3,2.39,4.94,1.0,1.29
D045,R024,2,Z21,Z14,8.2,2.43,7.59,1.36,0.37
D032,R136,16,Z05,Z07,8.9,1.53,4.45,1.0,0.61
D036,R250,19,Z19,Z07,7.1,4.45,12.87,1.16,1.61
D012,R131,7,Z20,Z12,3.4,1.56,5.49,1.0,1.43
D112,R008,15,Z13,Z15,3.9,2.32,5.94,1.0,0.59
D063,R154,15,Z03,ZJFK,4.0,13.41,39.83,1.19,4.92
D060,R216,8,Z20,Z17,4.2,3.0,7.07,1.0,0.95
D037,R223,9,Z15,Z15,5.6,0.4,2.6,1.0,0.0
D088,R155,17,Z02,ZJFK,4.4,13.8,37.86,1.14,8.09
D072,R024,10,Z07,Z08,6.2,2.96,7.13,1.0,1.22
D021,R001,10,Z22,Z05,5.9,5.02,9.66,1.0,1.76
D053,R211,5,Z01,ZJFK,1.3,12.27,36.62,1.17,10.09
D037,R034,11,Z14,Z04,7.9,4.4,11.18,1.0,2.21
D021,R035,11,Z16,Z02,8.4,5.82,14.82,1.0,3.6
D104,R002,17,Z18,ZJFK,4.0,17.07,44.8,1.07,8.59
D096,R184,10,Z02,Z06,5.6,5.23,12.3,1.0,3.36
D058,R101,10,Z04,Z04,7.4,0.4,3.94,1.0,0.85
D063,R191,11,Z20,Z07,4.7,3.79,11.13,1.0,3.58
D105,R192,17,Z02,Z07,5.2,5.88,13.69,1.0,3.47
D069,R242,20,Z21,Z13,7.5,3.75,13.9,1.15,2.54
D101,R003,14,Z05,Z21,8.9,4.87,12.58,1.0,2.06
D015,R090,23,Z10,Z07,7.6,1.25,8.43,2.2,0.42
D067,R117,13,Z02,Z22,4.0,8.5,19.78,1.0,6.09
D065,R135,9,Z15,Z17,7.6,3.27,10.42,1.0,2.86
D029,R245,17,Z13,ZJFK,3.7,15.67,45.7,1.11,8.93
D103,R233,5,Z18,ZJFK,4.0,17.07,48.54,1.14,11.09
D023,R118,14,Z08,Z02,5.4,3.95,9.85,1.0,0.89
D065,R167,0,Z01,Z14,5.2,5.73,13.42,1.07,3.29
D035,R213,16,Z14,Z15,6.6,2.25,4.79,1.0,1.42
D010,R198,11,Z14,Z17,5.7,5.05,10.22,1.0,2.3
D054,R095,16,Z11,Z15,1.6,2.51,5.0,1.0,0.88
D063,R067,16,Z09,ZJFK,6.2,13.19,47.45,1.47,6.68
D103,R237,1,Z03,Z07,4.5,4.44,11.28,1.2,1.77
D078,R096,17,Z24,ZJFK,7.5,13.64,37.82,1.0,7.61
D060,R131,16,Z16,ZJFK,6.8,13.16,38.29,1.07,9.22
D051,R208,15,Z22,Z12,4.3,3.64,7.03,1.0,0.37
D110,R080,20,Z21,Z07,7.0,4.15,12.64,1.1,2.94
D110,R138,19,Z11,Z04,5.0,3.62,11.81,1.37,0.28
D115,R155,7,Z19,Z16,3.8,3.25,8.88,1.0,1.84
D063,R083,12,Z01,Z01,4.4,0.4,4.32,1.0,0.49
D066,R085,23,Z23,Z14,7.5,3.13,9.76,1.69,0.63
D078,R138,6,Z17,ZJFK,4.8,16.96,50.98,1.22,8.06
D005,R063,13,Z07,Z13,8.8,4.47,11.83,1.0,1.97
D032,R165,14,Z14,Z09,9.2,3.04,7.96,1.0,0.99
D103,R175,6,Z18,ZJFK,3.8,17.07,54.34,1.31,12.94
D015,R112,18,Z19,Z16,3.8,3.25,7.58,1.0,1.0
D101,R093,12,Z10,Z11,5.7,3.3,8.66,1.0,1.09
D028,R167,1,Z12,Z10,5.0,2.99,9.94,1.35,2.01
D060,R133,8,Z10,Z12,5.8,2.99,9.86,1.0,3.46
D071,R229,9,Z22,Z09,5.2,4.51,11.19,1.0,3.17
D120,R233,10,Z11,Z17,5.4,2.46,7.38,1.0,1.87
D074,R021,13,Z12,Z06,6.0,5.07,10.8,1.0,2.85
D035,R053,10,Z07,Z21,10.0,4.15,10.65,1.0,2.61
D098,R043,10,Z08,Z21,2.7,4.38,9.72,1.0,2.3
D028,R053,16,Z12,Z10,6.1,2.99,8.03,1.0,1.81
D090,R142,18,Z06,Z10,8.3,2.55,8.3,1.0,1.38
D028,R144,14,Z01,Z08,5.3,3.01,7.25,1.0,2.15
D019,R126,10,Z14,Z21,7.3,2.43,8.72,1.0,2.71
D020,R186,23,Z17,Z13,5.6,1.69,9.86,1.88,2.01
D103,R238,7,Z23,ZJFK,5.5,15.8,46.69,1.24,10.56
D021,R173,11,Z08,Z06,4.6,3.62,12.16,1.0,1.92
D116,R076,1,Z06,Z07,11.4,2.29,8.22,1.25,0.97
D049,R057,15,Z07,Z09,7.1,2.23,6.22,1.0,1.69
D036,R040,16,Z17,Z10,4.3,4.92,13.42,1.0,1.87
D031,R149,23,Z12,Z07,4.9,3.67,12.31,1.35,3.55
D022,R177,17,Z03,Z12,3.6,4.26,8.37,1.0,1.61
D101,R052,23,Z01,Z10,6.3,3.7,9.29,1.04,2.29
D091,R128,15,Z17,Z11,4.4,2.46,5.82,1.0,2.01
D007,R230,15,Z02,Z03,0.8,1.9,6.47,1.0,1.29
D073,R211,16,Z22,Z06,6.0,6.0,13.78,1.0,3.65
D013,R089,1,Z12,Z07,7.9,3.67,9.27,1.29,1.81
D065,R060,12,Z17,Z11,2.3,2.46,5.75,1.0,0.71
D043,R209,18,Z13,Z16,2.8,3.38,8.58,1.0,3.28
D013,R003,7,Z12,ZJFK,5.7,15.1,40.93,1.0,9.22
D115,R226,6,Z04,ZJFK,6.9,11.9,36.29,1.21,5.19
D081,R192,10,Z15,Z19,5.9,2.17,5.78,1.0,0.24
D100,R170,9,Z19,Z06,2.8,6.2,16.18,1.0,4.7
D078,R204,11,Z19,Z17,4.5,3.15,7.92,1.0,3.64
D053,R153,14,Z18,Z02,5.8,6.88,14.53,1.0,4.08
D016,R222,5,Z06,ZJFK,9.4,10.48,33.16,1.14,7.43
D024,R135,12,Z19,Z23,4.1,2.48,7.87,1.0,1.5
D050,R187,22,Z13,Z07,6.6,4.47,20.34,2.29,1.4
D003,R057,7,Z21,Z01,4.1,6.91,14.63,1.0,3.59
D020,R037,8,Z06,Z10,10.8,2.55,8.21,1.0,1.82
D029,R083,7,Z06,ZJFK,9.9,10.48,36.11,1.15,8.25
D117,R162,12,Z24,Z15,7.8,3.05,7.05,1.0,2.13
D120,R032,12,Z14,Z10,7.3,2.44,8.44,1.0,1.7
D063,R102,8,Z23,Z21,6.4,1.71,6.94,1.0,1.71
D005,R134,2,Z07,Z17,12.1,5.66,18.95,1.57,4.03
D013,R031,6,Z17,ZJFK,6.6,16.96,42.61,1.03,5.95
D090,R145,15,Z05,Z23,8.0,5.88,11.21,1.0,2.98
D119,R081,17,Z17,Z04,4.0,5.65,13.42,1.0,4.03
D019,R043,19,Z16,Z22,9.4,3.3,10.37,1.35,1.13
D040,R050,19,Z09,Z13,8.1,2.89,7.78,1.12,0.82
D041,R062,14,Z02,Z23,3.1,9.17,17.88,1.0,3.47
D112,R081,10,Z07,Z04,7.4,2.8,8.43,1.0,1.9
D090,R055,10,Z18,Z20,5.9,2.41,9.26,1.0,1.33
D078,R025,15,Z24,ZJFK,6.1,13.64,39.18,1.05,6.57
D016,R153,15,Z18,Z20,5.2,2.41,8.47,1.0,2.84
D009,R053,16,Z12,Z07,4.3,3.67,8.49,1.0,2.77
D082,R022,16,Z19,ZJFK,6.3,15.9,46.83,1.18,7.17
D053,R223,11,Z17,Z14,3.2,5.05,8.93,1.0,1.04
D047,R059,8,Z04,Z10,9.3,2.36,5.44,1.0,1.13
D046,R067,10,Z18,Z09,5.7,4.4,9.92,1.0,2.81
D115,R058,6,Z08,ZJFK,4.4,13.67,38.78,1.06,5.52
D107,R095,9,Z19,Z06,6.2,6.2,13.84,1.0,3.06
D102,R152,8,Z15,Z05,5.3,3.24,10.25,1.0,3.05
D045,R054,21,Z04,Z17,8.6,5.65,13.17,1.15,4.65
D116,R017,15,Z11,ZJFK,2.4,15.05,51.37,1.44,5.91
D027,R002,10,Z17,Z15,5.9,3.27,8.22,1.0,1.47
D056,R205,20,Z19,Z17,7.0,3.15,8.66,1.46,1.16
D039,R114,8,Z16,Z07,7.3,1.64,6.51,1.0,0.23
D083,R098,7,Z07,Z16,8.9,1.64,6.94,1.0,2.1
D072,R071,0,Z08,Z14,6.2,3.65,11.65,1.5,1.63
D020,R165,0,Z24,Z14,9.7,1.39,7.77,1.35,2.37
D083,R171,15,Z12,Z05,3.5,3.74,8.99,1.0,1.15
D016,R135,6,Z03,ZJFK,3.7,13.41,48.96,1.52,7.99
D009,R005,2,Z08,Z13,6.5,2.46,7.18,1.42,1.7
D020,R016,7,Z16,Z09,6.0,1.75,7.09,1.0,1.21
D007,R150,1,Z02,Z07,6.4,5.88,13.83,1.16,1.47
D028,R236,15,Z04,Z02,6.6,3.61,11.47,1.0,2.3
D119,R025,14,Z05,Z18,8.6,5.72,14.12,1.0,2.89
D098,R175,10,Z01,Z19,3.6,6.66,15.21,1.0,4.68
D035,R123,14,Z04,Z04,6.7,0.4,3.16,1.0,0.33
D067,R122,10,Z12,Z17,5.2,2.42,7.37,1.0,1.88
D064,R135,15,Z19,Z18,4.0,2.28,6.88,1.0,1.07
D043,R233,0,Z24,Z07,9.3,3.11,13.35,1.46,2.8
D034,R214,17,Z08,Z18,3.9,4.17,10.77,1.0,3.3
D097,R009,17,Z16,Z19,6.3,3.25,9.12,1.0,1.83
D064,R087,8,Z05,Z12,8.4,3.74,9.46,1.0,1.84
D108,R061,15,Z21,Z07,4.6,4.15,9.54,1.0,0.98
D097,R034,10,Z01,Z03,4.4,1.56,6.43,1.0,0.0
D081,R128,22,Z14,Z17,8.0,5.05,15.86,1.51,3.73
D078,R010,5,Z01,ZJFK,3.0,12.27,34.86,1.1,8.26
D116,R018,19,Z08,Z04,6.1,2.31,8.1,1.0,1.45
D115,R139,11,Z20,Z04,3.9,4.93,12.3,1.0,2.78
D077,R027,1,Z04,Z07,10.0,2.8,7.79,1.24,1.69
D029,R116,13,Z09,Z14,8.2,3.04,8.32,1.0,1.17
D058,R122,19,Z12,Z04,7.3,4.16,10.41,1.24,1.69
D097,R080,19,Z17,Z03,6.7,5.01,23.13,2.12,3.07
D095,R235,8,Z08,Z03,4.5,2.48,7.77,1.0,1.83
D048,R078,19,Z05,Z21,9.7,4.87,14.92,1.24,3.33
D023,R174,21,Z01,Z13,6.5,4.82,11.81,1.18,3.08
D013,R088,9,Z09,Z04,6.7,2.18,6.25,1.0,0.82
D004,R035,18,Z10,Z15,3.0,2.39,5.66,1.0,2.05
D068,R051,13,Z12,Z23,4.1,4.11,11.77,1.0,2.03
D040,R170,15,Z04,Z08,6.3,2.31,6.61,1.0,1.89
D103,R094,18,Z04,Z11,7.8,3.62,9.22,1.0,1.21
D115,R153,10,Z18,Z01,5.3,6.65,18.62,1.0,5.15
D116,R167,0,Z14,Z13,10.1,4.17,15.52,1.7,3.14
D089,R138,10,Z16,Z01,8.4,4.47,11.8,1.0,0.92
D101,R020,13,Z10,Z17,5.2,4.92,12.4,1.0,2.64
D061,R205,18,Z08,Z20,2.4,3.31,8.24,1.0,2.18
D078,R136,7,Z13,ZJFK,3.4,15.67,41.51,1.0,9.73
D042,R071,12,Z21,Z03,6.0,6.45,13.44,1.0,2.86
D067,R039,9,Z18,Z14,1.6,4.59,10.35,1.0,1.86
D072,R248,19,Z08,Z13,5.3,2.46,9.06,1.29,1.35
