from_id,to_id,link_type,capacity_gbps,latency_ms,band
SAT0119,SAT0120,intra_isl,23.34,16.81,optical
SAT0109,SAT0120,intra_isl,22.18,17.25,optical
SAT0121,SAT0122,intra_isl,13.71,16.98,optical
SAT0122,SAT0123,intra_isl,13.71,17.2,optical
SAT0123,SAT0124,intra_isl,25.17,17.12,optical
SAT0124,SAT0125,intra_isl,26.96,16.88,optical
SAT0125,SAT0126,intra_isl,24.93,16.87,optical
SAT0126,SAT0127,intra_isl,24.28,17.19,optical
SAT0127,SAT0128,intra_isl,24.28,16.91,optical
SAT0128,SAT0129,intra_isl,24.75,17.24,optical
SAT0129,SAT0130,intra_isl,26.8,16.85,optical
SAT0130,SAT0131,intra_isl,25.87,17.12,optical
SAT0131,SAT0132,intra_isl,25.63,17.19,optical
SAT0121,SAT0132,intra_isl,25.63,16.9,optical
SAT0133,SAT0134,intra_isl,26.54,16.92,optical
SAT0134,SAT0135,intra_isl,25.28,17.26,optical
SAT0135,SAT0136,intra_isl,25.28,16.91,optical
SAT0136,SAT0137,intra_isl,26.32,16.99,optical
SAT0137,SAT0138,intra_isl,29.05,17.0,optical
SAT0138,SAT0139,intra_isl,29.05,16.91,optical
SAT0139,SAT0140,intra_isl,27.59,17.17,optical
SAT0140,SAT0141,intra_isl,24.11,17.17,optical
SAT0141,SAT0142,intra_isl,24.11,16.97,optical
SAT0142,SAT0143,intra_isl,26.47,17.2,optical
SAT0143,SAT0144,intra_isl,26.47,16.89,optical
SAT0133,SAT0144,intra_isl,26.54,16.78,optical
SAT0001,SAT0024,inter_isl,10.68,14.37,optical
SAT0002,SAT0013,inter_isl,6.31,14.48,optical
SAT0003,SAT0014,inter_isl,6.58,10.66,optical
SAT0004,SAT0015,inter_isl,6.71,6.22,optical
SAT0005,SAT0016,inter_isl,11.79,6.74,optical
SAT0006,SAT0017,inter_isl,6.18,11.49,optical
SAT0007,SAT0018,inter_isl,6.9,14.1,optical
SAT0008,SAT0019,inter_isl,6.92,14.15,optical
SAT0009,SAT0020,inter_isl,11.44,11.11,optical
SAT0010,SAT0021,inter_isl,6.68,6.33,optical
SAT0011,SAT0022,inter_isl,5.96,6.52,optical
SAT0012,SAT0023,inter_isl,12.16,11.13,optical
SAT0013,SAT0036,inter_isl,13.98,14.4,optical
SAT0014,SAT0025,inter_isl,6.58,14.03,optical
SAT0015,SAT0026,inter_isl,6.71,10.74,optical
SAT0016,SAT0027,inter_isl,12.54,6.22,optical
SAT0017,SAT0028,inter_isl,6.18,7.14,optical
SAT0018,SAT0029,inter_isl,6.33,11.94,optical
SAT0019,SAT0030,inter_isl,10.88,14.4,optical
SAT0020,SAT0031,inter_isl,11.44,13.95,optical
SAT0021,SAT0032,inter_isl,11.42,10.78,optical
SAT0022,SAT0033,inter_isl,5.96,5.97,optical
SAT0023,SAT0034,inter_isl,12.16,7.17,optical
SAT0024,SAT0035,inter_isl,6.99,11.79,optical
SAT0025,SAT0048,inter_isl,7.49,14.32,optical
SAT0026,SAT0037,inter_isl,7.14,13.83,optical
SAT0027,SAT0038,inter_isl,8.32,9.96,optical
SAT0028,SAT0039,inter_isl,8.89,5.67,optical
SAT0029,SAT0040,inter_isl,6.33,7.37,optical
SAT0030,SAT0041,inter_isl,13.51,11.86,optical
SAT0031,SAT0042,inter_isl,7.41,14.73,optical
SAT0032,SAT0043,inter_isl,8.72,14.11,optical
SAT0033,SAT0044,inter_isl,16.17,10.34,optical
SAT0034,SAT0045,inter_isl,13.72,5.73,optical
SAT0035,SAT0046,inter_isl,6.99,7.27,optical
SAT0036,SAT0047,inter_isl,13.98,11.81,optical
SAT0037,SAT0060,inter_isl,7.76,14.39,optical
SAT0038,SAT0049,inter_isl,8.32,13.93,optical
SAT0039,SAT0050,inter_isl,12.84,9.78,optical
SAT0040,SAT0051,inter_isl,9.35,5.51,optical
SAT0041,SAT0052,inter_isl,8.28,7.98,optical
SAT0042,SAT0053,inter_isl,7.41,12.24,optical
SAT0043,SAT0054,inter_isl,8.72,14.34,optical
SAT0044,SAT0055,inter_isl,8.43,13.43,optical
SAT0045,SAT0056,inter_isl,7.91,9.83,optical
SAT0046,SAT0057,inter_isl,8.94,5.85,optical
SAT0047,SAT0058,inter_isl,14.01,7.64,optical
SAT0048,SAT0059,inter_isl,7.49,12.53,optical
SAT0049,SAT0072,inter_isl,13.77,14.87,optical
SAT0050,SAT0061,inter_isl,17.09,13.6,optical
SAT0051,SAT0062,inter_isl,9.13,9.29,optical
SAT0052,SAT0063,inter_isl,8.28,5.29,optical
SAT0053,SAT0064,inter_isl,8.59,8.42,optical
SAT0054,SAT0065,inter_isl,17.13,12.51,optical
SAT0055,SAT0066,inter_isl,8.43,14.75,optical
SAT0056,SAT0067,inter_isl,7.91,13.6,optical
SAT0057,SAT0068,inter_isl,8.94,9.2,optical
SAT0058,SAT0069,inter_isl,15.44,5.74,optical
SAT0059,SAT0070,inter_isl,16.45,8.46,optical
SAT0060,SAT0071,inter_isl,8.28,12.77,optical
SAT0061,SAT0084,inter_isl,16.76,14.64,optical
SAT0062,SAT0073,inter_isl,9.13,13.38,optical
SAT0063,SAT0074,inter_isl,16.29,9.0,optical
SAT0064,SAT0075,inter_isl,16.34,5.65,optical
SAT0065,SAT0076,inter_isl,16.84,8.78,optical
SAT0066,SAT0077,inter_isl,8.49,13.0,optical
SAT0067,SAT0078,inter_isl,17.5,14.56,optical
SAT0068,SAT0079,inter_isl,16.37,12.92,optical
SAT0069,SAT0080,inter_isl,17.36,8.84,optical
SAT0070,SAT0081,inter_isl,16.32,5.5,optical
SAT0071,SAT0082,inter_isl,17.92,8.57,optical
SAT0072,SAT0083,inter_isl,17.25,12.94,optical
SAT0073,SAT0096,inter_isl,9.59,14.63,optical
SAT0074,SAT0085,inter_isl,9.81,13.08,optical
SAT0075,SAT0086,inter_isl,8.55,8.79,optical
SAT0076,SAT0087,inter_isl,16.84,5.35,optical
SAT0077,SAT0088,inter_isl,16.64,9.16,optical
SAT0078,SAT0089,inter_isl,17.5,13.29,optical
SAT0079,SAT0090,inter_isl,11.1,14.72,optical
SAT0080,SAT0091,inter_isl,17.95,12.7,optical
SAT0081,SAT0092,inter_isl,16.32,8.76,optical
SAT0082,SAT0093,inter_isl,19.07,5.78,optical
SAT0083,SAT0094,inter_isl,8.21,9.12,optical
SAT0084,SAT0095,inter_isl,16.76,13.4,optical
SAT0085,SAT0108,inter_isl,9.81,14.97,optical
SAT0086,SAT0097,inter_isl,8.55,12.54,optical
SAT0087,SAT0098,inter_isl,17.15,8.21,optical
SAT0088,SAT0099,inter_isl,16.64,5.55,optical
SAT0089,SAT0100,inter_isl,17.96,9.68,optical
SAT0090,SAT0101,inter_isl,11.1,13.16,optical
SAT0091,SAT0102,inter_isl,18.51,14.61,optical
SAT0092,SAT0103,inter_isl,19.67,12.86,optical
SAT0093,SAT0104,inter_isl,18.6,8.05,optical
SAT0094,SAT0105,inter_isl,8.21,5.75,optical
SAT0095,SAT0106,inter_isl,18.48,9.37,optical
SAT0096,SAT0107,inter_isl,18.91,13.73,optical
SAT0097,SAT0120,inter_isl,18.34,14.87,optical
SAT0098,SAT0109,inter_isl,17.42,12.25,optical
SAT0099,SAT0110,inter_isl,17.74,7.97,optical
SAT0100,SAT0111,inter_isl,20.9,5.59,optical
SAT0101,SAT0112,inter_isl,16.47,9.86,optical
SAT0102,SAT0113,inter_isl,18.51,13.74,optical
SAT0103,SAT0114,inter_isl,19.41,14.79,optical
SAT0104,SAT0115,inter_isl,18.6,12.02,optical
SAT0105,SAT0116,inter_isl,19.25,7.64,optical
SAT0106,SAT0117,inter_isl,18.48,5.82,optical
SAT0107,SAT0118,inter_isl,17.5,9.81,optical
SAT0108,SAT0119,inter_isl,18.96,13.64,optical
SAT0109,SAT0132,inter_isl,17.42,14.27,optical
SAT0110,SAT0121,inter_isl,20.13,11.88,optical
SAT0111,SAT0122,inter_isl,10.77,7.65,optical
SAT0112,SAT0123,inter_isl,19.78,5.59,optical
SAT0113,SAT0124,inter_isl,18.83,10.12,optical
SAT0114,SAT0125,inter_isl,19.41,14.1,optical
SAT0115,SAT0126,inter_isl,19.59,14.3,optical
SAT0116,SAT0127,inter_isl,19.07,12.13,optical
SAT0117,SAT0128,inter_isl,19.45,7.31,optical
SAT0118,SAT0129,inter_isl,17.5,6.1,optical
SAT0119,SAT0130,inter_isl,18.96,10.32,optical
SAT0120,SAT0131,inter_isl,18.34,14.07,optical
SAT0121,SAT0144,inter_isl,20.65,14.27,optical
SAT0122,SAT0133,inter_isl,10.77,11.61,optical
SAT0123,SAT0134,inter_isl,19.78,7.21,optical
SAT0124,SAT0135,inter_isl,19.87,5.95,optical
SAT0125,SAT0136,inter_isl,20.68,10.41,optical
SAT0126,SAT0137,inter_isl,19.59,13.74,optical
SAT0127,SAT0138,inter_isl,19.07,14.74,optical
SAT0128,SAT0139,inter_isl,19.45,11.7,optical
SAT0129,SAT0140,inter_isl,21.05,7.11,optical
SAT0130,SAT0141,inter_isl,18.94,6.28,optical
SAT0131,SAT0142,inter_isl,20.33,10.56,optical
SAT0132,SAT0143,inter_isl,20.14,14.01,optical
SAT0001,SAT0133,inter_isl,10.68,14.33,optical
SAT0002,SAT0134,inter_isl,6.31,11.4,optical
SAT0003,SAT0135,inter_isl,12.44,6.5,optical
SAT0004,SAT0136,inter_isl,12.07,6.61,optical
SAT0005,SAT0137,inter_isl,11.79,11.12,optical
SAT0006,SAT0138,inter_isl,6.83,14.1,optical
SAT0007,SAT0139,inter_isl,6.9,14.4,optical
SAT0008,SAT0140,inter_isl,6.92,11.1,optical
SAT0009,SAT0141,inter_isl,12.19,7.01,optical
SAT0010,SAT0142,inter_isl,6.68,6.65,optical
SAT0011,SAT0143,inter_isl,11.76,11.2,optical
SAT0012,SAT0144,inter_isl,14.55,14.09,optical
SAT0145,SAT0146,intra_isl,4.61,18.38,Ka
SAT0146,SAT0147,intra_isl,5.17,18.4,Ka
SAT0147,SAT0148,intra_isl,5.17,18.34,Ka
SAT0148,SAT0149,intra_isl,9.27,18.36,Ka
SAT0149,SAT0150,intra_isl,5.45,18.33,Ka
SAT0150,SAT0151,intra_isl,5.45,18.79,Ka
SAT0151,SAT0152,intra_isl,4.98,18.33,Ka
SAT0152,SAT0153,intra_isl,4.98,18.36,Ka
SAT0153,SAT0154,intra_isl,5.28,18.71,Ka
SAT0154,SAT0155,intra_isl,5.11,18.59,Ka
SAT0145,SAT0155,intra_isl,4.61,18.68,Ka
SAT0156,SAT0157,intra_isl,5.39,18.61,Ka
SAT0157,SAT0158,intra_isl,5.39,18.74,Ka
SAT0158,SAT0159,intra_isl,10.44,18.61,Ka
SAT0159,SAT0160,intra_isl,5.35,18.56,Ka
SAT0160,SAT0161,intra_isl,5.35,18.65,Ka
SAT0161,SAT0162,intra_isl,9.79,18.52,Ka
SAT0162,SAT0163,intra_isl,9.81,18.47,Ka
SAT0163,SAT0164,intra_isl,10.14,18.53,Ka
SAT0164,SAT0165,intra_isl,10.14,18.38,Ka
SAT0165,SAT0166,intra_isl,6.27,18.69,Ka
SAT0156,SAT0166,intra_isl,6.27,18.43,Ka
SAT0167,SAT0168,intra_isl,11.48,18.37,Ka
SAT0168,SAT0169,intra_isl,11.48,18.42,Ka
SAT0169,SAT0170,intra_isl,11.54,18.72,Ka
SAT0170,SAT0171,intra_isl,7.7,18.46,Ka
SAT0171,SAT0172,intra_isl,7.7,18.64,Ka
SAT0172,SAT0173,intra_isl,7.31,18.72,Ka
SAT0173,SAT0174,intra_isl,6.54,18.33,Ka
SAT0174,SAT0175,intra_isl,5.95,18.68,Ka
SAT0175,SAT0176,intra_isl,5.95,18.45,Ka
SAT0176,SAT0177,intra_isl,6.08,18.4,Ka
SAT0167,SAT0177,intra_isl,6.47,18.64,Ka
SAT0178,SAT0179,intra_isl,7.7,18.75,Ka
SAT0179,SAT0180,intra_isl,7.7,18.44,Ka
SAT0180,SAT0181,intra_isl,12.49,18.58,Ka
SAT0181,SAT0182,intra_isl,12.49,18.44,Ka
SAT0182,SAT0183,intra_isl,7.07,18.57,Ka
SAT0183,SAT0184,intra_isl,7.07,18.61,Ka
SAT0184,SAT0185,intra_isl,7.34,18.6,Ka
SAT0185,SAT0186,intra_isl,6.79,18.61,Ka
SAT0186,SAT0187,intra_isl,6.79,18.36,Ka
SAT0187,SAT0188,intra_isl,8.06,18.64,Ka
SAT0178,SAT0188,intra_isl,8.06,18.63,Ka
SAT0189,SAT0190,intra_isl,14.46,18.64,Ka
SAT0190,SAT0191,intra_isl,15.85,18.33,Ka
SAT0191,SAT0192,intra_isl,13.37,18.52,Ka
SAT0192,SAT0193,intra_isl,13.37,18.5,Ka
SAT0193,SAT0194,intra_isl,15.09,18.34,Ka
SAT0194,SAT0195,intra_isl,15.3,18.41,Ka
SAT0195,SAT0196,intra_isl,15.3,18.52,Ka
SAT0196,SAT0197,intra_isl,15.23,18.67,Ka
SAT0197,SAT0198,intra_isl,14.11,18.41,Ka
SAT0198,SAT0199,intra_isl,7.83,18.71,Ka
SAT0189,SAT0199,intra_isl,7.83,18.57,Ka
SAT0200,SAT0201,intra_isl,17.57,18.68,Ka
SAT0201,SAT0202,intra_isl,16.06,18.53,Ka
SAT0202,SAT0203,intra_isl,16.06,18.55,Ka
SAT0203,SAT0204,intra_isl,17.47,18.61,Ka
SAT0204,SAT0205,intra_isl,16.86,18.76,Ka
SAT0205,SAT0206,intra_isl,16.86,18.54,Ka
SAT0206,SAT0207,intra_isl,13.51,18.56,Ka
SAT0207,SAT0208,intra_isl,13.51,18.6,Ka
SAT0208,SAT0209,intra_isl,17.01,18.66,Ka
SAT0209,SAT0210,intra_isl,17.78,18.33,Ka
SAT0200,SAT0210,intra_isl,17.78,18.55,Ka
SAT0145,SAT0156,inter_isl,3.62,17.6,Ka
SAT0146,SAT0157,inter_isl,4.24,14.85,Ka
SAT0147,SAT0158,inter_isl,4.06,7.75,Ka
SAT0148,SAT0159,inter_isl,7.28,5.53,Ka
SAT0149,SAT0160,inter_isl,4.2,12.86,Ka
SAT0150,SAT0161,inter_isl,4.28,17.13,Ka
SAT0151,SAT0162,inter_isl,7.71,16.51,Ka
SAT0152,SAT0163,inter_isl,3.92,11.3,Ka
SAT0153,SAT0164,inter_isl,4.29,4.54,Ka
SAT0154,SAT0165,inter_isl,4.15,8.73,Ka
SAT0155,SAT0166,inter_isl,4.02,15.38,Ka
SAT0156,SAT0167,inter_isl,9.26,17.63,Ka
SAT0157,SAT0168,inter_isl,4.24,13.79,Ka
SAT0158,SAT0169,inter_isl,8.21,6.36,Ka
SAT0159,SAT0170,inter_isl,8.27,6.63,Ka
SAT0160,SAT0171,inter_isl,4.2,13.47,Ka
SAT0161,SAT0172,inter_isl,7.69,17.73,Ka
SAT0162,SAT0173,inter_isl,5.74,15.94,Ka
SAT0163,SAT0174,inter_isl,5.14,10.35,Ka
SAT0164,SAT0175,inter_isl,4.68,4.37,Ka
SAT0165,SAT0176,inter_isl,4.77,10.35,Ka
SAT0166,SAT0177,inter_isl,4.93,16.09,Ka
SAT0167,SAT0178,inter_isl,9.26,17.32,Ka
SAT0168,SAT0179,inter_isl,6.05,12.46,Ka
SAT0169,SAT0180,inter_isl,9.06,5.79,Ka
SAT0170,SAT0181,inter_isl,9.26,7.76,Ka
SAT0171,SAT0182,inter_isl,6.05,14.71,Ka
SAT0172,SAT0183,inter_isl,5.56,17.82,Ka
SAT0173,SAT0184,inter_isl,5.74,15.76,Ka
SAT0174,SAT0185,inter_isl,5.14,8.87,Ka
SAT0175,SAT0186,inter_isl,4.68,4.64,Ka
SAT0176,SAT0187,inter_isl,4.77,11.33,Ka
SAT0177,SAT0188,inter_isl,5.08,16.58,Ka
SAT0178,SAT0189,inter_isl,11.36,16.76,Ka
SAT0179,SAT0190,inter_isl,6.05,11.75,Ka
SAT0180,SAT0191,inter_isl,9.89,5.05,Ka
SAT0181,SAT0192,inter_isl,9.81,9.02,Ka
SAT0182,SAT0193,inter_isl,10.3,15.53,Ka
SAT0183,SAT0194,inter_isl,5.56,17.82,Ka
SAT0184,SAT0195,inter_isl,5.76,14.85,Ka
SAT0185,SAT0196,inter_isl,12.13,7.65,Ka
SAT0186,SAT0197,inter_isl,5.33,5.55,Ka
SAT0187,SAT0198,inter_isl,11.09,12.79,Ka
SAT0188,SAT0199,inter_isl,6.15,17.05,Ka
SAT0189,SAT0200,inter_isl,11.36,16.11,Ka
SAT0190,SAT0201,inter_isl,12.86,10.53,Ka
SAT0191,SAT0202,inter_isl,12.45,4.75,Ka
SAT0192,SAT0203,inter_isl,10.51,10.58,Ka
SAT0193,SAT0204,inter_isl,11.86,16.31,Ka
SAT0194,SAT0205,inter_isl,12.31,17.33,Ka
SAT0195,SAT0206,inter_isl,12.02,13.53,Ka
SAT0196,SAT0207,inter_isl,10.62,6.62,Ka
SAT0197,SAT0208,inter_isl,11.97,6.64,Ka
SAT0198,SAT0209,inter_isl,11.09,13.65,Ka
SAT0199,SAT0210,inter_isl,6.15,17.54,Ka
SAT0150,SAT0200,crossseam,1.36,15.65,Ka
SAT0149,SAT0201,crossseam,2.42,9.4,Ka
GS022,SAT0001,feeder,7.77,17.82,optical
GS007,SAT0002,feeder,4.59,17.4,optical
GS022,SAT0002,feeder,4.59,20.8,optical
GS010,SAT0003,feeder,9.05,23.68,optical
GS007,SAT0003,feeder,9.05,25.41,optical
GS016,SAT0004,feeder,8.78,25.25,optical
GS013,SAT0005,feeder,8.58,10.28,optical
GS013,SAT0006,feeder,4.97,25.34,optical
GS013,SAT0007,feeder,5.02,45.09,optical
GS003,SAT0008,feeder,5.03,62.01,optical
GS019,SAT0009,feeder,8.86,55.98,optical
GS019,SAT0010,feeder,4.86,43.03,optical
GS019,SAT0011,feeder,8.55,25.55,optical
GS019,SAT0012,feeder,10.58,28.33,optical
GS022,SAT0013,feeder,10.42,10.63,optical
GS007,SAT0014,feeder,4.78,33.66,optical
GS016,SAT0015,feeder,4.88,29.82,optical
GS016,SAT0016,feeder,9.82,13.95,optical
GS013,SAT0016,feeder,9.82,20.96,optical
GS013,SAT0017,feeder,4.5,26.56,optical
GS013,SAT0018,feeder,5.65,43.64,optical
GS003,SAT0019,feeder,7.91,47.99,optical
GS019,SAT0020,feeder,8.32,54.48,optical
GS019,SAT0021,feeder,8.3,43.16,optical
GS019,SAT0022,feeder,4.34,35.81,optical
GS019,SAT0023,feeder,8.84,36.87,optical
GS022,SAT0024,feeder,9.86,20.89,optical
GS022,SAT0025,feeder,5.78,38.67,optical
GS016,SAT0026,feeder,5.19,31.64,optical
GS016,SAT0027,feeder,9.12,11.05,optical
GS013,SAT0028,feeder,6.46,26.57,optical
GS001,SAT0029,feeder,4.6,35.97,optical
GS003,SAT0030,feeder,10.1,32.49,optical
GS003,SAT0031,feeder,8.77,42.17,optical
GS019,SAT0032,feeder,9.29,38.16,optical
GS019,SAT0033,feeder,11.76,30.62,optical
GS019,SAT0034,feeder,9.98,40.01,optical
GS022,SAT0035,feeder,5.08,38.07,optical
GS022,SAT0036,feeder,10.17,28.27,optical
GS016,SAT0037,feeder,5.64,39.39,optical
GS013,SAT0038,feeder,6.05,14.38,optical
GS016,SAT0038,feeder,6.05,14.19,optical
GS013,SAT0039,feeder,9.34,17.49,optical
GS001,SAT0040,feeder,9.9,38.65,optical
GS001,SAT0041,feeder,9.82,17.8,optical
GS003,SAT0041,feeder,9.82,19.57,optical
GS003,SAT0042,feeder,5.39,22.6,optical
GS019,SAT0043,feeder,6.34,31.33,optical
GS019,SAT0044,feeder,12.1,16.51,optical
GS019,SAT0045,feeder,11.32,32.25,optical
GS022,SAT0046,feeder,12.46,47.92,optical
GS022,SAT0047,feeder,10.19,43.11,optical
GS022,SAT0048,feeder,5.45,47.27,optical
GS013,SAT0049,feeder,10.02,25.49,optical
GS013,SAT0050,feeder,12.43,12.98,optical
GS013,SAT0051,feeder,6.8,35.56,optical
GS001,SAT0052,feeder,6.02,21.93,optical
GS003,SAT0052,feeder,6.02,25.31,optical
GS003,SAT0053,feeder,6.25,6.82,optical
GS002,SAT0053,feeder,6.25,7.77,optical
GS004,SAT0054,feeder,12.66,31.57,optical
GS019,SAT0055,feeder,6.13,8.91,optical
GS019,SAT0056,feeder,5.75,19.44,optical
GS019,SAT0057,feeder,6.5,43.89,optical
GS022,SAT0058,feeder,11.23,50.4,optical
GS022,SAT0059,feeder,12.19,54.51,optical
GS013,SAT0060,feeder,6.02,46.86,optical
GS013,SAT0061,feeder,13.04,31.32,optical
GS013,SAT0062,feeder,6.64,34.73,optical
GS001,SAT0063,feeder,13.7,29.5,optical
GS002,SAT0064,feeder,11.88,9.91,optical
GS001,SAT0064,feeder,11.88,11.71,optical
GS004,SAT0065,feeder,12.46,21.1,optical
GS002,SAT0065,feeder,12.46,24.57,optical
GS019,SAT0066,feeder,6.18,29.53,optical
GS019,SAT0067,feeder,12.87,26.45,optical
