node_id,kind,operator,plane,slot,altitude_km,inclination_deg,raan_deg,region,lat,lon,x,y,band,isl_capable,launch_year,status,capacity_gbps,label
SAT0035,satellite,Helios,2,10,551.3,52.97,60.0,,-40.838,19.3001,19.3001,-40.838,optical,1,2020,degraded,6.35,Helios 02-10
SAT0036,satellite,Helios,2,11,554.7,53.01,60.0,,-19.7281,44.3272,44.3272,-19.7281,optical,1,2020,active,12.71,Helios 02-11
SAT0037,satellite,Helios,3,0,550.7,53.07,90.0,,5.9887,94.5233,94.5233,5.9887,optical,1,2020,degraded,7.05,Helios 03-00
SAT0038,satellite,Helios,3,1,550.5,53.08,90.0,,29.1219,114.7482,114.7482,29.1219,optical,1,2020,degraded,7.56,Helios 03-01
SAT0039,satellite,Helios,3,2,549.5,53.09,90.0,,47.619,145.4079,145.4079,47.619,optical,1,2020,active,11.67,Helios 03-02
SAT0040,satellite,Helios,3,3,551.9,52.96,90.0,,52.3106,-167.6728,-167.6728,52.3106,optical,1,2020,active,12.38,Helios 03-03
SAT0041,satellite,Helios,3,4,554.2,53.02,90.0,,39.3267,-128.0962,-128.0962,39.3267,optical,1,2021,active,12.28,Helios 03-04
SAT0042,satellite,Helios,3,5,547.5,53.0,90.0,,17.7952,-103.9982,-103.9982,17.7952,optical,1,2020,degraded,6.74,Helios 03-05
SAT0043,satellite,Helios,3,6,546.0,53.05,90.0,,-5.9872,-85.4747,-85.4747,-5.9872,optical,1,2021,degraded,7.93,Helios 03-06
SAT0044,satellite,Helios,3,7,549.0,52.98,90.0,,-29.0796,-65.2008,-65.2008,-29.0796,optical,1,2021,active,15.12,Helios 03-07
SAT0045,satellite,Helios,3,8,547.9,52.99,90.0,,-47.5416,-34.5338,-34.5338,-47.5416,optical,1,2021,active,14.15,Helios 03-08
SAT0046,satellite,Helios,3,9,550.3,52.95,90.0,,-52.3014,12.3246,12.3246,-52.3014,optical,1,2021,active,15.58,Helios 03-09
SAT0047,satellite,Helios,3,10,549.1,52.96,90.0,,-39.2899,51.8654,51.8654,-39.2899,optical,1,2020,active,12.74,Helios 03-10
SAT0048,satellite,Helios,3,11,547.8,53.06,90.0,,-17.8103,76.0214,76.0214,-17.8103,optical,1,2020,degraded,6.81,Helios 03-11
SAT0049,satellite,Helios,4,0,548.4,52.95,120.0,,7.966,126.0647,126.0647,7.966,optical,1,2021,active,12.52,Helios 04-00
SAT0050,satellite,Helios,4,1,556.4,52.93,120.0,,30.8543,146.8321,146.8321,30.8543,optical,1,2021,active,15.54,Helios 04-01
SAT0051,satellite,Helios,4,2,546.5,53.15,120.0,,48.7555,178.7493,178.7493,48.7555,optical,1,2021,degraded,8.5,Helios 04-02
SAT0052,satellite,Helios,4,3,549.3,52.95,120.0,,51.8125,-133.6875,-133.6875,51.8125,optical,1,2021,degraded,7.53,Helios 04-03
SAT0053,satellite,Helios,4,4,545.9,52.99,120.0,,37.7152,-95.6529,-95.6529,37.7152,optical,1,2021,degraded,7.81,Helios 04-04
SAT0054,satellite,Helios,4,5,551.4,52.97,120.0,,15.8458,-72.3628,-72.3628,15.8458,optical,1,2022,active,15.83,Helios 04-05
SAT0055,satellite,Helios,4,6,550.0,53.0,120.0,,-7.9718,-53.943,-53.943,-7.9718,optical,1,2021,degraded,7.66,Helios 04-06
SAT0056,satellite,Helios,4,7,554.7,53.1,120.0,,-30.9346,-33.263,-33.263,-30.9346,optical,1,2021,degraded,7.19,Helios 04-07
SAT0057,satellite,Helios,4,8,550.8,53.06,120.0,,-48.6822,-1.2001,-1.2001,-48.6822,optical,1,2021,degraded,8.13,Helios 04-08
SAT0058,satellite,Helios,4,9,546.7,53.02,120.0,,-51.8817,46.3383,46.3383,-51.8817,optical,1,2021,active,14.04,Helios 04-09
SAT0059,satellite,Helios,4,10,549.7,52.99,120.0,,-37.7106,84.3422,84.3422,-37.7106,optical,1,2021,active,15.24,Helios 04-10
SAT0060,satellite,Helios,4,11,549.3,52.87,120.0,,-15.8243,107.6093,107.6093,-15.8243,optical,1,2021,degraded,7.53,Helios 04-11
SAT0061,satellite,Helios,5,0,551.0,52.91,150.0,,9.9423,157.6147,157.6147,9.9423,optical,1,2022,active,16.3,Helios 05-00
SAT0062,satellite,Helios,5,1,549.8,52.98,150.0,,32.6451,178.8843,178.8843,32.6451,optical,1,2021,degraded,8.3,Helios 05-01
SAT0063,satellite,Helios,5,2,555.2,53.03,150.0,,49.6376,-147.6665,-147.6665,49.6376,optical,1,2022,active,17.12,Helios 05-02
SAT0064,satellite,Helios,5,3,552.5,53.02,150.0,,51.2541,-99.7679,-99.7679,51.2541,optical,1,2022,active,14.85,Helios 05-03
SAT0065,satellite,Helios,5,4,546.5,53.05,150.0,,36.1002,-63.2654,-63.2654,36.1002,optical,1,2022,active,15.57,Helios 05-04
SAT0066,satellite,Helios,5,5,552.3,53.06,150.0,,13.9066,-40.73,-40.73,13.9066,optical,1,2022,degraded,7.72,Helios 05-05
SAT0067,satellite,Helios,5,6,546.5,53.0,150.0,,-9.9535,-22.3999,-22.3999,-9.9535,optical,1,2022,active,16.09,Helios 05-06
SAT0068,satellite,Helios,5,7,547.0,52.97,150.0,,-32.6362,-1.1053,-1.1053,-32.6362,optical,1,2022,active,14.88,Helios 05-07
SAT0069,satellite,Helios,5,8,553.5,53.02,150.0,,-49.6257,32.3409,32.3409,-49.6257,optical,1,2022,active,15.78,Helios 05-08
SAT0070,satellite,Helios,5,9,551.2,53.0,150.0,,-51.2369,80.2242,80.2242,-51.2369,optical,1,2022,active,14.95,Helios 05-09
SAT0071,satellite,Helios,5,10,545.3,53.03,150.0,,-36.0892,116.7225,116.7225,-36.0892,optical,1,2022,active,16.29,Helios 05-10
SAT0072,satellite,Helios,5,11,552.4,52.97,150.0,,-13.8903,139.2488,139.2488,-13.8903,optical,1,2022,active,15.72,Helios 05-11
SAT0073,satellite,Helios,6,0,547.4,53.01,180.0,,11.9313,-170.8424,-170.8424,11.9313,optical,1,2022,degraded,8.72,Helios 06-00
SAT0074,satellite,Helios,6,1,546.8,53.05,180.0,,34.4087,-148.9892,-148.9892,34.4087,optical,1,2022,active,14.81,Helios 06-01
SAT0075,satellite,Helios,6,2,550.6,52.96,180.0,,50.4443,-113.9801,-113.9801,50.4443,optical,1,2023,active,18.36,Helios 06-02
SAT0076,satellite,Helios,6,3,552.5,53.04,180.0,,50.5209,-65.9785,-65.9785,50.5209,optical,1,2022,active,15.31,Helios 06-03
SAT0077,satellite,Helios,6,4,554.8,52.9,180.0,,34.3312,-31.0988,-31.0988,34.3312,optical,1,2022,spare,16.72,Helios 06-04
SAT0078,satellite,Helios,6,5,546.2,52.92,180.0,,11.9164,-9.1771,-9.1771,11.9164,optical,1,2022,active,15.91,Helios 06-05
SAT0079,satellite,Helios,6,6,550.8,53.03,180.0,,-11.9333,9.155,9.155,-11.9333,optical,1,2022,active,15.55,Helios 06-06
SAT0080,satellite,Helios,6,7,551.4,52.98,180.0,,-34.3707,31.054,31.054,-34.3707,optical,1,2023,active,16.32,Helios 06-07
SAT0081,satellite,Helios,6,8,552.3,53.01,180.0,,-50.4881,65.9963,65.9963,-50.4881,optical,1,2022,spare,14.84,Helios 06-08
SAT0082,satellite,Helios,6,9,550.6,52.99,180.0,,-50.4736,113.9959,113.9959,-50.4736,optical,1,2023,active,17.53,Helios 06-09
SAT0083,satellite,Helios,6,10,549.6,52.99,180.0,,-34.376,148.952,148.952,-34.376,optical,1,2023,active,15.68,Helios 06-10
SAT0084,satellite,Helios,6,11,543.0,52.93,180.0,,-11.9173,170.8241,170.8241,-11.9173,optical,1,2022,active,15.24,Helios 06-11
SAT0085,satellite,Helios,7,0,553.3,53.01,210.0,,13.8975,-139.2582,-139.2582,13.8975,optical,1,2023,degraded,8.92,Helios 07-00
SAT0086,satellite,Helios,7,1,550.3,53.07,210.0,,36.1102,-116.7457,-116.7457,36.1102,optical,1,2022,degraded,7.77,Helios 07-01
SAT0087,satellite,Helios,7,2,548.9,52.96,210.0,,51.1919,-80.2035,-80.2035,51.1919,optical,1,2023,active,15.59,Helios 07-02
SAT0088,satellite,Helios,7,3,546.9,53.02,210.0,,49.6292,-32.3386,-32.3386,49.6292,optical,1,2023,active,15.13,Helios 07-03
SAT0089,satellite,Helios,7,4,548.2,53.05,210.0,,32.6754,1.151,1.151,32.6754,optical,1,2023,active,16.33,Helios 07-04
SAT0090,satellite,Helios,7,5,549.4,53.02,210.0,,9.9568,22.4042,22.4042,9.9568,optical,1,2023,degraded,10.09,Helios 07-05
SAT0091,satellite,Helios,7,6,545.6,52.98,210.0,,-13.8925,40.7484,40.7484,-13.8925,optical,1,2023,active,18.14,Helios 07-06
SAT0092,satellite,Helios,7,7,549.6,53.02,210.0,,-36.0835,63.2839,63.2839,-36.0835,optical,1,2023,active,19.12,Helios 07-07
SAT0093,satellite,Helios,7,8,550.5,53.0,210.0,,-51.2368,99.7759,99.7759,-51.2368,optical,1,2023,active,17.34,Helios 07-08
SAT0094,satellite,Helios,7,9,550.9,53.0,210.0,,-49.6107,147.6499,147.6499,-49.6107,optical,1,2022,degraded,7.46,Helios 07-09
SAT0095,satellite,Helios,7,10,548.6,52.94,210.0,,-32.626,-178.9064,-178.9064,-32.626,optical,1,2023,active,18.13,Helios 07-10
SAT0096,satellite,Helios,7,11,551.0,52.95,210.0,,-9.9476,-157.6078,-157.6078,-9.9476,optical,1,2023,active,17.19,Helios 07-11
SAT0097,satellite,Helios,8,0,549.0,53.03,240.0,,15.8584,-107.6535,-107.6535,15.8584,optical,1,2024,active,18.51,Helios 08-00
SAT0098,satellite,Helios,8,1,550.7,53.13,240.0,,37.7947,-84.4331,-84.4331,37.7947,optical,1,2024,active,19.14,Helios 08-01
SAT0099,satellite,Helios,8,2,549.5,53.0,240.0,,51.8571,-46.3291,-46.3291,51.8571,optical,1,2023,active,16.13,Helios 08-02
SAT0100,satellite,Helios,8,3,553.3,53.03,240.0,,48.6597,1.1846,1.1846,48.6597,optical,1,2024,active,19.0,Helios 08-03
SAT0101,satellite,Helios,8,4,552.8,52.98,240.0,,30.8805,33.1988,33.1988,30.8805,optical,1,2023,spare,14.97,Helios 08-04
SAT0102,satellite,Helios,8,5,554.1,52.93,240.0,,7.9637,53.9323,53.9323,7.9637,optical,1,2024,active,16.83,Helios 08-05
SAT0103,satellite,Helios,8,6,548.4,52.85,240.0,,-15.82,72.3962,72.3962,-15.82,optical,1,2024,active,17.88,Helios 08-06
SAT0104,satellite,Helios,8,7,545.3,53.02,240.0,,-37.7326,95.634,95.634,-37.7326,optical,1,2023,active,16.91,Helios 08-07
SAT0105,satellite,Helios,8,8,551.0,53.04,240.0,,-51.8978,133.6557,133.6557,-51.8978,optical,1,2024,active,19.5,Helios 08-08
SAT0106,satellite,Helios,8,9,547.1,53.08,240.0,,-48.7009,-178.787,-178.787,-48.7009,optical,1,2023,active,16.8,Helios 08-09
SAT0107,satellite,Helios,8,10,548.7,53.07,240.0,,-30.9191,-146.7555,-146.7555,-30.9191,optical,1,2024,active,18.79,Helios 08-10
SAT0108,satellite,Helios,8,11,548.9,53.08,240.0,,-7.9798,-126.0464,-126.0464,-7.9798,optical,1,2023,active,17.46,Helios 08-11
SAT0109,satellite,Helios,9,0,551.9,52.92,270.0,,17.7768,-75.9782,-75.9782,17.7768,optical,1,2024,active,15.84,Helios 09-00
SAT0110,satellite,Helios,9,1,544.9,52.96,270.0,,39.292,-51.8676,-51.8676,39.292,optical,1,2024,active,18.3,Helios 09-01
SAT0111,satellite,Helios,9,2,549.5,52.99,270.0,,52.342,-12.3361,-12.3361,52.342,optical,1,2024,active,19.28,Helios 09-02
SAT0112,satellite,Helios,9,3,551.2,53.03,270.0,,47.5753,34.5592,34.5592,47.5753,optical,1,2024,active,20.76,Helios 09-03
SAT0113,satellite,Helios,9,4,549.1,53.0,270.0,,29.0879,65.2108,65.2108,29.0879,optical,1,2024,active,17.12,Helios 09-04
SAT0114,satellite,Helios,9,5,549.8,52.96,270.0,,5.98,85.4653,85.4653,5.98,optical,1,2024,active,17.65,Helios 09-05
SAT0115,satellite,Helios,9,6,552.2,53.05,270.0,,-17.8066,103.9834,103.9834,-17.8066,optical,1,2024,active,19.11,Helios 09-06
SAT0116,satellite,Helios,9,7,545.7,53.01,270.0,,-39.322,128.1011,128.1011,-39.322,optical,1,2024,active,17.5,Helios 09-07
SAT0117,satellite,Helios,9,8,545.6,53.01,270.0,,-52.3636,167.6578,167.6578,-52.3636,optical,1,2024,active,18.22,Helios 09-08
SAT0118,satellite,Helios,9,9,542.8,53.02,270.0,,-47.563,-145.4501,-145.4501,-47.563,optical,1,2023,active,15.91,Helios 09-09
SAT0119,satellite,Helios,9,10,556.0,53.04,270.0,,-29.1047,-114.7689,-114.7689,-29.1047,optical,1,2023,active,17.24,Helios 09-10
SAT0120,satellite,Helios,9,11,546.3,53.08,270.0,,-5.9899,-94.5217,-94.5217,-5.9899,optical,1,2024,active,16.67,Helios 09-11
SAT0121,satellite,Helios,10,0,548.7,52.94,300.0,,19.7084,-44.3021,-44.3021,19.7084,optical,1,2024,active,18.77,Helios 10-00
SAT0122,satellite,Helios,10,1,551.5,52.91,300.0,,40.8014,-19.2634,-19.2634,40.8014,optical,1,2024,degraded,9.79,Helios 10-01
SAT0123,satellite,Helios,10,2,551.6,52.97,300.0,,52.6801,21.7346,21.7346,52.6801,optical,1,2025,spare,17.98,Helios 10-02
SAT0124,satellite,Helios,10,3,546.9,53.03,300.0,,46.3912,67.7871,67.7871,46.3912,optical,1,2025,active,20.54,Helios 10-03
SAT0125,satellite,Helios,10,4,546.2,52.96,300.0,,27.2475,97.1305,97.1305,27.2475,optical,1,2025,active,19.26,Helios 10-04
SAT0126,satellite,Helios,10,5,548.7,53.07,300.0,,3.9952,116.9911,116.9911,3.9952,optical,1,2024,active,17.81,Helios 10-05
SAT0127,satellite,Helios,10,6,548.4,53.02,300.0,,-19.7321,135.6676,135.6676,-19.7321,optical,1,2024,active,17.34,Helios 10-06
SAT0128,satellite,Helios,10,7,554.8,52.88,300.0,,-40.7806,160.7574,160.7574,-40.7806,optical,1,2025,active,17.68,Helios 10-07
SAT0129,satellite,Helios,10,8,549.1,52.98,300.0,,-52.6963,-158.2685,-158.2685,-52.6963,optical,1,2024,active,19.14,Helios 10-08
SAT0130,satellite,Helios,10,9,545.5,53.03,300.0,,-46.3906,-112.2133,-112.2133,-46.3906,optical,1,2025,active,20.21,Helios 10-09
SAT0131,satellite,Helios,10,10,549.6,52.98,300.0,,-27.2566,-82.8583,-82.8583,-27.2566,optical,1,2025,active,18.48,Helios 10-10
SAT0132,satellite,Helios,10,11,550.5,52.91,300.0,,-3.9868,-63.02,-63.02,-3.9868,optical,1,2024,active,18.31,Helios 10-11
SAT0133,satellite,Helios,11,0,546.7,53.08,330.0,,21.6646,-12.6366,-12.6366,21.6646,optical,1,2025,spare,18.96,Helios 11-00
SAT0134,satellite,Helios,11,1,553.6,53.01,330.0,,42.3487,13.3641,13.3641,42.3487,optical,1,2025,active,19.98,Helios 11-01
SAT0135,satellite,Helios,11,2,549.0,52.95,330.0,,52.8827,55.8548,55.8548,52.8827,optical,1,2025,active,18.06,Helios 11-02
SAT0136,satellite,Helios,11,3,548.4,53.02,330.0,,45.123,100.8755,100.8755,45.123,optical,1,2024,active,18.8,Helios 11-03
SAT0137,satellite,Helios,11,4,546.0,52.96,330.0,,25.3981,129.0074,129.0074,25.3981,optical,1,2025,active,22.86,Helios 11-04
SAT0138,satellite,Helios,11,5,551.2,53.02,330.0,,1.9969,148.4956,148.4956,1.9969,optical,1,2025,active,20.75,Helios 11-05
SAT0139,satellite,Helios,11,6,548.4,53.06,330.0,,-21.6584,167.3713,167.3713,-21.6584,optical,1,2025,active,20.95,Helios 11-06
SAT0140,satellite,Helios,11,7,548.6,53.07,330.0,,-42.394,-166.6797,-166.6797,-42.394,optical,1,2025,active,19.71,Helios 11-07
SAT0141,satellite,Helios,11,8,543.2,53.05,330.0,,-52.9752,-124.154,-124.154,-52.9752,optical,1,2025,active,17.22,Helios 11-08
SAT0142,satellite,Helios,11,9,547.3,52.95,330.0,,-45.0683,-79.172,-79.172,-45.0683,optical,1,2025,active,19.71,Helios 11-09
SAT0143,satellite,Helios,11,10,549.8,52.95,330.0,,-25.3924,-50.9996,-50.9996,-25.3924,optical,1,2025,active,18.91,Helios 11-10
SAT0144,satellite,Helios,11,11,549.3,53.03,330.0,,-1.9971,-31.5042,-31.5042,-1.9971,optical,1,2025,spare,20.84,Helios 11-11
SAT0145,satellite,Nimbus,0,0,780.0,86.35,0.0,,0.0,0.0,0.0,0.0,Ka,1,2019,degraded,3.29,Nimbus 00-00
SAT0146,satellite,Nimbus,0,1,778.9,86.43,0.0,,32.656,2.2888,2.2888,32.656,Ka,1,2019,degraded,3.88,Nimbus 00-01
SAT0147,satellite,Nimbus,0,2,775.5,86.29,0.0,,65.1924,8.0731,8.0731,65.1924,Ka,1,2019,degraded,3.69,Nimbus 00-02
SAT0148,satellite,Nimbus,0,3,776.6,86.44,0.0,,81.0814,156.6323,156.6323,81.0814,Ka,1,2019,active,6.62,Nimbus 00-03
SAT0149,satellite,Nimbus,0,4,779.4,86.43,0.0,,48.9626,175.8868,175.8868,48.9626,Ka,1,2019,spare,6.91,Nimbus 00-04
SAT0150,satellite,Nimbus,0,5,775.1,86.44,0.0,,16.3312,178.9556,178.9556,16.3312,Ka,1,2019,degraded,3.89,Nimbus 00-05
SAT0151,satellite,Nimbus,0,6,774.4,86.35,0.0,,-16.3295,-178.9288,-178.9288,-16.3295,Ka,1,2019,active,7.31,Nimbus 00-06
SAT0152,satellite,Nimbus,0,7,778.9,86.43,0.0,,-48.9625,-175.8849,-175.8849,-48.9625,Ka,1,2019,degraded,3.56,Nimbus 00-07
SAT0153,satellite,Nimbus,0,8,786.1,86.35,0.0,,-81.0457,-156.1131,-156.1131,-81.0457,Ka,1,2020,degraded,3.9,Nimbus 00-08
SAT0154,satellite,Nimbus,0,9,781.9,86.44,0.0,,-65.2139,-7.7369,-7.7369,-65.2139,Ka,1,2019,degraded,3.77,Nimbus 00-09
SAT0155,satellite,Nimbus,0,10,781.9,86.44,0.0,,-32.6561,-2.2871,-2.2871,-32.6561,Ka,1,2019,degraded,3.65,Nimbus 00-10
SAT0156,satellite,Nimbus,1,0,776.2,86.37,30.0,,5.4436,30.3462,30.3462,5.4436,Ka,1,2021,active,9.09,Nimbus 01-00
SAT0157,satellite,Nimbus,1,1,784.1,86.41,30.0,,38.0936,32.8169,32.8169,38.0936,Ka,1,2020,degraded,3.85,Nimbus 01-01
SAT0158,satellite,Nimbus,1,2,780.2,86.42,30.0,,70.5886,40.2274,40.2274,70.5886,Ka,1,2020,spare,7.46,Nimbus 01-02
SAT0159,satellite,Nimbus,1,3,782.7,86.49,30.0,,75.9274,-164.1641,-164.1641,75.9274,Ka,1,2020,active,7.52,Nimbus 01-03
SAT0160,satellite,Nimbus,1,4,776.8,86.39,30.0,,43.5281,-153.4359,-153.4359,43.5281,Ka,1,2020,degraded,3.82,Nimbus 01-04
SAT0161,satellite,Nimbus,1,5,781.2,86.43,30.0,,10.8876,-150.6884,-150.6884,10.8876,Ka,1,2019,spare,6.99,Nimbus 01-05
SAT0162,satellite,Nimbus,1,6,783.1,86.45,30.0,,-21.7742,-148.5812,-148.5812,-21.7742,Ka,1,2020,active,7.01,Nimbus 01-06
SAT0163,satellite,Nimbus,1,7,781.1,86.42,30.0,,-54.3885,-144.9848,-144.9848,-54.3885,Ka,1,2021,active,8.33,Nimbus 01-07
SAT0164,satellite,Nimbus,1,8,779.0,86.34,30.0,,-85.435,-96.7147,-96.7147,-85.435,Ka,1,2020,spare,7.24,Nimbus 01-08
SAT0165,satellite,Nimbus,1,9,778.5,86.41,30.0,,-59.8061,23.8147,23.8147,-59.8061,Ka,1,2020,active,7.32,Nimbus 01-09
SAT0166,satellite,Nimbus,1,10,780.8,86.41,30.0,,-27.2149,28.1522,28.1522,-27.2149,Ka,1,2020,degraded,4.48,Nimbus 01-10
SAT0167,satellite,Nimbus,2,0,773.7,86.34,60.0,,10.8866,60.7045,60.7045,10.8866,Ka,1,2021,active,8.42,Nimbus 02-00
SAT0168,satellite,Nimbus,2,1,783.6,86.39,60.0,,43.5283,63.4318,63.4318,43.5283,Ka,1,2020,active,8.2,Nimbus 02-01
SAT0169,satellite,Nimbus,2,2,778.9,86.34,60.0,,75.8909,74.7284,74.7284,75.8909,Ka,1,2021,active,8.24,Nimbus 02-02
SAT0170,satellite,Nimbus,2,3,785.5,86.47,60.0,,70.5977,-130.0834,-130.0834,70.5977,Ka,1,2021,active,8.42,Nimbus 02-03
SAT0171,satellite,Nimbus,2,4,779.7,86.49,60.0,,38.0972,-122.7583,-122.7583,38.0972,Ka,1,2021,degraded,5.5,Nimbus 02-04
SAT0172,satellite,Nimbus,2,5,777.9,86.44,60.0,,5.444,-120.3395,-120.3395,5.444,Ka,1,2022,active,9.03,Nimbus 02-05
SAT0173,satellite,Nimbus,2,6,780.1,86.45,60.0,,-27.2159,-118.1693,-118.1693,-27.2159,Ka,1,2022,degraded,5.22,Nimbus 02-06
SAT0174,satellite,Nimbus,2,7,774.2,86.42,60.0,,-59.807,-113.8294,-113.8294,-59.807,Ka,1,2022,degraded,4.67,Nimbus 02-07
SAT0175,satellite,Nimbus,2,8,780.3,86.4,60.0,,-85.4823,7.1633,7.1633,-85.4823,Ka,1,2021,degraded,4.25,Nimbus 02-08
SAT0176,satellite,Nimbus,2,9,778.2,86.38,60.0,,-54.3852,54.9326,54.9326,-54.3852,Ka,1,2021,degraded,4.34,Nimbus 02-09
SAT0177,satellite,Nimbus,2,10,780.2,86.44,60.0,,-21.7738,58.5745,58.5745,-21.7738,Ka,1,2021,degraded,4.62,Nimbus 02-10
SAT0178,satellite,Nimbus,3,0,779.7,86.39,90.0,,16.3302,91.0595,91.0595,16.3302,Ka,1,2023,active,10.78,Nimbus 03-00
SAT0179,satellite,Nimbus,3,1,776.5,86.34,90.0,,48.9566,94.2083,94.2083,48.9566,Ka,1,2022,degraded,5.5,Nimbus 03-01
SAT0180,satellite,Nimbus,3,2,772.5,86.38,90.0,,81.0575,113.7173,113.7173,81.0575,Ka,1,2022,active,8.99,Nimbus 03-02
SAT0181,satellite,Nimbus,3,3,780.1,86.38,90.0,,65.2053,-97.8724,-97.8724,65.2053,Ka,1,2022,active,8.92,Nimbus 03-03
SAT0182,satellite,Nimbus,3,4,781.4,86.36,90.0,,32.6529,-92.3384,-92.3384,32.6529,Ka,1,2022,active,9.36,Nimbus 03-04
