from_id,to_id,package_id,service_level,weight_kg,distance_km,transit_hours,promised_hours,on_time,damaged
C072,C052,PKG000164,two_day,1.54,1918.1,29.6,48.0,1,0
C066,C062,PKG000165,ground,3.08,921.9,45.22,40.8,0,0
C102,C082,PKG000166,overnight,2.78,990.9,15.01,30.0,1,0
C014,C020,PKG000167,two_day,1.71,243.6,29.86,48.0,1,0
C051,C050,PKG000168,two_day,4.33,51.0,16.0,48.0,1,0
C040,C020,PKG000169,ground,0.99,1609.4,42.55,53.3,1,0
C048,C042,PKG000170,two_day,0.61,1656.0,31.31,48.0,1,0
C012,C037,PKG000171,ground,2.04,1637.0,60.38,53.8,0,0
C013,C016,PKG000172,ground,2.64,192.6,33.37,27.5,0,0
C026,C035,PKG000173,ground,1.66,941.8,48.35,41.1,0,0
C029,C018,PKG000174,overnight,4.25,514.4,9.08,30.0,1,0
C044,C047,PKG000175,ground,0.91,697.2,43.43,36.7,0,0
C062,C038,PKG000176,ground,6.44,1743.9,56.49,55.7,0,0
C065,C043,PKG000177,two_day,2.69,808.0,40.09,48.0,1,0
C041,C064,PKG000178,ground,2.38,1549.9,50.84,52.2,1,0
C041,C038,PKG000179,two_day,1.65,259.7,22.25,48.0,1,0
C020,C028,PKG000180,ground,0.83,334.1,16.15,30.1,1,0
C060,C074,PKG000181,ground,1.02,927.8,55.06,40.9,0,0
C030,C029,PKG000182,ground,0.82,50.2,18.85,24.9,1,0
C004,C020,PKG000183,ground,2.9,327.6,30.96,30.0,0,0
C042,C089,PKG000184,ground,0.44,2748.4,72.25,74.0,1,0
C048,C026,PKG000185,ground,0.76,678.9,42.12,36.3,0,0
C021,C019,PKG000186,ground,2.74,43.0,22.35,24.8,1,0
C059,C062,PKG000187,two_day,16.66,447.8,22.18,48.0,1,0
C058,C059,PKG000188,overnight,2.6,89.5,15.22,30.0,1,0
C072,C067,PKG000189,ground,2.72,145.8,19.89,26.7,1,0
C066,C090,PKG000190,ground,3.49,1224.6,49.47,46.3,0,0
C066,C051,PKG000191,ground,1.94,1520.1,47.05,51.6,1,0
C030,C001,PKG000192,two_day,7.95,828.7,35.06,48.0,1,0
C084,C086,PKG000193,two_day,1.2,710.6,29.82,48.0,1,0
C056,C036,PKG000194,ground,2.89,1054.0,39.88,43.2,1,0
C044,C025,PKG000195,ground,0.97,1299.3,49.61,47.6,0,0
C063,C037,PKG000196,overnight,1.99,1710.7,25.05,30.0,1,0
C036,C058,PKG000197,two_day,8.22,277.0,23.74,48.0,1,0
C052,C028,PKG000198,ground,4.09,743.1,47.89,37.5,0,0
C077,C040,PKG000199,two_day,3.28,1887.8,41.65,48.0,1,0
C096,C099,PKG000200,ground,2.67,1163.8,27.36,45.2,1,0
C100,C069,PKG000201,ground,1.31,2769.7,57.43,74.4,1,0
C051,C020,PKG000202,two_day,0.71,667.8,32.35,48.0,1,1
C053,C070,PKG000203,ground,3.34,1769.6,55.12,56.2,1,0
C085,C093,PKG000204,ground,2.14,576.0,35.28,34.5,0,0
C030,C021,PKG000205,overnight,2.59,313.3,16.97,30.0,1,0
C090,C079,PKG000206,two_day,0.45,683.9,31.01,48.0,1,0
C050,C060,PKG000207,ground,4.19,613.9,23.19,35.2,1,0
C011,C051,PKG000208,ground,4.04,535.4,25.17,33.7,1,0
C007,C001,PKG000209,two_day,1.98,304.3,18.1,48.0,1,0
C091,C020,PKG000210,ground,0.59,3900.4,79.73,94.9,1,0
C005,C014,PKG000211,overnight,1.44,318.3,15.33,30.0,1,0
C026,C001,PKG000212,two_day,4.37,648.4,28.2,48.0,1,0
C032,C014,PKG000213,ground,0.52,1000.8,35.31,42.2,1,0
C016,C019,PKG000214,ground,0.79,164.3,21.89,27.0,1,0
C030,C034,PKG000215,two_day,1.07,806.9,31.32,48.0,1,0
C078,C090,PKG000216,overnight,1.65,886.9,23.74,30.0,1,0
C002,C092,PKG000217,ground,0.94,4005.7,82.59,96.8,1,0
C089,C045,PKG000218,ground,0.59,1543.4,52.26,52.1,0,0
C092,C102,PKG000219,two_day,0.99,1246.7,23.05,48.0,1,0
C037,C046,PKG000220,ground,1.72,1314.3,49.9,47.9,0,0
C015,C018,PKG000221,ground,9.51,157.9,24.01,26.9,1,0
C061,C049,PKG000222,overnight,1.42,930.7,16.16,30.0,1,0
C012,C005,PKG000223,two_day,1.63,204.0,25.92,48.0,1,0
C036,C023,PKG000224,overnight,3.85,782.7,12.94,30.0,1,0
C103,C040,PKG000225,two_day,1.14,3492.2,44.98,48.0,1,0
C108,C072,PKG000226,ground,3.05,2363.0,46.11,67.0,1,0
C082,C083,PKG000227,overnight,1.82,192.4,17.04,30.0,1,0
C030,C025,PKG000228,ground,0.76,207.1,16.68,27.8,1,0
C070,C037,PKG000229,ground,1.07,1619.4,60.24,53.4,0,0
C072,C056,PKG000230,overnight,1.93,1648.8,19.92,30.0,1,0
C039,C044,PKG000231,two_day,2.28,1102.6,20.99,48.0,1,0
C065,C034,PKG000232,overnight,1.87,1070.9,17.54,30.0,1,0
C001,C074,PKG000233,ground,1.13,2250.4,61.52,64.9,1,0
C020,C108,PKG000234,overnight,3.31,3938.7,23.13,30.0,1,0
C054,C021,PKG000235,ground,2.04,696.8,39.06,36.7,0,0
C016,C015,PKG000236,two_day,2.13,196.2,27.96,48.0,1,0
C016,C014,PKG000237,overnight,3.74,154.8,14.38,30.0,1,0
C090,C020,PKG000238,ground,3.96,2896.4,57.9,76.7,1,0
C108,C095,PKG000239,two_day,1.63,75.2,25.15,48.0,1,0
C057,C015,PKG000240,two_day,4.24,1675.7,35.18,48.0,1,0
C090,C101,PKG000241,two_day,1.64,1773.7,35.15,48.0,1,0
C108,C102,PKG000242,overnight,2.18,764.3,15.61,30.0,1,0
C013,C004,PKG000243,two_day,2.75,251.3,22.16,48.0,1,0
C045,C008,PKG000244,ground,1.24,1656.7,54.9,54.1,0,0
C039,C034,PKG000245,ground,2.58,1028.9,31.53,42.7,1,0
C008,C055,PKG000246,overnight,2.22,1583.4,14.32,30.0,1,0
C080,C071,PKG000247,overnight,14.04,1214.5,27.6,30.0,1,0
C044,C043,PKG000248,overnight,0.83,105.8,15.12,30.0,1,0
C048,C031,PKG000249,ground,1.57,740.3,47.35,37.5,0,0
C014,C004,PKG000250,ground,1.22,308.6,15.52,29.6,1,0
C017,C036,PKG000251,two_day,3.18,1264.4,32.95,48.0,1,0
C099,C021,PKG000252,two_day,0.61,3807.2,43.52,48.0,1,0
C005,C107,PKG000253,ground,5.82,3784.8,68.26,92.8,1,0
C022,C028,PKG000254,ground,1.01,397.6,21.46,31.2,1,0
C028,C026,PKG000255,ground,1.05,151.6,25.79,26.8,1,0
C049,C027,PKG000256,ground,2.15,633.7,40.41,35.5,0,0
C060,C044,PKG000257,ground,1.55,411.7,27.25,31.5,1,0
C050,C058,PKG000258,ground,1.35,592.9,30.32,34.8,1,0
C008,C032,PKG000259,ground,0.53,1017.6,44.97,42.5,0,0
C023,C048,PKG000260,overnight,4.58,419.7,18.71,30.0,1,0
C091,C093,PKG000261,two_day,1.93,75.5,30.7,48.0,1,0
C065,C092,PKG000262,overnight,4.66,2079.2,18.64,30.0,1,0
C066,C044,PKG000263,ground,0.96,675.8,46.57,36.3,0,0
C069,C004,PKG000264,ground,2.89,2541.1,48.02,70.2,1,0
C080,C020,PKG000265,ground,1.72,2548.0,50.17,70.3,1,0
C006,C023,PKG000266,ground,1.7,432.4,41.47,31.9,0,0
C036,C047,PKG000267,ground,2.25,405.8,32.97,31.4,0,0
C055,C006,PKG000268,two_day,0.84,1381.6,35.46,48.0,1,0
C033,C025,PKG000269,two_day,0.45,513.9,33.91,48.0,1,0
C091,C097,PKG000270,two_day,2.77,1591.1,29.05,48.0,1,0
C049,C063,PKG000271,ground,6.27,903.9,25.01,40.4,1,0
C082,C022,PKG000272,ground,2.79,2685.9,74.03,72.8,0,0
C092,C101,PKG000273,ground,1.26,1241.8,28.23,46.6,1,0
C051,C061,PKG000274,ground,5.18,1006.9,25.28,42.3,1,0
C099,C086,PKG000275,two_day,3.03,1766.7,36.45,48.0,1,0
C060,C078,PKG000276,ground,4.37,757.2,36.94,37.8,1,0
C092,C086,PKG000277,two_day,0.44,427.3,27.83,48.0,1,0
C033,C014,PKG000278,ground,1.48,953.1,39.34,41.3,1,0
C050,C011,PKG000279,overnight,0.74,520.6,19.07,30.0,1,0
C054,C048,PKG000280,overnight,3.56,218.3,14.0,30.0,1,0
C010,C034,PKG000281,ground,0.68,1016.5,41.88,42.5,1,0
C040,C050,PKG000282,two_day,1.1,1538.4,33.75,48.0,1,0
C100,C108,PKG000283,ground,2.43,791.3,23.31,38.4,1,0
C064,C060,PKG000284,two_day,1.75,1087.1,30.63,48.0,1,0
C017,C050,PKG000285,two_day,2.63,799.9,42.14,48.0,1,0
C033,C047,PKG000286,two_day,3.75,619.3,38.95,48.0,1,0
C018,C020,PKG000287,two_day,1.55,149.9,9.68,48.0,1,0
C003,C007,PKG000288,ground,2.88,265.4,24.81,28.8,1,0
C101,C075,PKG000289,two_day,1.58,3280.0,43.32,48.0,1,0
C045,C049,PKG000290,two_day,14.71,757.0,32.83,48.0,1,0
C029,C059,PKG000291,ground,3.84,1095.0,41.58,43.9,1,0
C061,C034,PKG000292,ground,4.72,734.8,40.07,37.4,0,0
C001,C017,PKG000293,two_day,1.15,330.9,24.06,48.0,1,0
C026,C027,PKG000294,two_day,3.41,47.1,30.08,48.0,1,0
C072,C090,PKG000295,ground,6.68,997.9,39.87,42.1,1,0
C064,C030,PKG000296,overnight,1.51,1796.7,11.49,30.0,1,0
C107,C101,PKG000297,two_day,1.93,765.3,25.67,48.0,1,0
C063,C043,PKG000298,ground,0.98,562.7,35.62,34.2,0,0
C049,C054,PKG000299,ground,0.64,298.0,21.53,29.4,1,0
C080,C017,PKG000300,ground,1.84,2655.0,59.76,72.3,1,0
C098,C100,PKG000301,two_day,2.61,226.5,25.51,48.0,1,0
C075,C067,PKG000302,ground,1.38,814.7,24.8,38.8,1,0
C104,C092,PKG000303,ground,2.52,229.0,22.49,28.2,1,0
C083,C107,PKG000304,two_day,2.04,960.6,24.12,48.0,1,0
C094,C082,PKG000305,two_day,1.22,964.8,24.4,48.0,1,0
C011,C060,PKG000306,two_day,0.37,1093.8,25.04,48.0,1,0
C077,C103,PKG000307,ground,4.21,1631.0,46.63,53.7,1,0
C044,C045,PKG000308,two_day,1.01,74.1,23.8,48.0,1,0
C056,C051,PKG000309,ground,1.5,1048.2,31.99,43.1,1,0
C067,C064,PKG000310,ground,2.03,368.0,28.01,30.7,1,0
C106,C094,PKG000311,two_day,1.84,145.7,19.4,48.0,1,0
C107,C051,PKG000312,two_day,3.71,3288.0,34.71,48.0,1,0
C027,C048,PKG000313,ground,1.18,725.1,36.27,37.2,1,0
C077,C036,PKG000314,two_day,2.93,916.7,28.61,48.0,1,0
C079,C076,PKG000315,ground,2.7,805.0,52.31,38.6,0,0
C034,C063,PKG000316,ground,10.95,737.5,33.58,37.4,1,0
C012,C010,PKG000317,ground,1.82,22.4,18.02,24.4,1,0
C004,C029,PKG000318,ground,5.11,653.8,35.72,35.9,1,0
C082,C094,PKG000319,two_day,1.1,964.8,27.39,48.0,1,0
C049,C051,PKG000320,two_day,1.75,79.1,25.11,48.0,1,1
C107,C066,PKG000321,two_day,2.02,2558.4,33.81,48.0,1,0
C047,C027,PKG000322,ground,0.86,792.6,39.77,38.4,0,0
C107,C072,PKG000323,ground,1.2,2335.0,53.08,66.5,1,0
C041,C019,PKG000324,ground,1.13,1612.1,50.57,53.3,1,0
C084,C107,PKG000325,two_day,1.3,833.9,29.93,48.0,1,0
C008,C023,PKG000326,ground,3.52,584.4,35.78,34.6,0,0
C057,C021,PKG000327,ground,8.25,1494.5,44.98,51.2,1,0
C085,C084,PKG000328,two_day,0.92,799.7,25.37,48.0,1,0
C100,C098,PKG000329,two_day,1.97,226.5,26.55,48.0,1,0
C088,C103,PKG000330,ground,0.9,801.8,32.82,38.6,1,0
C004,C020,PKG000331,ground,1.53,327.6,40.17,30.0,0,0
C037,C036,PKG000332,two_day,1.02,1037.0,30.53,48.0,1,0
C005,C008,PKG000333,ground,3.43,247.3,18.99,28.5,1,0
C010,C017,PKG000334,ground,1.03,487.5,37.06,32.9,0,0
C069,C086,PKG000335,two_day,1.29,1397.6,41.55,48.0,1,0
C074,C045,PKG000336,ground,1.33,490.8,38.57,32.9,0,0
C082,C044,PKG000337,ground,0.94,1972.5,53.14,59.9,1,0
C094,C107,PKG000338,ground,1.36,131.5,12.2,26.4,1,0
C077,C031,PKG000339,ground,0.94,1480.2,56.21,50.9,0,0
C085,C092,PKG000340,ground,2.33,498.0,38.64,33.1,0,0
C005,C023,PKG000341,ground,1.57,414.1,31.86,31.5,0,0
C022,C076,PKG000342,ground,0.58,1673.2,55.74,54.4,0,0
C063,C056,PKG000343,ground,0.6,552.9,30.97,34.1,1,0
C092,C072,PKG000344,overnight,1.26,1860.1,21.47,30.0,1,0
C001,C017,PKG000345,overnight,2.11,330.9,20.32,30.0,1,0
C052,C029,PKG000346,ground,0.65,745.2,51.0,37.5,0,0
C069,C053,PKG000347,ground,2.79,1929.4,61.77,59.1,0,0
C004,C034,PKG000348,two_day,3.59,1216.1,33.95,48.0,1,0
C040,C043,PKG000349,overnight,1.29,1424.5,19.4,30.0,1,0
C097,C064,PKG000350,two_day,1.04,3054.9,43.6,48.0,1,0
C069,C027,PKG000351,ground,0.89,2290.7,59.7,65.6,1,0
C022,C017,PKG000352,ground,3.13,505.6,33.03,33.2,1,0
C092,C103,PKG000353,ground,3.46,209.2,25.84,27.8,1,0
C034,C047,PKG000354,two_day,4.7,399.8,35.1,48.0,1,0
C092,C067,PKG000355,ground,1.38,1783.5,46.03,56.4,1,0
C028,C036,PKG000356,ground,1.96,924.0,33.33,40.8,1,0
C060,C043,PKG000357,ground,4.75,307.6,32.17,29.6,0,0
C039,C012,PKG000358,ground,2.89,1633.6,46.7,53.7,1,0
C026,C013,PKG000359,ground,0.59,457.0,43.81,32.3,0,0
C096,C085,PKG000360,ground,1.0,1074.3,42.06,43.5,1,0
C018,C051,PKG000361,two_day,1.58,806.1,33.18,48.0,1,0
C008,C060,PKG000362,two_day,1.76,1474.3,27.77,48.0,1,0
C034,C025,PKG000363,two_day,2.83,957.4,25.07,48.0,1,0
C074,C046,PKG000364,ground,1.25,1115.0,43.8,44.3,1,0
C086,C088,PKG000365,two_day,1.61,510.6,28.95,48.0,1,0
C108,C012,PKG000366,two_day,2.59,3591.4,35.13,48.0,1,0
C028,C049,PKG000367,ground,3.84,614.6,36.45,35.2,0,0
C040,C032,PKG000368,ground,2.71,997.0,35.16,42.1,1,0
C013,C027,PKG000369,two_day,1.37,429.5,31.42,48.0,1,0
C059,C074,PKG000370,ground,3.76,983.5,46.36,41.9,0,0
C108,C043,PKG000371,ground,1.47,2753.0,70.26,74.1,1,0
C072,C094,PKG000372,ground,1.54,2465.7,62.26,68.8,1,0
C061,C030,PKG000373,ground,0.51,1456.9,54.77,50.5,0,0
C039,C021,PKG000374,ground,1.19,1312.7,40.48,47.9,1,0
C100,C103,PKG000375,ground,2.38,1198.6,37.78,45.8,1,0
C050,C035,PKG000376,ground,1.17,576.3,34.54,34.5,0,0
C013,C012,PKG000377,two_day,1.79,468.1,34.22,48.0,1,0
C036,C078,PKG000378,ground,0.74,921.4,41.78,40.8,0,0
C006,C002,PKG000379,ground,9.25,381.3,28.81,30.9,1,0
C019,C012,PKG000380,ground,1.64,476.1,27.56,32.7,1,0
C002,C022,PKG000381,two_day,4.36,744.5,35.37,48.0,1,0
C046,C069,PKG000382,overnight,2.24,1577.3,20.09,30.0,1,0
C064,C025,PKG000383,ground,1.49,1979.3,52.58,60.0,1,0
C034,C021,PKG000384,ground,1.56,1068.9,37.26,43.4,1,0
C042,C070,PKG000385,ground,1.11,1865.3,63.53,57.9,0,0
C103,C085,PKG000386,ground,5.71,478.4,32.69,32.7,1,0
C079,C077,PKG000387,two_day,1.58,831.4,43.18,48.0,1,0
C055,C062,PKG000388,ground,2.84,746.9,38.95,37.6,0,0
