node_id,kind,label,x,y,region,median_income,population,prime_rate,capacity_pkgs
Z080,zone,Zone 080,63.4,10.59,North,52770,1143,0.258,
Z081,zone,Zone 081,14.03,41.91,South,88234,3979,0.53,
Z082,zone,Zone 082,96.62,59.6,East,36754,1863,0.25,
Z083,zone,Zone 083,93.3,80.44,West,56941,2172,0.295,
Z084,zone,Zone 084,46.74,78.48,West,81003,8326,0.447,
Z085,zone,Zone 085,1.78,10.91,North,90537,913,0.497,
Z086,zone,Zone 086,82.94,79.68,West,80791,3504,0.444,
Z087,zone,Zone 087,23.26,53.08,East,91620,8314,0.639,
Z088,zone,Zone 088,60.6,86.77,West,75242,5825,0.429,
Z089,zone,Zone 089,60.31,41.26,South,70503,1481,0.396,
Z090,zone,Zone 090,37.42,42.59,South,92761,4666,0.373,
Z091,zone,Zone 091,65.19,86.75,West,73341,8764,0.364,
Z092,zone,Zone 092,45.39,24.78,North,65637,4143,0.371,
Z093,zone,Zone 093,23.67,74.6,East,105101,5181,0.532,
Z094,zone,Zone 094,81.66,10.53,North,48703,5208,0.404,
Z095,zone,Zone 095,6.66,59.44,East,110199,6249,0.593,
Z096,zone,Zone 096,14.62,82.47,West,107016,2416,0.679,
Z097,zone,Zone 097,31.03,14.39,North,84494,7701,0.485,
Z098,zone,Zone 098,92.1,16.55,North,37760,8907,0.257,
Z099,zone,Zone 099,28.47,15.36,North,79694,2054,0.451,
Z100,zone,Zone 100,11.55,2.11,North,82733,7528,0.472,
Z101,zone,Zone 101,5.54,17.46,North,81416,7516,0.586,
Z102,zone,Zone 102,5.34,59.11,East,90887,6907,0.349,
Z103,zone,Zone 103,68.07,39.36,South,72583,3904,0.283,
Z104,zone,Zone 104,31.8,50.45,East,85442,4696,0.447,
Z105,zone,Zone 105,87.5,85.11,West,60833,7697,0.367,
Z106,zone,Zone 106,4.35,18.15,North,92319,2138,0.566,
Z107,zone,Zone 107,23.67,24.94,North,95323,7612,0.566,
Z108,zone,Zone 108,57.12,41.63,South,52257,8357,0.298,
Z109,zone,Zone 109,4.93,37.36,South,85177,6423,0.555,
Z110,zone,Zone 110,52.38,10.17,North,57509,3665,0.422,
Z111,zone,Zone 111,83.35,5.2,North,61370,5429,0.382,
Z112,zone,Zone 112,92.48,9.91,North,47425,1305,0.369,
Z113,zone,Zone 113,84.36,90.27,West,80120,8447,0.478,
Z114,zone,Zone 114,97.96,80.2,West,52862,3673,0.288,
Z115,zone,Zone 115,77.95,64.25,East,58666,1362,0.405,
Z116,zone,Zone 116,77.9,13.46,North,57559,7335,0.358,
Z117,zone,Zone 117,53.61,51.42,East,78076,6226,0.45,
Z118,zone,Zone 118,85.76,46.28,South,64229,5943,0.486,
Z119,zone,Zone 119,38.51,63.96,East,87473,1338,0.323,
Z120,zone,Zone 120,26.65,13.98,North,82840,6981,0.373,
Z121,zone,Zone 121,47.79,41.69,South,79080,6062,0.371,
Z122,zone,Zone 122,23.26,36.75,South,95932,7328,0.51,
Z123,zone,Zone 123,36.64,32.75,South,88036,7601,0.48,
Z124,zone,Zone 124,37.95,68.57,East,76261,2616,0.335,
Z125,zone,Zone 125,29.69,94.89,West,82803,2606,0.403,
Z126,zone,Zone 126,91.63,48.09,South,65793,8382,0.33,
Z127,zone,Zone 127,32.84,53.54,East,99678,5201,0.726,
Z128,zone,Zone 128,84.86,65.26,East,56267,4447,0.47,
Z129,zone,Zone 129,80.44,53.27,East,47415,3226,0.273,
Z130,zone,Zone 130,63.29,28.82,South,66624,6076,0.369,
Z131,zone,Zone 131,73.49,20.24,North,66235,7007,0.312,
Z132,zone,Zone 132,69.48,86.07,West,95870,918,0.402,
Z133,zone,Zone 133,13.21,61.44,East,106209,5376,0.577,
Z134,zone,Zone 134,9.51,72.57,East,103481,8946,0.502,
Z135,zone,Zone 135,8.45,93.59,West,105646,3173,0.577,
Z136,zone,Zone 136,13.74,95.89,West,111724,3175,0.5,
Z137,zone,Zone 137,80.09,59.37,East,63471,8012,0.326,
Z138,zone,Zone 138,78.26,79.51,West,64021,1402,0.392,
Z139,zone,Zone 139,94.6,25.34,South,66847,4119,0.421,
Z140,zone,Zone 140,59.01,9.5,North,78234,4611,0.479,
Z141,zone,Zone 141,61.62,17.13,North,73323,7362,0.334,
Z142,zone,Zone 142,56.5,57.24,East,69508,1945,0.468,
Z143,zone,Zone 143,46.6,52.26,East,89143,4415,0.447,
Z144,zone,Zone 144,76.39,79.92,West,80010,2133,0.503,
Z145,zone,Zone 145,49.22,59.96,East,86379,7279,0.489,
Z146,zone,Zone 146,93.12,11.97,North,56415,6021,0.249,
Z147,zone,Zone 147,11.71,8.77,North,92260,4923,0.496,
Z148,zone,Zone 148,65.79,41.86,South,75009,4082,0.46,
Z149,zone,Zone 149,77.43,67.12,East,75604,2140,0.48,
Z150,zone,Zone 150,33.36,89.84,West,102669,8367,0.558,
Z151,zone,Zone 151,76.25,27.05,South,42412,6146,0.385,
Z152,zone,Zone 152,36.42,31.44,South,81248,3485,0.535,
Z153,zone,Zone 153,15.76,14.78,North,81232,4252,0.447,
Z154,zone,Zone 154,93.61,43.79,South,42940,6782,0.332,
Z155,zone,Zone 155,38.33,72.97,East,107094,6728,0.725,
Z156,zone,Zone 156,55.3,93.61,West,104890,4634,0.716,
Z157,zone,Zone 157,78.03,47.94,South,76038,3353,0.354,
Z158,zone,Zone 158,37.64,98.66,West,102325,6245,0.502,
Z159,zone,Zone 159,71.78,95.12,West,93368,6231,0.627,
Z160,zone,Zone 160,11.85,85.05,West,109464,5757,0.527,
Z161,zone,Zone 161,63.71,12.19,North,62355,1490,0.281,
Z162,zone,Zone 162,58.83,68.61,East,70152,4729,0.377,
Z163,zone,Zone 163,1.23,45.43,South,106563,5872,0.616,
Z164,zone,Zone 164,82.54,29.54,South,56483,8595,0.338,
Z165,zone,Zone 165,45.85,44.23,South,67701,5157,0.354,
Z166,zone,Zone 166,30.19,91.84,West,101392,3675,0.515,
Z167,zone,Zone 167,78.13,11.06,North,51973,5401,0.274,
Z168,zone,Zone 168,99.7,87.92,West,80708,2335,0.401,
Z169,zone,Zone 169,28.39,83.69,West,108392,1634,0.755,
Z170,zone,Zone 170,10.64,99.91,West,114542,6392,0.646,
Z171,zone,Zone 171,66.57,65.01,East,77127,8888,0.507,
Z172,zone,Zone 172,9.04,89.7,West,112606,7752,0.582,
Z173,zone,Zone 173,2.9,24.08,North,93891,5627,0.513,
Z174,zone,Zone 174,14.3,77.68,West,96124,1226,0.487,
Z175,zone,Zone 175,19.82,91.06,West,105653,8902,0.397,
Z176,zone,Zone 176,65.63,3.62,North,50244,4542,0.219,
Z177,zone,Zone 177,0.54,5.17,North,80015,3246,0.332,
Z178,zone,Zone 178,60.59,80.15,West,87137,8129,0.336,
Z179,zone,Zone 179,23.86,84.94,West,106599,6945,0.503,
Z180,zone,Zone 180,5.72,80.1,West,94972,6971,0.624,
Z181,zone,Zone 181,92.78,77.21,West,63814,3149,0.377,
Z182,zone,Zone 182,69.81,83.8,West,87798,8933,0.587,
Z183,zone,Zone 183,4.02,20.18,North,103499,4568,0.601,
Z184,zone,Zone 184,12.49,50.45,East,107872,5204,0.648,
Z185,zone,Zone 185,74.52,63.0,East,70501,6982,0.35,
Z186,zone,Zone 186,85.11,15.52,North,42792,6245,0.316,
Z187,zone,Zone 187,73.46,19.3,North,47838,2295,0.355,
Z188,zone,Zone 188,27.08,70.99,East,100319,3350,0.516,
Z189,zone,Zone 189,98.02,61.15,East,60789,3825,0.405,
Z190,zone,Zone 190,5.45,61.63,East,117241,8575,0.678,
Z191,zone,Zone 191,4.24,88.41,West,124222,6687,0.634,
Z192,zone,Zone 192,70.96,17.31,North,57106,3867,0.27,
Z193,zone,Zone 193,9.17,18.35,North,79539,6851,0.374,
Z194,zone,Zone 194,98.0,45.86,South,49923,6881,0.32,
Z195,zone,Zone 195,78.41,63.64,East,70275,4093,0.435,
Z196,zone,Zone 196,57.24,14.51,North,62770,4165,0.32,
Z197,zone,Zone 197,94.6,30.13,South,44646,8143,0.29,
Z198,zone,Zone 198,57.8,69.98,East,83212,5450,0.514,
Z199,zone,Zone 199,64.92,94.06,West,79922,2111,0.502,
Z200,zone,Zone 200,14.84,50.84,East,91879,6730,0.625,
Z201,zone,Zone 201,40.4,47.42,South,86018,5675,0.577,
Z202,zone,Zone 202,11.92,13.41,North,84206,5022,0.409,
Z203,zone,Zone 203,27.81,30.47,South,86878,6773,0.61,
Z204,zone,Zone 204,42.79,61.1,East,88537,8247,0.463,
Z205,zone,Zone 205,63.46,41.18,South,59099,3576,0.431,
Z206,zone,Zone 206,40.88,21.76,North,70941,4296,0.42,
Z207,zone,Zone 207,58.83,31.7,South,81859,2434,0.439,
Z208,zone,Zone 208,3.61,41.84,South,90218,6141,0.381,
Z209,zone,Zone 209,47.41,22.56,North,53063,4161,0.317,
Z210,zone,Zone 210,57.25,56.58,East,60449,3673,0.255,
Z211,zone,Zone 211,70.2,64.79,East,73196,6541,0.494,
Z212,zone,Zone 212,65.24,31.62,South,65838,4206,0.497,
Z213,zone,Zone 213,78.74,54.91,East,64469,4661,0.328,
Z214,zone,Zone 214,43.14,62.6,East,97274,4464,0.563,
Z215,zone,Zone 215,36.07,51.27,East,62572,2994,0.324,
Z216,zone,Zone 216,73.67,88.64,West,81847,1919,0.424,
Z217,zone,Zone 217,92.11,50.36,East,71267,7600,0.471,
Z218,zone,Zone 218,52.03,79.99,West,76792,1642,0.441,
Z219,zone,Zone 219,31.45,83.74,West,95352,3531,0.655,
Z220,zone,Zone 220,49.41,11.59,North,61004,6306,0.333,
Z221,zone,Zone 221,7.21,84.2,West,103464,1963,0.642,
Z222,zone,Zone 222,5.56,28.06,South,92592,6209,0.526,
Z223,zone,Zone 223,33.41,17.3,North,90662,6837,0.566,
Z224,zone,Zone 224,31.39,74.27,East,112495,6269,0.584,
Z225,zone,Zone 225,1.47,82.72,West,111028,3370,0.605,
Z226,zone,Zone 226,85.65,37.23,South,73773,1060,0.421,
Z227,zone,Zone 227,15.36,60.08,East,100358,8087,0.498,
Z228,zone,Zone 228,11.97,36.49,South,110508,3545,0.652,
Z229,zone,Zone 229,95.84,99.55,West,69186,7420,0.452,
Z230,zone,Zone 230,77.21,31.1,South,60359,2502,0.405,
Z231,zone,Zone 231,68.77,70.54,East,78693,2215,0.56,
Z232,zone,Zone 232,38.78,64.09,East,117669,7203,0.742,
Z233,zone,Zone 233,1.07,20.91,North,103375,8511,0.545,
Z234,zone,Zone 234,52.51,16.38,North,61243,7871,0.394,
Z235,zone,Zone 235,16.59,83.63,West,115183,6985,0.585,
Z236,zone,Zone 236,98.91,55.6,East,51988,2898,0.325,
Z237,zone,Zone 237,83.91,99.03,West,71670,8297,0.377,
Z238,zone,Zone 238,14.16,44.82,South,104262,6309,0.689,
Z239,zone,Zone 239,39.26,8.0,North,72267,2294,0.447,
Z240,zone,Zone 240,75.53,43.38,South,66243,1947,0.377,
Z241,zone,Zone 241,46.93,15.07,North,70241,7956,0.495,
Z242,zone,Zone 242,18.09,90.71,West,110834,3128,0.456,
Z243,zone,Zone 243,4.46,23.29,North,98489,7103,0.407,
Z244,zone,Zone 244,29.21,49.02,South,72086,2023,0.476,
Z245,zone,Zone 245,58.64,49.33,South,80303,3172,0.464,
Z246,zone,Zone 246,8.41,24.37,North,84098,3196,0.496,
Z247,zone,Zone 247,84.36,63.76,East,52280,3176,0.232,
Z248,zone,Zone 248,64.91,67.02,East,75825,6365,0.437,
Z249,zone,Zone 249,76.29,5.81,North,52828,8306,0.468,
Z250,zone,Zone 250,36.66,53.95,East,80881,8273,0.521,
Z251,zone,Zone 251,33.85,84.45,West,105214,6906,0.592,
Z252,zone,Zone 252,48.26,76.86,West,75885,2540,0.408,
Z253,zone,Zone 253,85.2,50.48,East,57176,8680,0.321,
Z254,zone,Zone 254,90.96,58.71,East,55053,5290,0.189,
Z255,zone,Zone 255,85.03,34.06,South,55584,5322,0.359,
Z256,zone,Zone 256,49.88,53.14,East,82514,6581,0.53,
Z257,zone,Zone 257,10.5,39.86,South,87427,7129,0.384,
Z258,zone,Zone 258,91.73,63.08,East,67742,8618,0.353,
Z259,zone,Zone 259,17.75,33.89,South,91502,5617,0.433,
Z260,zone,Zone 260,19.16,2.48,North,63754,5841,0.313,
Z261,zone,Zone 261,92.75,44.82,South,37591,6938,0.258,
Z262,zone,Zone 262,30.75,59.85,East,91852,2966,0.37,
Z263,zone,Zone 263,0.73,27.8,South,95972,3392,0.579,
Z264,zone,Zone 264,70.3,63.38,East,71525,5966,0.471,
Z265,zone,Zone 265,98.18,62.04,East,57305,1419,0.332,
Z266,zone,Zone 266,47.75,76.14,West,90043,3495,0.334,
Z267,zone,Zone 267,90.33,72.07,East,73177,6715,0.356,
Z268,zone,Zone 268,96.32,78.2,West,53373,8806,0.417,
Z269,zone,Zone 269,86.68,11.41,North,37802,5107,0.061,
Z270,zone,Zone 270,73.24,44.01,South,55277,4137,0.315,
Z271,zone,Zone 271,55.31,65.41,East,83462,4467,0.393,
Z272,zone,Zone 272,96.98,98.46,West,80311,6451,0.517,
Z273,zone,Zone 273,28.82,73.38,East,93143,5310,0.475,
Z274,zone,Zone 274,75.0,34.65,South,38880,1088,0.289,
Z275,zone,Zone 275,12.39,4.09,North,69451,5267,0.447,
Z276,zone,Zone 276,77.73,48.97,South,56772,4140,0.475,
Z277,zone,Zone 277,98.55,46.5,South,47682,6576,0.289,
Z278,zone,Zone 278,97.79,41.16,South,47820,7988,0.33,
Z279,zone,Zone 279,79.37,8.48,North,51620,8695,0.218,
Z280,zone,Zone 280,55.55,80.21,West,82372,5842,0.553,
Z281,zone,Zone 281,92.47,82.26,West,76037,3836,0.386,
Z282,zone,Zone 282,3.7,37.27,South,93174,4495,0.483,
Z283,zone,Zone 283,4.87,10.93,North,82985,2329,0.472,
Z284,zone,Zone 284,67.53,71.33,East,80592,8481,0.352,
Z285,zone,Zone 285,77.37,86.55,West,61909,7763,0.387,
