from_id,to_id,period,exposure
F027,F208,before,37.32
F027,F062,before,73.48
F027,F079,before,21.48
F027,F093,before,35.18
F027,F091,before,47.3
F027,F009,before,145.05
F027,F152,before,92.74
F027,F126,before,110.32
F027,F141,before,68.87
F027,F200,before,25.72
F027,F103,before,38.61
F027,F015,before,65.31
F027,F030,before,21.03
F028,F152,before,1.12
F029,F041,before,0.39
F029,F040,before,14.39
F029,F080,before,4.35
F029,F075,before,7.71
F029,F151,before,6.29
F029,F208,before,4.16
F029,F043,before,4.45
F029,F009,before,3.61
F030,F176,before,5.15
F030,F031,before,14.03
F030,F200,before,1.85
F030,F014,before,2.48
F030,F085,before,3.15
F031,F190,before,31.17
F031,F027,before,60.46
F031,F075,before,5.76
F031,F151,before,27.74
F031,F002,before,56.81
F031,F068,before,5.51
F031,F127,before,14.98
F033,F009,before,12.2
F034,F151,before,10.58
F034,F062,before,13.92
F034,F043,before,11.34
F034,F079,before,12.65
F034,F057,before,11.1
F034,F140,before,9.4
F034,F205,before,1.36
F034,F113,before,2.01
F034,F067,before,13.38
F035,F164,before,40.0
F035,F153,before,20.84
F035,F209,before,42.86
F035,F072,before,44.22
F035,F016,before,29.8
F035,F147,before,13.51
F035,F158,before,16.08
F035,F083,before,16.07
F035,F207,before,16.12
F036,F151,before,3.28
F036,F208,before,5.62
F036,F062,before,5.37
F036,F043,before,15.99
F036,F079,before,9.75
F036,F038,before,5.87
F036,F196,before,2.27
F036,F027,before,7.6
F036,F063,before,17.4
F038,F157,before,12.69
F038,F176,before,3.37
F038,F009,before,35.74
F038,F134,before,11.39
F038,F031,before,18.3
F038,F124,before,12.3
F038,F027,before,9.06
F039,F035,before,9.68
F039,F099,before,20.39
F039,F052,before,18.1
F039,F095,before,7.06
F039,F120,before,8.01
F039,F142,before,12.45
F040,F108,before,4.31
F040,F043,before,4.85
F040,F079,before,2.7
F040,F107,before,2.47
F041,F073,before,11.07
F042,F107,before,3.75
F042,F069,before,6.51
F044,F208,before,5.29
F044,F062,before,8.62
F044,F043,before,10.25
F044,F079,before,14.81
F044,F075,before,2.08
F044,F181,before,6.28
F045,F127,before,3.01
F047,F158,before,10.0
F047,F133,before,10.75
F047,F039,before,4.7
F048,F108,before,9.67
F048,F035,before,21.62
F048,F207,before,14.36
F048,F196,before,7.13
F048,F063,before,39.67
F049,F185,before,8.37
F050,F206,before,20.12
F050,F086,before,2.91
F050,F202,before,9.11
F050,F030,before,1.29
F052,F208,before,3.43
F052,F043,before,5.27
F052,F079,before,6.93
F052,F026,before,7.93
F052,F094,before,5.49
F052,F063,before,27.59
F053,F027,before,3.82
F054,F151,before,4.36
F054,F208,before,2.73
F054,F079,before,10.72
F054,F164,before,3.94
F056,F185,before,22.5
F056,F095,before,14.24
F056,F105,before,8.19
F056,F101,before,7.24
F057,F151,before,48.46
F057,F208,before,11.81
F057,F062,before,46.08
F057,F043,before,7.67
F057,F079,before,41.31
F057,F021,before,7.07
F057,F161,before,23.04
F057,F125,before,13.31
F057,F069,before,27.12
F057,F051,before,59.83
F057,F066,before,23.09
F057,F089,before,1.93
F057,F016,before,7.65
F058,F151,before,10.92
F058,F043,before,6.14
F058,F079,before,2.84
F058,F158,before,0.76
F059,F151,before,7.22
F059,F208,before,6.29
F059,F062,before,5.68
F059,F079,before,8.09
F061,F094,before,15.17
F062,F163,before,18.5
F062,F026,before,10.63
F062,F115,before,15.23
F062,F030,before,13.36
F063,F107,before,7.52
F064,F063,before,6.9
F065,F203,before,3.24
F066,F104,before,13.86
F066,F134,before,4.73
F066,F015,before,11.78
F066,F154,before,7.89
F066,F131,before,17.3
F066,F085,before,5.09
F066,F151,before,17.23
F066,F208,before,15.27
F066,F062,before,9.63
F066,F043,before,23.35
F066,F079,before,10.37
F066,F095,before,20.29
F066,F035,before,5.44
F066,F105,before,6.7
F066,F133,before,12.41
F068,F075,before,1.85
F069,F108,before,7.72
F069,F031,before,18.19
F070,F009,before,6.58
F070,F157,before,11.12
F071,F199,before,0.32
F071,F052,before,7.77
F071,F063,before,6.47
F072,F092,before,11.64
F074,F048,before,10.29
F074,F085,before,14.39
F074,F035,before,16.56
F075,F176,before,26.7
F075,F093,before,48.16
F075,F009,before,50.37
F075,F134,before,16.11
F077,F108,before,5.73
F077,F195,before,14.9
F078,F003,before,2.61
F081,F151,before,4.75
F081,F208,before,1.49
F081,F062,before,4.28
F081,F057,before,2.31
F082,F113,before,3.83
F082,F056,before,7.61
F082,F152,before,12.03
F082,F161,before,6.69
F082,F077,before,13.57
F082,F149,before,17.88
F083,F108,before,3.71
F083,F129,before,16.51
F083,F145,before,5.95
F083,F132,before,2.05
F084,F057,before,0.72
F084,F131,before,1.71
F085,F103,before,39.62
F085,F170,before,13.48
F085,F039,before,15.32
F086,F101,before,3.94
F086,F174,before,3.43
F086,F202,before,3.83
F087,F057,before,1.01
F088,F107,before,5.76
F089,F043,before,0.75
F089,F079,before,5.54
F090,F093,before,14.28
F090,F103,before,7.87
F090,F063,before,18.96
F091,F090,before,14.31
F091,F141,before,13.11
F091,F009,before,30.04
F091,F008,before,6.14
F091,F107,before,1.75
F091,F010,before,14.9
F092,F082,before,6.9
F092,F161,before,12.11
F092,F063,before,7.07
F093,F122,before,2.69
F093,F181,before,11.19
F093,F030,before,1.54
F093,F171,before,20.85
F093,F041,before,34.52
F093,F107,before,2.42
F093,F009,before,42.04
F093,F103,before,7.86
F094,F158,before,11.37
F094,F218,before,12.73
F094,F095,before,20.75
F094,F039,before,5.74
F094,F092,before,20.04
F094,F199,before,16.14
F095,F097,before,14.3
F095,F170,before,74.24
F095,F187,before,29.91
F095,F161,before,66.8
F095,F105,before,10.56
F095,F215,before,57.55
F095,F195,before,15.6
F095,F169,before,10.88
F095,F057,before,16.64
F095,F048,before,3.38
F095,F101,before,15.59
F095,F109,before,35.45
F095,F050,before,6.41
F095,F063,before,25.75
F097,F155,before,17.55
F097,F051,before,10.15
F097,F056,before,13.49
F097,F057,before,1.58
F097,F063,before,16.15
F098,F016,before,1.98
F098,F093,before,4.75
F098,F031,before,5.0
F098,F161,before,1.92
F099,F151,before,3.36
F099,F208,before,1.52
F099,F062,before,6.66
F099,F043,before,28.95
F099,F079,before,2.64
F099,F142,before,4.99
F100,F115,before,1.52
F101,F195,before,3.24
F101,F117,before,9.14
F102,F009,before,1.29
F103,F108,before,20.15
F103,F127,before,10.28
F103,F009,before,20.55
F103,F027,before,6.67
F103,F075,before,8.08
F104,F088,before,5.98
F104,F009,before,3.24
F105,F096,before,8.87
F105,F057,before,5.35
F106,F063,before,1.84
F107,F005,before,44.08
F107,F010,before,87.41
F107,F217,before,12.12
F107,F124,before,38.98
F107,F030,before,61.0
F107,F212,before,41.36
F107,F136,before,16.91
F107,F078,before,24.06
F107,F009,before,32.44
F108,F077,before,1.92
F108,F017,before,9.22
F108,F048,before,18.13
F108,F186,before,20.94
F108,F198,before,7.09
F108,F027,before,8.22
F108,F171,before,28.38
F108,F103,before,25.49
F108,F152,before,9.22
F108,F172,before,31.35
F108,F148,before,14.42
F108,F016,before,40.19
F108,F010,before,7.77
F108,F162,before,8.12
F108,F113,before,3.99
F108,F213,before,32.02
F108,F047,before,2.32
F108,F121,before,41.69
F110,F151,before,12.22
F110,F208,before,4.37
F110,F062,before,2.22
F110,F043,before,6.37
F110,F079,before,5.42
F110,F029,before,2.38
F110,F020,before,4.09
F111,F212,before,1.72
F112,F151,before,5.32
F112,F208,before,4.3
F112,F062,before,7.34
F112,F043,before,17.79
F112,F079,before,4.16
F112,F158,before,8.5
F113,F095,before,62.43
F113,F202,before,56.1
F113,F092,before,21.21
F113,F209,before,25.75
F113,F082,before,81.05
F113,F057,before,19.47
F113,F065,before,15.49
F113,F154,before,7.39
F113,F016,before,16.27
F113,F185,before,23.89
F114,F010,before,9.28
F115,F151,before,0.96
F115,F208,before,3.81
F115,F062,before,3.63
F115,F043,before,1.92
F115,F079,before,10.95
F115,F009,before,2.19
F115,F217,before,2.47
F116,F085,before,2.62
F118,F151,before,6.82
F118,F062,before,5.11
F118,F043,before,1.47
F118,F079,before,3.46
F118,F063,before,3.88
F119,F151,before,3.36
F119,F208,before,13.29
F119,F043,before,4.9
F119,F079,before,4.75
F119,F066,before,7.87
F119,F048,before,5.36
F119,F145,before,2.62
F119,F112,before,1.06
F119,F209,before,6.54
F120,F151,before,11.37
F120,F043,before,0.89
F120,F079,before,8.61
F120,F039,before,2.29
F120,F035,before,1.76
F120,F082,before,1.07
F121,F151,before,6.57
F121,F208,before,7.23
F121,F062,before,13.79
F121,F043,before,18.68
F121,F079,before,8.83
F121,F075,before,10.02
F121,F093,before,15.23
F122,F063,before,4.84
F124,F151,before,22.73
F124,F208,before,12.92
F124,F062,before,5.09
F124,F079,before,23.22
F124,F200,before,6.06
F124,F045,before,3.79
F124,F031,before,10.47
F124,F010,before,6.36
F125,F151,before,3.21
F125,F208,before,4.67
F125,F062,before,15.57
F125,F043,before,4.79
F125,F079,before,18.85
F125,F145,before,8.56
F125,F018,before,10.87
F126,F094,before,17.01
F127,F151,before,12.04
F127,F062,before,25.94
F127,F043,before,54.47
F127,F079,before,64.4
F127,F134,before,25.98
F127,F103,before,58.19
F127,F100,before,18.8
F127,F124,before,17.27
F127,F177,before,5.48
F127,F010,before,33.88
F127,F198,before,40.91
F127,F217,before,13.56
F127,F033,before,21.93
F127,F024,before,32.66
F127,F037,before,28.72
F127,F171,before,5.42
F127,F009,before,35.89
F127,F196,before,27.16
F128,F151,before,3.12
F128,F208,before,2.08
F128,F043,before,1.23
F128,F079,before,1.43
F128,F199,before,3.28
F129,F153,before,13.44
F129,F130,before,4.44
F129,F047,before,3.42
F130,F007,before,4.52
F130,F101,before,6.53
F131,F051,before,1.65
F131,F193,before,9.89
F131,F095,before,6.08
F131,F099,before,1.83
F131,F050,before,9.68
F132,F151,before,4.18
F132,F062,before,2.09
F132,F043,before,3.41
F132,F079,before,23.38
F132,F127,before,10.1
F132,F199,before,22.44
F132,F187,before,25.26
F132,F161,before,35.22
F132,F077,before,14.47
F133,F092,before,12.61
F133,F169,before,1.71
F133,F063,before,3.59
F134,F151,before,8.56
F134,F208,before,3.29
F134,F062,before,21.23
F134,F043,before,14.63
F134,F079,before,38.24
F134,F212,before,29.94
F134,F174,before,14.06
F134,F127,before,9.93
F134,F009,before,25.0
F134,F104,before,10.39
F135,F063,before,4.31
F136,F027,before,20.06
F136,F070,before,54.54
F136,F190,before,13.8
F137,F179,before,21.73
F137,F009,before,39.41
F137,F093,before,22.35
F137,F200,before,23.15
F137,F063,before,2.36
F138,F005,before,1.1
F138,F009,before,10.08
F138,F075,before,3.58
F139,F095,before,3.66
F139,F075,before,9.85
F139,F048,before,11.84
F139,F197,before,0.96
F139,F212,before,4.21
F140,F105,before,26.69
F140,F196,before,10.75
F140,F063,before,9.79
F141,F031,before,5.79
F141,F065,before,13.58
F141,F063,before,3.08
F142,F164,before,28.4
F142,F161,before,0.75
F142,F204,before,3.31
F142,F209,before,5.78
F142,F057,before,8.78
F142,F063,before,12.94
F143,F004,before,2.07
F143,F005,before,5.68
F144,F035,before,6.91
F144,F066,before,7.23
F144,F142,before,3.04
F145,F095,before,33.03
F145,F066,before,23.7
F145,F132,before,12.37
F145,F057,before,9.62
F145,F085,before,13.18
F145,F169,before,26.4
F145,F097,before,18.89
F145,F209,before,6.23
F146,F151,before,2.01
F146,F208,before,1.5
F146,F062,before,14.48
F146,F043,before,12.77
F146,F079,before,7.27
F146,F200,before,3.44
F147,F047,before,8.21
F147,F155,before,5.01
F147,F169,before,5.81
F147,F105,before,11.84
F148,F027,before,3.79
F148,F036,before,23.08
F148,F010,before,6.94
F148,F093,before,11.21
F149,F151,before,10.02
F149,F208,before,2.89
F149,F062,before,5.87
F149,F043,before,5.51
F149,F079,before,1.77
F149,F035,before,5.72
F150,F063,before,2.24
F151,F010,before,1.78
F152,F108,before,9.62
F152,F010,before,3.15
F152,F075,before,2.44
F154,F151,before,2.34
F154,F208,before,45.44
F154,F062,before,4.09
F154,F079,before,7.06
F154,F048,before,6.23
F154,F051,before,10.23
F154,F113,before,8.12
F154,F158,before,2.01
F154,F199,before,10.44
F155,F074,before,28.46
F155,F095,before,11.87
F155,F097,before,11.77
F155,F085,before,24.43
F155,F182,before,30.22
F155,F083,before,6.16
F155,F050,before,4.88
F156,F127,before,9.8
F156,F069,before,4.32
F156,F075,before,2.07
F157,F151,before,25.65
F157,F062,before,15.46
F157,F043,before,50.24
F157,F127,before,4.73
F157,F016,before,16.05
F157,F106,before,26.39
F157,F093,before,11.4
F157,F177,before,4.51
F158,F101,before,4.28
F158,F092,before,10.79
F158,F097,before,16.04
F158,F095,before,51.69
F158,F199,before,35.9
F158,F113,before,67.69
F158,F145,before,1.36
F158,F219,before,11.65
F158,F133,before,31.66
F158,F155,before,2.99
F159,F063,before,2.37
F161,F112,before,34.13
F161,F039,before,17.05
F161,F135,before,59.51
F161,F035,before,13.16
F161,F084,before,48.8
F161,F052,before,13.13
F161,F140,before,38.5
F161,F048,before,19.13
F161,F051,before,29.4
F161,F009,before,56.69
F161,F063,before,39.88
F162,F171,before,0.5
F162,F030,before,0.59
F163,F151,before,12.12
F163,F208,before,12.95
F163,F043,before,2.58
F163,F079,before,3.27
F163,F075,before,14.75
F163,F217,before,3.28
F164,F140,before,17.39
F164,F199,before,9.53
F164,F035,before,26.97
F164,F169,before,21.98
F164,F113,before,8.81
F164,F220,before,44.62
F164,F063,before,46.25
F165,F108,before,2.66
F165,F171,before,2.21
F166,F114,before,24.94
F167,F010,before,5.88
F167,F063,before,3.79
F169,F057,before,3.5
F170,F145,before,4.26
F170,F209,before,11.98
F170,F057,before,4.5
F171,F108,before,4.54
F171,F031,before,17.59
F171,F110,before,10.74
F172,F108,before,1.82
F172,F091,before,1.51
F174,F015,before,4.83
F174,F157,before,13.42
F174,F090,before,2.46
F175,F009,before,0.28
F176,F093,before,14.25
F176,F027,before,4.97
F177,F190,before,16.58
F177,F107,before,29.83
F178,F196,before,3.92
F179,F062,before,13.52
F179,F043,before,9.92
F179,F079,before,4.86
F179,F036,before,24.29
F179,F012,before,4.32
F179,F190,before,6.18
F179,F063,before,2.14
F180,F212,before,0.91
F181,F010,before,10.2
F181,F176,before,1.19
F183,F016,before,2.25
F184,F151,before,27.04
F184,F208,before,6.33
F184,F043,before,25.3
F184,F079,before,5.16
F184,F035,before,9.57
F185,F151,before,8.44
F185,F208,before,1.72
F185,F062,before,10.89
F185,F043,before,24.66
F185,F079,before,13.18
F185,F066,before,2.64
F185,F153,before,5.73
F185,F158,before,7.69
F186,F108,before,2.44
F186,F063,before,5.61
F187,F151,before,18.43
F187,F208,before,53.68
F187,F062,before,6.54
F187,F043,before,7.0
F187,F213,before,12.79
F188,F151,before,2.8
F188,F208,before,22.28
F188,F062,before,3.05
F188,F043,before,4.88
F188,F079,before,4.78
F188,F027,before,9.77
F188,F031,before,7.13
F189,F132,before,2.7
F190,F151,before,5.26
F190,F208,before,8.64
F190,F062,before,19.59
F190,F043,before,15.68
F190,F079,before,19.74
F190,F038,before,14.88
F190,F157,before,12.33
F190,F177,before,13.46
F190,F010,before,6.74
F194,F063,before,1.49
F195,F151,before,0.05
F195,F208,before,7.86
F195,F062,before,7.15
F195,F079,before,2.57
F195,F187,before,3.27
F196,F151,before,40.61
F196,F208,before,25.33
F196,F043,before,32.93
F196,F079,before,15.34
F196,F113,before,13.16
F196,F082,before,8.0
F196,F094,before,6.47
F196,F057,before,19.83
F196,F032,before,11.04
F196,F018,before,4.49
F198,F108,before,3.36
F198,F010,before,9.17
F199,F095,before,15.72
F199,F035,before,11.12
F199,F220,before,27.61
F199,F184,before,7.53
F199,F154,before,22.3
F199,F209,before,19.74
F199,F098,before,42.34
F199,F056,before,8.59
F199,F158,before,12.75
F200,F151,before,41.03
F200,F208,before,28.69
F200,F062,before,32.01
F200,F043,before,34.99
F200,F031,before,11.06
F200,F171,before,22.38
F200,F010,before,17.35
F200,F075,before,13.92
F200,F127,before,15.96
F200,F138,before,13.15
F201,F151,before,4.17
F201,F208,before,5.47
F201,F062,before,1.75
F201,F043,before,5.46
F201,F079,before,14.1
F201,F107,before,1.44
F202,F108,before,4.53
F202,F155,before,12.78
F202,F066,before,17.54
F202,F098,before,3.2
F202,F164,before,25.09
F202,F063,before,16.2
F203,F057,before,3.49
F203,F170,before,6.81
F204,F196,before,7.84
F205,F108,before,4.34
F205,F059,before,4.43
F205,F158,before,4.07
F206,F151,before,10.15
F206,F062,before,2.66
F206,F043,before,0.52
F206,F079,before,1.44
F207,F158,before,5.25
F209,F016,before,6.31
F209,F063,before,14.18
F210,F050,before,24.14
F210,F054,before,8.21
F210,F187,before,12.32
F210,F057,before,7.45
F210,F140,before,3.95
F210,F145,before,30.2
F212,F130,before,12.73
F212,F105,before,25.52
F212,F095,before,4.71
F212,F202,before,10.29
F212,F219,before,15.96
F212,F208,before,17.97
F212,F062,before,10.96
F212,F043,before,30.93
F212,F079,before,38.39
F212,F107,before,47.03
F212,F014,before,14.58
F212,F198,before,9.76
F214,F105,before,0.69
F216,F070,before,2.47
F217,F110,before,7.76
F217,F177,before,7.12
F217,F122,before,55.86
F217,F031,before,16.11
F217,F198,before,27.37
F217,F093,before,5.97
F218,F056,before,6.21
F218,F051,before,1.38
F219,F151,before,1.92
F219,F208,before,8.12
F219,F043,before,1.71
F219,F079,before,3.99
F219,F035,before,7.41
F219,F063,before,4.53
F220,F151,before,4.65
F220,F208,before,0.7
F220,F062,before,8.68
F220,F043,before,9.33
F220,F079,before,9.77
F220,F105,before,2.86
F001,F062,during,8.09
F002,F106,during,4.56
F004,F151,during,4.43
F004,F208,during,2.21
F004,F062,during,18.72
F004,F043,during,1.48
F004,F079,during,4.32
F004,F107,during,1.62
F005,F151,during,4.78
F005,F043,during,8.38
F005,F079,during,17.03
F005,F107,during,6.38
F005,F030,during,1.89
F007,F108,during,9.94
F008,F169,during,4.07
F009,F027,during,69.35
F009,F181,during,0.86
F009,F177,during,53.92
F009,F187,during,14.44
F009,F148,during,121.64
F009,F138,during,70.97
F009,F077,during,11.67
F009,F107,during,48.37
F009,F075,during,243.18
F009,F122,during,28.09
F009,F126,during,276.04
F009,F068,during,71.78
F009,F036,during,94.77
F009,F010,during,33.32
F010,F177,during,52.86
F010,F137,during,70.12
F010,F190,during,133.64
F010,F044,during,16.81
F010,F171,during,58.76
F010,F009,during,58.75
F010,F029,during,73.08
F010,F027,during,42.95
F011,F151,during,7.59
F011,F208,during,1.18
F011,F062,during,2.7
F011,F043,during,3.06
F011,F079,during,0.74
F012,F151,during,16.98
F012,F208,during,2.02
F012,F062,during,6.53
F012,F043,during,9.39
F012,F079,during,2.24
F015,F108,during,12.89
F015,F169,during,16.33
F015,F075,during,9.15
F016,F169,during,27.97
F016,F052,during,26.82
F016,F095,during,16.63
F016,F051,during,23.97
F016,F145,during,20.51
F017,F108,during,4.67
F017,F169,during,3.08
F018,F035,during,1.48
F019,F151,during,3.35
F019,F062,during,2.68
F019,F043,during,2.57
F019,F094,during,6.93
F020,F177,during,3.35
F023,F151,during,4.02
F023,F208,during,2.94
F023,F043,during,2.15
F023,F079,during,10.29
F024,F208,during,1.08
F024,F079,during,12.18
F027,F108,during,83.67
F027,F151,during,113.5
F027,F208,during,89.28
F027,F062,during,118.61
F027,F043,during,44.58
F027,F079,during,25.66
F027,F075,during,8.06
F027,F048,during,15.39
F027,F179,during,44.99
F027,F177,during,59.3
F027,F138,during,7.13
F027,F200,during,18.99
F027,F122,during,55.39
F027,F003,during,13.51
F027,F087,during,62.41
F027,F009,during,27.84
F027,F107,during,43.28
F029,F137,during,4.18
F029,F173,during,7.29
F029,F156,during,13.74
F029,F100,during,1.71
F029,F151,during,0.32
F029,F208,during,9.34
F029,F062,during,8.22
F029,F043,during,3.57
F029,F079,during,2.84
F029,F009,during,1.32
F030,F075,during,8.44
F030,F110,during,4.86
F030,F190,during,21.28
F030,F070,during,13.83
F030,F027,during,18.21
F031,F075,during,24.73
F031,F151,during,31.74
F031,F104,during,59.09
F031,F010,during,38.9
F031,F171,during,143.27
F031,F009,during,60.21
F031,F217,during,13.38
F031,F148,during,17.47
F031,F157,during,29.47
F031,F190,during,39.27
F031,F134,during,34.77
F031,F126,during,44.12
F031,F137,during,23.59
F032,F052,during,1.47
F033,F148,during,5.36
F034,F151,during,1.97
F034,F208,during,14.71
F034,F043,during,17.7
F034,F079,during,29.52
F034,F196,during,0.51
F035,F217,during,12.02
F035,F170,during,6.32
F035,F155,during,21.96
F035,F140,during,28.61
F035,F092,during,31.18
F036,F151,during,2.79
F036,F062,during,4.93
F036,F043,during,3.16
F037,F010,during,2.56
F037,F157,during,14.55
F038,F100,during,25.34
F038,F037,during,13.82
F038,F181,during,5.84
F039,F184,during,7.42
F040,F108,during,6.2
F040,F151,during,6.93
F040,F208,during,4.44
F040,F062,during,2.51
F040,F079,during,4.05
F041,F048,during,9.73
F044,F151,during,10.57
F044,F062,during,3.85
F044,F043,during,9.22
F044,F103,during,2.65
F045,F103,during,3.07
F047,F144,during,20.83
F047,F209,during,41.96
F048,F108,during,9.11
F048,F072,during,6.26
F048,F170,during,14.32
F048,F059,during,11.47
F048,F092,during,9.5
F048,F132,during,10.9
F050,F085,during,11.92
F051,F145,during,9.48
F051,F074,during,7.68
F053,F038,during,1.64
F054,F208,during,10.7
F054,F062,during,5.35
F054,F043,during,8.75
F054,F113,during,4.16
F055,F120,during,4.88
F055,F145,during,8.3
F055,F161,during,14.93
F056,F178,during,33.84
F056,F191,during,13.8
F057,F151,during,29.31
F057,F208,during,84.43
F057,F062,during,29.9
F057,F079,during,25.28
F057,F065,during,23.02
F057,F185,during,63.22
F057,F047,during,32.44
F057,F144,during,30.78
F057,F082,during,108.59
F057,F067,during,20.39
F058,F151,during,8.39
F058,F208,during,5.63
F058,F062,during,2.05
F058,F043,during,8.87
F058,F079,during,9.18
F059,F151,during,9.77
F059,F208,during,33.08
F059,F043,during,3.22
F059,F079,during,5.97
F061,F132,during,3.65
F061,F209,during,10.07
F061,F047,during,17.45
F061,F085,during,4.6
F061,F077,during,6.19
F062,F137,during,9.12
F065,F095,during,1.46
F066,F168,during,2.95
F066,F086,during,15.73
F066,F160,during,19.19
F066,F203,during,12.05
F066,F072,during,4.85
F066,F161,during,2.64
F066,F208,during,2.64
F066,F062,during,23.49
F066,F043,during,16.18
F066,F079,during,1.21
F066,F085,during,15.5
F066,F169,during,17.24
F066,F158,during,11.07
F068,F093,during,8.8
F069,F108,during,27.59
F069,F107,during,12.63
F069,F068,during,16.85
F070,F062,during,9.88
F072,F095,during,1.75
F072,F105,during,0.22
F074,F057,during,2.78
F074,F150,during,23.27
F074,F051,during,5.61
F077,F108,during,4.36
F077,F084,during,7.14
F077,F039,during,13.56
F077,F048,during,6.34
F079,F019,during,2.92
F081,F151,during,2.13
F081,F208,during,3.84
F081,F062,during,2.27
F081,F043,during,5.0
F081,F079,during,2.64
F082,F169,during,5.43
F082,F035,during,4.84
F082,F155,during,34.49
F082,F049,during,3.28
F082,F099,during,13.44
F083,F108,during,1.55
F083,F128,during,12.97
F083,F209,during,11.09
F084,F082,during,2.14
F085,F164,during,8.56
F085,F066,during,27.89
F085,F083,during,13.91
F085,F193,during,31.64
F085,F114,during,7.35
F085,F071,during,23.38
F085,F147,during,12.66
F086,F210,during,3.05
F087,F132,during,3.09
F089,F151,during,6.76
F089,F208,during,19.06
F089,F062,during,4.6
F089,F043,during,5.6
F089,F049,during,10.16
F089,F155,during,2.22
F090,F010,during,10.8
F090,F070,during,10.39
F091,F107,during,46.3
F091,F010,during,3.01
F091,F148,during,4.74
F091,F030,during,6.29
F092,F158,during,8.96
F092,F059,during,1.76
F092,F218,during,16.33
F092,F164,during,16.15
F093,F050,during,11.17
F093,F176,during,18.11
F093,F058,during,4.35
F093,F151,during,7.65
F093,F110,during,35.66
F093,F015,during,16.09
F093,F138,during,9.83
F093,F212,during,26.9
F093,F038,during,51.46
F094,F218,during,3.67
F095,F185,during,11.59
F095,F066,during,92.34
F095,F035,during,34.76
F095,F048,during,25.3
F095,F083,during,7.77
F095,F154,during,10.88
F095,F199,during,45.86
F095,F132,during,14.72
F095,F161,during,10.38
F096,F098,during,4.2
F096,F184,during,5.29
F097,F035,during,14.06
F097,F066,during,14.15
F097,F189,during,30.92
F097,F158,during,11.28
F097,F214,during,12.04
F098,F169,during,6.99
F099,F208,during,16.91
F099,F062,during,7.22
F099,F079,during,14.57
F099,F155,during,11.5
F101,F039,during,5.32
F101,F061,during,6.35
F103,F108,during,11.44
F103,F161,during,8.29
F104,F029,during,7.31
F105,F085,during,12.31
F107,F010,during,65.71
F107,F124,during,6.66
F107,F093,during,22.56
F107,F126,during,26.57
F107,F175,during,27.32
F107,F062,during,15.56
F107,F031,during,27.05
F107,F106,during,63.38
F107,F212,during,20.1
F108,F077,during,22.02
F108,F017,during,1.77
F108,F048,during,19.6
F108,F205,during,17.86
F108,F186,during,43.43
F108,F171,during,12.89
F108,F103,during,26.73
F108,F015,during,17.07
F108,F172,during,13.79
F108,F165,during,13.76
F108,F134,during,14.07
F108,F158,during,5.36
F108,F148,during,7.88
F108,F161,during,9.24
F110,F151,during,1.56
F110,F043,during,9.41
F112,F151,during,3.77
F112,F208,during,6.69
F112,F062,during,11.05
F112,F079,during,8.48
