from_id,to_id,block,number_of_flights,seats,delay_min
AAB,AFR,morning,6,822,20.3
AAB,AFR,midday,6,762,9.0
AAB,AFR,afternoon,7,1337,63.8
AAB,AFR,evening,6,1122,22.4
AAB,AFS,morning,9,1269,12.1
AAB,AFS,midday,5,555,15.7
AAB,AFS,afternoon,9,693,58.7
AAB,AFS,evening,7,1078,16.2
AAB,AFX,morning,4,768,17.3
AAB,AFX,midday,7,721,10.4
AAB,AFX,afternoon,7,504,64.4
AAB,AFX,evening,7,504,7.7
AAB,AGI,morning,4,344,12.1
AAB,AGI,midday,5,990,12.4
AAB,AGI,afternoon,7,1183,58.5
AAB,AGI,evening,7,1393,12.1
AAB,AGP,morning,5,390,8.9
AAB,AGP,midday,6,1086,5.7
AAB,AGP,afternoon,8,1544,56.3
AAB,AGP,evening,7,1176,11.0
AAB,AGR,morning,8,1120,15.0
AAB,AGR,midday,9,1539,9.5
AAB,AGR,afternoon,10,1460,61.1
AAB,AGR,evening,10,1220,10.1
AAB,AGU,morning,4,544,8.2
AAB,AGU,midday,6,984,13.0
AAB,AGU,afternoon,7,665,64.2
AAB,AGU,evening,6,648,13.9
AAB,AHA,morning,7,693,7.4
AAB,AHA,midday,7,952,14.1
AAB,AHA,afternoon,9,810,54.7
AAB,AHA,evening,6,624,12.8
AAB,AHO,morning,5,685,17.7
AAB,AHO,midday,5,635,15.2
AAB,AHO,afternoon,7,1176,55.6
AAB,AHO,evening,6,816,17.8
AAC,AEF,morning,1,72,17.7
AAC,AEF,midday,1,131,4.3
AAC,AEF,afternoon,1,118,7.9
AAC,AEF,evening,3,486,14.9
AAC,AGR,morning,4,664,9.7
AAC,AGR,midday,4,428,18.8
AAC,AGR,afternoon,5,350,13.9
AAC,AGR,evening,4,404,4.4
AAD,AGC,morning,3,297,6.9
AAD,AGC,midday,3,264,1.7
AAD,AGC,afternoon,4,400,14.2
AAD,AGC,evening,5,415,12.9
AAE,ABK,morning,6,708,8.1
AAE,ABK,midday,7,770,18.2
AAE,ABK,afternoon,5,540,63.0
AAE,ABK,evening,5,785,12.0
AAF,AGR,morning,2,376,6.0
AAF,AGR,midday,5,535,15.3
AAF,AGR,afternoon,6,852,15.5
AAF,AGR,evening,3,558,15.8
AAG,AGC,morning,4,620,16.2
AAG,AGC,midday,5,550,7.8
AAG,AGC,afternoon,5,375,25.0
AAG,AGC,evening,5,485,10.5
AAH,AGC,morning,4,784,16.7
AAH,AGC,midday,4,796,6.3
AAH,AGC,afternoon,6,1188,11.9
AAH,AGC,evening,4,316,20.1
AAI,ABK,morning,2,150,9.1
AAI,ABK,midday,3,462,17.7
AAI,ABK,afternoon,2,354,56.1
AAI,ABK,evening,4,648,10.9
AAJ,AAB,morning,6,606,17.3
AAJ,AAB,midday,4,676,10.1
AAJ,AAB,afternoon,4,428,5.6
AAJ,AAB,evening,5,830,6.8
AAJ,AEZ,morning,4,332,15.5
AAJ,AEZ,midday,3,294,12.3
AAJ,AEZ,afternoon,5,905,7.0
AAJ,AEZ,evening,4,688,8.0
AAK,ADY,morning,4,516,6.6
AAK,ADY,midday,3,360,11.2
AAK,ADY,afternoon,6,1008,5.0
AAK,ADY,evening,4,784,8.0
AAL,AGR,morning,5,425,9.2
AAL,AGR,midday,5,750,14.9
AAL,AGR,afternoon,4,676,19.1
AAL,AGR,evening,5,950,13.3
AAM,AGC,morning,6,1080,13.0
AAM,AGC,midday,4,716,13.6
AAM,AGC,afternoon,6,600,12.1
AAM,AGC,evening,4,724,9.6
AAN,AGC,morning,4,528,7.4
AAN,AGC,midday,5,415,12.4
AAN,AGC,afternoon,5,585,10.2
AAN,AGC,evening,5,440,13.3
AAO,AAB,morning,5,580,12.2
AAO,AAB,midday,5,650,5.4
AAO,AAB,afternoon,5,530,15.0
AAO,AAB,evening,5,570,14.8
AAO,AEV,morning,1,102,13.5
AAO,AEV,midday,1,117,13.8
AAO,AEV,afternoon,5,805,7.5
AAO,AEV,evening,2,164,7.7
AAO,AEZ,morning,5,450,12.6
AAO,AEZ,midday,6,1134,16.4
AAO,AEZ,afternoon,6,864,5.4
AAO,AEZ,evening,5,630,18.6
AAP,ADY,morning,5,900,13.4
AAP,ADY,midday,7,1022,11.1
AAP,ADY,afternoon,6,474,14.1
AAP,ADY,evening,5,785,9.1
AAQ,AAB,morning,4,628,10.5
AAQ,AAB,midday,4,372,5.6
AAQ,AAB,afternoon,4,736,6.0
AAQ,AAB,evening,3,366,16.5
AAQ,AEZ,morning,5,485,5.8
AAQ,AEZ,midday,3,213,8.5
AAQ,AEZ,afternoon,3,363,6.6
AAQ,AEZ,evening,2,234,6.8
AAR,ABK,morning,3,480,12.1
AAR,ABK,midday,4,332,10.2
AAR,ABK,afternoon,7,1372,61.4
AAR,ABK,evening,4,700,12.7
AAS,AGC,morning,4,448,14.3
AAS,AGC,midday,6,918,13.8
AAS,AGC,afternoon,7,952,22.5
AAS,AGC,evening,5,675,9.6
AAT,AAB,morning,3,252,12.0
AAT,AAB,midday,4,356,17.1
AAT,AAB,afternoon,3,384,18.2
AAT,AAB,evening,4,720,6.0
AAT,AEZ,morning,5,570,10.9
AAT,AEZ,midday,6,516,15.6
AAT,AEZ,afternoon,5,350,14.1
AAT,AEZ,evening,5,795,11.9
AAU,AGC,morning,5,945,12.6
AAU,AGC,midday,2,282,10.8
AAU,AGC,afternoon,5,870,11.9
AAU,AGC,evening,5,420,13.3
AAV,ADY,morning,5,415,9.6
AAV,ADY,midday,3,369,12.3
AAV,ADY,afternoon,6,774,10.3
AAV,ADY,evening,5,960,15.1
AAW,AGR,morning,5,570,22.6
AAW,AGR,midday,5,370,5.3
AAW,AGR,afternoon,6,930,10.4
AAW,AGR,evening,5,860,11.0
AAX,AGR,morning,3,549,15.0
AAX,AGR,midday,4,680,15.3
AAX,AGR,afternoon,3,597,17.2
AAX,AGR,evening,5,850,19.3
AAY,ADB,morning,1,164,9.4
AAY,ADB,midday,1,125,18.7
AAY,ADB,afternoon,2,242,4.9
AAY,ADB,evening,2,370,19.3
AAY,AGC,morning,3,510,16.1
AAY,AGC,midday,1,179,16.6
AAY,AGC,afternoon,5,540,9.6
AAY,AGC,evening,3,312,11.2
AAY,AGR,morning,2,298,13.4
AAY,AGR,midday,4,496,15.8
AAY,AGR,afternoon,3,438,15.1
AAY,AGR,evening,4,668,17.5
AAY,AGX,morning,1,104,7.2
AAY,AGX,midday,1,102,16.3
AAY,AGX,afternoon,3,309,13.5
AAY,AGX,evening,1,86,11.7
AAY,AHL,morning,1,114,4.9
AAY,AHL,midday,4,376,15.9
AAY,AHL,afternoon,1,76,4.5
AAY,AHL,evening,2,258,18.7
AAZ,ABK,morning,4,684,6.6
AAZ,ABK,midday,4,580,10.8
AAZ,ABK,afternoon,4,600,54.7
AAZ,ABK,evening,4,292,17.6
AAZ,ABZ,morning,1,117,9.1
AAZ,ABZ,midday,2,304,8.4
AAZ,ABZ,afternoon,2,396,58.0
AAZ,ABZ,evening,2,264,17.5
ABA,AAB,morning,4,756,11.8
ABA,AAB,midday,5,405,9.6
ABA,AAB,afternoon,7,1008,12.2
ABA,AAB,evening,5,770,5.8
ABA,AEZ,morning,4,280,12.4
ABA,AEZ,midday,4,520,3.0
ABA,AEZ,afternoon,5,400,16.4
ABA,AEZ,evening,5,950,16.1
ABA,AGP,morning,3,567,21.5
ABA,AGP,midday,4,648,5.9
ABA,AGP,afternoon,2,334,11.5
ABA,AGP,evening,3,504,19.3
ABB,ABK,morning,5,525,16.8
ABB,ABK,midday,5,640,7.9
ABB,ABK,afternoon,6,792,58.3
ABB,ABK,evening,4,504,11.5
ABC,ABK,morning,4,300,8.7
ABC,ABK,midday,3,492,7.1
ABC,ABK,afternoon,7,1029,51.2
ABC,ABK,evening,6,1092,3.1
ABD,AGC,morning,5,680,14.5
ABD,AGC,midday,5,815,17.0
ABD,AGC,afternoon,7,945,13.0
ABD,AGC,evening,3,393,7.8
ABE,AGC,morning,5,780,18.4
ABE,AGC,midday,5,980,14.8
ABE,AGC,afternoon,6,738,11.8
ABE,AGC,evening,6,450,12.4
ABF,AGR,morning,5,790,6.4
ABF,AGR,midday,4,488,8.1
ABF,AGR,afternoon,2,142,9.3
ABF,AGR,evening,4,616,16.5
ABG,ADY,morning,6,630,5.8
ABG,ADY,midday,4,340,12.6
ABG,ADY,afternoon,6,930,8.0
ABG,ADY,evening,7,553,7.5
ABH,ADY,morning,4,696,7.1
ABH,ADY,midday,5,795,14.2
ABH,ADY,afternoon,4,604,8.3
ABH,ADY,evening,4,424,3.5
ABI,AAB,morning,5,525,7.4
ABI,AAB,midday,4,484,8.8
ABI,AAB,afternoon,7,700,8.9
ABI,AAB,evening,6,822,12.3
ABI,AEZ,morning,4,640,10.2
ABI,AEZ,midday,6,864,20.5
ABI,AEZ,afternoon,6,948,10.9
ABI,AEZ,evening,6,1008,16.0
ABJ,ABK,morning,5,740,5.1
ABJ,ABK,midday,6,504,7.6
ABJ,ABK,afternoon,6,960,54.1
ABJ,ABK,evening,5,690,3.8
ABK,AAB,morning,9,936,10.6
ABK,AAB,midday,8,1200,84.1
ABK,AAB,afternoon,10,1850,13.7
ABK,AAB,evening,9,1656,13.5
ABK,AAE,morning,4,736,13.1
ABK,AAE,midday,6,612,80.3
ABK,AAE,afternoon,5,790,7.0
ABK,AAE,evening,7,1316,2.8
ABK,AAI,morning,5,960,14.0
ABK,AAI,midday,7,581,72.1
ABK,AAI,afternoon,7,861,11.9
ABK,AAI,evening,6,564,14.0
ABK,AAR,morning,4,456,11.6
ABK,AAR,midday,5,690,60.7
ABK,AAR,afternoon,7,1176,12.8
ABK,AAR,evening,6,918,6.6
ABK,AAZ,morning,3,267,18.0
ABK,AAZ,midday,6,726,67.4
ABK,AAZ,afternoon,6,1086,10.6
ABK,AAZ,evening,8,1136,18.8
ABK,ABB,morning,5,870,14.8
ABK,ABB,midday,6,870,76.2
ABK,ABB,afternoon,6,594,8.3
ABK,ABB,evening,5,955,8.7
ABK,ABC,morning,5,500,8.2
ABK,ABC,midday,5,490,75.2
ABK,ABC,afternoon,7,630,10.9
ABK,ABC,evening,5,570,10.2
ABK,ABJ,morning,6,426,11.4
ABK,ABJ,midday,7,1008,66.7
ABK,ABJ,afternoon,7,1057,11.5
ABK,ABJ,evening,8,984,13.0
ABK,ABX,morning,7,861,3.3
ABK,ABX,midday,5,415,69.9
ABK,ABX,afternoon,5,940,12.2
ABK,ABX,evening,7,665,13.2
ABK,ABY,morning,5,565,8.0
ABK,ABY,midday,6,774,78.4
ABK,ABY,afternoon,6,420,13.5
ABK,ABY,evening,5,555,5.0
ABK,ABZ,morning,5,495,15.0
ABK,ABZ,midday,7,798,64.3
ABK,ABZ,afternoon,6,588,12.1
ABK,ABZ,evening,6,924,12.8
ABK,ACG,morning,5,635,9.3
ABK,ACG,midday,8,768,63.5
ABK,ACG,afternoon,7,700,9.2
ABK,ACG,evening,5,390,8.3
ABK,ACH,morning,5,535,9.2
ABK,ACH,midday,7,1029,69.5
ABK,ACH,afternoon,5,945,14.1
ABK,ACH,evening,6,672,14.8
ABK,ACQ,morning,7,1043,19.0
ABK,ACQ,midday,5,420,78.9
ABK,ACQ,afternoon,6,420,11.8
ABK,ACQ,evening,7,700,10.6
ABK,ACS,morning,6,570,3.7
ABK,ACS,midday,6,516,69.7
ABK,ACS,afternoon,7,707,12.9
ABK,ACS,evening,6,534,5.8
ABK,ACW,morning,7,1393,8.5
ABK,ACW,midday,6,1044,64.6
ABK,ACW,afternoon,8,792,9.4
ABK,ACW,evening,8,1128,16.2
ABK,ADF,morning,5,525,7.7
ABK,ADF,midday,4,568,85.2
ABK,ADF,afternoon,7,637,11.1
ABK,ADF,evening,6,636,11.2
ABK,ADG,morning,7,952,7.8
ABK,ADG,midday,6,714,86.7
ABK,ADG,afternoon,8,864,12.8
ABK,ADG,evening,6,894,10.5
ABK,ADH,morning,7,693,5.7
ABK,ADH,midday,4,716,71.8
ABK,ADH,afternoon,6,552,11.9
ABK,ADH,evening,7,560,17.1
ABK,ADK,morning,6,738,13.6
ABK,ADK,midday,5,880,69.2
ABK,ADK,afternoon,7,861,7.0
ABK,ADK,evening,7,504,4.0
ABK,ADM,morning,5,710,13.9
ABK,ADM,midday,7,700,77.7
ABK,ADM,afternoon,7,1001,14.3
ABK,ADM,evening,5,490,8.5
ABK,ADT,morning,6,768,12.7
ABK,ADT,midday,6,690,83.1
ABK,ADT,afternoon,5,460,10.1
ABK,ADT,evening,6,438,11.0
ABK,ADU,morning,6,1140,11.5
ABK,ADU,midday,7,1120,63.4
ABK,ADU,afternoon,7,1050,9.5
ABK,ADU,evening,6,870,11.3
ABK,ADY,morning,7,525,7.2
ABK,ADY,midday,9,837,68.9
ABK,ADY,afternoon,11,1188,9.8
ABK,ADY,evening,8,1104,12.7
ABK,AEE,morning,5,385,9.4
ABK,AEE,midday,5,375,65.6
ABK,AEE,afternoon,6,858,13.7
ABK,AEE,evening,6,480,8.8
ABK,AEH,morning,3,558,11.1
ABK,AEH,midday,6,528,60.5
ABK,AEH,afternoon,8,648,14.4
ABK,AEH,evening,8,992,11.9
ABK,AEK,morning,4,448,12.2
ABK,AEK,midday,5,665,70.8
ABK,AEK,afternoon,7,1344,8.5
ABK,AEK,evening,7,945,1.4
ABK,AES,morning,7,819,13.4
ABK,AES,midday,5,810,76.4
ABK,AES,afternoon,7,1246,13.0
ABK,AES,evening,7,1036,9.1
ABK,AEU,morning,5,350,13.2
ABK,AEU,midday,6,876,82.5
ABK,AEU,afternoon,6,420,14.4
ABK,AEU,evening,5,820,10.6
ABK,AEX,morning,6,828,0.0
ABK,AEX,midday,7,1162,74.0
ABK,AEX,afternoon,6,510,14.1
ABK,AEX,evening,8,832,14.2
ABK,AEY,morning,5,570,8.1
ABK,AEY,midday,6,1068,71.7
ABK,AEY,afternoon,6,552,12.7
ABK,AEY,evening,6,678,17.9
ABK,AEZ,morning,9,1710,6.0
ABK,AEZ,midday,8,704,79.1
ABK,AEZ,afternoon,11,2145,14.3
ABK,AEZ,evening,8,1192,12.2
ABK,AFA,morning,5,370,8.1
ABK,AFA,midday,8,1464,67.8
ABK,AFA,afternoon,6,492,15.7
ABK,AFA,evening,7,532,12.1
ABK,AFF,morning,5,350,13.2
ABK,AFF,midday,6,576,65.4
ABK,AFF,afternoon,7,854,14.2
ABK,AFF,evening,6,726,9.6
ABK,AFJ,morning,6,498,9.8
ABK,AFJ,midday,6,504,59.8
ABK,AFJ,afternoon,7,763,11.6
ABK,AFJ,evening,6,744,5.9
ABK,AFT,morning,7,672,6.4
ABK,AFT,midday,7,840,68.9
ABK,AFT,afternoon,6,618,12.6
ABK,AFT,evening,6,690,5.5
ABK,AFW,morning,5,620,10.0
ABK,AFW,midday,6,732,76.3
ABK,AFW,afternoon,7,630,7.3
ABK,AFW,evening,6,1110,14.5
ABK,AFY,morning,6,1098,12.1
ABK,AFY,midday,5,735,84.4
ABK,AFY,afternoon,9,1593,13.0
ABK,AFY,evening,6,1140,11.3
ABK,AGE,morning,5,815,9.3
ABK,AGE,midday,6,1176,65.9
ABK,AGE,afternoon,7,1386,10.8
ABK,AGE,evening,8,1184,6.7
ABK,AGH,morning,5,710,10.7
ABK,AGH,midday,5,700,74.1
ABK,AGH,afternoon,8,1456,14.3
ABK,AGH,evening,6,918,14.7
ABK,AGR,morning,8,808,15.3
ABK,AGR,midday,10,1670,68.0
ABK,AGR,afternoon,10,1640,12.1
ABK,AGR,evening,9,1755,19.2
ABK,AGS,morning,6,558,10.4
ABK,AGS,midday,6,960,74.8
ABK,AGS,afternoon,7,798,14.5
ABK,AGS,evening,7,1183,10.6
ABK,AGT,morning,6,672,8.6
ABK,AGT,midday,5,575,55.7
ABK,AGT,afternoon,7,616,10.3
ABK,AGT,evening,5,445,2.9
ABK,AHF,morning,5,570,11.7
ABK,AHF,midday,5,610,83.6
ABK,AHF,afternoon,7,812,15.6
ABK,AHF,evening,6,600,4.8
ABK,AHK,morning,5,530,12.7
ABK,AHK,midday,7,1260,80.6
ABK,AHK,afternoon,8,864,8.9
ABK,AHK,evening,8,1352,13.0
ABK,AHM,morning,6,576,3.0
ABK,AHM,midday,6,1026,71.1
ABK,AHM,afternoon,8,1496,8.6
ABK,AHM,evening,6,642,15.9
ABK,AHN,morning,5,880,3.4
ABK,AHN,midday,6,792,73.9
ABK,AHN,afternoon,8,1472,12.9
ABK,AHN,evening,7,511,10.1
ABK,AHQ,morning,6,666,11.3
ABK,AHQ,midday,7,959,57.7
ABK,AHQ,afternoon,7,1106,14.3
ABK,AHQ,evening,8,768,11.9
ABL,AAB,morning,3,294,7.4
ABL,AAB,midday,4,308,13.2
ABL,AAB,afternoon,6,1026,14.2
ABL,AAB,evening,6,582,10.4
ABL,AEZ,morning,4,572,8.4
ABL,AEZ,midday,3,450,19.0
ABL,AEZ,afternoon,7,861,18.7
ABL,AEZ,evening,5,685,14.3
ABL,AFO,morning,5,790,15.6
ABL,AFO,midday,8,968,8.3
ABL,AFO,afternoon,8,1312,15.3
ABL,AFO,evening,7,1302,15.9
ABM,ADY,morning,4,416,5.5
ABM,ADY,midday,3,324,12.6
ABM,ADY,afternoon,5,650,6.1
ABM,ADY,evening,5,985,15.5
ABN,AGC,morning,5,600,13.9
ABN,AGC,midday,4,348,2.8
ABN,AGC,afternoon,4,612,18.1
ABN,AGC,evening,5,365,3.5
ABO,AAB,morning,5,580,10.7
ABO,AAB,midday,4,416,19.8
ABO,AAB,afternoon,4,324,11.9
ABO,AAB,evening,5,395,7.8
ABO,AEZ,morning,5,430,9.7
ABO,AEZ,midday,5,655,14.8
ABO,AEZ,afternoon,5,525,4.7
ABO,AEZ,evening,4,312,17.2
ABP,AGC,morning,5,350,14.7
ABP,AGC,midday,3,450,8.6
ABP,AGC,afternoon,5,690,11.9
ABP,AGC,evening,5,765,11.4
ABQ,AGC,morning,3,477,16.9
ABQ,AGC,midday,6,666,16.4
ABQ,AGC,afternoon,6,1050,7.5
ABQ,AGC,evening,5,590,8.7
ABR,ADY,morning,4,608,4.3
ABR,ADY,midday,6,462,16.2
ABR,ADY,afternoon,5,430,6.4
ABR,ADY,evening,6,486,15.8
ABS,AGC,morning,4,280,9.6
ABS,AGC,midday,4,680,8.0
ABS,AGC,afternoon,4,736,11.9
ABS,AGC,evening,6,1134,10.0
ABT,AGC,morning,6,936,6.8
ABT,AGC,midday,6,1134,13.8
ABT,AGC,afternoon,5,975,10.0
ABT,AGC,evening,4,608,4.1
ABU,ADY,morning,4,540,9.9
ABU,ADY,midday,4,732,4.6
ABU,ADY,afternoon,6,1032,9.2
ABU,ADY,evening,4,660,9.4
ABU,AEW,morning,2,224,6.1
ABU,AEW,midday,1,127,18.7
ABU,AEW,afternoon,3,264,11.3
ABU,AEW,evening,1,76,12.2
ABV,AAK,morning,2,212,5.3
ABV,AAK,midday,3,393,7.2
ABV,AAK,afternoon,2,358,15.5
ABV,AAK,evening,1,128,8.7
ABV,ADY,morning,6,648,13.0
ABV,ADY,midday,5,780,6.0
ABV,ADY,afternoon,7,987,14.3
ABV,ADY,evening,5,385,11.9
ABW,AGC,morning,2,392,13.4
ABW,AGC,midday,5,980,9.6
ABW,AGC,afternoon,6,468,10.7
ABW,AGC,evening,4,732,11.9
ABX,ABK,morning,4,436,8.6
ABX,ABK,midday,5,515,16.7
ABX,ABK,afternoon,4,468,57.0
ABX,ABK,evening,4,600,14.8
ABY,ABK,morning,3,468,8.3
ABY,ABK,midday,4,700,15.3
ABY,ABK,afternoon,5,360,49.2
ABY,ABK,evening,5,415,10.7
ABZ,ABK,morning,3,591,11.0
ABZ,ABK,midday,4,560,22.4
ABZ,ABK,afternoon,4,476,53.1
ABZ,ABK,evening,6,582,15.5
ABZ,ABY,morning,1,143,2.6
ABZ,ABY,midday,2,298,15.4
ABZ,ABY,afternoon,2,344,66.8
ABZ,ABY,evening,1,158,15.7
ACA,AGC,morning,5,940,14.0
ACA,AGC,midday,6,738,11.1
ACA,AGC,afternoon,5,390,13.3
ACA,AGC,evening,6,468,11.6
ACB,AGC,morning,3,231,8.3
ACB,AGC,midday,6,768,13.6
ACB,AGC,afternoon,6,972,14.5
ACB,AGC,evening,5,445,12.9
ACC,AGC,morning,5,635,12.7
ACC,AGC,midday,4,424,6.9
ACC,AGC,afternoon,5,550,12.9
ACC,AGC,evening,5,570,15.5
ACD,AGC,morning,5,825,15.1
ACD,AGC,midday,6,984,20.8
ACD,AGC,afternoon,5,465,13.9
ACD,AGC,evening,4,544,16.6
ACE,AAB,morning,4,416,12.9
ACE,AAB,midday,4,344,13.0
ACE,AAB,afternoon,6,1038,12.1
ACE,AAB,evening,4,792,21.4
ACE,AEZ,morning,4,504,10.7
ACE,AEZ,midday,6,564,11.7
ACE,AEZ,afternoon,6,696,16.9
ACE,AEZ,evening,4,360,15.8
ACE,AFO,morning,6,522,7.5
ACE,AFO,midday,8,688,17.3
ACE,AFO,afternoon,8,688,14.7
ACE,AFO,evening,8,920,9.3
ACF,AAB,morning,3,465,14.3
ACF,AAB,midday,3,453,15.0
ACF,AAB,afternoon,6,846,8.2
ACF,AAB,evening,6,642,17.3
ACF,AEZ,morning,6,1008,16.1
ACF,AEZ,midday,6,1002,12.1
ACF,AEZ,afternoon,6,870,18.8
ACF,AEZ,evening,6,1170,11.7
ACF,AFO,morning,7,1190,11.2
ACF,AFO,midday,8,1120,8.1
ACF,AFO,afternoon,11,1991,18.7
ACF,AFO,evening,9,1314,11.9
ACG,ABK,morning,5,380,13.3
