node_id,kind,label,dept,level,tenure_months,location,manager_id,laid_off
E123,employee,Emp 123,Marketing,manager,86,Remote,E050,0
E124,employee,Emp 124,Engineering,ic,28,Remote,E004,0
E125,employee,Emp 125,Marketing,manager,42,HQ,E050,0
E126,employee,Emp 126,Operations,ic,18,APAC Office,E221,0
E127,employee,Emp 127,Operations,ic,103,Remote,E119,0
E128,employee,Emp 128,Support,ic,64,HQ,E204,0
E129,employee,Emp 129,Engineering,manager,102,HQ,E002,0
E130,employee,Emp 130,HR,ic,106,HQ,E038,1
E131,employee,Emp 131,Support,ic,126,HQ,E013,0
E132,employee,Emp 132,Engineering,ic,99,HQ,E115,0
E133,employee,Emp 133,Product,ic,117,Remote,E155,0
E134,employee,Emp 134,Finance,ic,106,Remote,E182,0
E135,employee,Emp 135,Marketing,ic,118,HQ,E125,0
E136,employee,Emp 136,Operations,ic,111,HQ,E065,0
E137,employee,Emp 137,Operations,ic,58,APAC Office,E119,0
E138,employee,Emp 138,Finance,ic,45,EU Office,E022,0
E139,employee,Emp 139,Marketing,ic,142,Remote,E123,0
E140,employee,Emp 140,Product,ic,63,HQ,E103,0
E141,employee,Emp 141,Support,ic,99,EU Office,E066,0
E142,employee,Emp 142,Sales,ic,37,HQ,E250,0
E143,employee,Emp 143,Support,ic,78,HQ,E060,1
E144,employee,Emp 144,Sales,director,96,APAC Office,E081,0
E145,employee,Emp 145,Product,director,113,Remote,E155,0
E146,employee,Emp 146,Sales,ic,95,Remote,E076,0
E147,employee,Emp 147,Engineering,ic,66,Remote,E214,0
E148,employee,Emp 148,Sales,ic,173,Remote,E195,0
E149,employee,Emp 149,Sales,manager,93,HQ,E026,0
E150,employee,Emp 150,Engineering,ic,145,HQ,E129,0
E151,employee,Emp 151,HR,manager,133,HQ,E005,0
E152,employee,Emp 152,Product,ic,101,HQ,E155,0
E153,employee,Emp 153,HR,ic,159,EU Office,E038,0
E154,employee,Emp 154,Sales,ic,24,HQ,E076,1
E155,employee,Emp 155,Product,manager,165,Remote,E015,0
E156,employee,Emp 156,Support,ic,153,EU Office,E066,0
E157,employee,Emp 157,Engineering,ic,91,EU Office,E129,0
E158,employee,Emp 158,Marketing,manager,132,HQ,E050,0
E159,employee,Emp 159,Sales,ic,94,Remote,E250,0
E160,employee,Emp 160,Operations,ic,49,APAC Office,E025,0
E161,employee,Emp 161,Product,ic,144,Remote,E122,0
E162,employee,Emp 162,Support,manager,45,EU Office,E121,0
E163,employee,Emp 163,Sales,ic,57,APAC Office,E232,0
E164,employee,Emp 164,Product,director,94,EU Office,E207,1
E165,employee,Emp 165,Operations,ic,151,HQ,E065,1
E166,employee,Emp 166,Operations,director,70,Remote,E119,0
E167,employee,Emp 167,Marketing,manager,89,HQ,E050,0
E168,employee,Emp 168,Sales,ic,9,Remote,E250,0
E169,employee,Emp 169,Support,manager,22,APAC Office,E121,0
E170,employee,Emp 170,Sales,manager,11,Remote,E026,0
E171,employee,Emp 171,Product,director,14,HQ,E155,0
E172,employee,Emp 172,Finance,ic,156,HQ,E022,0
E173,employee,Emp 173,Engineering,ic,151,APAC Office,E104,0
E174,employee,Emp 174,Sales,ic,148,HQ,E250,0
E175,employee,Emp 175,Operations,ic,11,HQ,E119,1
E176,employee,Emp 176,Marketing,ic,15,HQ,E040,1
E177,employee,Emp 177,Product,ic,51,HQ,E155,0
E178,employee,Emp 178,Engineering,ic,102,Remote,E039,0
E179,employee,Emp 179,Engineering,ic,61,Remote,E129,1
E180,employee,Emp 180,Sales,ic,88,HQ,E081,0
E181,employee,Emp 181,Engineering,manager,32,HQ,E002,0
E182,employee,Emp 182,Finance,manager,132,HQ,E117,0
E183,employee,Emp 183,Support,ic,57,HQ,E169,0
E184,employee,Emp 184,Engineering,ic,13,HQ,E214,0
E185,employee,Emp 185,Product,director,134,Remote,E155,1
E186,employee,Emp 186,Operations,ic,162,HQ,E119,0
E187,employee,Emp 187,Engineering,ic,4,HQ,E004,0
E188,employee,Emp 188,Product,ic,79,HQ,E207,0
E189,employee,Emp 189,Support,ic,149,HQ,E013,1
E190,employee,Emp 190,Sales,ic,127,HQ,E081,1
E191,employee,Emp 191,Operations,manager,154,HQ,E210,0
E192,employee,Emp 192,Sales,ic,75,EU Office,E086,0
E193,employee,Emp 193,Operations,ic,68,HQ,E065,0
E194,employee,Emp 194,Engineering,director,128,Remote,E211,0
E195,employee,Emp 195,Sales,manager,29,Remote,E026,0
E196,employee,Emp 196,Engineering,ic,44,HQ,E104,0
E197,employee,Emp 197,Support,ic,108,HQ,E066,0
E198,employee,Emp 198,Marketing,ic,120,EU Office,E158,0
E199,employee,Emp 199,Product,ic,23,EU Office,E155,0
E200,employee,Emp 200,Engineering,ic,92,HQ,E115,0
E201,employee,Emp 201,Operations,director,66,HQ,E065,0
E202,employee,Emp 202,Engineering,ic,91,HQ,E039,0
E203,employee,Emp 203,Marketing,ic,172,Remote,E167,0
E204,employee,Emp 204,Support,manager,15,Remote,E121,0
E205,employee,Emp 205,Engineering,ic,179,HQ,E129,0
E206,employee,Emp 206,Finance,director,82,HQ,E022,0
E207,employee,Emp 207,Product,manager,139,APAC Office,E015,0
E208,employee,Emp 208,Sales,ic,77,HQ,E149,0
E209,employee,Emp 209,Sales,ic,57,Remote,E232,1
E210,employee,Emp 210,Operations,vp,139,Remote,,0
E211,employee,Emp 211,Engineering,manager,124,HQ,E002,0
E212,employee,Emp 212,Support,director,27,HQ,E013,0
E213,employee,Emp 213,Engineering,ic,127,HQ,E039,0
E214,employee,Emp 214,Engineering,manager,136,APAC Office,E002,0
E215,employee,Emp 215,Support,ic,71,HQ,E230,1
E216,employee,Emp 216,Support,ic,166,HQ,E204,0
E217,employee,Emp 217,Operations,ic,116,HQ,E009,0
E218,employee,Emp 218,Engineering,ic,61,HQ,E080,0
E219,employee,Emp 219,Engineering,ic,3,Remote,E181,0
E220,employee,Emp 220,Engineering,ic,122,HQ,E004,0
E221,employee,Emp 221,Operations,manager,39,Remote,E210,0
E222,employee,Emp 222,Engineering,ic,136,Remote,E115,1
E223,employee,Emp 223,Product,ic,95,EU Office,E122,0
E224,employee,Emp 224,Finance,ic,85,HQ,E182,0
E225,employee,Emp 225,Engineering,ic,31,EU Office,E129,0
E226,employee,Emp 226,Engineering,director,128,Remote,E039,0
E227,employee,Emp 227,Sales,manager,31,HQ,E026,0
E228,employee,Emp 228,Finance,ic,76,EU Office,E182,0
E229,employee,Emp 229,Sales,vp,150,EU Office,E227,0
E230,employee,Emp 230,Support,manager,165,HQ,E121,0
E231,employee,Emp 231,Engineering,ic,178,APAC Office,E080,0
E232,employee,Emp 232,Sales,manager,172,Remote,E026,0
E233,employee,Emp 233,Engineering,ic,100,Remote,E104,0
E234,employee,Emp 234,Engineering,vp,37,APAC Office,E129,0
E235,employee,Emp 235,Marketing,ic,151,HQ,E158,0
E236,employee,Emp 236,Product,ic,144,EU Office,E207,1
E237,employee,Emp 237,Engineering,ic,178,HQ,E214,1
E238,employee,Emp 238,Sales,director,117,EU Office,E195,0
E239,employee,Emp 239,HR,ic,27,Remote,E038,0
E240,employee,Emp 240,Sales,ic,91,HQ,E232,0
E241,employee,Emp 241,Finance,ic,81,HQ,E022,1
E242,employee,Emp 242,HR,manager,152,HQ,E005,0
E243,employee,Emp 243,Engineering,ic,71,HQ,E211,0
E244,employee,Emp 244,Sales,director,60,HQ,E195,0
E245,employee,Emp 245,Operations,ic,16,HQ,E119,0
E246,employee,Emp 246,Engineering,ic,150,HQ,E039,0
E247,employee,Emp 247,Sales,ic,136,HQ,E086,0
E248,employee,Emp 248,Operations,ic,9,Remote,E119,0
E249,employee,Emp 249,Operations,ic,79,Remote,E221,1
E250,employee,Emp 250,Sales,manager,87,Remote,E026,0
