from_id,to_id,capacity_mw,length_km
BUS0019,BUS0099,525,3.84
BUS0012,BUS0064,632,2.36
BUS0077,BUS0099,256,1.98
BUS0014,BUS0109,245,7.32
BUS0064,BUS0115,510,4.42
BUS0115,BUS0123,672,5.78
BUS0113,BUS0115,470,2.2
BUS0018,BUS0113,292,2.63
BUS0007,BUS0064,526,5.01
BUS0018,BUS0095,603,2.51
BUS0011,BUS0095,314,2.46
BUS0077,BUS0125,557,8.89
BUS0011,BUS0084,668,2.54
BUS0100,BUS0125,494,2.92
BUS0085,BUS0100,448,7.14
BUS0014,BUS0039,668,11.77
BUS0040,BUS0085,418,4.12
BUS0040,BUS0068,456,1.92
BUS0067,BUS0085,438,2.08
BUS0040,BUS0044,566,3.23
BUS0100,BUS0126,496,4.95
BUS0003,BUS0068,225,5.98
BUS0028,BUS0106,447,7.74
BUS0003,BUS0117,648,5.88
BUS0030,BUS0106,600,3.5
BUS0052,BUS0106,611,4.29
BUS0044,BUS0074,414,5.52
BUS0028,BUS0037,585,5.44
BUS0037,BUS0072,515,2.29
BUS0039,BUS0090,589,11.9
BUS0072,BUS0075,535,2.47
BUS0074,BUS0089,499,5.86
BUS0037,BUS0108,412,4.02
BUS0052,BUS0124,222,8.06
BUS0078,BUS0089,568,8.25
BUS0054,BUS0108,498,9.18
BUS0033,BUS0124,572,6.13
BUS0015,BUS0021,373,3.65
BUS0106,BUS0117,310,7.83
BUS0037,BUS0075,467,3.52
BUS0027,BUS0038,735,5.81
BUS0023,BUS0050,709,8.41
BUS0063,BUS0101,331,5.39
BUS0033,BUS0075,460,8.38
BUS0017,BUS0092,637,7.35
BUS0032,BUS0038,569,7.77
BUS0023,BUS0059,701,4.75
BUS0031,BUS0061,438,2.9
BUS0005,BUS0051,663,5.41
BUS0040,BUS0074,379,7.97
BUS0008,BUS0038,450,7.0
BUS0011,BUS0113,799,5.15
BUS0027,BUS0058,707,10.66
BUS0032,BUS0119,503,8.36
BUS0071,BUS0076,507,2.74
BUS0030,BUS0072,710,4.3
BUS0093,BUS0103,358,7.7
BUS0104,BUS0112,797,17.84
BUS0016,BUS0130,338,4.95
BUS0004,BUS0041,397,4.58
BUS0012,BUS0082,487,6.07
BUS0045,BUS0059,412,4.64
BUS0030,BUS0052,660,5.3
BUS0008,BUS0009,471,6.73
BUS0001,BUS0041,619,7.91
BUS0020,BUS0035,752,5.62
BUS0039,BUS0100,799,17.4
BUS0036,BUS0045,780,6.07
BUS0001,BUS0116,792,6.86
BUS0024,BUS0057,676,4.9
BUS0021,BUS0096,712,4.69
BUS0028,BUS0075,564,8.78
BUS0028,BUS0072,743,6.72
BUS0052,BUS0117,660,5.09
BUS0031,BUS0102,345,1.59
BUS0026,BUS0093,513,11.66
BUS0029,BUS0069,656,4.85
BUS0054,BUS0072,471,14.11
BUS0020,BUS0130,297,3.64
BUS0097,BUS0099,507,3.93
BUS0017,BUS0023,471,4.51
BUS0024,BUS0061,687,4.22
BUS0048,BUS0071,600,3.27
BUS0034,BUS0042,324,15.11
BUS0040,BUS0067,761,6.1
BUS0030,BUS0075,469,4.56
BUS0056,BUS0080,386,6.0
BUS0031,BUS0111,277,4.86
BUS0015,BUS0071,304,3.03
BUS0095,BUS0123,650,4.37
BUS0025,BUS0109,791,7.04
BUS0017,BUS0098,408,11.56
BUS0066,BUS0103,721,5.86
BUS0027,BUS0119,385,10.76
BUS0033,BUS0072,688,10.47
BUS0010,BUS0025,778,6.55
BUS0021,BUS0070,465,5.26
BUS0013,BUS0046,510,4.52
BUS0078,BUS0126,588,11.38
BUS0060,BUS0114,683,6.55
BUS0010,BUS0063,678,6.62
BUS0044,BUS0068,583,4.1
BUS0004,BUS0047,641,5.39
BUS0060,BUS0079,510,3.01
BUS0064,BUS0113,266,4.93
BUS0055,BUS0127,727,9.63
BUS0007,BUS0029,391,6.58
BUS0030,BUS0037,654,5.27
BUS0081,BUS0116,542,4.03
BUS0001,BUS0104,687,12.54
BUS0067,BUS0125,640,8.6
BUS0084,BUS0095,360,5.56
BUS0109,BUS0128,281,9.4
BUS0038,BUS0127,746,6.15
BUS0072,BUS0108,705,3.88
BUS0016,BUS0046,289,4.87
BUS0012,BUS0069,654,6.28
BUS0070,BUS0076,597,3.26
BUS0058,BUS0062,766,6.83
BUS0009,BUS0056,481,3.65
BUS0042,BUS0104,334,14.91
BUS0004,BUS0104,628,18.64
BUS0043,BUS0070,721,3.05
BUS0059,BUS0092,607,8.38
BUS0062,BUS0119,562,10.57
BUS0070,BUS0091,625,3.39
BUS0059,BUS0098,278,11.47
BUS0033,BUS0054,372,13.24
BUS0066,BUS0101,714,5.76
BUS0010,BUS0099,509,7.67
BUS0048,BUS0094,761,6.16
BUS0079,BUS0102,655,5.16
BUS0087,BUS0120,533,6.45
BUS0061,BUS0111,779,4.75
BUS0019,BUS0077,484,3.22
BUS0001,BUS0004,487,8.03
BUS0014,BUS0025,781,12.96
BUS0022,BUS0046,429,2.67
BUS0041,BUS0081,409,2.55
BUS0002,BUS0118,525,6.53
BUS0047,BUS0105,693,5.54
BUS0033,BUS0037,394,10.44
BUS0150,BUS0175,495,12.1
BUS0165,BUS0175,597,27.18
BUS0142,BUS0165,323,14.36
BUS0150,BUS0176,448,11.15
BUS0170,BUS0176,315,7.02
BUS0151,BUS0176,265,12.09
BUS0140,BUS0142,274,11.8
BUS0133,BUS0140,307,9.8
BUS0139,BUS0140,368,10.95
BUS0133,BUS0178,593,9.23
BUS0151,BUS0154,583,18.12
BUS0139,BUS0166,293,5.45
BUS0166,BUS0167,213,4.12
BUS0141,BUS0167,415,7.34
BUS0134,BUS0166,353,3.73
BUS0163,BUS0178,351,9.95
BUS0141,BUS0146,358,3.43
BUS0141,BUS0173,318,4.13
BUS0137,BUS0178,403,10.51
BUS0147,BUS0173,537,5.71
BUS0152,BUS0173,224,3.32
BUS0137,BUS0160,498,3.17
BUS0158,BUS0163,589,7.21
BUS0152,BUS0168,312,4.73
BUS0137,BUS0169,554,7.86
BUS0149,BUS0168,295,5.21
BUS0149,BUS0164,567,4.25
BUS0159,BUS0160,424,6.46
BUS0164,BUS0174,223,5.25
BUS0135,BUS0168,245,7.12
BUS0159,BUS0177,463,2.74
BUS0169,BUS0179,365,9.15
BUS0135,BUS0172,443,9.8
BUS0144,BUS0172,555,6.95
BUS0136,BUS0177,429,10.52
BUS0157,BUS0179,559,10.41
BUS0136,BUS0156,556,3.61
BUS0138,BUS0157,265,2.8
BUS0148,BUS0157,262,6.36
BUS0144,BUS0171,431,9.44
BUS0143,BUS0156,415,4.95
BUS0143,BUS0145,306,4.29
BUS0131,BUS0145,490,3.81
BUS0131,BUS0162,274,2.66
BUS0148,BUS0155,382,8.07
BUS0162,BUS0180,478,8.16
BUS0132,BUS0171,408,17.82
BUS0132,BUS0153,450,8.32
BUS0155,BUS0161,399,14.86
BUS0149,BUS0174,417,8.44
BUS0158,BUS0174,401,7.41
BUS0137,BUS0177,398,10.26
BUS0159,BUS0169,539,11.18
BUS0133,BUS0142,267,15.81
BUS0134,BUS0139,528,6.69
BUS0138,BUS0161,400,22.46
BUS0164,BUS0168,448,10.59
BUS0154,BUS0181,131,5.31
BUS0172,BUS0182,189,8.53
BUS0171,BUS0183,195,7.72
BUS0173,BUS0184,195,1.4
BUS0158,BUS0185,84,5.83
BUS0185,BUS0186,143,6.92
BUS0178,BUS0187,191,5.59
BUS0181,BUS0188,192,1.61
BUS0180,BUS0189,180,9.01
BUS0156,BUS0190,169,5.43
BUS0178,BUS0191,93,6.61
BUS0164,BUS0192,77,4.15
BUS0177,BUS0193,96,5.46
BUS0139,BUS0194,135,3.33
BUS0137,BUS0195,81,5.85
BUS0185,BUS0196,180,1.65
BUS0183,BUS0197,107,5.21
BUS0166,BUS0198,165,2.71
BUS0132,BUS0199,165,11.52
BUS0190,BUS0200,63,4.65
BUS0135,BUS0201,178,3.21
BUS0200,BUS0202,64,4.14
BUS0188,BUS0203,122,3.88
BUS0139,BUS0204,86,8.0
BUS0169,BUS0205,76,6.58
BUS0202,BUS0206,99,1.61
BUS0181,BUS0207,79,6.38
BUS0185,BUS0208,78,1.81
BUS0140,BUS0209,66,6.0
BUS0157,BUS0210,89,2.72
BUS0198,BUS0211,121,5.05
BUS0179,BUS0212,97,4.43
BUS0141,BUS0213,99,7.0
BUS0148,BUS0214,102,5.13
BUS0141,BUS0215,112,3.36
BUS0159,BUS0216,117,2.59
BUS0180,BUS0217,61,4.52
BUS0134,BUS0218,105,4.83
BUS0155,BUS0219,115,1.35
BUS0196,BUS0220,178,3.39
BUS0190,BUS0221,134,3.62
BUS0189,BUS0222,148,4.04
BUS0183,BUS0223,132,5.55
BUS0203,BUS0224,163,11.15
BUS0190,BUS0225,74,4.32
BUS0148,BUS0226,105,2.73
BUS0155,BUS0227,63,7.95
BUS0191,BUS0228,186,4.17
BUS0196,BUS0229,99,4.04
BUS0169,BUS0230,97,3.51
BUS0191,BUS0231,190,5.61
BUS0221,BUS0232,111,3.91
BUS0213,BUS0233,122,2.72
BUS0163,BUS0234,171,4.2
BUS0138,BUS0235,107,2.68
BUS0220,BUS0236,70,3.92
BUS0211,BUS0237,123,3.62
BUS0177,BUS0238,60,4.53
BUS0182,BUS0239,127,5.04
BUS0209,BUS0240,62,2.87
BUS0252,BUS0296,195,4.52
BUS0249,BUS0296,494,2.57
BUS0252,BUS0275,243,4.4
BUS0295,BUS0296,341,5.17
BUS0275,BUS0292,298,2.5
BUS0272,BUS0295,495,2.64
BUS0254,BUS0292,489,1.71
BUS0241,BUS0272,404,3.94
BUS0250,BUS0295,450,4.96
BUS0250,BUS0283,294,1.49
BUS0250,BUS0270,449,4.0
BUS0254,BUS0294,469,3.02
BUS0270,BUS0289,491,3.0
BUS0250,BUS0300,219,2.09
BUS0241,BUS0260,160,2.68
BUS0246,BUS0260,400,5.6
BUS0289,BUS0299,388,3.95
BUS0282,BUS0294,280,4.0
BUS0268,BUS0300,242,5.11
BUS0268,BUS0290,256,6.21
BUS0265,BUS0268,400,4.33
BUS0246,BUS0259,185,7.99
BUS0255,BUS0290,448,3.71
BUS0260,BUS0271,164,8.32
BUS0297,BUS0299,465,6.79
BUS0243,BUS0271,347,2.85
BUS0243,BUS0263,323,2.0
BUS0265,BUS0285,387,4.24
BUS0259,BUS0298,411,7.67
BUS0291,BUS0298,467,1.58
BUS0244,BUS0255,477,5.87
BUS0257,BUS0285,295,4.78
BUS0279,BUS0297,399,7.63
BUS0262,BUS0279,334,5.38
BUS0251,BUS0257,206,2.13
BUS0244,BUS0247,423,2.08
BUS0263,BUS0287,212,2.55
BUS0257,BUS0277,175,3.27
BUS0245,BUS0247,474,3.41
BUS0262,BUS0284,480,7.0
BUS0253,BUS0279,187,4.42
BUS0280,BUS0287,438,3.83
BUS0281,BUS0291,161,5.47
BUS0242,BUS0279,469,12.91
BUS0247,BUS0288,282,5.26
BUS0264,BUS0288,269,1.63
BUS0245,BUS0258,264,5.5
BUS0258,BUS0267,229,3.51
BUS0261,BUS0267,220,3.68
BUS0248,BUS0277,272,8.52
BUS0253,BUS0266,474,7.42
BUS0264,BUS0278,476,8.13
BUS0274,BUS0284,260,11.64
BUS0256,BUS0274,406,8.95
BUS0248,BUS0293,445,8.01
BUS0276,BUS0293,192,3.05
BUS0256,BUS0286,418,4.0
BUS0273,BUS0274,173,13.26
BUS0269,BUS0273,475,9.52
BUS0245,BUS0267,160,8.75
BUS0280,BUS0281,371,13.52
BUS0277,BUS0288,407,5.24
BUS0274,BUS0286,443,10.62
BUS0257,BUS0265,284,6.79
BUS0270,BUS0299,405,5.02
BUS0252,BUS0292,425,6.37
BUS0242,BUS0266,300,11.69
BUS0014,BUS0144,633,1.93
BUS0120,BUS0239,528,1.29
BUS0026,BUS0173,783,3.19
BUS0049,BUS0233,575,2.96
BUS0026,BUS0152,641,2.88
BUS0099,BUS0182,811,4.37
BUS0161,BUS0252,1800,56.7
BUS0039,BUS0161,1500,45.55
BUS0014,BUS0090,1500,18.04
BUS0032,BUS0058,366,5.89
BUS0058,BUS0093,356,8.15
BUS0094,BUS0107,290,11.49
BUS0107,BUS0121,527,20.89
