node_id,kind,region,x,y,daily_packages,label
C059,center,Midwest,-90.027,39.049,3878,Florissant MO Center
C060,center,Midwest,-90.218,38.56,8935,Belleville IL Center
C061,center,Midwest,-94.785,39.301,8520,Overland Park KS Center
C062,center,Midwest,-95.155,38.548,2636,Independence MO Center
C063,center,Midwest,-94.508,39.811,8187,Olathe KS Center
C064,center,South,-95.241,29.707,5021,Pasadena TX Center
C065,center,South,-95.555,29.859,3869,Sugar Land TX Center
C066,center,South,-95.177,30.258,7024,Galveston TX Center
C067,center,South,-99.041,29.502,7100,New Braunfels TX Center
C068,center,South,-97.747,28.804,2007,Schertz TX Center
C069,center,South,-98.662,29.339,7733,Seguin TX Center
C070,center,South,-98.238,30.928,3603,Round Rock TX Center
C071,center,South,-97.918,30.559,3827,San Marcos TX Center
C072,center,South,-97.814,30.268,8507,Georgetown TX Center
C073,center,South,-90.029,30.583,1604,Metairie LA Center
C074,center,South,-90.993,30.24,3724,Baton Rouge LA Center
C075,center,South,-90.618,29.571,5297,Slidell LA Center
C076,center,South,-97.67,35.075,1688,Norman OK Center
C077,center,South,-97.506,34.873,6865,Edmond OK Center
C078,center,South,-97.667,35.252,2491,Moore OK Center
C079,center,Mountain,-104.388,39.982,5164,Boulder CO Center
C080,center,Mountain,-105.303,39.67,5243,Aurora CO Center
C081,center,Mountain,-104.911,39.849,1686,Fort Collins CO Center
C082,center,Mountain,-111.849,40.272,7116,Provo UT Center
C083,center,Mountain,-111.045,41.893,4643,Ogden UT Center
C084,center,Mountain,-112.019,40.376,4740,Orem UT Center
C085,center,Mountain,-111.928,33.184,5005,Mesa AZ Center
C086,center,Mountain,-112.398,33.993,3378,Tempe AZ Center
C087,center,Mountain,-112.143,32.484,7476,Scottsdale AZ Center
C088,center,Mountain,-106.888,34.602,2391,Santa Fe NM Center
C089,center,Mountain,-106.692,35.586,4306,Rio Rancho NM Center
C090,center,Mountain,-107.31,34.289,5482,Los Lunas NM Center
C091,center,West,-118.734,33.471,3358,Long Beach CA Center
C092,center,West,-116.933,34.877,8112,Anaheim CA Center
C093,center,West,-118.086,33.884,1999,Pasadena CA Center
C094,center,West,-122.864,38.548,8425,Oakland CA Center
C095,center,West,-122.224,38.12,2579,San Jose CA Center
C096,center,West,-122.48,37.601,4917,Berkeley CA Center
C097,center,West,-122.45,47.503,2366,Tacoma WA Center
C098,center,West,-122.58,47.714,4719,Bellevue WA Center
C099,center,West,-122.26,48.066,5933,Everett WA Center
C100,center,West,-122.656,45.678,7020,Beaverton OR Center
C101,center,West,-122.538,45.195,8062,Gresham OR Center
C102,center,West,-121.738,45.476,6319,Salem OR Center
C103,center,West,-115.483,36.344,5784,Henderson NV Center
C104,center,West,-114.604,35.669,2300,North Las Vegas NV Center
C105,center,West,-115.925,36.386,1889,Pahrump NV Center
C106,center,West,-121.286,38.997,3299,Roseville CA Center
C107,center,West,-121.371,38.368,8846,Elk Grove CA Center
C108,center,West,-121.621,38.604,7042,Davis CA Center
