from_id,to_id,mode,line,travel_time_min,frequency_per_hr,capacity
N119,N120,metro,OuterArc,2.1,17.0,1421
N120,N091,metro,OuterArc,1.7,16.0,1758
N001,N005,bus,B001,3.6,10.2,700
N001,N014,bus,B002,3.8,9.9,700
N001,N003,bus,B003,4.5,8.9,700
N001,N013,bus,B004,4.7,10.1,700
N001,N006,bus,B005,5.3,9.1,278
N002,N004,bus,B006,3.2,6.2,472
N002,N005,bus,B007,4.6,6.6,656
N002,N003,bus,B008,4.6,5.5,186
N003,N005,bus,B009,2.3,8.7,700
N003,N006,bus,B010,2.7,7.0,572
N003,N004,bus,B011,4.0,7.6,319
N004,N006,bus,B014,3.6,7.6,256
N004,N005,bus,B016,4.2,8.4,278
N005,N006,bus,B018,3.5,7.5,700
N002,N006,bus,B024,5.3,6.3,360
N007,N008,bus,B025,4.6,6.9,235
N007,N026,bus,B026,4.7,5.8,246
N007,N025,bus,B027,5.0,6.1,298
N008,N009,bus,B028,3.4,8.2,700
N008,N024,bus,B030,5.4,7.2,628
N006,N008,bus,B031,6.5,7.8,641
N009,N010,bus,B033,4.8,7.3,324
N009,N011,bus,B034,5.7,8.8,526
N006,N009,bus,B035,6.7,8.3,611
N010,N011,bus,B036,3.7,7.0,683
N010,N030,bus,B038,6.2,6.8,430
N011,N012,bus,B040,5.3,8.1,700
N011,N013,bus,B041,5.6,8.5,267
N012,N013,bus,B043,4.5,8.0,424
N012,N031,bus,B045,6.3,8.5,700
N012,N014,bus,B046,6.2,8.8,344
N013,N014,bus,B047,3.1,9.0,338
N013,N015,bus,B050,5.4,8.5,461
N014,N015,bus,B053,4.5,8.7,511
N005,N014,bus,B054,6.3,8.9,486
N015,N016,bus,B057,5.8,9.7,284
N001,N015,bus,B058,6.1,8.6,221
N016,N017,bus,B059,4.5,8.2,341
N016,N036,bus,B061,6.0,8.5,699
N016,N037,bus,B062,5.8,7.7,609
N016,N018,bus,B063,6.3,9.4,583
N017,N018,bus,B064,4.1,8.4,545
N017,N019,bus,B066,5.4,7.8,237
N001,N017,bus,B067,5.4,8.9,339
N018,N019,bus,B068,3.3,7.7,385
N002,N018,bus,B070,4.7,7.6,540
N018,N020,bus,B071,6.2,7.3,468
N019,N020,bus,B073,4.0,7.2,613
N002,N019,bus,B074,5.3,6.1,421
N020,N021,bus,B077,4.3,7.3,490
N002,N020,bus,B078,6.1,6.2,214
N021,N022,bus,B081,4.7,7.8,700
N021,N043,bus,B082,5.3,7.0,263
N021,N042,bus,B083,5.5,7.5,337
N022,N023,bus,B084,5.1,8.2,528
N004,N022,bus,B086,4.8,6.7,700
N023,N045,bus,B090,6.3,6.7,444
N007,N024,bus,B093,5.0,6.2,423
N025,N026,bus,B095,3.3,6.0,534
N025,N046,bus,B097,7.0,6.9,190
N008,N026,bus,B100,6.5,7.3,573
N027,N028,bus,B101,5.0,6.9,531
N027,N049,bus,B102,6.4,6.1,207
N027,N029,bus,B104,8.4,7.5,427
N028,N029,bus,B105,4.7,6.9,544
N028,N030,bus,B107,7.1,5.7,334
N029,N030,bus,B108,4.8,6.5,203
N010,N029,bus,B110,7.5,7.0,655
N011,N030,bus,B114,6.8,7.6,445
N030,N031,bus,B115,6.3,8.3,520
N031,N032,bus,B116,4.8,9.4,352
N031,N054,bus,B119,6.5,8.3,700
N011,N031,bus,B120,7.8,9.2,700
N032,N033,bus,B122,4.9,9.8,387
N032,N056,bus,B123,5.9,10.5,229
N012,N032,bus,B124,6.9,8.9,416
N032,N054,bus,B125,9.1,7.6,562
N033,N034,bus,B126,4.8,11.2,376
N033,N035,bus,B128,6.9,8.9,700
N033,N056,bus,B129,5.9,10.2,344
N033,N057,bus,B130,7.6,8.6,248
N034,N035,bus,B131,3.3,8.9,687
N015,N034,bus,B133,5.9,8.9,355
N034,N036,bus,B134,6.4,9.0,700
N014,N034,bus,B135,7.6,10.1,398
N035,N036,bus,B137,5.4,7.0,335
N015,N035,bus,B139,6.5,7.0,632
N036,N037,bus,B142,7.1,7.2,499
N037,N038,bus,B144,2.3,6.4,517
N037,N039,bus,B146,7.1,6.8,416
N038,N039,bus,B148,5.9,7.6,459
N016,N038,bus,B149,7.0,8.4,400
N039,N064,bus,B150,6.5,6.1,697
N039,N040,bus,B152,7.0,7.5,427
N040,N041,bus,B154,5.8,6.3,544
N040,N064,bus,B156,6.7,7.1,506
N041,N042,bus,B157,5.8,6.1,347
N041,N043,bus,B159,6.5,6.5,367
N042,N043,bus,B160,2.4,6.7,328
N044,N045,bus,B166,3.2,5.3,354
N044,N070,bus,B167,6.4,5.7,285
N023,N044,bus,B168,7.0,6.7,237
N045,N070,bus,B171,6.5,5.5,176
N047,N072,bus,B175,3.8,5.2,295
N047,N048,bus,B176,5.3,7.1,317
N047,N073,bus,B177,7.3,6.0,428
N048,N074,bus,B179,6.4,6.4,520
N049,N050,bus,B181,6.8,4.7,288
N050,N075,bus,B184,6.6,4.5,399
N050,N077,bus,B186,7.3,5.8,348
N051,N052,bus,B187,3.1,6.7,580
N051,N078,bus,B188,7.3,6.0,579
N028,N051,bus,B189,7.9,5.9,542
N052,N078,bus,B191,7.5,6.7,331
N052,N079,bus,B192,7.4,6.4,613
N053,N054,bus,B193,5.1,6.9,672
N053,N055,bus,B194,7.1,7.1,522
N053,N080,bus,B195,7.3,7.7,444
N053,N081,bus,B196,8.5,6.9,441
N054,N055,bus,B198,5.6,5.4,445
N055,N082,bus,B200,4.6,7.7,490
N056,N057,bus,B203,5.7,7.8,298
N056,N083,bus,B206,8.0,9.2,353
N057,N058,bus,B208,5.6,7.0,270
N057,N083,bus,B209,6.3,7.9,338
N058,N084,bus,B211,6.7,8.7,332
N058,N085,bus,B212,6.9,8.4,358
N058,N083,bus,B213,9.5,7.7,700
N059,N060,bus,B214,4.5,7.6,471
N059,N086,bus,B215,7.4,5.5,602
N059,N087,bus,B216,8.3,6.8,272
N059,N088,bus,B217,9.0,6.4,387
N060,N088,bus,B219,6.6,7.4,186
N060,N061,bus,B220,6.6,7.2,700
N060,N087,bus,B221,7.8,8.4,268
N061,N062,bus,B222,3.7,6.1,653
N061,N088,bus,B223,5.8,4.9,334
N062,N063,bus,B226,6.3,7.2,529
N062,N088,bus,B227,7.8,6.7,633
N038,N062,bus,B228,8.9,6.9,387
N063,N064,bus,B230,7.2,6.4,285
N039,N063,bus,B231,7.3,7.8,667
N064,N065,bus,B232,5.0,5.4,316
N065,N092,bus,B236,5.7,4.3,387
N065,N066,bus,B237,6.5,5.7,570
N066,N094,bus,B238,6.6,5.5,502
N066,N093,bus,B239,7.0,4.3,158
N067,N068,bus,B241,6.3,5.9,225
N067,N094,bus,B242,7.6,5.4,167
N067,N095,bus,B243,7.5,5.7,199
N042,N068,bus,B245,8.2,6.1,256
N043,N068,bus,B246,7.5,6.1,417
N069,N070,bus,B247,5.7,5.4,465
N069,N098,bus,B248,5.9,4.3,239
N069,N096,bus,B249,7.9,5.1,237
N070,N071,bus,B250,5.3,6.2,261
N072,N073,bus,B257,6.4,5.7,568
N048,N072,bus,B258,8.0,5.0,561
N073,N074,bus,B259,6.3,5.4,282
N074,N102,bus,B262,6.2,5.8,512
N049,N075,bus,B266,6.6,4.7,331
N076,N077,bus,B268,3.6,1.6,120
N076,N105,bus,B269,6.7,1.9,124
N077,N105,bus,B271,7.1,5.2,500
N077,N078,bus,B272,7.2,5.4,289
N079,N106,bus,B277,7.1,5.6,540
N079,N107,bus,B278,8.4,5.0,189
N080,N081,bus,B279,3.1,7.3,598
N080,N109,bus,B280,4.9,6.4,262
N080,N108,bus,B281,6.7,6.8,401
N081,N109,bus,B284,3.8,6.5,201
N081,N108,bus,B285,6.2,6.2,179
N055,N081,bus,B286,7.8,6.2,289
N056,N082,bus,B288,8.3,8.2,257
N054,N082,bus,B289,8.5,6.2,243
N081,N082,bus,B290,8.2,6.6,474
N083,N111,bus,B292,7.2,7.7,390
N083,N110,bus,B293,7.3,7.9,205
N084,N085,bus,B295,3.5,7.2,700
N084,N112,bus,B297,8.1,7.7,418
N084,N113,bus,B298,8.1,8.3,267
N085,N113,bus,B300,6.4,6.8,253
N085,N114,bus,B301,7.0,6.2,673
N086,N087,bus,B303,7.8,6.9,212
N085,N086,bus,B304,8.2,5.3,440
N087,N115,bus,B305,5.7,6.4,443
N087,N088,bus,B307,7.4,6.3,426
N087,N116,bus,B308,7.7,6.8,422
N089,N117,bus,B312,7.2,3.8,190
N061,N089,bus,B313,9.4,6.1,174
N062,N089,bus,B314,9.4,5.9,455
N090,N118,bus,B315,8.2,5.1,313
N090,N091,bus,B316,7.4,4.8,556
N090,N120,bus,B317,8.2,4.5,549
N091,N120,bus,B318,4.3,3.6,328
N091,N092,bus,B319,5.5,3.7,514
N092,N120,bus,B322,7.6,2.9,256
N093,N094,bus,B323,5.0,4.6,528
N093,N122,bus,B325,7.6,4.6,305
N095,N096,bus,B330,9.0,5.3,408
N068,N095,bus,B331,8.7,5.8,551
N096,N097,bus,B332,3.8,4.8,461
N096,N098,bus,B333,7.4,5.6,560
N097,N125,bus,B336,6.3,4.6,439
N097,N124,bus,B337,5.9,5.1,169
N097,N098,bus,B340,8.2,5.1,210
N099,N127,bus,B341,5.2,1.5,176
N072,N100,bus,B344,8.0,4.8,297
N101,N129,bus,B346,4.0,3.8,407
N101,N130,bus,B347,7.4,1.5,120
N101,N102,bus,B348,7.9,5.3,176
N102,N103,bus,B349,4.3,4.7,588
N074,N103,bus,B353,6.8,6.4,442
N104,N132,bus,B355,8.5,4.0,379
N104,N105,bus,B356,8.5,4.9,582
N076,N104,bus,B357,11.2,1.6,120
N105,N132,bus,B359,6.2,4.7,185
N106,N107,bus,B361,4.1,4.9,483
N106,N133,bus,B362,5.7,4.5,503
N106,N134,bus,B363,7.4,1.8,148
N107,N134,bus,B365,5.4,1.7,120
N107,N133,bus,B366,6.3,3.9,388
N108,N109,bus,B367,4.4,4.9,368
N108,N136,bus,B368,5.4,5.4,402
N110,N111,bus,B373,3.0,7.8,367
N110,N137,bus,B375,9.3,6.2,358
N082,N110,bus,B376,10.7,7.5,700
N111,N138,bus,B379,10.1,7.1,372
N111,N137,bus,B380,11.2,5.2,375
N112,N113,bus,B381,5.0,7.2,417
N112,N139,bus,B382,5.6,6.0,613
N112,N138,bus,B383,7.0,7.0,368
N113,N139,bus,B385,5.7,6.5,189
N113,N114,bus,B386,6.1,5.7,176
N086,N114,bus,B390,8.4,5.6,546
N115,N116,bus,B391,4.4,5.9,500
N088,N115,bus,B393,8.7,4.9,345
N116,N142,bus,B395,7.8,1.5,181
N117,N143,bus,B397,6.4,4.8,212
N117,N144,bus,B398,7.9,4.0,173
N118,N119,bus,B399,5.0,4.2,385
N119,N120,bus,B402,6.2,3.8,340
N121,N122,bus,B405,4.1,1.7,120
N121,N146,bus,B406,5.4,1.5,120
N122,N146,bus,B408,7.5,1.5,201
N123,N147,bus,B410,6.9,3.8,244
N123,N148,bus,B411,9.1,1.5,120
N123,N124,bus,B412,9.9,5.0,445
N124,N125,bus,B414,6.0,5.4,353
N096,N124,bus,B415,9.3,4.7,543
N096,N125,bus,B418,8.3,5.2,258
N126,N150,bus,B419,6.8,5.6,529
N126,N127,bus,B420,7.0,4.4,587
N126,N151,bus,B421,8.6,4.4,217
N127,N151,bus,B423,7.0,5.2,226
N128,N152,bus,B425,7.0,5.6,249
N129,N130,bus,B429,4.8,1.5,120
N102,N129,bus,B430,9.3,5.4,508
N104,N131,bus,B433,10.7,1.5,120
N133,N134,bus,B437,5.0,1.5,147
N108,N135,bus,B442,8.5,5.7,565
N107,N135,bus,B443,8.1,5.0,237
N134,N135,bus,B444,10.7,1.8,145
N109,N136,bus,B446,8.0,6.2,431
N081,N136,bus,B447,9.6,6.8,449
N135,N136,bus,B448,10.3,5.6,408
N136,N137,bus,B451,10.2,5.3,503
N138,N139,bus,B453,7.4,6.6,470
N113,N138,bus,B454,9.1,7.3,324
N140,N141,bus,B458,4.5,5.9,376
N114,N140,bus,B459,11.6,6.2,593
N115,N140,bus,B460,12.8,6.1,358
N115,N141,bus,B462,10.0,5.2,356
N087,N141,bus,B463,9.7,7.0,503
N115,N142,bus,B465,11.3,1.5,151
N143,N144,bus,B466,5.9,4.8,476
N118,N143,bus,B468,10.6,3.9,382
N120,N145,bus,B471,8.2,2.9,394
N119,N145,bus,B472,7.9,4.0,212
N091,N145,bus,B473,11.3,3.2,473
N122,N147,bus,B477,9.0,3.9,259
N124,N148,bus,B479,13.0,1.6,120
N125,N149,bus,B480,8.4,5.1,218
N149,N150,bus,B481,9.7,3.8,416
N124,N149,bus,B482,11.0,3.8,298
N150,N151,bus,B485,11.7,3.8,254
N027,N050,bus,F511,9.5,7.0,279
N027,N075,bus,F530,11.5,5.5,382
N076,N078,bus,F531,9.3,1.7,120
N065,N093,bus,F535,11.9,4.4,350
N065,N094,bus,F536,11.0,5.0,238
N073,N100,bus,F541,9.5,5.0,559
N101,N103,bus,F543,9.8,5.4,246
N078,N104,bus,F544,17.3,5.6,167
N078,N105,bus,F545,10.3,5.8,568
N121,N145,bus,F546,17.8,1.6,123
N091,N122,bus,F547,15.1,3.8,470
N126,N149,bus,F550,12.9,4.7,345
N073,N128,bus,F552,12.1,5.9,610
N078,N132,bus,F555,15.8,5.3,422
N145,N146,bus,F565,16.4,1.5,170
N124,N147,bus,F566,16.0,3.9,471
N101,N152,bus,F570,13.1,4.3,236
