node_id,kind,region,x,y,daily_packages,label
C094,center,West,-122.864,38.548,8425,San Francisco CA Ctr 1
C095,center,West,-122.224,38.12,2579,San Francisco CA Ctr 2
C096,center,West,-122.48,37.601,4917,San Francisco CA Ctr 3
C097,center,West,-122.45,47.503,2366,Seattle WA Ctr 1
C098,center,West,-122.58,47.714,4719,Seattle WA Ctr 2
C099,center,West,-122.26,48.066,5933,Seattle WA Ctr 3
C100,center,West,-122.656,45.678,7020,Portland OR Ctr 1
C101,center,West,-122.538,45.195,8062,Portland OR Ctr 2
C102,center,West,-121.738,45.476,6319,Portland OR Ctr 3
C103,center,West,-115.483,36.344,5784,Las Vegas NV Ctr 1
C104,center,West,-114.604,35.669,2300,Las Vegas NV Ctr 2
C105,center,West,-115.925,36.386,1889,Las Vegas NV Ctr 3
C106,center,West,-121.286,38.997,3299,Sacramento CA Ctr 1
C107,center,West,-121.371,38.368,8846,Sacramento CA Ctr 2
C108,center,West,-121.621,38.604,7042,Sacramento CA Ctr 3
