from_id,to_id,period,amount,acts,aid_type,cross_block
P055,P179,before,102.8,1,money,1
P056,P193,before,21.2,1,food,1
P057,P124,before,40.3,1,food,0
P057,O026,before,8.2,1,info,1
P057,P203,before,9.5,1,food,0
P057,P093,before,27.8,1,info,0
P058,P071,before,43.9,1,shelter,1
P059,O026,before,20.9,1,food,0
P060,P125,before,36.4,1,money,0
P060,P139,before,6.3,1,money,1
P061,P115,before,35.7,1,money,1
P062,P172,before,17.0,1,food,0
P063,P081,before,28.4,1,money,0
P063,P062,before,35.8,1,info,1
P063,P054,before,51.0,1,food,0
P063,P158,before,38.4,1,shelter,0
P063,O015,before,29.0,1,money,1
P064,P007,before,10.7,1,info,0
P066,P158,before,40.8,1,shelter,0
P066,P040,before,24.3,1,food,0
P066,P042,before,48.6,1,money,1
P066,O007,before,13.3,1,shelter,0
P066,P186,before,30.9,1,money,0
P066,P065,before,47.1,1,info,0
P067,P007,before,22.4,1,food,1
P068,P147,before,25.5,1,info,0
P069,P004,before,38.1,1,food,1
P070,P093,before,8.6,1,shelter,0
P071,P115,before,28.6,1,info,0
P071,P009,before,80.5,1,money,1
P071,P192,before,63.4,1,food,0
P073,P181,before,34.5,1,shelter,0
P073,P064,before,38.7,1,food,1
P074,P115,before,20.0,1,food,0
P075,P036,before,58.3,1,food,1
P075,P136,before,51.6,1,food,0
P075,P135,before,62.5,1,info,1
P076,P034,before,28.6,1,food,0
P076,P113,before,57.6,1,money,0
P078,P205,before,54.9,1,info,1
P081,P040,before,21.7,1,shelter,0
P081,P084,before,5.8,1,food,1
P081,P197,before,7.2,1,shelter,0
P081,P035,before,31.5,1,info,1
P082,P066,before,34.0,1,shelter,1
P085,P005,before,18.0,1,info,0
P085,O004,before,35.6,1,shelter,0
P087,O014,before,15.0,1,shelter,0
P088,P210,before,38.3,2,info,0
P088,P203,before,88.0,1,shelter,0
P088,P002,before,2.4,1,food,0
P090,P203,before,43.9,1,info,0
P091,P206,before,23.9,1,food,0
P092,O001,before,59.0,1,food,0
P093,P041,before,13.0,1,shelter,0
P093,P072,before,8.6,1,shelter,0
P094,P134,before,66.4,2,shelter,0
P094,P200,before,62.8,1,food,0
P094,P033,before,9.7,1,food,0
P094,P042,before,59.9,1,info,1
P095,P064,before,44.6,1,info,1
P095,O020,before,39.1,1,food,1
P095,P063,before,16.1,1,food,1
P097,P109,before,8.4,1,food,1
P097,P151,before,38.9,1,info,1
P097,P034,before,84.9,1,shelter,0
P099,P024,before,50.0,1,food,1
P099,P200,before,49.9,1,food,1
P101,O005,before,34.5,1,food,0
P103,O008,before,28.9,1,shelter,1
P104,P162,before,75.5,1,food,0
P107,P129,before,33.2,1,shelter,1
P108,P103,before,13.8,1,info,0
P109,P217,before,8.3,1,info,0
P109,O015,before,35.7,2,shelter,0
P109,P104,before,77.0,1,shelter,1
P109,P200,before,24.9,1,info,1
P109,P046,before,21.1,1,shelter,1
P109,P180,before,5.1,1,food,1
P109,P069,before,3.8,1,food,0
P109,P206,before,31.9,1,info,1
P110,P214,before,8.6,1,money,0
P111,P049,before,43.8,1,food,1
P111,P203,before,24.0,1,shelter,0
P114,P017,before,47.2,1,shelter,0
P114,O001,before,22.1,1,shelter,1
P114,P211,before,20.3,1,money,1
P114,P121,before,153.4,1,shelter,0
P115,P089,before,51.3,1,info,0
P116,P048,before,45.9,1,info,1
P117,P001,before,44.6,1,money,0
P117,P211,before,28.4,1,shelter,0
P119,P210,before,22.1,1,shelter,0
P120,P208,before,37.6,1,info,1
P120,P081,before,27.8,1,food,0
P121,P186,before,28.6,1,info,0
P122,P066,before,24.4,1,info,0
P123,P155,before,45.5,1,money,0
P123,P161,before,28.0,1,shelter,0
P123,P183,before,149.3,1,food,1
P124,P072,before,10.4,1,food,0
P125,O020,before,40.8,1,food,0
P125,P199,before,20.0,1,food,1
P127,P050,before,31.3,1,info,1
P128,P085,before,38.1,1,food,1
P130,P063,before,17.9,2,food,0
P130,P066,before,40.2,1,food,0
P130,P122,before,30.3,1,food,0
P131,P190,before,79.2,1,shelter,0
P131,P093,before,68.9,1,info,1
P135,P079,before,14.9,1,info,0
P135,P041,before,35.4,1,info,1
P135,P063,before,37.9,1,shelter,0
P136,P093,before,41.4,1,food,1
P136,O015,before,23.5,1,food,0
P137,P132,before,36.8,1,info,0
P137,P104,before,42.3,1,food,0
P138,P168,before,30.1,1,food,1
P138,O009,before,48.5,2,money,0
P139,P073,before,26.6,1,money,0
P139,P179,before,26.3,1,food,0
P139,P048,before,40.3,1,shelter,1
P139,P190,before,55.0,1,shelter,1
P141,P107,before,27.9,1,food,0
P142,P090,before,21.7,1,info,0
P142,P203,before,22.2,1,food,0
P143,P023,before,10.0,1,info,0
P143,P202,before,41.3,1,food,0
P146,P199,before,18.0,1,food,1
P146,P034,before,17.4,1,money,0
P148,P066,before,11.6,1,info,1
P148,P027,before,37.7,1,money,0
P149,P210,before,27.4,1,food,0
P149,P087,before,16.7,1,shelter,1
P153,P206,before,31.7,1,shelter,0
P155,P172,before,29.3,1,food,1
P155,P075,before,111.2,1,food,0
P156,P135,before,38.0,1,shelter,0
P156,O024,before,75.3,1,food,0
P157,P011,before,74.8,1,info,0
P157,P094,before,85.7,1,info,0
P157,P190,before,40.2,1,info,1
P157,P033,before,49.5,1,shelter,0
P159,P211,before,14.3,1,money,0
P160,P215,before,21.0,1,info,0
P160,P087,before,5.0,1,food,0
P161,P155,before,20.2,1,food,0
P161,P058,before,11.2,1,info,1
P164,P155,before,16.8,1,shelter,0
P164,P123,before,14.0,1,info,0
P165,P147,before,18.2,1,money,1
P165,P022,before,1.7,1,food,1
P168,P085,before,20.8,1,money,1
P169,P036,before,20.3,1,money,1
P169,P093,before,20.1,1,food,1
P169,P221,before,40.5,1,shelter,0
P170,P137,before,22.3,1,money,0
P173,P196,before,10.6,1,info,0
P174,P219,before,37.9,1,food,0
P175,P124,before,13.3,1,info,1
P175,P172,before,9.1,1,food,1
P175,P071,before,28.1,1,shelter,0
P177,P171,before,73.9,1,shelter,1
P177,P203,before,12.2,1,info,0
P177,P189,before,28.8,1,info,1
P179,P104,before,12.0,1,food,1
P180,P216,before,8.4,1,info,0
P181,P148,before,44.3,1,food,1
P181,P043,before,15.7,1,shelter,1
P181,P165,before,19.5,1,info,1
P181,P073,before,41.2,1,money,0
P182,P137,before,16.0,1,food,1
P183,P025,before,52.6,1,money,1
P183,P180,before,46.4,1,food,1
P184,P147,before,23.8,1,info,0
P185,P159,before,10.0,1,info,0
P186,P016,before,39.3,1,food,1
P188,O009,before,33.3,1,shelter,1
P188,O013,before,93.3,1,shelter,1
P189,P087,before,38.0,1,info,0
P189,P007,before,34.4,1,money,0
P190,O009,before,39.2,1,food,1
P190,O012,before,22.5,1,shelter,0
P190,P175,before,42.2,1,shelter,0
P192,P055,before,55.1,1,shelter,1
P193,P066,before,11.5,1,food,1
P193,P086,before,104.1,1,food,0
P195,P063,before,96.3,1,food,1
P196,P078,before,20.3,1,money,1
P196,P073,before,29.0,1,shelter,1
P196,P089,before,24.8,1,food,0
P197,P013,before,17.8,1,food,0
P199,P163,before,33.7,1,money,0
P199,P034,before,11.1,1,info,1
P199,P074,before,17.3,1,info,0
P200,P134,before,15.8,1,money,0
P201,P105,before,4.5,1,info,0
P202,P191,before,18.8,1,food,0
P205,P107,before,11.5,1,info,1
P207,P134,before,28.2,1,info,1
P207,P037,before,11.6,1,shelter,0
P209,P041,before,85.0,1,food,1
P209,P218,before,6.9,1,food,0
P209,P085,before,22.8,1,food,0
P210,O008,before,68.5,1,food,0
P211,P043,before,27.8,1,food,0
P211,P216,before,41.8,1,shelter,0
P212,P210,before,18.6,1,info,1
P212,P066,before,29.1,1,food,0
P213,O028,before,18.3,1,shelter,0
P213,P196,before,70.8,1,info,0
P214,P058,before,34.6,1,food,1
P216,O010,before,4.9,1,shelter,0
P216,O001,before,19.3,1,food,0
P217,P069,before,22.9,1,food,0
P220,O008,before,17.6,1,shelter,0
P221,P063,before,11.0,1,food,1
P222,O008,before,31.7,1,info,0
O001,P008,before,39.1,1,food,1
O001,P031,before,28.8,1,food,0
O002,P025,before,67.3,1,money,0
O003,P098,before,17.0,1,info,0
O005,P132,before,29.4,1,food,0
O005,P162,before,4.5,1,shelter,0
O006,P096,before,36.3,1,shelter,0
O007,P158,before,7.7,1,money,0
O008,P161,before,99.4,1,food,1
O008,P186,before,53.6,1,info,1
O008,P041,before,41.1,1,info,0
O009,P141,before,35.8,1,food,0
O009,O022,before,37.6,1,food,0
O010,P049,before,19.6,1,shelter,0
O012,P007,before,65.9,1,food,1
O013,O014,before,10.7,1,shelter,0
O014,P215,before,29.9,1,food,0
O014,P007,before,16.0,1,shelter,0
O015,P009,before,12.6,1,shelter,0
O016,O009,before,100.1,1,food,0
O016,P141,before,31.7,1,food,0
O020,P051,before,12.9,1,food,1
O020,P129,before,27.0,1,food,0
O020,O013,before,46.5,1,info,1
O024,P073,before,36.5,1,info,1
O025,P101,before,42.0,1,food,0
O027,P145,before,48.1,1,info,0
O027,P093,before,2.8,1,food,0
O027,P211,before,16.5,1,food,1
O027,O008,before,50.2,1,shelter,0
O027,P072,before,25.8,1,shelter,0
O027,P210,before,17.0,1,info,0
O028,P010,before,38.3,1,food,1
O028,P197,before,18.1,1,food,1
O028,O019,before,10.0,1,info,0
O028,P084,before,21.7,1,info,0
P001,P007,during,121.3,2,food,0
P001,P211,during,365.8,7,food,0
P001,P215,during,55.5,2,money,0
P001,P021,during,57.8,1,money,0
P001,O014,during,59.7,2,info,0
P001,P102,during,115.3,1,info,0
P001,P030,during,84.4,1,money,0
P001,P159,during,95.7,1,food,0
P001,P064,during,49.4,1,shelter,0
P001,P208,during,59.7,1,info,0
P001,P216,during,104.7,3,food,0
P001,P210,during,22.2,1,shelter,1
P002,P007,during,64.7,1,food,1
P002,P041,during,28.2,1,money,0
P002,P031,during,18.7,1,shelter,1
P003,P066,during,37.3,1,food,1
P003,P053,during,93.4,1,food,0
P003,P175,during,56.1,1,money,1
P003,P131,during,59.5,1,food,1
P003,P110,during,81.3,1,money,0
P004,P118,during,46.9,1,food,0
P004,P216,during,35.0,2,shelter,0
P004,P001,during,11.2,1,shelter,0
P005,P022,during,57.7,1,info,1
P005,P075,during,17.7,1,food,0
P005,P098,during,6.8,1,money,0
P005,P049,during,18.3,1,food,1
P005,P197,during,50.3,1,money,1
P005,P217,during,29.2,1,food,0
P005,P211,during,11.9,1,food,1
P005,P155,during,47.0,1,shelter,0
P005,P144,during,12.6,1,shelter,1
P005,P129,during,57.0,1,money,0
P005,P136,during,36.7,1,shelter,0
P005,P009,during,12.4,1,info,0
P006,P174,during,25.4,1,info,0
P006,P023,during,66.6,3,food,0
P006,P137,during,6.5,1,shelter,0
P007,P159,during,71.2,1,info,0
P007,P215,during,123.7,2,shelter,0
P007,P092,during,69.8,1,money,0
P007,O001,during,20.5,1,food,0
P007,P211,during,234.0,3,shelter,0
P007,O010,during,54.1,1,shelter,0
P007,P031,during,65.2,1,food,0
P008,P213,during,80.2,1,food,1
P008,P019,during,52.1,1,info,0
P008,P152,during,97.1,2,food,0
P008,P211,during,37.2,1,money,1
P008,P179,during,35.7,1,food,0
P008,O014,during,51.7,1,food,1
P008,P168,during,42.4,1,food,0
P009,P199,during,21.4,1,food,1
P009,O020,during,14.3,1,money,0
P009,P217,during,51.9,1,info,0
P009,P206,during,30.2,1,money,1
P009,P129,during,37.2,1,info,0
P009,P155,during,17.3,1,info,0
P009,P211,during,23.0,1,info,1
P009,P209,during,54.4,1,food,0
P009,O001,during,5.1,1,food,1
P009,P087,during,22.5,1,info,1
P009,P172,during,21.7,1,money,1
P009,P140,during,46.2,1,food,0
P009,P121,during,34.0,1,food,1
P010,P013,during,34.8,1,info,1
P010,P167,during,30.8,1,info,1
P010,P009,during,48.1,1,info,1
P010,P117,during,47.9,1,info,1
P012,P100,during,166.2,2,food,0
P012,P023,during,125.9,2,shelter,0
P012,P178,during,67.6,1,food,0
P012,P191,during,24.0,1,food,0
P013,P066,during,24.6,1,food,0
P013,P154,during,53.2,2,shelter,0
P013,P014,during,26.6,1,info,1
P014,P129,during,43.4,1,food,1
P014,P053,during,10.9,1,food,0
P014,O027,during,57.1,1,info,1
P014,P164,during,29.7,1,info,1
P015,O022,during,24.1,1,food,0
P015,O008,during,67.4,1,shelter,0
P015,P058,during,18.0,1,info,1
P015,P222,during,105.6,1,info,0
P015,P054,during,63.9,1,info,1
P016,P074,during,53.7,1,food,0
P016,P219,during,25.2,1,food,1
P016,P163,during,31.2,1,money,0
P016,P131,during,33.3,1,food,0
P016,P153,during,49.9,1,food,0
P016,P009,during,44.0,1,money,1
P017,O004,during,45.9,1,food,1
P017,P130,during,29.5,1,food,0
P017,P063,during,36.1,1,food,0
P017,P211,during,68.4,1,info,1
P017,P155,during,4.5,1,info,1
P018,P082,during,138.2,2,info,1
P018,O012,during,30.1,1,food,1
P018,P086,during,15.7,1,food,0
P018,P054,during,45.2,1,info,1
P018,P034,during,85.3,1,info,1
P018,P207,during,54.9,1,info,0
P018,P193,during,7.6,1,shelter,0
P019,P152,during,91.1,1,shelter,0
P020,O024,during,38.8,1,food,0
P020,P013,during,17.5,1,info,0
P020,P211,during,28.6,1,info,1
P020,P058,during,55.3,1,food,0
P020,P165,during,21.6,1,money,0
P020,P122,during,46.9,1,food,0
P020,P096,during,63.6,1,info,0
P021,P049,during,71.4,1,food,0
P021,P211,during,328.6,4,food,0
P021,P031,during,268.9,2,shelter,0
P021,O010,during,16.5,1,food,0
P021,P007,during,53.9,2,food,0
P021,O014,during,89.5,1,info,0
P021,P216,during,30.2,1,shelter,0
P022,P048,during,95.2,2,info,0
P022,P134,during,60.1,2,money,0
P022,P221,during,154.6,3,food,0
P022,P184,during,29.3,1,money,0
P022,P122,during,26.1,1,food,1
P022,P187,during,164.5,1,food,0
P022,P166,during,66.9,1,food,0
P022,P024,during,6.4,1,info,1
P022,P094,during,23.2,1,shelter,0
P022,P077,during,81.4,1,food,0
P022,P200,during,88.3,2,shelter,0
P022,O018,during,12.8,1,info,1
P022,O022,during,49.9,1,food,1
P022,P190,during,26.5,1,info,1
P022,P112,during,44.7,1,shelter,1
P022,P066,during,41.6,1,info,1
P022,P034,during,12.9,1,food,0
P023,P143,during,60.0,1,food,0
P023,P104,during,30.3,1,food,0
P023,P178,during,23.1,1,food,0
P023,P137,during,151.5,2,shelter,0
P023,P100,during,44.3,1,food,0
P023,P202,during,46.9,1,food,0
P024,P168,during,49.3,2,money,0
P024,O018,during,7.3,1,info,1
P024,P151,during,102.4,1,info,0
P024,P053,during,152.8,1,shelter,0
P024,P003,during,206.6,1,info,0
P024,P042,during,116.1,1,shelter,0
P024,P073,during,12.3,1,money,0
P024,P014,during,70.4,1,shelter,0
P024,P181,during,37.3,1,info,0
P024,P169,during,27.7,1,food,1
P024,P110,during,98.0,1,food,0
P025,P178,during,19.5,1,food,1
P025,P124,during,25.7,1,food,1
P025,P116,during,43.0,1,food,0
P025,P168,during,65.3,1,food,0
P025,P019,during,61.3,1,money,0
P025,P087,during,36.7,1,food,1
P025,P110,during,336.9,3,shelter,0
P025,P214,during,171.1,2,info,0
P025,P198,during,33.8,2,food,0
P025,P053,during,429.3,4,money,0
P025,P073,during,103.7,1,food,0
P025,P009,during,95.8,2,info,1
P025,P064,during,69.7,1,info,1
P025,P041,during,128.5,1,shelter,1
P025,P011,during,54.9,1,shelter,1
P025,P154,during,76.8,1,shelter,1
P025,P209,during,7.5,1,info,1
P025,P152,during,28.2,1,food,0
P025,P042,during,5.3,1,info,0
P025,P119,during,28.2,1,shelter,1
P025,P014,during,25.1,1,money,0
P025,P151,during,76.7,1,food,0
P025,P194,during,85.3,1,food,0
P026,P071,during,34.8,1,food,0
P026,P053,during,43.6,1,info,1
P026,O012,during,45.2,1,food,0
P026,P041,during,70.6,1,food,1
P026,P211,during,63.1,1,money,1
P026,P051,during,18.2,1,shelter,0
P026,P115,during,119.3,1,food,0
P027,O010,during,54.2,1,info,1
P027,P119,during,90.3,1,shelter,0
P027,P203,during,24.9,1,info,0
P027,O008,during,23.4,1,shelter,0
P027,O022,during,26.7,1,food,0
P028,P129,during,63.7,1,info,0
P028,P099,during,128.1,1,shelter,0
P028,P140,during,24.5,1,shelter,0
P028,P177,during,8.4,1,money,1
P029,P071,during,28.0,1,food,0
P029,P074,during,48.4,1,food,0
P029,P196,during,21.7,1,food,0
P029,P190,during,37.9,1,info,0
P029,P175,during,1.2,1,money,0
P029,P022,during,41.2,1,money,1
P029,O028,during,8.6,1,info,0
P029,P094,during,66.9,1,money,1
P029,P211,during,59.2,2,food,1
P029,P033,during,36.9,1,food,1
P029,P067,during,35.6,1,info,1
P029,P199,during,136.6,1,food,0
P029,P013,during,34.1,1,food,1
P029,P089,during,5.8,1,info,0
P029,P028,during,63.0,1,money,1
P029,O018,during,85.2,1,info,1
P029,O008,during,140.3,1,money,1
P030,P215,during,32.4,2,shelter,0
P030,P049,during,28.5,1,food,0
P030,P087,during,82.2,1,info,0
P030,P211,during,113.0,3,food,0
P031,P211,during,22.1,1,shelter,0
P031,P064,during,121.1,2,info,0
P031,P102,during,20.2,1,food,0
P032,P174,during,98.6,2,food,0
P032,P132,during,26.8,1,info,0
P032,P178,during,102.9,2,info,0
P032,O005,during,12.0,1,money,0
P032,P191,during,92.4,2,shelter,0
P032,O023,during,147.0,2,food,0
P032,P137,during,189.4,4,shelter,0
P032,P074,during,176.9,1,info,1
P032,P023,during,71.7,1,money,0
P032,P100,during,102.8,2,food,0
P032,P050,during,43.7,1,info,1
P032,P170,during,14.7,1,food,0
P032,P101,during,119.7,2,info,0
P033,P036,during,52.5,1,food,1
P033,P152,during,31.4,1,info,1
P033,P094,during,32.1,2,info,0
P033,O020,during,153.4,1,money,1
P033,O008,during,87.0,1,info,1
P033,P093,during,24.3,1,food,1
P033,P034,during,62.8,1,info,0
P033,P168,during,94.5,1,info,1
P033,P147,during,67.5,1,info,0
P033,P221,during,76.6,2,shelter,0
P033,P165,during,76.1,1,info,1
P033,P013,during,46.2,1,info,1
P033,P077,during,47.7,1,money,0
P033,P076,during,38.1,1,info,0
P033,P109,during,39.2,1,food,1
P033,P146,during,50.5,1,shelter,0
P033,P095,during,36.5,1,food,0
P033,P134,during,32.3,1,info,0
P033,P022,during,95.2,1,food,0
P034,O028,during,43.8,1,food,1
P034,P165,during,79.9,1,shelter,1
P034,P147,during,24.5,1,info,0
P034,P219,during,40.6,1,info,1
P034,P146,during,66.7,1,shelter,0
P035,P027,during,54.0,1,money,0
P035,O008,during,19.0,1,food,0
P035,P220,during,26.2,1,info,0
P035,P210,during,60.9,1,food,0
P035,O016,during,45.7,1,shelter,0
P035,P047,during,7.0,1,info,1
P036,O019,during,43.7,1,shelter,0
P036,P031,during,33.6,1,food,1
P036,P195,during,15.4,1,money,0
P037,P168,during,45.2,1,shelter,1
P037,P072,during,33.2,1,info,1
P038,P116,during,57.8,1,food,1
P038,P066,during,140.7,1,food,1
P038,O020,during,112.7,1,food,1
P038,P057,during,38.7,1,shelter,0
P038,O009,during,69.5,1,food,0
P038,O010,during,17.0,1,info,1
P038,O008,during,61.2,2,food,0
P038,P119,during,76.0,1,food,0
P038,P027,during,106.6,1,shelter,0
P038,P037,during,51.5,1,food,1
P038,P222,during,71.7,1,food,0
P038,P126,during,49.1,1,shelter,0
P038,P072,during,34.2,1,food,0
P038,P177,during,99.4,1,money,0
P038,P041,during,95.2,1,food,0
P039,P051,during,40.7,2,money,0
P039,P213,during,64.7,1,food,0
P039,P196,during,46.7,1,food,0
P039,P195,during,25.2,2,info,0
P039,P214,during,31.0,1,food,1
P040,P130,during,34.0,1,info,0
P040,P009,during,38.2,1,money,1
P040,P054,during,24.0,1,food,0
P040,P154,during,20.1,1,info,0
P040,P134,during,78.5,1,shelter,1
P041,P126,during,199.9,1,food,0
P041,P086,during,17.9,1,food,1
P041,P215,during,46.9,1,food,1
P041,P022,during,70.3,1,shelter,1
P041,P070,during,52.4,1,food,0
P041,O022,during,142.3,3,shelter,0
P041,P009,during,47.8,1,food,1
P041,O010,during,69.6,1,money,1
P041,P014,during,47.8,1,money,1
P041,O016,during,23.7,1,food,0
P041,P025,during,84.6,1,food,1
P041,P174,during,20.1,1,money,1
P041,O008,during,79.5,1,shelter,0
P042,P215,during,7.4,1,shelter,1
P042,P118,during,73.6,1,info,1
P042,P054,during,32.7,1,food,1
P042,P214,during,43.9,1,shelter,0
P043,P004,during,38.6,1,info,0
P043,P102,during,38.9,1,food,0
P043,P216,during,6.1,1,food,0
P043,P215,during,52.3,1,food,0
P043,P211,during,68.4,1,money,0
P044,P214,during,11.2,1,money,1
P044,P110,during,57.4,1,food,1
P044,P111,during,16.1,1,shelter,1
P044,P024,during,9.7,1,shelter,1
P044,P157,during,52.4,1,food,0
P044,P177,during,41.2,1,shelter,1
P044,P039,during,46.0,1,info,1
P044,O012,during,40.9,1,money,1
P044,P069,during,12.6,1,info,1
P045,P110,during,48.4,1,money,0
P045,P152,during,20.2,1,food,0
P045,P198,during,22.5,1,info,0
P045,P214,during,70.1,1,food,0
P045,P056,during,41.8,1,food,0
P046,P042,during,65.3,1,food,0
P046,P045,during,29.7,1,info,0
P046,P151,during,7.1,1,shelter,0
P046,P147,during,10.2,1,money,1
P046,P074,during,19.4,1,shelter,1
P046,P165,during,74.6,1,food,1
P046,P203,during,30.1,1,food,1
P046,P152,during,60.8,1,info,0
P046,P056,during,29.0,1,food,0
P047,P068,during,67.6,2,food,0
P047,P066,during,15.1,1,shelter,1
P047,P147,during,62.5,1,info,0
P047,O012,during,68.8,1,food,1
P047,P158,during,9.0,1,food,1
P047,P166,during,23.8,1,food,0
P047,P054,during,36.0,1,money,1
P047,P090,during,66.6,1,info,1
P047,P221,during,1.6,1,food,0
P048,P221,during,16.5,1,food,0
P048,P184,during,27.6,1,money,0
P048,O009,during,23.1,1,money,1
P049,P216,during,12.6,1,food,0
P049,P211,during,152.8,5,food,0
P049,P007,during,41.4,1,food,0
P049,P087,during,8.8,1,food,0
P049,O010,during,12.9,1,info,0
P049,P117,during,44.8,1,food,0
P049,O001,during,136.9,1,info,0
P050,P125,during,12.2,1,shelter,1
P050,P112,during,59.5,1,info,0
P050,P213,during,26.4,1,money,0
P050,P199,during,113.1,1,food,0
P050,P204,during,33.7,2,food,0
P050,P083,during,162.5,1,food,1
P050,O028,during,15.0,1,food,0
P050,P115,during,45.4,1,shelter,0
P050,P051,during,89.4,1,shelter,0
P050,P163,during,70.7,1,info,0
P050,P190,during,23.8,1,info,0
P050,O001,during,39.5,1,shelter,1
P050,O026,during,38.5,1,shelter,0
P050,P137,during,65.6,1,shelter,1
P050,P175,during,47.2,1,money,0
P051,P071,during,109.0,2,food,0
P051,P036,during,81.4,1,shelter,0
P051,O019,during,68.2,1,info,0
P051,P204,during,36.5,1,info,0
P051,P195,during,25.4,1,money,0
P052,P028,during,28.7,1,shelter,0
P052,P155,during,88.3,2,money,0
P052,P209,during,41.9,1,shelter,0
P052,P159,during,69.3,1,food,1
P052,P135,during,44.2,1,info,1
P052,P122,during,72.9,1,info,1
P052,P218,during,16.7,1,food,0
P052,P065,during,126.4,1,info,1
P052,O020,during,125.5,1,money,0
P053,P122,during,33.4,1,money,1
P053,P147,during,27.5,1,money,1
P053,O010,during,57.7,1,food,1
P053,P042,during,52.1,1,food,0
P053,P056,during,8.1,1,food,0
P053,P214,during,21.4,1,info,0
P053,P046,during,23.1,1,shelter,0
P053,P159,during,70.0,1,money,1
P053,P188,during,56.4,1,info,1
P053,O019,during,11.9,1,food,1
P053,P116,during,76.9,1,food,0
P053,O017,during,18.8,1,food,0
P053,P099,during,67.3,1,food,1
P054,P020,during,38.3,1,info,0
P054,O007,during,74.8,1,food,0
P054,P063,during,112.2,1,food,0
P054,P120,during,12.4,1,shelter,0
P054,P122,during,61.1,1,shelter,0
P055,P211,during,51.8,2,food,0
P055,P031,during,49.8,1,food,0
P055,O010,during,50.5,1,food,0
P056,P214,during,6.7,1,shelter,0
P056,P110,during,14.7,1,food,0
P056,P045,during,47.8,1,food,0
P056,P058,during,61.9,1,food,1
P056,P116,during,29.1,1,food,0
P056,O001,during,15.9,1,shelter,1
P057,P093,during,12.3,1,shelter,0
P057,P147,during,64.1,1,info,1
P057,P119,during,144.2,1,food,0
P057,P128,during,14.6,1,shelter,1
P057,P177,during,69.4,1,info,0
P057,P130,during,50.9,1,info,1
P057,P070,during,7.9,1,money,0
P057,P072,during,16.1,1,info,0
P057,P124,during,39.9,1,food,0
P058,P152,during,13.5,1,shelter,1
P058,P066,during,8.2,1,food,0
P059,P026,during,21.4,1,food,0
P059,O026,during,71.9,1,money,0
P059,O015,during,25.5,1,shelter,1
P059,P196,during,36.8,1,info,0
P059,P131,during,30.8,1,food,0
P059,P206,during,48.3,1,food,0
P059,P211,during,74.8,2,food,1
P059,P116,during,25.3,1,money,1
P059,P195,during,21.3,1,money,0
P060,P217,during,70.6,1,shelter,0
P060,P099,during,85.7,1,food,0
P060,P009,during,2.3,1,money,0
P060,O012,during,72.9,1,info,1
