node_id,kind,region,label,x,y,capacity_mw,voltage_kv
BUS0052,load,A,Load 0052,33.92,69.71,185,345
BUS0053,generator,A,Generator 0053,30.67,56.94,278,69
BUS0054,substation,A,Substation 0054,30.51,82.69,0,138
BUS0055,load,A,Load 0055,24.84,38.9,217,69
BUS0056,substation,A,Substation 0056,19.98,47.8,0,69
BUS0057,load,A,Load 0057,16.31,49.18,259,138
BUS0058,substation,A,Substation 0058,26.96,35.66,0,138
BUS0059,substation,A,Substation 0059,13.84,42.94,0,345
BUS0060,substation,A,Substation 0060,15.11,50.95,0,69
BUS0061,load,A,Load 0061,17.14,52.3,296,69
BUS0062,substation,A,Substation 0062,26.53,39.88,0,69
BUS0063,generator,A,Generator 0063,30.55,48.89,564,138
BUS0064,load,A,Load 0064,29.71,58.87,315,345
BUS0065,load,A,Load 0065,31.48,53.93,181,69
BUS0066,load,A,Load 0066,32.24,46.61,41,138
BUS0067,substation,A,Substation 0067,41.1,57.89,0,345
BUS0068,substation,A,Substation 0068,38.2,60.0,0,500
BUS0069,load,A,Load 0069,30.9,55.58,144,230
BUS0070,substation,A,Substation 0070,25.23,56.68,0,345
BUS0071,load,A,Load 0071,25.39,56.94,109,69
BUS0072,load,A,Load 0072,31.61,74.0,114,138
BUS0073,substation,A,Substation 0073,24.39,54.33,0,230
BUS0074,substation,A,Substation 0074,42.3,61.41,0,138
BUS0075,substation,A,Substation 0075,32.83,74.18,0,230
BUS0076,load,A,Load 0076,24.74,55.73,60,230
BUS0077,substation,A,Substation 0077,36.61,52.9,0,230
BUS0078,substation,A,Substation 0078,48.03,63.04,0,500
BUS0079,substation,A,Substation 0079,15.11,49.3,0,138
BUS0080,load,A,Load 0080,20.31,43.85,120,69
BUS0081,load,A,Load 0081,20.62,58.43,76,138
BUS0082,load,A,Load 0082,31.35,55.79,198,230
BUS0083,load,A,Load 0083,5.3,48.5,276,69
BUS0084,substation,A,Substation 0084,32.05,64.31,0,230
BUS0085,load,A,Load 0085,39.75,57.56,73,230
BUS0086,substation,A,Substation 0086,18.5,53.38,0,69
BUS0087,substation,A,Substation 0087,39.0,43.36,0,138
BUS0088,load,A,Load 0088,19.82,45.96,141,138
BUS0089,substation,A,Substation 0089,42.62,64.42,0,500
BUS0090,substation,A,Substation 0090,53.6,52.74,0,69
BUS0091,load,A,Load 0091,22.97,56.19,258,138
BUS0092,load,A,Load 0092,14.23,37.39,128,138
BUS0093,load,A,Load 0093,31.04,39.46,163,500
BUS0094,load,A,Load 0094,22.81,60.05,52,500
BUS0095,load,A,Load 0095,29.52,63.36,69,345
BUS0096,generator,A,Generator 0096,20.25,53.02,534,69
BUS0097,load,A,Load 0097,33.73,52.08,257,69
BUS0098,generator,A,Generator 0098,6.08,40.74,583,345
BUS0099,generator,A,Generator 0099,36.24,51.87,257,230
BUS0100,load,A,Load 0100,42.6,54.24,71,138
BUS0101,load,A,Load 0101,29.01,45.79,74,69
BUS0102,load,A,Load 0102,18.23,51.06,67,500
BUS0103,load,A,Load 0103,32.32,43.55,238,69
BUS0104,load,A,Load 0104,7.86,65.21,143,69
BUS0105,load,A,Load 0105,20.8,59.71,65,230
BUS0106,load,A,Load 0106,31.98,69.53,191,138
BUS0107,load,A,Load 0107,24.35,67.26,124,69
BUS0108,load,A,Load 0108,31.84,76.46,76,69
BUS0109,substation,A,Substation 0109,39.84,45.7,0,230
BUS0110,load,A,Load 0110,31.45,45.83,73,69
BUS0111,load,A,Load 0111,15.71,49.95,123,138
BUS0112,substation,A,Substation 0112,17.42,58.82,0,230
BUS0113,load,A,Load 0113,30.04,61.81,157,230
BUS0114,load,A,Load 0114,15.44,55.07,187,138
BUS0115,load,A,Load 0115,29.01,61.39,140,138
BUS0116,load,A,Load 0116,19.43,59.73,185,138
BUS0117,substation,A,Substation 0117,35.32,66.94,0,69
BUS0118,substation,A,Substation 0118,32.99,51.6,0,138
BUS0119,load,A,Load 0119,24.31,33.1,274,345
BUS0120,substation,A,Substation 0120,37.85,47.09,0,69
BUS0121,substation,A,Substation 0121,22.02,81.62,0,230
BUS0122,substation,A,Substation 0122,33.12,37.83,0,138
BUS0123,load,A,Load 0123,27.05,63.7,251,69
BUS0124,substation,A,Substation 0124,37.88,72.92,0,138
BUS0125,load,A,Load 0125,42.69,52.9,187,138
BUS0126,substation,A,Substation 0126,44.01,56.45,0,138
BUS0127,load,A,Load 0127,24.02,44.65,108,69
BUS0128,substation,A,Substation 0128,35.01,49.07,0,138
BUS0129,load,A,Load 0129,19.35,36.45,293,345
BUS0130,load,A,Load 0130,26.03,52.21,262,69
BUS0131,substation,B,Substation 0131,60.48,37.95,0,345
BUS0132,load,B,Load 0132,55.56,54.42,205,138
BUS0133,load,B,Load 0133,42.96,17.61,118,138
BUS0134,load,B,Load 0134,41.33,29.15,108,345
BUS0135,load,B,Load 0135,42.81,40.8,102,69
BUS0136,load,B,Load 0136,58.58,32.26,74,138
BUS0137,generator,B,Generator 0137,55.14,19.2,293,500
BUS0138,load,B,Load 0138,66.98,26.97,175,345
BUS0139,load,B,Load 0139,38.12,26.47,135,69
BUS0140,load,B,Load 0140,37.88,19.95,229,230
BUS0141,load,B,Load 0141,37.33,32.99,218,230
BUS0142,substation,B,Substation 0142,32.18,14.63,0,230
BUS0143,load,B,Load 0143,61.75,32.9,198,500
BUS0144,load,B,Load 0144,45.07,45.29,81,345
BUS0145,load,B,Load 0145,61.16,35.38,157,138
BUS0146,generator,B,Generator 0146,39.59,32.82,371,230
BUS0147,load,B,Load 0147,36.61,38.57,194,69
BUS0148,substation,B,Substation 0148,69.41,24.71,0,69
BUS0149,load,B,Load 0149,44.56,35.65,204,345
BUS0150,load,B,Load 0150,39.51,1.05,122,138
BUS0151,load,B,Load 0151,47.14,6.76,133,69
BUS0152,load,B,Load 0152,38.64,36.95,121,138
BUS0153,load,B,Load 0153,60.39,54.63,176,138
BUS0154,substation,B,Substation 0154,59.38,9.23,0,138
BUS0155,load,B,Load 0155,74.17,27.91,98,138
BUS0156,substation,B,Substation 0156,59.05,33.83,0,138
BUS0157,load,B,Load 0157,66.55,26.11,234,230
BUS0158,load,B,Load 0158,47.89,29.02,250,69
BUS0159,substation,B,Substation 0159,57.78,23.73,0,230
BUS0160,load,B,Load 0160,55.27,21.43,226,138
BUS0161,substation,B,Substation 0161,80.59,35.04,0,230
BUS0162,load,B,Load 0162,61.8,37.5,85,500
BUS0163,load,B,Load 0163,46.78,24.25,69,69
BUS0164,load,B,Load 0164,46.9,33.77,159,138
BUS0165,generator,B,Generator 0165,24.98,20.08,216,69
BUS0166,substation,B,Substation 0166,41.02,27.59,0,138
BUS0167,generator,B,Generator 0167,39.63,29.32,133,69
BUS0168,load,B,Load 0168,41.07,36.7,142,138
BUS0169,generator,B,Generator 0169,60.42,17.58,250,69
BUS0170,load,B,Load 0170,37.41,11.24,124,230
BUS0171,load,B,Load 0171,50.85,43.54,129,69
BUS0172,load,B,Load 0172,40.93,47.53,201,500
BUS0173,generator,B,Generator 0173,38.57,35.37,229,69
BUS0174,generator,B,Generator 0174,49.75,33.34,149,69
BUS0175,generator,B,Generator 0175,32.56,3.03,123,69
BUS0176,load,B,Load 0176,39.75,7.68,143,345
BUS0177,load,B,Load 0177,58.2,25.54,31,345
BUS0178,substation,B,Substation 0178,48.41,17.82,0,230
BUS0179,load,B,Load 0179,65.63,18.95,64,230
BUS0180,load,B,Load 0180,67.0,37.62,103,138
BUS0181,substation,B,Substation 0181,56.09,8.6,0,69
BUS0182,substation,B,Substation 0182,36.64,50.18,0,230
BUS0183,substation,B,Substation 0183,55.06,46.21,0,69
BUS0184,substation,B,Substation 0184,38.88,34.76,0,138
BUS0185,load,B,Load 0185,51.39,29.04,157,138
BUS0186,substation,B,Substation 0186,54.99,30.53,0,138
BUS0187,load,B,Load 0187,50.19,21.05,258,138
BUS0188,substation,B,Substation 0188,56.7,8.56,0,69
BUS0189,load,B,Load 0189,64.71,42.31,222,230
BUS0190,load,B,Load 0190,56.14,34.55,88,230
BUS0191,load,B,Load 0191,50.41,15.07,64,138
BUS0192,generator,B,Generator 0192,45.07,33.03,258,138
BUS0193,substation,B,Substation 0193,55.74,25.18,0,230
BUS0194,substation,B,Substation 0194,38.33,24.23,0,69
BUS0195,load,B,Load 0195,55.82,16.06,108,230
BUS0196,load,B,Load 0196,52.37,28.59,138,230
BUS0197,load,B,Load 0197,56.75,48.74,132,345
BUS0198,load,B,Load 0198,41.27,26.08,54,69
BUS0199,load,B,Load 0199,47.97,52.86,257,230
BUS0200,load,B,Load 0200,53.57,34.39,116,230
BUS0201,load,B,Load 0201,43.51,41.63,162,138
BUS0202,substation,B,Substation 0202,52.37,33.34,0,69
BUS0203,substation,B,Substation 0203,57.1,6.76,0,500
BUS0204,substation,B,Substation 0204,34.69,29.3,0,345
BUS0205,substation,B,Substation 0205,61.97,13.89,0,138
BUS0206,load,B,Load 0206,51.44,33.35,245,138
BUS0207,load,B,Load 0207,52.76,7.3,233,69
BUS0208,substation,B,Substation 0208,50.76,29.66,0,345
BUS0209,load,B,Load 0209,38.67,15.94,55,69
BUS0210,substation,B,Substation 0210,66.94,24.82,0,69
BUS0211,load,B,Load 0211,42.0,23.31,149,69
BUS0212,substation,B,Substation 0212,64.59,21.89,0,230
BUS0213,substation,B,Substation 0213,33.57,34.68,0,230
BUS0214,load,B,Load 0214,71.06,22.53,68,69
BUS0215,load,B,Load 0215,36.68,30.84,70,69
BUS0216,load,B,Load 0216,58.67,22.53,224,230
BUS0217,load,B,Load 0217,69.24,36.35,195,69
BUS0218,substation,B,Substation 0218,41.6,31.43,0,230
BUS0219,load,B,Load 0219,74.59,27.96,87,138
BUS0220,load,B,Load 0220,52.91,30.07,71,138
BUS0221,load,B,Load 0221,55.72,37.07,249,69
BUS0222,substation,B,Substation 0222,63.28,40.39,0,345
BUS0223,substation,B,Substation 0223,57.89,44.4,0,138
BUS0224,load,B,Load 0224,56.03,0.0,62,230
BUS0225,load,B,Load 0225,57.42,35.73,218,138
BUS0226,generator,B,Generator 0226,68.45,24.19,336,230
BUS0227,load,B,Load 0227,71.4,31.57,173,138
BUS0228,load,B,Load 0228,51.57,13.62,94,69
BUS0229,load,B,Load 0229,52.42,26.61,94,230
BUS0230,substation,B,Substation 0230,59.4,18.0,0,230
BUS0231,load,B,Load 0231,47.05,13.0,46,500
BUS0232,substation,B,Substation 0232,54.75,38.83,0,345
BUS0233,generator,B,Generator 0233,35.15,33.97,276,230
BUS0234,load,B,Load 0234,48.37,24.21,69,500
BUS0235,substation,B,Substation 0235,67.78,28.68,0,138
BUS0236,load,B,Load 0236,53.45,31.57,99,138
BUS0237,load,B,Load 0237,43.25,25.03,136,69
BUS0238,substation,B,Substation 0238,60.04,25.5,0,230
BUS0239,generator,B,Generator 0239,37.18,47.31,265,230
BUS0240,load,B,Load 0240,39.46,17.75,69,69
BUS0241,generator,C,Generator 0241,95.58,73.06,290,345
BUS0242,generator,C,Generator 0242,95.55,51.03,738,230
BUS0243,generator,C,Generator 0243,89.96,79.41,867,500
BUS0244,generator,C,Generator 0244,85.5,74.37,577,345
BUS0245,generator,C,Generator 0245,84.98,77.25,480,345
BUS0246,generator,C,Generator 0246,98.77,76.29,509,138
BUS0247,generator,C,Generator 0247,85.16,74.88,642,345
BUS0248,load,C,Load 0248,78.82,68.16,26,138
BUS0249,generator,C,Generator 0249,100.0,71.35,733,69
BUS0250,generator,C,Generator 0250,94.0,68.62,400,345
BUS0251,load,C,Load 0251,84.2,69.46,25,138
BUS0252,substation,C,Substation 0252,100.0,69.3,0,230
BUS0253,generator,C,Generator 0253,87.94,55.66,400,69
BUS0254,generator,C,Generator 0254,100.0,64.72,334,500
BUS0255,generator,C,Generator 0255,88.64,73.89,374,345
BUS0256,substation,C,Substation 0256,77.42,56.11,0,69
BUS0257,generator,C,Generator 0257,84.64,70.08,389,230
BUS0258,substation,C,Substation 0258,84.1,81.04,0,69
BUS0259,substation,C,Substation 0259,98.76,81.18,0,138
BUS0260,generator,C,Generator 0260,95.39,74.68,734,230
BUS0261,substation,C,Substation 0261,82.85,81.73,0,138
BUS0262,substation,C,Substation 0262,87.55,59.63,0,345
BUS0263,generator,C,Generator 0263,90.71,80.2,447,69
BUS0264,generator,C,Generator 0264,81.1,74.05,358,138
BUS0265,substation,C,Substation 0265,88.34,67.57,0,345
BUS0266,generator,C,Generator 0266,87.8,51.12,200,345
BUS0267,generator,C,Generator 0267,83.83,82.44,496,230
BUS0268,generator,C,Generator 0268,90.34,69.2,476,230
BUS0269,generator,C,Generator 0269,69.12,51.99,637,230
BUS0270,generator,C,Generator 0270,94.26,66.54,345,69
BUS0271,substation,C,Substation 0271,91.66,78.66,0,69
BUS0272,substation,C,Substation 0272,96.28,71.0,0,345
BUS0273,load,C,Load 0273,67.94,57.24,53,230
BUS0274,generator,C,Generator 0274,76.43,61.13,354,138
BUS0275,substation,C,Substation 0275,100.0,66.29,0,69
BUS0276,generator,C,Generator 0276,72.83,68.95,401,230
BUS0277,substation,C,Substation 0277,83.14,71.34,0,69
BUS0278,generator,C,Generator 0278,78.12,77.69,493,230
BUS0279,generator,C,Generator 0279,89.9,57.61,618,230
BUS0280,generator,C,Generator 0280,88.73,83.79,826,138
BUS0281,load,C,Load 0281,96.75,87.4,43,69
BUS0282,substation,C,Substation 0282,100.0,60.48,0,69
BUS0283,generator,C,Generator 0283,93.78,69.08,610,345
BUS0284,generator,C,Generator 0284,83.59,62.08,567,69
BUS0285,generator,C,Generator 0285,85.6,68.33,450,345
BUS0286,generator,C,Generator 0286,77.6,53.7,521,69
BUS0287,load,C,Load 0287,89.6,81.62,53,138
BUS0288,load,C,Load 0288,81.89,74.72,14,500
BUS0289,generator,C,Generator 0289,95.1,65.05,426,500
BUS0290,generator,C,Generator 0290,90.78,72.94,756,69
BUS0291,generator,C,Generator 0291,95.56,83.97,609,345
BUS0292,generator,C,Generator 0292,100.0,65.22,507,230
BUS0293,load,C,Load 0293,73.73,68.46,40,138
BUS0294,generator,C,Generator 0294,100.0,62.83,403,138
BUS0295,generator,C,Generator 0295,96.97,69.65,661,69
BUS0296,generator,C,Generator 0296,98.99,70.88,804,138
BUS0297,substation,C,Substation 0297,88.96,62.48,0,345
BUS0298,generator,C,Generator 0298,95.34,83.83,350,500
BUS0299,generator,C,Generator 0299,93.36,64.39,885,69
BUS0300,substation,C,Substation 0300,93.27,68.04,0,230
