from_id,to_id,annual_volume,value_musd,lead_time_days
M051,F031,19,1.737,45
M032,F031,9,1.273,50
M056,F031,22,2.39,41
M002,F032,61,4.308,37
M010,F032,31,3.873,53
M003,F032,6,0.269,43
M007,F032,68,7.959,71
M065,F032,22,1.999,43
M006,F032,38,1.197,52
M002,F033,94,15.312,37
M010,F033,102,4.955,53
M048,F033,65,8.838,112
M039,F033,54,6.259,86
M014,F033,76,7.528,68
M002,F036,154,10.479,37
M010,F036,99,5.535,53
M001,F036,62,4.734,126
M027,F036,45,5.295,75
M004,F036,53,7.646,68
M050,F036,44,5.89,21
M002,F037,137,4.993,37
M010,F037,85,5.04,53
M001,F037,84,4.685,126
M014,F037,15,2.522,68
M031,F037,66,3.446,61
M033,F037,50,1.143,60
M002,F038,151,25.367,37
M001,F038,108,18.925,126
M069,F038,10,1.56,68
M019,F038,9,1.065,36
M062,F038,51,4.425,42
M016,F038,52,2.318,58
M002,F039,108,14.943,37
M010,F039,93,14.493,53
M037,F039,59,4.663,84
M050,F039,77,4.245,21
M039,F039,18,1.696,86
M024,F039,49,6.736,73
M002,F041,153,8.329,37
M056,F041,49,8.245,41
M060,F041,51,3.124,77
M002,F042,51,9.076,37
M010,F042,92,3.141,53
M025,F042,15,1.104,56
M031,F042,26,4.038,61
M007,F042,59,9.135,71
M024,F042,44,4.023,73
M002,F044,136,16.881,37
M010,F044,115,18.586,53
M022,F044,19,0.524,53
M013,F044,56,3.688,60
M002,F045,94,8.514,37
M010,F045,42,4.347,53
M049,F045,29,1.084,42
M045,F045,53,1.177,41
M005,F045,38,3.536,72
M002,F046,69,5.731,37
M010,F046,30,3.146,53
M013,F046,30,2.622,60
M046,F046,60,8.715,65
M004,F046,12,2.049,68
M003,P001,58,8.248,43
M063,P003,48,5.816,98
M021,P003,19,3.362,43
M004,P004,29,3.118,68
M052,P004,34,2.509,52
M008,P006,59,1.333,54
M033,P007,10,0.718,60
M035,P009,58,5.567,41
M002,P009,6,0.17,37
M052,P011,56,3.502,52
M005,P012,35,5.909,72
M036,P012,28,2.811,63
M069,P013,53,8.349,68
M068,P013,32,2.935,59
M021,P015,27,2.224,43
M024,P019,58,2.891,73
M038,P019,43,1.074,75
M029,P021,26,1.353,64
M033,P022,32,1.989,60
M048,P022,42,3.227,112
M026,P026,21,1.987,42
M026,P027,51,5.687,42
M046,P027,19,3.116,65
M031,P029,23,0.603,61
M040,P031,57,7.954,38
M035,P031,18,0.737,41
M057,P032,54,6.32,51
M051,P033,44,7.869,45
M012,P033,31,1.428,68
M009,P034,33,3.476,48
M014,P035,24,4.042,68
M033,P035,5,0.312,60
M004,P039,56,3.273,68
M025,P040,20,0.505,56
M021,P041,20,1.612,43
M030,P042,26,1.93,49
M024,P044,22,0.529,73
M017,P047,16,2.257,58
M069,P048,7,0.736,68
M026,P048,32,2.251,42
M055,P049,8,1.241,57
M063,P051,28,3.996,98
M034,P051,44,3.052,88
M066,P053,10,1.791,76
M006,P053,29,1.013,52
M047,P054,6,0.859,95
M020,P054,45,5.237,42
M061,P058,10,0.641,38
M037,P058,58,1.554,84
M047,P059,29,1.811,95
M060,P060,7,0.443,77
M028,P060,53,8.639,28
F022,P001,25,1.529,92
F037,P001,61,6.126,133
F018,P001,24,1.831,104
F031,P003,61,9.261,87
F028,P003,116,20.319,56
F038,P004,116,17.876,104
F003,P004,36,3.752,82
F009,P006,101,11.46,92
F027,P006,51,8.606,86
F008,P007,76,10.288,79
F044,P007,46,5.32,120
F039,P009,26,2.651,88
F010,P009,49,6.177,141
F008,P011,113,18.437,79
F021,P011,45,3.228,88
F031,P012,91,8.265,87
F008,P012,67,2.457,79
F036,P013,65,10.374,120
F046,P013,45,7.541,111
F042,P015,31,5.231,69
F006,P015,85,5.98,102
F017,P019,61,3.075,115
F033,P019,75,4.54,87
F018,P019,109,14.48,104
F046,P021,30,3.746,111
F028,P021,53,1.857,56
F005,P021,99,13.836,98
F026,P022,52,4.105,98
F041,P022,106,7.155,116
F021,P022,73,2.168,88
F027,P026,86,4.43,86
F021,P026,58,3.59,88
F018,P027,44,4.639,104
F031,P027,54,7.749,87
F021,P029,46,4.762,88
F017,P029,116,19.206,115
F018,P031,119,21.167,104
F037,P031,89,8.307,133
F005,P031,21,2.308,98
F003,P032,95,9.617,82
F008,P032,28,4.455,79
F044,P033,95,14.705,120
F028,P033,72,1.86,56
F031,P033,106,11.553,87
F010,P034,68,3.407,141
F009,P034,62,4.603,92
F041,P034,90,4.743,116
F032,P035,96,4.989,93
F006,P035,47,8.25,102
F026,P035,49,6.532,98
F017,P039,89,12.154,115
F028,P039,23,0.619,56
F012,P039,109,14.902,78
F046,P040,95,9.069,111
F045,P040,44,3.95,135
F006,P041,72,6.407,102
F018,P041,49,8.021,104
F045,P042,58,2.837,135
F039,P042,96,6.336,88
F028,P042,55,2.636,56
F039,P044,81,2.042,88
F037,P044,111,3.41,133
F037,P047,49,8.71,133
F022,P047,46,2.458,92
F010,P048,62,6.998,141
F008,P048,69,5.539,79
F017,P049,93,12.124,115
F039,P049,62,9.853,88
F028,P051,52,1.615,56
F018,P051,37,5.049,104
F027,P051,114,15.481,86
F003,P053,106,16.291,82
F005,P053,27,0.643,98
F041,P054,105,6.043,116
F005,P054,67,5.909,98
F042,P058,70,12.478,69
F015,P058,60,9.175,100
F038,P058,35,0.99,104
F025,P059,31,4.019,89
F006,P059,86,5.343,102
F022,P060,46,3.326,92
F021,P060,66,4.546,88
F005,P060,96,7.527,98
P003,D001,108,12.565,28
P009,D001,81,10.612,40
P051,D002,51,2.249,30
P058,D002,81,2.232,47
P047,D004,118,3.207,45
P019,D004,60,1.89,44
P049,D006,62,1.348,33
P035,D006,57,10.18,44
P022,D006,83,5.081,51
P032,D007,65,7.503,21
P011,D007,79,11.594,57
P042,D008,48,5.229,34
P054,D008,52,3.514,37
P029,D008,108,18.264,69
P033,D009,117,10.145,41
P041,D009,47,4.603,56
P026,D010,77,2.37,50
P006,D010,106,4.22,42
P021,D010,113,5.839,36
P006,D014,113,3.501,42
P049,D014,95,12.416,33
P044,D014,106,14.965,43
P003,D025,82,5.871,28
P049,D025,112,19.389,33
P054,D025,92,10.488,37
P027,D029,90,16.166,21
P040,D029,98,4.475,56
P011,D030,60,6.687,57
P042,D030,73,2.033,34
P026,D031,98,12.267,50
P051,D031,82,11.089,30
P039,D035,101,10.706,29
P015,D035,86,10.061,45
P006,D036,117,15.052,42
P059,D036,108,3.722,46
P015,D036,65,3.606,45
P042,D037,83,9.513,34
P001,D037,56,5.118,36
P054,D037,60,9.495,37
P042,D038,53,1.487,34
P022,D038,63,2.702,51
P009,D039,112,11.292,40
P011,D039,114,6.563,57
P021,D040,106,15.222,36
P012,D040,64,9.5,41
P006,D040,81,9.508,42
P059,D041,66,1.858,46
P053,D041,116,18.721,42
P039,D044,49,7.404,29
P060,D044,91,2.313,43
P032,D044,74,9.567,21
P031,D047,106,18.068,45
P054,D047,34,5.778,37
P051,D047,35,4.297,30
P051,D049,40,1.419,30
P041,D049,93,14.309,56
P029,D049,50,2.167,69
P012,D050,119,5.487,41
P058,D050,49,5.396,47
P039,D052,69,11.464,29
P047,D052,43,7.069,45
P022,D052,115,13.916,51
P032,D053,92,2.083,21
P060,D053,33,3.752,43
P039,D053,116,16.824,29
P021,D054,102,10.317,36
P022,D054,75,6.744,51
P013,D056,109,19.096,39
P049,D056,63,3.003,33
P021,D056,85,5.698,36
P034,D057,74,9.102,38
P033,D057,98,6.432,41
P041,D058,53,4.992,56
P060,D058,108,12.833,43
P033,D058,32,4.113,41
P044,D061,90,7.503,43
P013,D061,84,2.234,39
P040,D062,63,6.88,56
P029,D062,31,4.345,69
P006,D062,72,7.721,42
P009,D064,107,4.234,40
P039,D064,42,1.015,29
P015,D064,113,17.378,45
P044,D067,61,5.566,43
P004,D067,30,2.205,44
P012,D068,37,5.285,41
P009,D068,66,10.751,40
P051,D072,95,3.249,30
P039,D072,112,9.531,29
P007,D072,114,19.62,35
P027,D074,71,9.979,21
P026,D074,74,3.187,50
P051,D074,32,3.785,30
P047,D075,57,8.612,45
P041,D075,109,10.775,56
P012,D075,58,3.676,41
P031,D076,107,16.231,45
P019,D076,112,17.964,44
P007,D076,111,19.262,35
P012,D077,111,9.724,41
P035,D077,81,8.882,44
P004,D079,90,2.987,44
P021,D079,51,5.072,36
P051,D081,46,4.338,30
P033,D081,68,3.637,41
P040,D081,52,2.691,56
P041,D082,81,12.804,56
P042,D082,53,8.536,34
P049,D082,56,7.656,33
P041,D083,36,3.14,56
P001,D083,119,17.877,36
P047,D083,65,6.01,45
P012,D084,80,2.956,41
P053,D084,98,15.142,42
P054,D084,50,4.172,37
P034,D085,80,13.058,38
P013,D085,102,3.184,39
P026,D085,96,9.097,50
P034,D086,65,6.208,38
P015,D086,57,5.709,45
P035,D086,82,7.835,44
P041,D087,88,13.779,56
P060,D087,102,4.545,43
P047,D087,37,2.429,45
P022,D088,90,5.474,51
P059,D088,73,12.54,46
P044,D088,76,6.157,43
P051,D090,74,3.444,30
P013,D090,108,16.324,39
P003,D092,106,11.155,28
P058,D092,91,7.467,47
P026,D092,95,12.685,50
P029,D094,50,2.363,69
P001,D094,80,14.042,36
P032,D094,87,5.182,21
P049,D095,32,1.799,33
P013,D095,107,10.754,39
D092,E001,179,26.705,26
D001,E001,178,13.678,32
D047,E001,216,10.124,32
D035,E002,246,10.299,26
D077,E002,89,14.495,14
D086,E003,124,13.492,35
D001,E003,58,3.685,32
D061,E005,95,9.95,10
D052,E005,114,12.773,15
D092,E006,93,13.24,26
D007,E006,265,38.489,12
D037,E006,140,7.421,26
D079,E007,286,38.851,28
D025,E007,106,16.322,44
D054,E007,77,12.407,23
D047,E008,267,35.177,32
D082,E008,181,18.827,27
D049,E009,75,5.289,34
D067,E009,56,9.585,19
D077,E009,68,6.204,14
D072,E010,254,11.655,24
D004,E010,297,43.933,28
D014,E011,104,7.983,42
D086,E011,238,29.459,35
D035,E012,168,6.137,26
D054,E012,79,9.642,23
D008,E012,105,5.739,28
D074,E013,221,23.485,26
D077,E013,194,15.843,14
D083,E016,234,41.687,30
D075,E016,252,28.412,23
D056,E016,261,31.394,25
D040,E019,134,13.238,29
D056,E019,299,8.913,25
D074,E019,162,6.325,26
D067,E020,232,11.463,19
D031,E020,275,7.478,33
D036,E020,91,14.534,44
D049,E021,161,17.611,34
D074,E021,57,3.717,26
D050,E024,238,30.622,10
D035,E024,121,3.466,26
D061,E024,269,47.592,10
D006,E025,104,15.6,35
D087,E025,180,9.992,39
D076,E025,234,21.574,21
D050,E027,138,17.108,10
D029,E027,210,13.288,28
D083,E027,180,4.915,30
D081,E029,158,14.239,50
D025,E029,239,12.788,44
D041,E030,108,3.27,33
D062,E030,68,5.456,29
D036,E031,253,18.047,44
D062,E031,184,31.34,29
D041,E031,239,30.052,33
D029,E032,294,30.589,28
D077,E032,153,10.838,14
D049,E032,180,15.548,34
D083,E036,152,16.585,30
D009,E036,124,3.199,40
D087,E037,55,3.296,39
D076,E037,280,15.312,21
D064,E037,79,5.051,29
D044,E038,184,8.445,39
D039,E038,50,1.749,47
D038,E041,167,9.267,49
D057,E041,187,4.465,29
D047,E042,226,9.819,32
D088,E042,81,14.337,41
D062,E043,233,40.989,29
D064,E043,72,3.79,29
D067,E043,267,23.286,19
D041,E046,87,15.619,33
D009,E046,170,21.047,40
D050,E046,144,25.181,10
D004,E047,203,8.906,28
D088,E047,226,23.807,41
D047,E047,88,8.184,32
D014,E049,263,6.711,42
D083,E049,119,21.408,30
D038,E049,227,4.812,49
D072,E052,92,11.908,24
D014,E052,197,22.478,42
D009,E052,168,22.103,40
D054,E053,101,11.12,23
D062,E053,229,29.013,29
D077,E054,71,4.199,14
D052,E054,214,38.062,15
D079,E054,52,2.891,28
D095,E056,215,18.689,48
D082,E056,120,8.629,27
D079,E057,282,40.684,28
D092,E057,88,3.843,26
D002,E057,167,17.178,30
D074,E058,52,3.103,26
D039,E058,220,32.464,47
D029,E058,278,48.696,28
D076,E060,281,20.028,21
D062,E060,185,12.091,29
D008,E060,89,4.39,28
D029,E061,82,13.849,28
D035,E061,283,42.768,26
D052,E061,176,21.934,15
D074,E062,93,6.0,26
D075,E062,203,7.292,23
D030,E062,229,7.011,42
D054,E064,187,8.537,23
D031,E064,101,14.8,33
D076,E064,202,30.603,21
D038,E067,266,25.446,49
D088,E067,190,23.715,41
D029,E069,238,36.337,28
D085,E069,74,8.514,33
D031,E071,67,9.642,33
D036,E071,71,8.122,44
D008,E072,114,18.501,28
D039,E072,123,17.458,47
D007,E072,162,10.461,12
D074,E073,72,5.197,26
D084,E073,158,13.101,19
D079,E073,108,14.988,28
D008,E078,153,9.595,28
D061,E078,85,13.392,10
D052,E078,51,4.104,15
D081,E083,113,6.42,50
D044,E083,87,11.569,39
D050,E083,296,35.178,10
D001,E084,274,46.0,32
D025,E084,144,20.499,44
D037,E084,161,22.528,26
D094,E086,165,20.263,24
D029,E086,220,13.153,28
D053,E087,212,30.794,30
D086,E087,201,19.956,35
D029,E087,203,24.111,28
D084,E094,176,20.353,19
D010,E094,117,10.612,40
D031,E096,129,11.786,33
D014,E096,143,12.234,42
