node_id,kind,label,region,gdp_per_capita,production,consumption
C080,country,AFR-080,Africa,19036,6845.0,16706.0
C081,country,AFR-081,Africa,12608,19857.0,5531.0
C082,country,AFR-082,Africa,7296,916636.0,8445.0
C083,country,AFR-083,Africa,10628,664572.0,367530.0
C084,country,AFR-084,Africa,9955,14690.0,36585.0
C085,country,AFR-085,Africa,36058,7439.0,21574.0
C086,country,AFR-086,Africa,27496,35534.0,19177.0
C087,country,AFR-087,Africa,19295,4854.0,21713.0
C088,country,AFR-088,Africa,18102,28435.0,16321.0
C089,country,AFR-089,Africa,24743,67103.0,30943.0
C090,country,AFR-090,Africa,23665,23353.0,26905.0
C091,country,AFR-091,Africa,14005,31199.0,24648.0
C092,country,AFR-092,Africa,39338,124329.0,38073.0
C093,country,AFR-093,Africa,13632,6479.0,78592.0
C094,country,AFR-094,Africa,22864,37353.0,5596.0
C095,country,AFR-095,Africa,28846,36311.0,9903.0
C096,country,AFR-096,Africa,16256,29439.0,28204.0
C097,country,MID-097,Middle East,32870,19656.0,21444.0
C098,country,MID-098,Middle East,36873,111151.0,5000.0
C099,country,MID-099,Middle East,33368,26747.0,35115.0
C100,country,MID-100,Middle East,32152,3189.0,36141.0
C101,country,MID-101,Middle East,51046,4076.0,58539.0
C102,country,MID-102,Middle East,32543,20590.0,10429.0
C103,country,MID-103,Middle East,32489,92046.0,45451.0
C104,country,MID-104,Middle East,51090,80431.0,39942.0
C105,country,MID-105,Middle East,51195,35700.0,56681.0
C106,country,MID-106,Middle East,32830,23699.0,14362.0
C107,country,MID-107,Middle East,44406,6026.0,54400.0
C108,country,MID-108,Middle East,33784,79887.0,52880.0
C109,country,MID-109,Middle East,51885,49210.0,6537.0
C110,country,MID-110,Middle East,34897,6068.0,16874.0
C111,country,MID-111,Middle East,49101,44413.0,14342.0
C112,country,MID-112,Middle East,26376,22835.0,9001.0
C113,country,ASI-113,Asia-Pacific,26459,31046.0,76098.0
C114,country,ASI-114,Asia-Pacific,37978,2000.0,35381.0
C115,country,ASI-115,Asia-Pacific,33148,34727.0,115219.0
C116,country,ASI-116,Asia-Pacific,13930,11496.0,45790.0
C117,country,ASI-117,Asia-Pacific,18265,111697.0,37478.0
C118,country,ASI-118,Asia-Pacific,40119,11754.0,55960.0
C119,country,ASI-119,Asia-Pacific,42116,28457.0,33222.0
C120,country,ASI-120,Asia-Pacific,34933,8521.0,23558.0
C121,country,ASI-121,Asia-Pacific,31127,33582.0,66161.0
C122,country,ASI-122,Asia-Pacific,22973,19197.0,102059.0
C123,country,ASI-123,Asia-Pacific,25807,8915.0,32276.0
C124,country,ASI-124,Asia-Pacific,40099,22305.0,88971.0
C125,country,ASI-125,Asia-Pacific,40211,55604.0,44298.0
C126,country,ASI-126,Asia-Pacific,53448,17577.0,5000.0
C127,country,ASI-127,Asia-Pacific,46938,13313.0,29646.0
C128,country,ASI-128,Asia-Pacific,44285,3780.0,8721.0
C129,country,ASI-129,Asia-Pacific,18088,9195.0,39962.0
C130,country,ASI-130,Asia-Pacific,37217,29849.0,7544.0
C131,country,ASI-131,Asia-Pacific,11709,23384.0,17596.0
C132,country,ASI-132,Asia-Pacific,36634,47674.0,30468.0
C133,country,ASI-133,Asia-Pacific,39341,28343.0,43350.0
C134,country,ASI-134,Asia-Pacific,26157,18078.0,32116.0
C135,country,ASI-135,Asia-Pacific,39884,14284.0,43004.0
C136,country,ASI-136,Asia-Pacific,30107,19355.0,56759.0
C137,country,ASI-137,Asia-Pacific,14562,5292.0,7087.0
C138,country,ASI-138,Asia-Pacific,11497,10445.0,52812.0
C139,country,ASI-139,Asia-Pacific,29936,27380.0,71704.0
C140,country,ASI-140,Asia-Pacific,44449,20413.0,90965.0
