node_id,kind,tier,system,safety_critical,single_source,supplier_region,defect_rate,cert_level,label
C3032,part,3,engine,0,0,,0.0245,DO-178C,Engine Component 032
C3033,part,3,fuselage,1,0,,0.0092,DO-178C,Fuselage Component 033
C3034,part,3,hydraulics,0,0,,0.0307,standard,Hydraulics Component 034
C3035,part,3,hydraulics,0,0,,0.0187,standard,Hydraulics Component 035
C3036,part,3,fuselage,0,0,,0.0084,DO-178C,Fuselage Component 036
C3037,part,3,landing_gear,0,0,,0.0215,standard,Landing_Gear Component 037
C3038,part,3,fuselage,0,0,,0.0244,standard,Fuselage Component 038
C3039,part,3,landing_gear,0,0,,0.0251,DO-178C,Landing_Gear Component 039
C3040,part,3,landing_gear,1,0,,0.001,DO-178C,Landing_Gear Component 040
C3041,part,3,fuselage,0,0,,0.001,standard,Fuselage Component 041
C3042,part,3,hydraulics,1,0,,0.0303,AS9100,Hydraulics Component 042
C3043,part,3,avionics,1,0,,0.0053,AS9100,Avionics Component 043
C3044,part,3,landing_gear,0,0,,0.0303,standard,Landing_Gear Component 044
C3045,part,3,engine,0,0,,0.0313,standard,Engine Component 045
C3046,part,3,avionics,0,0,,0.0081,standard,Avionics Component 046
C3047,part,3,interior,1,0,,0.0098,DO-178C,Interior Component 047
C3048,part,3,hydraulics,1,0,,0.0273,NADCAP,Hydraulics Component 048
C3049,part,3,interior,1,0,,0.016,DO-178C,Interior Component 049
C3050,part,3,avionics,0,0,,0.0329,DO-178C,Avionics Component 050
C3051,part,3,landing_gear,0,0,,0.036,standard,Landing_Gear Component 051
C3052,part,3,fuselage,0,0,,0.0084,DO-178C,Fuselage Component 052
C3053,part,3,interior,0,0,,0.012,standard,Interior Component 053
C3054,part,3,avionics,0,0,,0.0209,standard,Avionics Component 054
C3055,part,3,landing_gear,0,0,,0.001,DO-178C,Landing_Gear Component 055
C3056,part,3,landing_gear,0,0,,0.002,standard,Landing_Gear Component 056
C3057,part,3,avionics,1,0,,0.0109,AS9100,Avionics Component 057
C3058,part,3,engine,0,0,,0.04,standard,Engine Component 058
C3059,part,3,interior,0,0,,0.0225,standard,Interior Component 059
C3060,part,3,interior,0,0,,0.0135,standard,Interior Component 060
C3061,part,3,interior,0,0,,0.0098,standard,Interior Component 061
C3062,part,3,interior,0,0,,0.008,standard,Interior Component 062
C3063,part,3,fuselage,0,0,,0.0141,standard,Fuselage Component 063
C3064,part,3,avionics,0,0,,0.0136,DO-178C,Avionics Component 064
C3065,part,3,fuselage,1,0,,0.0626,DO-178C,Fuselage Component 065
C3066,part,3,fuselage,0,0,,0.0249,DO-178C,Fuselage Component 066
C3067,part,3,fuselage,0,0,,0.0191,standard,Fuselage Component 067
C3068,part,3,avionics,1,0,,0.028,DO-178C,Avionics Component 068
C3069,part,3,engine,0,0,,0.0169,DO-178C,Engine Component 069
C3070,part,3,engine,1,0,,0.037,DO-178C,Engine Component 070
C3071,part,3,hydraulics,0,0,,0.0727,DO-178C,Hydraulics Component 071
C3072,part,3,avionics,0,0,,0.0222,DO-178C,Avionics Component 072
C3073,part,3,engine,0,0,,0.0249,standard,Engine Component 073
C3074,part,3,avionics,0,0,,0.0144,standard,Avionics Component 074
C3075,part,3,avionics,0,0,,0.0175,standard,Avionics Component 075
C3076,part,3,interior,1,0,,0.0171,DO-178C,Interior Component 076
C3077,part,3,interior,1,0,,0.0123,DO-178C,Interior Component 077
C3078,part,3,engine,1,0,,0.0064,NADCAP,Engine Component 078
C3079,part,3,engine,1,0,,0.0255,AS9100,Engine Component 079
C3080,part,3,hydraulics,0,0,,0.0297,standard,Hydraulics Component 080
C3081,part,3,interior,0,0,,0.0239,standard,Interior Component 081
C3082,part,3,hydraulics,1,0,,0.0191,DO-178C,Hydraulics Component 082
C3083,part,3,interior,1,0,,0.0421,NADCAP,Interior Component 083
C3084,part,3,hydraulics,0,0,,0.0133,standard,Hydraulics Component 084
C3085,part,3,hydraulics,1,0,,0.0225,DO-178C,Hydraulics Component 085
C3086,part,3,engine,0,0,,0.0312,DO-178C,Engine Component 086
C3087,part,3,engine,0,0,,0.0089,standard,Engine Component 087
C3088,part,3,fuselage,0,0,,0.0263,standard,Fuselage Component 088
C3089,part,3,landing_gear,1,0,,0.0378,NADCAP,Landing_Gear Component 089
C3090,part,3,landing_gear,0,0,,0.0199,standard,Landing_Gear Component 090
C3091,part,3,interior,1,0,,0.0216,DO-178C,Interior Component 091
C3092,part,3,interior,0,0,,0.0134,standard,Interior Component 092
C3093,part,3,engine,1,0,,0.0248,DO-178C,Engine Component 093
C3094,part,3,landing_gear,1,0,,0.0121,AS9100,Landing_Gear Component 094
C3095,part,3,hydraulics,0,0,,0.0643,standard,Hydraulics Component 095
C3096,part,3,fuselage,0,0,,0.0053,DO-178C,Fuselage Component 096
C3097,part,3,avionics,0,0,,0.001,standard,Avionics Component 097
C3098,part,3,interior,0,0,,0.0152,standard,Interior Component 098
C3099,part,3,landing_gear,1,0,,0.0151,DO-178C,Landing_Gear Component 099
C3100,part,3,hydraulics,1,0,,0.016,DO-178C,Hydraulics Component 100
C3101,part,3,avionics,1,0,,0.0274,NADCAP,Avionics Component 101
C3102,part,3,hydraulics,1,0,,0.03,NADCAP,Hydraulics Component 102
C3103,part,3,fuselage,0,0,,0.0229,standard,Fuselage Component 103
C3104,part,3,landing_gear,0,0,,0.0266,standard,Landing_Gear Component 104
C3105,part,3,hydraulics,0,0,,0.0124,standard,Hydraulics Component 105
C3106,part,3,landing_gear,0,0,,0.0101,standard,Landing_Gear Component 106
C3107,part,3,interior,0,0,,0.07,standard,Interior Component 107
C3108,part,3,fuselage,0,0,,0.0088,DO-178C,Fuselage Component 108
C3109,part,3,avionics,1,0,,0.0078,AS9100,Avionics Component 109
C3110,part,3,fuselage,1,0,,0.0486,DO-178C,Fuselage Component 110
C4001,part,4,interior,0,1,,0.0245,standard,Fastener 001
C4002,part,4,hydraulics,1,0,,0.0191,DO-178C,Seal 002
C4003,part,4,fuselage,0,1,,0.018,standard,Fitting 003
C4004,part,4,engine,1,1,,0.0095,NADCAP,Bushing 004
C4005,part,4,landing_gear,0,1,,0.0267,standard,O_Ring 005
C4006,part,4,engine,1,1,,0.0209,AS9100,Bolt 006
C4007,part,4,hydraulics,0,1,,0.0336,DO-178C,Rivet 007
C4008,part,4,engine,0,0,,0.0293,DO-178C,Fastener 008
C4009,part,4,hydraulics,0,0,,0.0206,DO-178C,Seal 009
C4010,part,4,fuselage,0,0,,0.0042,DO-178C,Fitting 010
C4011,part,4,landing_gear,0,1,,0.0246,DO-178C,Bushing 011
C4012,part,4,engine,0,0,,0.0237,standard,O_Ring 012
C4013,part,4,interior,1,1,,0.0024,DO-178C,Bolt 013
C4014,part,4,fuselage,0,1,,0.0281,DO-178C,Rivet 014
C4015,part,4,engine,1,0,,0.0575,DO-178C,Fastener 015
C4016,part,4,interior,1,0,,0.0342,DO-178C,Seal 016
C4017,part,4,hydraulics,0,0,,0.023,standard,Fitting 017
C4018,part,4,interior,0,0,,0.0177,standard,Bushing 018
C4019,part,4,landing_gear,1,0,,0.026,DO-178C,O_Ring 019
C4020,part,4,hydraulics,0,0,,0.0253,standard,Bolt 020
C4021,part,4,interior,0,0,,0.0249,standard,Rivet 021
C4022,part,4,fuselage,0,1,,0.0327,standard,Fastener 022
C4023,part,4,fuselage,0,1,,0.0059,standard,Seal 023
C4024,part,4,fuselage,0,1,,0.0266,DO-178C,Fitting 024
C4025,part,4,hydraulics,0,0,,0.0619,DO-178C,Bushing 025
C4026,part,4,avionics,0,0,,0.0662,standard,O_Ring 026
C4027,part,4,hydraulics,0,1,,0.038,standard,Bolt 027
C4028,part,4,interior,0,0,,0.016,DO-178C,Rivet 028
C4029,part,4,fuselage,0,0,,0.0279,DO-178C,Fastener 029
C4030,part,4,landing_gear,0,1,,0.0331,DO-178C,Seal 030
C4031,part,4,avionics,0,0,,0.0289,standard,Fitting 031
C4032,part,4,hydraulics,0,1,,0.0246,DO-178C,Bushing 032
C4033,part,4,interior,1,0,,0.0262,DO-178C,O_Ring 033
C4034,part,4,landing_gear,1,0,,0.0296,DO-178C,Bolt 034
C4035,part,4,hydraulics,0,0,,0.0159,DO-178C,Rivet 035
C4036,part,4,engine,0,0,,0.0687,DO-178C,Fastener 036
C4037,part,4,interior,0,1,,0.0461,standard,Seal 037
C4038,part,4,hydraulics,0,1,,0.0282,standard,Fitting 038
C4039,part,4,landing_gear,0,0,,0.025,standard,Bushing 039
C4040,part,4,landing_gear,0,0,,0.0202,standard,O_Ring 040
C4041,part,4,hydraulics,0,0,,0.016,DO-178C,Bolt 041
C4042,part,4,landing_gear,0,0,,0.0265,DO-178C,Rivet 042
C4043,part,4,engine,1,1,,0.0272,DO-178C,Fastener 043
C4044,part,4,interior,1,0,,0.0231,DO-178C,Seal 044
C4045,part,4,hydraulics,0,0,,0.051,standard,Fitting 045
C4046,part,4,fuselage,0,0,,0.0168,DO-178C,Bushing 046
C4047,part,4,hydraulics,0,1,,0.0146,standard,O_Ring 047
C4048,part,4,hydraulics,0,1,,0.0204,standard,Bolt 048
C4049,part,4,interior,0,1,,0.0234,standard,Rivet 049
C4050,part,4,engine,0,0,,0.0155,standard,Fastener 050
C4051,part,4,avionics,0,0,,0.0262,DO-178C,Seal 051
C4052,part,4,landing_gear,0,1,,0.0723,standard,Fitting 052
C4053,part,4,landing_gear,0,0,,0.0308,standard,Bushing 053
C4054,part,4,interior,1,0,,0.0188,AS9100,O_Ring 054
C4055,part,4,interior,1,0,,0.037,DO-178C,Bolt 055
C4056,part,4,landing_gear,0,1,,0.03,DO-178C,Rivet 056
C4057,part,4,engine,0,1,,0.0521,standard,Fastener 057
C4058,part,4,fuselage,0,1,,0.0166,standard,Seal 058
C4059,part,4,engine,0,0,,0.0155,standard,Fitting 059
C4060,part,4,avionics,1,0,,0.021,AS9100,Bushing 060
C4061,part,4,engine,0,0,,0.0274,DO-178C,O_Ring 061
C4062,part,4,interior,1,0,,0.0288,AS9100,Bolt 062
C4063,part,4,engine,0,1,,0.03,standard,Rivet 063
C4064,part,4,landing_gear,0,1,,0.0452,standard,Fastener 064
C4065,part,4,avionics,1,0,,0.0504,DO-178C,Seal 065
C4066,part,4,avionics,0,0,,0.0066,standard,Fitting 066
C4067,part,4,avionics,1,1,,0.0228,DO-178C,Bushing 067
C4068,part,4,landing_gear,1,0,,0.0441,DO-178C,O_Ring 068
C4069,part,4,interior,0,0,,0.0313,DO-178C,Bolt 069
C4070,part,4,hydraulics,1,0,,0.014,AS9100,Rivet 070
S001,supplier,,,0,0,USA,0.0095,,Supplier 001 (China)
S002,supplier,,,0,0,Mexico,0.0165,,Supplier 002 (Mexico)
S003,supplier,,,0,0,Japan,0.0187,,Supplier 003 (Japan)
S004,supplier,,,0,0,Mexico,0.0266,,Supplier 004 (Mexico)
S005,supplier,,,0,0,USA,0.0195,,Supplier 005 (USA)
S006,supplier,,,0,0,USA,0.0301,,Supplier 006 (USA)
S007,supplier,,,0,0,USA,0.0273,,Supplier 007 (USA)
S008,supplier,,,0,0,Europe,0.018,,Supplier 008 (Europe)
S009,supplier,,,0,0,Mexico,0.0235,,Supplier 009 (Mexico)
S010,supplier,,,0,0,Japan,0.0239,,Supplier 010 (Japan)
S011,supplier,,,0,0,China,0.0661,,Supplier 011 (China)
S012,supplier,,,0,0,USA,0.0172,,Supplier 012 (USA)
S013,supplier,,,0,0,Mexico,0.0201,,Supplier 013 (Mexico)
S014,supplier,,,0,0,USA,0.0167,,Supplier 014 (USA)
S015,supplier,,,0,0,USA,0.0208,,Supplier 015 (USA)
S016,supplier,,,0,0,Japan,0.0265,,Supplier 016 (Japan)
S017,supplier,,,0,0,India,0.0245,,Supplier 017 (India)
S018,supplier,,,0,0,Japan,0.0164,,Supplier 018 (Japan)
S019,supplier,,,0,0,USA,0.0354,,Supplier 019 (USA)
S020,supplier,,,0,0,Japan,0.0228,,Supplier 020 (Japan)
S021,supplier,,,0,0,USA,0.0164,,Supplier 021 (USA)
S022,supplier,,,0,0,China,0.0633,,Supplier 022 (China)
S023,supplier,,,0,0,Japan,0.0261,,Supplier 023 (Japan)
S024,supplier,,,0,0,USA,0.0244,,Supplier 024 (USA)
S025,supplier,,,0,0,USA,0.0242,,Supplier 025 (USA)
S026,supplier,,,0,0,USA,0.0157,,Supplier 026 (USA)
S027,supplier,,,0,0,India,0.0264,,Supplier 027 (India)
S028,supplier,,,0,0,Europe,0.0203,,Supplier 028 (Europe)
S029,supplier,,,0,0,Mexico,0.0161,,Supplier 029 (Mexico)
S030,supplier,,,0,0,Japan,0.0209,,Supplier 030 (Japan)
S031,supplier,,,0,0,Europe,0.0271,,Supplier 031 (Europe)
S032,supplier,,,0,0,USA,0.0159,,Supplier 032 (USA)
S033,supplier,,,0,0,India,0.0208,,Supplier 033 (India)
S034,supplier,,,0,0,USA,0.0158,,Supplier 034 (USA)
S035,supplier,,,0,0,Europe,0.0189,,Supplier 035 (Europe)
S036,supplier,,,0,0,Japan,0.0187,,Supplier 036 (Japan)
S037,supplier,,,0,0,Japan,0.0185,,Supplier 037 (Japan)
S038,supplier,,,0,0,India,0.0162,,Supplier 038 (India)
S039,supplier,,,0,0,USA,0.016,,Supplier 039 (USA)
S040,supplier,,,0,0,Europe,0.0165,,Supplier 040 (Europe)
S041,supplier,,,0,0,Europe,0.0244,,Supplier 041 (Europe)
S042,supplier,,,0,0,Europe,0.0236,,Supplier 042 (Europe)
