from_id,to_id,qty_per_aircraft,relation
C3031,A2052,2,is_part_of
C3031,A2012,6,is_part_of
C3032,A2045,7,is_part_of
C3032,A2026,11,is_part_of
C3033,A2060,11,is_part_of
C3033,A2025,2,is_part_of
C3034,A2038,9,is_part_of
C3035,A2032,1,is_part_of
C3035,A2034,2,is_part_of
C3036,A2008,6,is_part_of
C3037,A2046,11,is_part_of
C3037,A2039,10,is_part_of
C3038,A2024,11,is_part_of
C3039,A2029,1,is_part_of
C3040,A2010,7,is_part_of
C3040,A2039,6,is_part_of
C3041,A2057,10,is_part_of
C3041,A2019,3,is_part_of
C3042,A2004,5,is_part_of
C3043,A2033,11,is_part_of
C3043,A2012,8,is_part_of
C3044,A2040,1,is_part_of
C3044,A2054,10,is_part_of
C3045,A2043,5,is_part_of
C3045,A2026,1,is_part_of
C3046,A2012,3,is_part_of
C3046,A2052,10,is_part_of
C3047,A2007,11,is_part_of
C3048,A2009,1,is_part_of
C3048,A2032,9,is_part_of
C3049,A2049,10,is_part_of
C3050,A2012,5,is_part_of
C3050,A2033,10,is_part_of
C3051,A2029,10,is_part_of
C3051,A2046,4,is_part_of
C3052,A2031,2,is_part_of
C3052,A2041,4,is_part_of
C3053,A2051,8,is_part_of
C3053,A2050,1,is_part_of
C3054,A2012,5,is_part_of
C3054,A2033,9,is_part_of
C3055,A2040,9,is_part_of
C3055,A2046,5,is_part_of
C3056,A2010,3,is_part_of
C3056,A2054,11,is_part_of
C3057,A2033,1,is_part_of
C3057,A2052,5,is_part_of
C3058,A2058,3,is_part_of
C3059,A2021,2,is_part_of
C3060,A2021,1,is_part_of
C3061,A2021,3,is_part_of
C3062,A2021,11,is_part_of
C3062,A2007,7,is_part_of
C3063,A2031,10,is_part_of
C3063,A2024,11,is_part_of
C3064,A2033,11,is_part_of
C3064,A2052,4,is_part_of
C3065,A2057,5,is_part_of
C3066,A2041,4,is_part_of
C3067,A2056,11,is_part_of
C3067,A2024,9,is_part_of
C3068,A2033,7,is_part_of
C3069,A2001,3,is_part_of
C3069,A2020,4,is_part_of
C3070,A2003,2,is_part_of
C3071,A2042,1,is_part_of
C3072,A2012,7,is_part_of
C3073,A2053,7,is_part_of
C3074,A2033,6,is_part_of
C3074,A2052,11,is_part_of
C3075,A2052,9,is_part_of
C3075,A2033,8,is_part_of
C3076,A2050,3,is_part_of
C3076,A2013,2,is_part_of
C3077,A2007,8,is_part_of
C3077,A2013,4,is_part_of
C3078,A2045,5,is_part_of
C3078,A2036,2,is_part_of
C3079,A2058,11,is_part_of
C3080,A2014,1,is_part_of
C3080,A2004,3,is_part_of
C3081,A2051,3,is_part_of
C3081,A2007,6,is_part_of
C3082,A2002,10,is_part_of
C3082,A2014,2,is_part_of
C3083,A2050,10,is_part_of
C3083,A2021,8,is_part_of
C3084,A2006,11,is_part_of
C3085,A2022,5,is_part_of
C3086,A2026,2,is_part_of
C3087,A2020,2,is_part_of
C3088,A2056,2,is_part_of
C3089,A2010,6,is_part_of
C3090,A2039,1,is_part_of
C3091,A2021,5,is_part_of
C3092,A2049,6,is_part_of
C3092,A2023,3,is_part_of
C3093,A2020,7,is_part_of
C3094,A2054,6,is_part_of
C3095,A2015,9,is_part_of
C3095,A2032,4,is_part_of
C3096,A2057,6,is_part_of
C3097,A2033,6,is_part_of
C3098,A2013,7,is_part_of
C3098,A2049,1,is_part_of
C3099,A2010,1,is_part_of
C3100,A2004,3,is_part_of
C3100,A2002,9,is_part_of
C3101,A2012,2,is_part_of
C3102,A2022,1,is_part_of
C3102,A2030,7,is_part_of
C3103,A2041,8,is_part_of
C3104,A2010,10,is_part_of
C3104,A2029,6,is_part_of
C3105,A2018,9,is_part_of
C3105,A2006,11,is_part_of
C3106,A2054,11,is_part_of
C3106,A2027,7,is_part_of
C3107,A2051,7,is_part_of
C3108,A2011,9,is_part_of
C3108,A2057,9,is_part_of
C3109,A2012,7,is_part_of
C3110,A2047,3,is_part_of
C3110,A2011,6,is_part_of
C4001,C3076,4,is_part_of
C4001,C3053,34,is_part_of
C4002,C3085,15,is_part_of
C4003,C3067,27,is_part_of
C4003,C3004,29,is_part_of
C4004,C3021,6,is_part_of
C4004,C3070,35,is_part_of
C4004,C3078,7,is_part_of
C4005,C3030,7,is_part_of
C4005,C3022,27,is_part_of
C4006,C3079,39,is_part_of
C4006,C3002,12,is_part_of
C4006,C3013,2,is_part_of
C4007,C3012,16,is_part_of
C4007,C3105,6,is_part_of
C4007,C3071,23,is_part_of
C4008,C3045,25,is_part_of
C4008,C3003,8,is_part_of
C4008,C3086,12,is_part_of
C4009,C3048,15,is_part_of
C4009,C3082,27,is_part_of
C4009,C3012,39,is_part_of
C4010,C3006,10,is_part_of
C4010,C3009,34,is_part_of
C4010,C3004,35,is_part_of
C4011,C3106,21,is_part_of
C4011,C3055,17,is_part_of
C4011,C3030,30,is_part_of
C4012,C3079,30,is_part_of
C4012,C3058,29,is_part_of
C4012,C3073,39,is_part_of
C4013,C3060,37,is_part_of
C4014,C3004,32,is_part_of
C4014,C3103,15,is_part_of
C4015,C3045,5,is_part_of
C4015,C3093,31,is_part_of
C4016,C3059,7,is_part_of
C4016,C3076,15,is_part_of
C4016,C3029,38,is_part_of
C4017,C3023,27,is_part_of
C4018,C3098,34,is_part_of
C4019,C3028,35,is_part_of
C4019,C3094,29,is_part_of
C4019,C3030,26,is_part_of
C4020,C3048,30,is_part_of
C4020,C3080,26,is_part_of
C4020,C3042,29,is_part_of
C4021,C3083,18,is_part_of
C4021,C3107,5,is_part_of
C4022,C3096,21,is_part_of
C4022,C3066,5,is_part_of
C4022,C3103,2,is_part_of
C4023,C3038,30,is_part_of
C4024,C3004,39,is_part_of
C4024,C3019,16,is_part_of
C4025,C3102,25,is_part_of
C4025,C3082,14,is_part_of
C4025,C3100,15,is_part_of
C4026,C3057,17,is_part_of
C4026,C3054,2,is_part_of
C4027,C3080,19,is_part_of
C4027,C3102,4,is_part_of
C4028,C3059,16,is_part_of
C4029,C3088,14,is_part_of
C4029,C3036,8,is_part_of
C4030,C3089,3,is_part_of
C4031,C3010,11,is_part_of
C4031,C3109,9,is_part_of
C4032,C3071,30,is_part_of
C4033,C3059,20,is_part_of
C4033,C3091,9,is_part_of
C4034,C3044,19,is_part_of
C4034,C3051,11,is_part_of
C4034,C3022,6,is_part_of
C4035,C3012,20,is_part_of
C4036,C3093,11,is_part_of
C4037,C3077,6,is_part_of
C4037,C3061,10,is_part_of
C4038,C3020,13,is_part_of
C4039,C3090,13,is_part_of
C4040,C3089,39,is_part_of
C4040,C3099,15,is_part_of
C4040,C3017,38,is_part_of
C4041,C3042,37,is_part_of
C4041,C3015,13,is_part_of
C4042,C3051,18,is_part_of
C4043,C3086,34,is_part_of
C4044,C3107,5,is_part_of
C4044,C3062,11,is_part_of
C4044,C3059,19,is_part_of
C4045,C3015,34,is_part_of
C4046,C3063,30,is_part_of
C4046,C3052,13,is_part_of
C4047,C3042,3,is_part_of
C4047,C3095,31,is_part_of
C4047,C3035,3,is_part_of
C4048,C3082,37,is_part_of
C4049,C3029,29,is_part_of
C4049,C3049,5,is_part_of
C4050,C3014,25,is_part_of
C4050,C3013,8,is_part_of
C4051,C3011,9,is_part_of
C4051,C3043,11,is_part_of
C4052,C3056,30,is_part_of
C4052,C3099,14,is_part_of
C4052,C3022,22,is_part_of
C4053,C3030,11,is_part_of
C4053,C3089,13,is_part_of
C4054,C3001,37,is_part_of
C4055,C3092,2,is_part_of
C4056,C3106,22,is_part_of
C4056,C3037,16,is_part_of
C4056,C3044,22,is_part_of
C4057,C3013,8,is_part_of
C4057,C3045,38,is_part_of
C4057,C3032,5,is_part_of
C4058,C3110,8,is_part_of
C4058,C3088,16,is_part_of
C4059,C3014,11,is_part_of
C4059,C3087,35,is_part_of
C4060,C3031,6,is_part_of
C4061,C3087,2,is_part_of
C4062,C3098,25,is_part_of
C4063,C3058,38,is_part_of
C4064,C3044,9,is_part_of
C4064,C3051,33,is_part_of
C4065,C3074,19,is_part_of
C4065,C3016,33,is_part_of
C4065,C3075,7,is_part_of
C4066,C3031,37,is_part_of
C4066,C3075,15,is_part_of
C4066,C3064,4,is_part_of
C4067,C3057,32,is_part_of
C4067,C3101,33,is_part_of
C4067,C3011,10,is_part_of
C4068,C3104,22,is_part_of
C4069,C3049,2,is_part_of
C4069,C3077,23,is_part_of
C4070,C3102,19,is_part_of
C4070,C3100,32,is_part_of
C4070,C3034,6,is_part_of
S034,A101,13,supplies
S010,A102,18,supplies
S020,A103,14,supplies
S016,A104,13,supplies
S007,A105,19,supplies
S022,A105,10,supplies
S018,A106,2,supplies
S027,A107,19,supplies
S030,A107,9,supplies
S033,A108,19,supplies
S032,A108,9,supplies
S011,A109,7,supplies
S024,A109,19,supplies
S032,A110,15,supplies
S038,A111,11,supplies
S026,A112,18,supplies
S024,A112,7,supplies
S042,A113,14,supplies
S020,A113,8,supplies
S014,A114,3,supplies
S017,A115,13,supplies
S030,A116,1,supplies
S032,A116,17,supplies
S017,A117,4,supplies
S042,A118,18,supplies
S033,A118,13,supplies
S038,A2001,6,supplies
S015,A2002,6,supplies
S038,A2003,4,supplies
S039,A2003,19,supplies
S025,A2004,12,supplies
S034,A2004,12,supplies
S016,A2005,12,supplies
S021,A2007,14,supplies
S025,A2008,8,supplies
S028,A2009,9,supplies
S040,A2009,4,supplies
S017,A2010,17,supplies
S039,A2010,11,supplies
S021,A2011,13,supplies
S035,A2012,5,supplies
S042,A2013,17,supplies
S040,A2013,18,supplies
S041,A2014,5,supplies
S042,A2014,15,supplies
S028,A2015,9,supplies
S028,A2016,13,supplies
S016,A2017,5,supplies
S020,A2018,5,supplies
S018,A2018,13,supplies
S026,A2019,7,supplies
S035,A2019,1,supplies
S022,A2020,16,supplies
S013,A2021,15,supplies
S010,A2021,12,supplies
S009,A2022,9,supplies
S042,A2023,18,supplies
S010,A2024,8,supplies
S027,A2025,13,supplies
S016,A2025,2,supplies
S027,A2026,16,supplies
S023,A2027,17,supplies
S021,A2028,16,supplies
S009,A2028,11,supplies
S011,A2029,10,supplies
S025,A2030,16,supplies
S016,A2030,13,supplies
S042,A2031,10,supplies
S005,A2031,3,supplies
S008,A2032,7,supplies
S009,A2032,7,supplies
S011,A2033,9,supplies
S019,A2034,13,supplies
S017,A2035,15,supplies
S038,A2036,8,supplies
S036,A2036,8,supplies
S016,A2037,4,supplies
S032,A2037,10,supplies
S014,A2038,17,supplies
S010,A2038,18,supplies
S008,A2039,6,supplies
S025,A2040,10,supplies
S007,A2041,2,supplies
S008,A2042,7,supplies
S021,A2042,13,supplies
S011,A2043,3,supplies
S017,A2043,2,supplies
S036,A2044,9,supplies
S026,A2044,16,supplies
S021,A2045,8,supplies
S014,A2046,15,supplies
S026,A2046,4,supplies
S032,A2047,6,supplies
S023,A2047,7,supplies
S028,A2048,4,supplies
S040,A2049,2,supplies
S009,A2049,7,supplies
S011,A2050,1,supplies
S036,A2051,14,supplies
S042,A2052,19,supplies
S029,A2053,18,supplies
S019,A2054,19,supplies
S041,A2054,17,supplies
S028,A2055,5,supplies
S015,A2056,14,supplies
S040,A2056,1,supplies
S025,A2057,8,supplies
S019,A2057,14,supplies
S025,A2058,1,supplies
S018,A2059,5,supplies
S023,A2059,6,supplies
S020,A2060,7,supplies
S008,A2060,11,supplies
S033,C3001,6,supplies
S016,C3002,11,supplies
S011,C3002,13,supplies
S030,C3003,7,supplies
S005,C3004,12,supplies
S034,C3005,16,supplies
S038,C3005,17,supplies
S036,C3006,10,supplies
S007,C3007,5,supplies
S022,C3007,10,supplies
S021,C3011,2,supplies
S011,C3012,7,supplies
S009,C3012,7,supplies
S024,C3013,7,supplies
S040,C3014,12,supplies
S035,C3015,17,supplies
S030,C3016,3,supplies
S008,C3016,1,supplies
S020,C3017,4,supplies
S009,C3017,17,supplies
S008,C3018,10,supplies
S036,C3018,3,supplies
S042,C3019,4,supplies
S020,C3020,9,supplies
S040,C3021,18,supplies
S039,C3021,4,supplies
S017,C3022,10,supplies
S023,C3022,6,supplies
S041,C3023,16,supplies
S022,C3024,13,supplies
S019,C3024,7,supplies
S042,C3025,2,supplies
S006,C3026,7,supplies
S027,C3026,13,supplies
S020,C3027,16,supplies
S028,C3028,14,supplies
S035,C3028,8,supplies
S015,C3029,9,supplies
S022,C3030,13,supplies
S019,C3030,7,supplies
S026,C3031,19,supplies
S018,C3032,11,supplies
S008,C3033,10,supplies
S032,C3034,17,supplies
S012,C3035,11,supplies
S033,C3035,5,supplies
S042,C3036,12,supplies
S040,C3036,2,supplies
S030,C3037,13,supplies
S040,C3038,2,supplies
S042,C3039,12,supplies
S039,C3039,1,supplies
S026,C3040,1,supplies
S038,C3040,7,supplies
S014,C3041,4,supplies
S032,C3041,9,supplies
S026,C3042,15,supplies
S038,C3043,17,supplies
S037,C3044,11,supplies
S030,C3045,4,supplies
S023,C3046,11,supplies
S010,C3046,5,supplies
S040,C3047,17,supplies
S035,C3047,4,supplies
S040,C3048,8,supplies
S038,C3048,3,supplies
S024,C3049,5,supplies
S008,C3049,11,supplies
S031,C3050,9,supplies
S028,C3050,18,supplies
S019,C3051,3,supplies
S009,C3052,2,supplies
S013,C3052,6,supplies
S032,C3053,17,supplies
S040,C3054,10,supplies
S021,C3055,14,supplies
S028,C3056,13,supplies
S035,C3057,12,supplies
S027,C3058,9,supplies
S013,C3059,3,supplies
S039,C3059,11,supplies
S012,C3060,4,supplies
S012,C3061,5,supplies
S008,C3061,16,supplies
S014,C3062,13,supplies
S008,C3062,19,supplies
S018,C3063,3,supplies
S037,C3063,9,supplies
S012,C3064,11,supplies
S022,C3065,1,supplies
S041,C3065,4,supplies
S031,C3066,10,supplies
S039,C3067,6,supplies
S042,C3068,6,supplies
S039,C3068,2,supplies
S039,C3069,11,supplies
S010,C3069,2,supplies
S031,C3070,16,supplies
S038,C3070,9,supplies
S011,C3071,19,supplies
S035,C3072,4,supplies
S012,C3073,19,supplies
S030,C3074,17,supplies
S036,C3075,19,supplies
S025,C3075,12,supplies
S028,C3076,18,supplies
S036,C3076,16,supplies
S019,C3077,18,supplies
S025,C3077,5,supplies
S034,C3078,9,supplies
S040,C3078,9,supplies
S015,C3079,7,supplies
S009,C3080,2,supplies
S026,C3081,15,supplies
S012,C3082,18,supplies
S006,C3083,3,supplies
S008,C3083,17,supplies
S036,C3084,8,supplies
S012,C3084,10,supplies
S042,C3085,5,supplies
S037,C3085,11,supplies
S006,C3086,18,supplies
S007,C3087,3,supplies
S026,C3088,13,supplies
S014,C3088,12,supplies
S024,C3089,16,supplies
S029,C3090,19,supplies
S037,C3090,3,supplies
S018,C3091,9,supplies
S013,C3092,12,supplies
S040,C3093,7,supplies
S021,C3094,12,supplies
S033,C3094,7,supplies
S030,C3095,9,supplies
S011,C3095,16,supplies
S039,C3096,14,supplies
S013,C3096,18,supplies
S036,C3097,3,supplies
S025,C3098,10,supplies
S021,C3099,19,supplies
S039,C3099,2,supplies
S023,C3100,18,supplies
S021,C3101,14,supplies
S027,C3102,14,supplies
S029,C3103,12,supplies
S042,C3104,10,supplies
S039,C3105,14,supplies
S007,C3106,15,supplies
S032,C3106,15,supplies
S022,C3107,13,supplies
S028,C3108,7,supplies
S033,C3108,9,supplies
S029,C3109,14,supplies
S040,C3109,8,supplies
S028,C3110,16,supplies
S032,C4001,9,supplies
S006,C4001,11,supplies
S018,C4002,8,supplies
S012,C4002,4,supplies
S033,C4003,17,supplies
S009,C4003,14,supplies
S041,C4005,6,supplies
S012,C4006,7,supplies
S024,C4007,4,supplies
S032,C4007,14,supplies
S033,C4008,7,supplies
S035,C4009,3,supplies
S014,C4010,6,supplies
S031,C4011,11,supplies
S007,C4012,10,supplies
S010,C4012,5,supplies
S033,C4013,4,supplies
S009,C4013,9,supplies
S014,C4014,7,supplies
S015,C4014,4,supplies
S011,C4015,7,supplies
S019,C4016,18,supplies
S033,C4017,4,supplies
S015,C4018,1,supplies
S021,C4019,17,supplies
S019,C4020,11,supplies
S018,C4021,12,supplies
S033,C4021,13,supplies
S042,C4022,12,supplies
S028,C4022,9,supplies
S037,C4023,7,supplies
S024,C4023,9,supplies
S031,C4024,1,supplies
S022,C4025,10,supplies
S022,C4026,11,supplies
S028,C4027,3,supplies
S036,C4027,14,supplies
S013,C4028,15,supplies
S007,C4028,19,supplies
S038,C4029,6,supplies
S009,C4029,3,supplies
S020,C4030,16,supplies
S021,C4031,19,supplies
S027,C4031,11,supplies
S013,C4032,4,supplies
S033,C4033,2,supplies
S020,C4034,16,supplies
S033,C4034,1,supplies
S030,C4035,15,supplies
S042,C4036,18,supplies
S011,C4036,18,supplies
S016,C4037,13,supplies
S020,C4038,6,supplies
S013,C4038,7,supplies
S041,C4039,1,supplies
S021,C4040,14,supplies
S014,C4041,11,supplies
S028,C4041,8,supplies
S036,C4042,1,supplies
S013,C4042,11,supplies
S038,C4043,4,supplies
S026,C4043,4,supplies
S031,C4044,2,supplies
S035,C4044,3,supplies
S010,C4045,5,supplies
S019,C4045,4,supplies
S026,C4046,8,supplies
S033,C4047,17,supplies
S031,C4048,19,supplies
S032,C4048,4,supplies
S020,C4049,5,supplies
S040,C4050,19,supplies
S041,C4051,8,supplies
S032,C4051,9,supplies
S011,C4052,4,supplies
S014,C4053,6,supplies
S012,C4054,16,supplies
S039,C4054,13,supplies
S015,C4055,3,supplies
S014,C4056,1,supplies
S040,C4057,18,supplies
S029,C4058,5,supplies
S013,C4058,1,supplies
S034,C4059,13,supplies
S013,C4060,18,supplies
S010,C4060,12,supplies
S007,C4061,10,supplies
S036,C4061,1,supplies
S016,C4062,12,supplies
S025,C4062,11,supplies
S033,C4063,3,supplies
S033,C4064,19,supplies
S009,C4064,9,supplies
S011,C4065,15,supplies
S025,C4065,1,supplies
S028,C4066,9,supplies
S035,C4066,3,supplies
S016,C4067,10,supplies
S023,C4068,8,supplies
S027,C4068,16,supplies
S035,C4069,15,supplies
S034,C4069,14,supplies
S014,C4070,4,supplies
S024,C4070,7,supplies
S001,C4004,120,supplies
C4004,C3083,22,is_part_of
C3083,A2029,1,is_part_of
A2029,A118,1,is_part_of
C4004,C3102,10,is_part_of
C3102,A2036,3,is_part_of
A2036,A112,3,is_part_of
C4004,C3001,10,is_part_of
C3001,A2018,3,is_part_of
A2018,A115,2,is_part_of
C4004,C3078,16,is_part_of
C3078,A2037,5,is_part_of
A2037,A109,3,is_part_of
C4004,C3101,25,is_part_of
C3101,A2019,2,is_part_of
A2019,A114,1,is_part_of
C4004,C3089,15,is_part_of
C3089,A2015,4,is_part_of
A2015,A106,2,is_part_of
C4004,C3048,28,is_part_of
C3048,A2050,5,is_part_of
A2050,A101,2,is_part_of
S002,A2006,4,supplies
S003,A2006,4,supplies
S004,C3008,16,supplies
C3008,C3009,6,is_part_of
C3008,C3010,6,is_part_of
C3009,A2006,2,is_part_of
C3010,A2006,2,is_part_of
S002,C3009,3,supplies
S003,C3010,3,supplies
