node_id,label,district,x,y,population,median_income,jobs,has_metro
N034,NorthWest 034,NorthWest,-1.522,0.943,2614,130999,23358,1
N035,NorthWest 035,NorthWest,-1.705,0.755,6933,84262,22747,1
N036,West 036,West,-1.843,0.147,10800,91991,19395,1
N037,West 037,West,-1.623,-0.656,7111,70826,18737,1
N038,SouthWest 038,SouthWest,-1.602,-0.77,8961,76949,17079,1
N039,SouthWest 039,SouthWest,-1.388,-1.427,7225,94676,12951,1
N040,SouthWest 040,SouthWest,-0.825,-1.886,8048,83659,11577,1
N041,South 041,South,-0.179,-1.839,6817,70714,16291,1
N042,South 042,South,0.391,-1.668,6472,68431,19249,1
N043,South 043,South,0.486,-1.598,5502,80329,21483,1
N044,SouthEast 044,SouthEast,1.316,-1.341,7588,64710,15967,1
N045,SouthEast 045,SouthEast,1.495,-1.174,5693,70512,14239,1
N046,East 046,East,1.865,-0.751,8111,80344,13152,1
N047,East 047,East,2.733,-0.041,9681,83123,4543,1
N048,East 048,East,2.823,0.532,8785,75891,2582,0
N049,NorthEast 049,NorthEast,2.319,1.105,7410,46883,4414,0
N050,NorthEast 050,NorthEast,2.492,1.773,9157,71309,1597,0
N051,NorthEast 051,NorthEast,1.371,2.569,7822,72752,2661,1
N052,NorthEast 052,NorthEast,1.271,2.787,9885,75884,639,0
N053,North 053,North,0.126,2.919,5551,97649,3025,0
N054,North 054,North,-0.285,2.657,7471,63357,6037,0
N055,North 055,North,-0.748,2.932,5447,80333,9416,0
N056,NorthWest 056,NorthWest,-1.469,2.185,3181,122429,27723,1
N057,NorthWest 057,NorthWest,-2.024,1.999,10243,80002,38336,0
N058,NorthWest 058,NorthWest,-2.52,1.628,9742,110604,29953,0
N059,West 059,West,-2.881,0.493,7221,89588,6415,0
N060,West 060,West,-2.871,0.054,3479,109215,3895,1
N061,West 061,West,-2.783,-0.756,3802,69146,1983,0
N062,West 062,West,-2.569,-0.988,7263,83896,3321,0
N063,SouthWest 063,SouthWest,-2.313,-1.572,11766,83747,3636,0
N064,SouthWest 064,SouthWest,-1.577,-2.068,8534,74724,4138,0
N065,SouthWest 065,SouthWest,-1.299,-2.536,7364,72179,1591,1
N066,South 066,South,-0.642,-2.97,9147,70691,1745,0
N067,South 067,South,0.388,-2.686,5687,61081,2902,0
N068,South 068,South,0.958,-2.345,7347,70583,4754,1
N069,SouthEast 069,SouthEast,1.865,-2.075,8276,68212,2897,0
N070,SouthEast 070,SouthEast,2.049,-1.545,7707,76121,3618,0
N071,SouthEast 071,SouthEast,2.47,-1.308,9319,80845,1948,0
N072,East 072,East,2.82,-0.338,8709,57802,2944,0
N073,East 073,East,3.469,-0.026,10013,62415,443,1
N074,East 074,East,3.555,0.637,8162,78840,80,0
N075,NorthEast 075,NorthEast,3.026,1.394,10178,57027,1442,0
N076,NorthEast 076,NorthEast,2.759,2.645,19912,38497,621,0
N077,NorthEast 077,NorthEast,2.537,2.597,7764,65631,156,0
N078,NorthEast 078,NorthEast,1.958,3.136,7974,73514,80,1
N079,North 079,North,1.039,3.54,11300,67945,1052,1
N080,North 080,North,-0.238,3.743,9089,89790,1473,1
N081,North 081,North,-0.439,3.808,11589,85257,3030,1
N082,North 082,North,-1.219,3.111,8179,96497,14174,1
N083,NorthWest 083,NorthWest,-2.241,2.724,11269,96996,39708,1
N084,NorthWest 084,NorthWest,-3.153,2.071,9602,113128,28118,1
N085,NorthWest 085,NorthWest,-3.382,1.847,9897,83163,20148,1
N086,West 086,West,-3.465,1.007,11538,60445,7261,1
N087,West 087,West,-3.835,0.262,8955,92103,1896,1
N088,West 088,West,-3.317,-0.436,7437,68953,808,0
N089,SouthWest 089,SouthWest,-3.522,-1.618,8866,65165,173,1
N090,SouthWest 090,SouthWest,-2.651,-2.637,10039,76791,217,1
N091,SouthWest 091,SouthWest,-2.042,-3.229,7118,43371,933,1
N092,SouthWest 092,SouthWest,-1.501,-3.159,10002,49968,1621,0
N093,South 093,South,-0.546,-3.65,8490,44212,262,0
N094,South 094,South,-0.119,-3.371,10606,55929,645,0
N095,South 095,South,1.002,-3.319,5416,68636,948,0
N096,SouthEast 096,SouthEast,1.867,-2.907,7812,69672,628,1
N097,SouthEast 097,SouthEast,2.036,-3.191,6891,63971,1048,0
N098,SouthEast 098,SouthEast,2.455,-2.381,7707,48676,80,0
N099,SouthEast 099,SouthEast,3.477,-1.557,17824,24000,80,0
N100,East 100,East,3.328,-1.063,8773,64156,256,0
N101,East 101,East,4.65,0.361,10183,47859,80,1
N102,East 102,East,4.095,0.936,9722,62312,80,0
N103,East 103,East,4.042,1.308,10328,64588,80,0
N104,NorthEast 104,NorthEast,3.787,2.43,8837,56416,195,0
N105,NorthEast 105,NorthEast,3.093,3.134,11285,64785,990,0
N106,NorthEast 106,NorthEast,1.709,4.104,11273,61847,172,1
N107,North 107,North,1.387,4.355,11019,65336,80,1
N108,North 108,North,-0.273,4.526,11229,60282,437,1
N109,North 109,North,-0.507,4.158,10391,70829,1658,1
N110,NorthWest 110,NorthWest,-2.337,3.66,13198,84366,15555,1
N111,NorthWest 111,NorthWest,-2.544,3.582,10081,91447,17400,1
N112,NorthWest 112,NorthWest,-3.768,2.734,10091,75855,13107,1
N113,NorthWest 113,NorthWest,-4.051,2.258,9399,84257,7943,1
N114,West 114,West,-4.151,1.549,8712,74095,4770,1
N115,West 115,West,-4.176,-0.156,8066,67396,446,1
N116,West 116,West,-4.321,-0.538,8828,74178,768,1
N117,SouthWest 117,SouthWest,-3.728,-2.437,10184,35304,80,1
N118,SouthWest 118,SouthWest,-3.203,-3.26,10943,40594,305,1
N119,SouthWest 119,SouthWest,-2.875,-3.539,10504,38316,186,1
N120,SouthWest 120,SouthWest,-2.303,-3.489,8787,32115,80,1
N121,South 121,South,-0.603,-4.526,19786,32480,80,0
N122,South 122,South,-0.329,-4.405,11352,63515,732,0
N123,South 123,South,1.157,-4.458,10248,50416,100,0
N124,SouthEast 124,SouthEast,2.0,-3.864,9177,58017,80,1
N125,SouthEast 125,SouthEast,2.596,-3.501,10989,67755,268,0
N126,SouthEast 126,SouthEast,3.72,-2.716,10769,68153,987,0
N127,SouthEast 127,SouthEast,3.813,-1.897,7864,55911,80,0
N128,East 128,East,4.338,-1.332,10297,69052,80,0
N129,East 129,East,4.96,0.44,11366,51231,80,1
N130,East 130,East,5.201,0.737,17979,24552,1177,0
N131,NorthEast 131,NorthEast,4.904,2.218,19781,26214,470,0
N132,NorthEast 132,NorthEast,3.718,3.344,8819,34527,763,0
N133,NorthEast 133,NorthEast,1.98,4.605,13021,44296,80,1
N134,North 134,North,1.584,4.749,20880,37423,80,0
N135,North 135,North,0.529,4.903,10533,69077,576,0
N136,North 136,North,-0.688,4.97,11568,84727,454,0
N137,NorthWest 137,NorthWest,-2.039,4.839,7711,55457,1627,1
N138,NorthWest 138,NorthWest,-3.814,3.447,9448,80962,6488,0
N139,NorthWest 139,NorthWest,-4.368,2.827,10823,63110,3951,0
N140,West 140,West,-5.33,0.844,9907,68150,443,0
N141,West 141,West,-4.981,0.638,12100,64041,870,1
N142,West 142,West,-4.97,-0.947,22073,24000,787,0
N143,SouthWest 143,SouthWest,-4.411,-2.665,9434,61461,80,0
N144,SouthWest 144,SouthWest,-4.054,-3.143,9912,43889,80,0
N145,SouthWest 145,SouthWest,-2.46,-4.327,11323,44636,903,1
N146,South 146,South,-0.831,-4.879,21351,24737,1015,0
N147,South 147,South,0.589,-4.941,9135,43031,80,0
N148,South 148,South,1.9,-5.082,19927,36879,80,0
N149,SouthEast 149,SouthEast,3.281,-4.25,14212,44596,360,1
N150,SouthEast 150,SouthEast,4.013,-3.431,8886,51097,859,0
N151,SouthEast 151,SouthEast,4.507,-2.153,9072,54024,1381,0
N152,East 152,East,5.044,-1.297,10635,62659,611,0
