line_id,mode,kind,label,n_stations
B430,bus,local,Bus Route B430,2
B433,bus,local,Bus Route B433,2
B437,bus,local,Bus Route B437,2
B442,bus,local,Bus Route B442,2
B443,bus,local,Bus Route B443,2
B444,bus,local,Bus Route B444,2
B446,bus,local,Bus Route B446,2
B447,bus,local,Bus Route B447,2
B448,bus,local,Bus Route B448,2
B451,bus,local,Bus Route B451,2
B453,bus,local,Bus Route B453,2
B454,bus,local,Bus Route B454,2
B458,bus,local,Bus Route B458,2
B459,bus,local,Bus Route B459,2
B460,bus,local,Bus Route B460,2
B462,bus,local,Bus Route B462,2
B463,bus,local,Bus Route B463,2
B465,bus,local,Bus Route B465,2
B466,bus,local,Bus Route B466,2
B468,bus,local,Bus Route B468,2
B471,bus,local,Bus Route B471,2
B472,bus,local,Bus Route B472,2
B473,bus,local,Bus Route B473,2
B477,bus,local,Bus Route B477,2
B479,bus,local,Bus Route B479,2
B480,bus,local,Bus Route B480,2
B481,bus,local,Bus Route B481,2
B482,bus,local,Bus Route B482,2
B485,bus,local,Bus Route B485,2
F511,bus,feeder,Bus Route F511,2
F530,bus,feeder,Bus Route F530,2
F531,bus,feeder,Bus Route F531,2
F535,bus,feeder,Bus Route F535,2
F536,bus,feeder,Bus Route F536,2
F541,bus,feeder,Bus Route F541,2
F543,bus,feeder,Bus Route F543,2
F544,bus,feeder,Bus Route F544,2
F545,bus,feeder,Bus Route F545,2
F546,bus,feeder,Bus Route F546,2
F547,bus,feeder,Bus Route F547,2
F550,bus,feeder,Bus Route F550,2
F552,bus,feeder,Bus Route F552,2
F555,bus,feeder,Bus Route F555,2
F565,bus,feeder,Bus Route F565,2
F566,bus,feeder,Bus Route F566,2
F570,bus,feeder,Bus Route F570,2
